               Team   G   W   L  T    PCT   GB  RS  RA Diff   XPCT Home    Road vs DB vs G vs L vs D vs V   Inter
0     DeNA BayStars  18  13   3  2  0.813   --  72  31   41  0.824  7-3  6-0(2)    --  4-1  2-2  1-0  4-0  2-0(2)
1    Yomiuri Giants  19  10   9  0  0.526  4.5  83  64   19  0.617  6-4     4-5   1-4   --  1-1  1-2  1-0     6-2
2       Seibu Lions  19   8  11  0  0.421  6.5  75  92  -17  0.408  2-6     6-5   2-2  1-1   --  2-3  2-0     1-5
3  Chunichi Dragons  19   7  12  0  0.368  7.5  72  86  -14  0.419  3-6     4-6   0-1  2-1  3-2   --  1-2     1-6
4   HAYATE Ventures  16   4  12  0  0.250  9.0  45  77  -32  0.272  2-5     2-7   0-4  0-1  0-2  2-1   --     2-4
