                 Team   G   W   L  T    PCT   GB  RS  RA Diff   XPCT    Home    Road vs H    vs E vs F vs B    vs L vs M Inter
0      SoftBank Hawks  15  10   5  0  0.667   --  73  52   21  0.650     4-3     6-2   --     2-2  5-0   --     1-2  2-1    --
1      Rakuten Eagles  15   8   6  1  0.571  1.5  54  41   13  0.623     4-4  4-2(1)  2-2      --  1-2  3-2  2-0(1)   --    --
2  Nipponham Fighters  15   8   7  0  0.533  2.0  77  56   21  0.642     5-3     3-4  0-5     2-1   --  3-0      --  3-1    --
3      ORIX Buffaloes  15   8   7  0  0.533  2.0  56  67  -11  0.419     6-1     2-6   --     2-3  0-3   --     3-1  3-0    --
4         Seibu Lions  16   6   9  1  0.400  4.0  39  60  -21  0.313  3-5(1)     3-4  2-1  0-2(1)   --  1-3      --  3-3    --
5       Lotte Marines  16   5  11  0  0.313  5.5  40  63  -23  0.303     3-4     2-7  1-2      --  1-3  0-3     3-3   --    --
