                  Team   TZR TZR/143  RngR   ARM   DPR  ErrR Framing Blocking League
0       SoftBank Hawks   0.4     2.1   1.2   0.4   0.3  -1.5     0.6     -0.1     PL
1        Lotte Marines   3.7    19.6   4.3  -0.4  -0.2   0.2    -0.2     -0.1     PL
2       Hanshin Tigers   6.6    40.8   5.3   0.3   0.3   0.5     0.1      0.0     CL
3       Hiroshima Carp  -2.0   -11.5  -2.4   0.1  -0.2   0.7     0.1      0.1     CL
4      Yakult Swallows  -1.5    -8.9  -1.1  -0.6  -0.6   0.7     0.1      0.1     CL
5       Yomiuri Giants   5.3    31.6   3.9  -0.4   1.1   0.6    -1.5      0.1     CL
6          Seibu Lions  -0.9    -5.1   0.8  -1.6  -0.1   0.0    -0.3      0.1     PL
7       Rakuten Eagles  -1.5    -8.6  -4.6   2.8   0.2   0.4    -0.3      0.0     PL
8        DeNA BayStars  -1.7   -10.1   0.0  -0.4  -0.4  -1.2    -0.4     -0.1     CL
9       ORIX Buffaloes  -2.4   -12.7  -1.8  -0.4   0.3  -0.2     0.6      0.0     PL
10  Nipponham Fighters  -5.7   -34.0  -4.5  -0.7  -0.3  -0.2     0.3     -0.2     PL
11    Chunichi Dragons  -1.2    -7.7  -0.5  -0.2  -0.6   0.2     0.6      0.1     CL
