                  Player   G  PA  AB   R   H  2B  3B  HR  TB  RBI  SB  CS  SH  SF  SO  BB  IBB  HP  GDP    AVG    OBP    SLG    OPS  OPS+    ISO  BABIP      K%    BB%  BB/K   wSB    TTO% Age  Pos  B                Team League
0            Arnaez Jean   4  10   9   0   1   1   0   0   2    0   0   0   1   0   1   0    0   0    0  0.111  0.111  0.222  0.333     3  0.111  0.125   10.0%   0.0%  0.00   0.0   10.0%  23    3  R      Hanshin Tigers      W
1      Consuegra Stanley  12  37  32   2   7   2   0   1  12    7   0   0   0   1   4   4    0   0    1  0.219  0.297  0.375  0.672   119  0.156  0.214   10.8%  10.8%  1.00  -0.0   24.3%  25  UTL  R      Hanshin Tigers      W
2           Devanney Cam   6  25  23   1   4   1   0   0   5    0   0   0   0   0   5   2    0   0    0  0.174  0.240  0.217  0.457    47  0.043  0.222   20.0%   8.0%  0.40  -0.0   28.0%  29    6  R      Hanshin Tigers      W
3           Fujita Kento   6   6   5   0   2   0   0   0   2    0   0   1   0   0   0   1    0   0    0  0.400  0.500  0.400  0.900   198  0.000  0.400    0.0%  16.7%  1.00  -0.3   16.7%  24    2  R      Hanshin Tigers      W
4         Fukushima Kein   8  31  25   7  11   3   1   0  16    0   4   0   0   0   2   5    0   1    0  0.440  0.548  0.640  1.188   293  0.200  0.478    6.5%  16.1%  2.50   0.6   22.6%  24    8  L      Hanshin Tigers      W
5           Hamada Taiki   1   5   5   1   4   1   0   0   5    2   0   0   0   0   1   0    0   0    0  0.800  0.800  1.000  1.800   499  0.200  1.000   20.0%   0.0%  0.00  -0.0   20.0%  25  UTL  R      Hanshin Tigers      W
10         Itsubo Hinase  10  25  22   1   7   1   0   0   8    0   1   0   3   0   1   0    0   0    1  0.318  0.318  0.364  0.682   122  0.046  0.333    4.0%   0.0%  0.00   0.2    4.0%  21    7  R      Hanshin Tigers      W
12     Kawasaki Toshiaki   5   3   3   0   0   0   0   0   0    0   0   0   0   0   1   0    0   0    0  0.000  0.000  0.000  0.000  -108  0.000  0.000   33.3%   0.0%  0.00   0.0   33.3%  25    7  L      Hanshin Tigers      W
15      Kumagai Takahiro   2   8   7   2   3   0   0   0   3    0   1   0   0   0   1   1    0   0    0  0.429  0.500  0.429  0.929   207  0.000  0.500   12.5%  12.5%  1.00   0.2   25.0%  30    6  R      Hanshin Tigers      W
16          Lucas Easton   1   1   1   0   0   0   0   0   0    0   0   0   0   0   0   0    0   0    0  0.000  0.000  0.000  0.000  -108  0.000  0.000    0.0%   0.0%         0.0    0.0%  29   DH  L      Hanshin Tigers      W
17        Machida Hayato   5   9   9   0   0   0   0   0   0    0   0   0   0   0   3   0    0   0    0  0.000  0.000  0.000  0.000  -108  0.000  0.000   33.3%   0.0%  0.00   0.0   33.3%  23    2  R      Hanshin Tigers      W
18          Maegawa Ukyo  10  39  33   5  11   3   0   1  17    6   1   0   0   0  11   6    0   0    1  0.333  0.436  0.515  0.951   213  0.182  0.476   28.2%  15.4%  0.55   0.1   46.2%  23    3  L      Hanshin Tigers      W
22          Momosaki Aoi   8  18  17   3   5   1   0   1   9    3   0   0   0   0   4   1    0   0    0  0.294  0.333  0.529  0.862   182  0.235  0.333   22.2%   5.6%  0.25  -0.0   33.3%  20    5  R      Hanshin Tigers      W
23         Motoyama Hiyu   2   7   7   2   3   0   0   0   3    0   0   0   0   0   0   0    0   0    0  0.429  0.429  0.429  0.858   182  0.000  0.429    0.0%   0.0%        -0.0    0.0%  27    3  L      Hanshin Tigers      W
24        Nagasaka Kenya   4   5   4   0   0   0   0   0   0    0   0   0   0   0   1   1    0   0    0  0.000  0.200  0.000  0.200   -38  0.000  0.000   20.0%  20.0%  1.00  -0.0   40.0%  32    2  R      Hanshin Tigers      W
25           Nishi Junya  12  42  40   2  13   4   0   0  17    6   0   0   0   0  11   0    0   2    0  0.325  0.357  0.425  0.782   156  0.100  0.448   26.2%   0.0%  0.00  -0.0   26.2%  24    9  R      Hanshin Tigers      W
29        Ohtake Koutaro   3   1   1   0   0   0   0   0   0    0   0   0   0   0   1   0    0   0    0  0.000  0.000  0.000  0.000  -108  0.000         100.0%   0.0%  0.00   0.0  100.0%  31    1  L      Hanshin Tigers      W
30           Onodera Dan  11  34  31   5   7   1   0   0   8    2   1   0   0   0   8   1    0   2    0  0.226  0.294  0.258  0.552    79  0.032  0.304   23.5%   2.9%  0.12   0.1   26.5%  28    8  R      Hanshin Tigers      W
33          Sakaeda Yuki   5  17  14   4   4   1   0   0   5    2   0   0   1   0   1   2    0   0    0  0.286  0.375  0.357  0.732   140  0.071  0.308    5.9%  11.8%  2.00  -0.0   17.6%  28    2  R      Hanshin Tigers      W
34            Sano Taiyo  13  49  48   9  16   2   0   1  21    6   1   0   0   0   6   0    0   1    0  0.333  0.347  0.438  0.785   157  0.105  0.366   12.2%   0.0%  0.00   0.1   14.3%  24    5  R      Hanshin Tigers      W
