                  Team  W  L    PCT  Diff HR SB OPS+ ERA+ FIP-  K-BB%   wSB   TZR
0       SoftBank Hawks  3  0  1.000     7  4  0  157   94  165  21.2%  -0.4   0.4
1        Lotte Marines  2  1  0.667     9  2  3  101  343   76  12.6%   0.5   3.7
2       Hanshin Tigers  2  1  0.667     6  1  3  116  104  134  12.9%   0.1   6.6
3       Hiroshima Carp  3  0  1.000     3  0  0   66  180   46  21.2%  -0.4  -2.0
4      Yakult Swallows  3  0  1.000     6  2  1   78  155   85  15.9%   0.1  -1.5
5       Yomiuri Giants  1  2  0.333    -6  4  0   97   70  117   6.0%  -0.4   5.3
6          Seibu Lions  1  2  0.333    -9  0  2   64   72  101  11.9%   0.3  -0.9
7       Rakuten Eagles  1  2  0.333     3  1  0  107   88  125   9.8%  -0.4  -1.5
8        DeNA BayStars  0  3  0.000    -6  2  2   86   86   84  17.1%  -0.0  -1.7
9       ORIX Buffaloes  2  1  0.667    -3  2  2  137  124   61  21.2%  -0.0  -2.4
10  Nipponham Fighters  0  3  0.000    -7  8  1  122   53  144   7.9%   0.1  -5.7
11    Chunichi Dragons  0  3  0.000    -3  0  3   65  128   69  14.8%   0.5  -1.2
