                 Pitcher  G  W  L  SV  HLD  CG  SHO  BF   IP   H  HR  SO  BB  IBB  HB  WP  R  ER     ERA    FIP  kwERA   WHIP ERA+ FIP- kwERA-    Diff    HR%     K%    BB%   K-BB%     GB%  Chase%    Con% SwStr%   CSW%  FB Velo                Team Age  T League
0           Dolis Rafael  1  0  0   0    1   0    0   3  1.0   0   0   0   0    0   0   0  0   0    0.00   3.05   4.80   0.00  999   95    143   -3.05   0.0%   0.0%   0.0%    0.0%  100.0%   50.0%   90.9%   5.9%  17.6%     94.7      Hanshin Tigers  38  R     CL
1         Hayakawa Daiki  1  0  0   0    1   0    0   6  1.2   1   0   2   0    0   0   0  0   0    0.00   0.65   1.47   0.60  999   20     44   -0.65   0.0%  33.3%   0.0%   33.3%   50.0%   30.0%   66.7%  16.7%  25.0%     91.5      Hanshin Tigers  26  R     CL
2           Itoh Masashi  1  0  0   0    0   0    0  13  2.1   6   0   1   1    0   0   0  3   3   11.57   3.48   4.80   3.00   28  108    143    8.09   0.0%   7.7%   7.7%    0.0%   45.5%    5.6%   92.3%   2.6%  25.6%     87.7      Hanshin Tigers  30  L     CL
3         Iwazaki Suguru  1  0  0   0    0   0    0   4  1.0   1   0   1   0    0   0   0  0   0    0.00   1.05   2.30   1.00  999   33     69   -1.05   0.0%  25.0%   0.0%   25.0%   33.3%   40.0%   71.4%  13.3%  26.7%     87.8      Hanshin Tigers  35  L     CL
4       Kirishiki Takuma  1  0  0   0    0   0    0   3  1.0   0   0   0   0    0   0   0  0   0    0.00   3.05   4.80   0.00  999   95    143   -3.05   0.0%   0.0%   0.0%    0.0%   33.3%    0.0%  100.0%   0.0%  27.3%     91.6      Hanshin Tigers  27  L     CL
5           Moreta Dauri  1  0  0   0    1   0    0   5  1.0   1   0   1   1    0   0   0  0   0    0.00   4.05   4.80   2.00  999  126    143   -4.05   0.0%  20.0%  20.0%    0.0%   33.3%    0.0%   75.0%   4.3%  30.4%     90.7      Hanshin Tigers  30  R     CL
6         Murakami Shoki  1  0  1   0    0   0    0  23  6.0   5   2   7   2    0   0   0  3   3    4.50   6.05   2.63   1.17   72  188     78   -1.55   8.7%  30.4%   8.7%   21.7%   42.9%   40.4%   73.5%  12.9%  30.7%     91.5      Hanshin Tigers  28  R     CL
7         Oyokawa Masaki  1  1  0   0    0   0    0   4  1.0   1   1   1   0    0   0   0  1   1    9.00  14.05   2.30   1.00   36  436     69   -5.05  25.0%  25.0%   0.0%   25.0%   33.3%   28.6%   83.3%   6.7%  33.3%     90.1      Hanshin Tigers  25  L     CL
8       Takahashi Haruto  1  1  0   0    0   1    1  32  9.0   3   0   6   2    0   0   0  0   0    0.00   2.39   3.55   0.56  999   74    106   -2.39   0.0%  18.8%   6.2%   12.5%   54.2%   30.8%   75.4%  12.5%  29.5%     91.9      Hanshin Tigers  30  L     CL
9           Yuasa Atsuki  2  0  0   0    0   0    0   8  2.0   3   1   1   1    0   0   0  2   2    9.00  10.05   4.80   2.00   36  312    143   -1.05  12.5%  12.5%  12.5%    0.0%   66.7%   20.0%   81.8%   6.7%  30.0%     92.2      Hanshin Tigers  26  R     CL
