                  Team    TZR TZR/143   RngR   ARM   DPR  ErrR Framing Blocking League
0        DeNA BayStars    9.4    15.1   11.9  -0.9   0.1  -1.6    -0.4     -0.1      C
1       Yomiuri Giants    4.7     6.5    0.8   2.4   1.0   0.1     0.0     -0.6      C
2        Lotte Marines   -1.0    -1.3   -4.0   2.4   0.3  -0.2    -1.3      0.1      E
3       SoftBank Hawks    3.4     5.0    2.3   0.2   1.4  -0.6     3.8     -0.2      W
4   Nipponham Fighters   -5.5    -7.3    0.8  -2.7  -2.4  -1.3    -3.1     -0.4      E
5       ORIX Buffaloes  -12.0   -15.5  -12.0   1.1  -1.9   0.9     7.3      0.3      W
6      Yakult Swallows    5.3     8.6    5.4   1.6  -1.1  -0.9    -3.0      0.0      E
7        Oisix Albirex   -7.1   -13.4   -6.3  -3.2   1.4   1.6    -1.9      0.0      E
8      HAYATE Ventures    4.7     9.6    2.4  -0.3   1.5   1.0     1.9      0.0      C
9       Hiroshima Carp    0.4     0.6   -3.5   3.8   0.2  -0.9    -0.2      0.3      W
10      Rakuten Eagles    1.6     2.1    2.2   0.7   0.3  -2.3    -1.8      0.2      E
11         Seibu Lions   -0.3    -0.4    2.4   0.2  -2.1  -1.3    -1.7      0.0      C
12    Chunichi Dragons    0.3     0.4   -3.4  -0.7   1.6   2.7    -2.5      0.4      C
13      Hanshin Tigers    4.7     6.4    0.6   3.6  -0.6   0.3     3.0     -0.4      W
