#,Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,wSB,,Team,League
,Kakunaka Katsuya,7,18,12,1,4,0,0,0,4,0,0,0,1,0,3,5,0,0,0,0.333,0.529,0.333,0.863,164,0.000,0.444,44.4%,16.7%,27.8%,1.67,0.0,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,Chikamoto Koji,10,46,40,8,15,1,1,0,18,6,1,1,0,0,6,6,2,0,0,0.375,0.457,0.450,0.907,182,0.075,0.441,26.1%,13.0%,13.0%,1.00,-0.1,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,Kondoh Kensuke,3,13,11,0,3,0,0,0,3,1,0,0,0,0,4,2,0,0,0,0.273,0.385,0.273,0.657,104,0.000,0.429,46.2%,30.8%,15.4%,0.50,0.0,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,Noguchi Tomoya,7,16,15,1,5,0,0,0,5,1,0,0,0,0,4,1,0,0,1,0.333,0.375,0.333,0.708,123,0.000,0.455,31.2%,25.0%,6.2%,0.25,0.0,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,Nomura Isami,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-99,0.000,,100.0%,100.0%,0.0%,0.00,0.0,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,Nomura Daiju,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-99,0.000,,100.0%,100.0%,0.0%,0.00,0.0,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,Noma Takayoshi,5,22,17,1,7,0,0,0,7,0,0,2,1,0,3,4,0,0,0,0.412,0.524,0.412,0.936,197,0.000,0.500,31.8%,13.6%,18.2%,1.33,-0.6,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,Sekine Taiki,2,9,8,0,5,0,0,0,5,1,0,0,1,0,0,0,0,0,0,0.625,0.625,0.625,1.250,285,0.000,0.625,0.0%,0.0%,0.0%,,0.0,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Nirasawa Yuya,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,0.0%,0.0%,0.0%,,0.0,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,Tongu Yuma,9,28,27,5,8,1,1,3,20,4,0,0,0,0,3,1,0,0,0,0.296,0.321,0.741,1.062,229,0.444,0.238,25.0%,10.7%,3.6%,0.33,0.0,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,Ｔ－岡田,4,3,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.500,0.667,0.500,1.167,271,0.000,0.500,0.0%,0.0%,0.0%,,0.0,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
