Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,Team,League
Akiyama Takumi,18,46,38,3,5,2,0,0,7,1,0,0,6,0,23,2,0,0,0,0.132,0.175,0.184,0.359,2,0.052,0.333,54.3%,50.0%,4.3%,0.09,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Aoyagi Koyo,21,39,31,1,1,0,0,0,1,0,0,0,7,0,19,1,0,0,0,0.032,0.063,0.032,0.095,-77,0.000,0.083,51.3%,48.7%,2.6%,0.05,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Araki Fumiya,16,11,11,2,1,0,0,0,1,0,2,1,0,0,4,0,0,0,0,0.091,0.091,0.091,0.182,-51,0.000,0.143,36.4%,36.4%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Bour Justin,99,379,329,27,80,8,0,17,139,45,1,1,0,2,88,45,5,3,13,0.243,0.338,0.422,0.760,121,0.179,0.279,39.6%,23.2%,11.9%,0.51,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Chikamoto Koji,120,519,474,81,139,21,5,9,197,45,31,8,7,1,61,30,2,7,4,0.293,0.344,0.416,0.760,121,0.123,0.321,19.3%,11.8%,5.8%,0.49,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Egoshi Taiga,45,13,10,11,0,0,0,0,0,1,3,1,0,1,6,2,0,0,0,0.000,0.154,0.000,0.154,-56,0.000,0.000,61.5%,46.2%,15.4%,0.33,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Fujikawa Shunsuke,9,8,8,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0.125,0.125,0.125,0.250,-31,0.000,0.167,25.0%,25.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Fujinami Shintaro,24,19,16,1,1,0,0,0,1,1,0,0,3,0,11,0,0,0,0,0.063,0.063,0.063,0.126,-68,0.000,0.200,57.9%,57.9%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Fukudome Kosuke,43,92,78,3,12,2,0,1,17,12,0,0,0,3,31,11,0,0,4,0.154,0.250,0.218,0.468,36,0.064,0.224,46.7%,33.7%,12.0%,0.35,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Garcia Onelki,14,23,22,0,2,0,0,0,2,0,0,0,1,0,8,0,0,0,0,0.091,0.091,0.091,0.182,-51,0.000,0.143,34.8%,34.8%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Gunkel Joe,28,13,11,0,3,1,0,0,4,0,0,0,1,0,5,0,0,1,0,0.273,0.333,0.364,0.697,103,0.091,0.500,38.5%,38.5%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Haraguchi Fumihito,48,78,72,5,20,3,0,3,32,19,0,0,0,0,16,5,1,1,2,0.278,0.333,0.444,0.777,126,0.166,0.321,30.8%,20.5%,6.4%,0.31,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Hojoh Fumiya,40,112,99,10,19,4,0,2,29,7,2,0,3,0,23,9,0,1,2,0.192,0.266,0.293,0.559,62,0.101,0.230,30.4%,20.5%,8.0%,0.39,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Inoue Kouta,6,11,11,0,1,1,0,0,2,1,0,0,0,0,5,0,0,0,0,0.091,0.091,0.182,0.273,-27,0.091,0.167,45.5%,45.5%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Itayama Yutaro,5,14,12,1,2,0,0,0,2,0,1,0,0,0,3,2,0,0,0,0.167,0.286,0.167,0.453,34,0.000,0.222,35.7%,21.4%,14.3%,0.67,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Itohara Kento,63,244,218,32,64,5,2,3,82,20,1,2,3,1,33,19,0,3,3,0.294,0.357,0.376,0.733,115,0.082,0.333,22.5%,13.5%,7.8%,0.58,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Itoi Yoshio,86,311,269,25,72,16,1,2,96,28,2,1,0,1,50,38,0,3,5,0.268,0.363,0.357,0.720,112,0.089,0.321,28.9%,16.1%,12.2%,0.76,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Iwasada Yuta,38,15,13,0,2,0,0,0,2,0,0,0,2,0,8,0,0,0,0,0.154,0.154,0.154,0.308,-13,0.000,0.400,53.3%,53.3%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Iwata Minoru,5,7,6,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0.000,0.000,0.000,0.000,-106,0.000,0.000,57.1%,57.1%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Iwazaki Suguru,41,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-106,0.000,,100.0%,100.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Kinami Seiya,92,334,297,42,74,20,1,3,105,25,2,1,8,3,54,24,3,2,1,0.249,0.307,0.354,0.661,93,0.105,0.292,24.3%,16.2%,7.2%,0.44,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Kumagai Takahiro,38,17,16,6,5,2,0,0,7,3,3,2,0,0,5,1,0,0,0,0.313,0.353,0.438,0.791,131,0.125,0.455,35.3%,29.4%,5.9%,0.20,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Marte Jefry,29,119,103,9,26,6,1,4,46,14,1,0,0,2,14,14,0,0,6,0.252,0.336,0.447,0.783,128,0.195,0.253,26.9%,11.8%,11.8%,1.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Nagasaka Kenya,5,5,5,1,2,0,0,1,5,2,1,0,0,0,3,0,0,0,0,0.400,0.400,1.000,1.400,302,0.600,1.000,80.0%,60.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Nakata Kenichi,3,2,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.500,0.500,0.500,1.000,196,0.000,1.000,50.0%,50.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Nakatani Masahiro,70,87,79,10,17,1,0,2,24,16,1,0,1,1,27,5,0,1,0,0.215,0.267,0.304,0.571,65,0.089,0.294,39.1%,31.0%,5.7%,0.19,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Nishi Yuki,21,56,46,5,5,2,0,1,10,7,0,0,9,0,16,1,0,0,0,0.109,0.128,0.217,0.345,-4,0.108,0.138,32.1%,28.6%,1.8%,0.06,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Nohmi Atsushi,34,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-106,0.000,,100.0%,100.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Obata Ryuhei,54,134,127,15,28,1,2,0,33,7,3,1,1,0,37,5,1,1,1,0.220,0.256,0.260,0.516,50,0.040,0.311,31.3%,27.6%,3.7%,0.14,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
