Pitcher,G,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Team,League
Aoyagi Koyo,21,7,9,0,0,1,0,510,120.2,111,4,88,44,3,5,2,51,45,3.36,3.55,3.94,1.28,108,89,106,-0.19,0.8%,17.3%,8.6%,8.7%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Nishi Yuki,21,11,5,0,0,4,2,582,147.2,116,15,115,28,2,4,1,44,37,2.26,3.78,3.31,0.98,160,94,89,-1.52,2.6%,19.8%,4.8%,15.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Kuri Aren,20,8,6,0,0,2,1,544,130.2,116,11,106,44,0,0,4,46,43,2.96,3.85,3.66,1.22,127,92,98,-0.89,2.0%,19.5%,8.1%,11.4%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Morishita Masato,18,10,3,0,0,2,1,485,122.2,102,6,124,32,0,4,2,30,26,1.91,2.86,2.90,1.09,198,69,78,-0.95,1.2%,25.6%,6.6%,19.0%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Sugano Tomoyuki,20,14,2,0,0,3,3,532,137.1,97,8,131,25,0,7,2,33,30,1.97,2.91,2.81,0.89,200,67,76,-0.94,1.5%,24.6%,4.7%,19.9%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
Ohno Yudai,20,11,6,0,0,10,6,559,148.2,106,13,148,23,2,0,3,33,30,1.82,2.97,2.56,0.87,198,75,69,-1.15,2.3%,26.5%,4.1%,22.4%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
Tajima Daiki,20,4,6,0,0,1,1,512,122.1,102,14,89,42,0,7,2,57,55,4.05,4.60,3.88,1.18,93,111,104,-0.55,2.7%,17.4%,8.2%,9.2%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
Yamamoto Yoshinobu,18,8,4,0,0,1,0,494,126.2,82,6,149,37,0,6,1,34,31,2.20,2.65,2.53,0.94,171,64,68,-0.45,1.2%,30.2%,7.5%,22.7%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
Ishikawa Ayumu,21,7,6,0,0,0,0,555,133.1,138,19,77,26,0,4,3,65,63,4.25,4.74,3.88,1.23,89,113,104,-0.49,3.4%,13.9%,4.7%,9.2%,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
Mima Manabu,19,10,4,0,0,1,0,517,123.0,130,9,88,25,0,0,3,62,54,3.95,3.49,3.58,1.26,96,83,96,0.46,1.7%,17.0%,4.8%,12.2%,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
Senga Koudai,18,11,6,0,0,1,0,503,121.0,90,4,149,57,0,2,5,37,29,2.16,2.79,2.97,1.21,177,66,80,-0.63,0.8%,29.6%,11.3%,18.3%,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
Wakui Hideaki,20,11,4,0,0,1,1,529,130.0,110,17,110,38,1,3,3,53,52,3.60,4.32,3.44,1.14,107,101,92,-0.72,3.2%,20.8%,7.2%,13.6%,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
Takahashi Kona,20,8,8,0,0,1,1,501,120.1,100,9,100,44,0,7,6,51,50,3.74,3.95,3.68,1.20,108,89,99,-0.21,1.8%,20.0%,8.8%,11.2%,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
Arihara Kohei,20,8,9,0,0,3,1,547,132.2,125,11,106,30,0,6,2,56,51,3.46,3.66,3.41,1.17,108,89,92,-0.20,2.0%,19.4%,5.5%,13.9%,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
