Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,Team,League
Bour Justin,99,379,329,27,80,8,0,17,139,45,1,1,0,2,88,45,5,3,13,0.243,0.338,0.422,0.760,121,0.179,0.279,39.6%,23.2%,11.9%,0.51,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Chikamoto Koji,120,519,474,81,139,21,5,9,197,45,31,8,7,1,61,30,2,7,4,0.293,0.344,0.416,0.760,121,0.123,0.321,19.3%,11.8%,5.8%,0.49,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Ohyama Yusuke,116,471,423,66,122,21,5,28,237,85,1,3,1,1,96,41,6,5,15,0.288,0.357,0.560,0.917,166,0.272,0.313,35.0%,20.4%,8.7%,0.43,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Sands Jerry,110,443,377,47,97,16,0,19,170,64,2,1,0,2,106,61,2,3,11,0.257,0.363,0.451,0.814,137,0.194,0.307,42.0%,23.9%,13.8%,0.58,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Dohbayashi Shota,111,451,401,55,112,21,0,14,175,58,17,4,3,2,91,41,2,4,12,0.279,0.350,0.436,0.786,123,0.157,0.329,32.4%,20.2%,9.1%,0.45,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Kikuchi Ryosuke,106,429,376,43,102,19,4,10,159,41,3,2,16,1,68,35,2,1,9,0.271,0.334,0.423,0.757,115,0.152,0.308,26.3%,15.9%,8.2%,0.51,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Matsuyama Ryuhei,108,425,404,38,112,27,1,9,168,67,0,1,0,3,72,17,4,1,11,0.277,0.306,0.416,0.722,105,0.139,0.316,23.1%,16.9%,4.0%,0.24,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Suzuki Seiya,118,514,430,85,129,26,2,25,234,75,6,4,0,3,73,72,9,9,15,0.300,0.409,0.544,0.953,171,0.244,0.310,33.1%,14.2%,14.0%,0.99,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Tanaka Kosuke,112,454,378,51,95,11,5,8,140,39,8,4,12,4,86,55,3,5,1,0.251,0.351,0.370,0.721,106,0.119,0.302,32.8%,18.9%,12.1%,0.64,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Kajitani Takayuki,109,482,433,88,140,29,1,19,228,53,14,8,1,2,85,45,3,1,4,0.323,0.387,0.527,0.914,151,0.204,0.366,30.9%,17.6%,9.3%,0.53,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Miyazaki Toshiro,113,460,429,47,129,26,1,14,199,53,0,0,0,3,29,24,2,4,15,0.301,0.341,0.464,0.805,122,0.163,0.296,14.6%,6.3%,5.2%,0.83,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Sano Keita,106,451,402,48,132,20,1,20,214,69,0,0,0,3,58,42,1,4,13,0.328,0.395,0.532,0.927,155,0.204,0.343,26.6%,12.9%,9.3%,0.72,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Soto Neftali,114,480,428,59,108,18,0,25,201,78,0,0,0,5,103,44,0,3,12,0.252,0.323,0.470,0.793,118,0.218,0.272,35.8%,21.5%,9.2%,0.43,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Maru Yoshihiro,120,491,423,63,120,31,1,27,234,77,8,4,3,2,101,63,4,0,3,0.284,0.375,0.553,0.928,156,0.269,0.313,38.9%,20.6%,12.8%,0.62,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
Okamoto Kazuma,118,500,440,79,121,26,0,31,240,97,2,0,0,0,85,55,2,5,10,0.275,0.362,0.545,0.907,149,0.270,0.278,34.2%,17.0%,11.0%,0.65,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
Sakamoto Hayato,115,479,412,64,119,28,1,19,206,65,4,1,1,4,85,62,7,0,9,0.289,0.379,0.500,0.879,143,0.211,0.321,34.7%,17.7%,12.9%,0.73,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
Yoshikawa Naoki,112,389,354,47,97,16,2,8,141,32,11,3,2,0,60,30,4,3,6,0.274,0.336,0.398,0.734,104,0.124,0.311,25.2%,15.4%,7.7%,0.50,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
Aoki Norichika,107,425,357,64,113,30,1,18,199,51,2,1,0,1,51,62,2,5,6,0.317,0.424,0.557,0.981,164,0.240,0.329,30.8%,12.0%,14.6%,1.22,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
Escobar Alcides,104,402,377,27,103,14,2,1,124,30,6,7,1,2,52,13,6,9,9,0.273,0.312,0.329,0.641,76,0.056,0.313,16.4%,12.9%,3.2%,0.25,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
Murakami Munetaka,120,515,424,70,130,30,2,28,248,86,11,5,0,1,115,87,12,3,8,0.307,0.427,0.585,1.012,171,0.278,0.362,44.7%,22.3%,16.9%,0.76,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
Sakaguchi Tomotaka,114,458,398,55,98,14,1,9,141,36,4,5,3,3,60,47,1,7,8,0.246,0.334,0.354,0.688,88,0.108,0.268,25.3%,13.1%,10.3%,0.78,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
Yamada Tetsuto,94,384,334,52,85,17,1,12,140,52,8,4,0,2,83,48,3,0,6,0.254,0.346,0.419,0.765,108,0.165,0.303,37.2%,21.6%,12.5%,0.58,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
Abe Toshiki,115,459,421,44,108,25,0,13,172,61,2,4,5,2,92,30,0,1,21,0.257,0.306,0.409,0.715,108,0.152,0.299,29.4%,20.0%,6.5%,0.33,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
Kyoda Yota,120,491,442,43,109,16,7,5,154,29,8,4,15,1,80,27,4,6,4,0.247,0.298,0.348,0.646,88,0.101,0.291,22.8%,16.3%,5.5%,0.34,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
Ohshima Yohei,118,525,462,58,146,21,3,1,176,30,16,8,9,3,51,47,3,4,5,0.316,0.382,0.381,0.763,125,0.065,0.351,18.9%,9.7%,9.0%,0.92,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
Takahashi Shuhei,108,438,394,46,120,25,1,7,168,46,1,1,0,3,70,39,6,2,13,0.305,0.368,0.426,0.794,133,0.121,0.353,26.5%,16.0%,8.9%,0.56,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
