Team,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,League
<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin Tigers</a>,4475,3923,494,965,167,17,110,1496,472,80,33,86,23,955,400,25,43,83,0.246,0.321,0.381,0.702,104,0.135,0.297,32.7%,21.3%,8.9%,0.42,CL
<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima Carp</a>,4609,4082,523,1069,198,21,110,1639,501,64,34,81,17,890,386,27,43,91,0.262,0.331,0.402,0.733,109,0.140,0.309,30.1%,19.3%,8.4%,0.43,CL
<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,4501,4058,516,1078,180,10,135,1683,495,31,15,51,26,867,337,15,29,94,0.266,0.324,0.415,0.739,104,0.149,0.306,29.7%,19.3%,7.5%,0.39,CL
<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,4519,3994,532,1019,183,16,135,1639,507,80,33,59,21,974,423,31,22,80,0.255,0.328,0.410,0.738,105,0.155,0.304,33.9%,21.6%,9.4%,0.43,CL
<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult Swallows</a>,4552,3994,468,967,163,13,114,1498,449,74,42,56,26,931,434,30,42,95,0.242,0.321,0.375,0.696,90,0.133,0.287,32.5%,20.5%,9.5%,0.47,CL
<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi Dragons</a>,4437,3952,429,997,178,18,70,1421,415,33,22,73,27,812,346,24,39,101,0.252,0.317,0.360,0.677,98,0.108,0.299,27.7%,18.3%,7.8%,0.43,CL
<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX Buffaloes</a>,4467,3947,441,975,166,19,90,1449,422,95,39,89,21,811,361,20,49,86,0.247,0.316,0.367,0.683,95,0.120,0.289,28.3%,18.2%,8.1%,0.45,PL
<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte Marines</a>,4505,3840,461,902,171,11,90,1365,435,87,32,96,19,954,491,16,58,80,0.235,0.329,0.355,0.684,95,0.120,0.288,34.1%,21.2%,10.9%,0.51,PL
<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank Hawks</a>,4480,3933,531,979,165,28,126,1578,500,99,32,81,34,851,398,13,34,50,0.249,0.321,0.401,0.722,104,0.152,0.285,30.7%,19.0%,8.9%,0.47,PL
<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten Eagles</a>,4628,3990,557,1029,190,23,112,1601,534,67,30,87,30,918,473,9,48,87,0.258,0.341,0.401,0.742,109,0.143,0.307,32.5%,19.8%,10.2%,0.52,PL
<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu Lions</a>,4440,3898,479,926,161,24,107,1456,459,85,40,60,27,956,411,10,44,74,0.238,0.315,0.374,0.689,90,0.136,0.286,33.2%,21.5%,9.3%,0.43,PL
<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,4560,3952,493,986,153,17,89,1440,472,80,23,85,31,878,460,9,32,86,0.249,0.330,0.364,0.694,99,0.115,0.297,31.3%,19.3%,10.1%,0.52,PL
League Average,4514,3964,494,991,173,18,107,1522,472,73,31,75,25,900,410,19,40,84,0.250,0.325,0.384,0.709,100,0.134,0.296,31.4%,19.9%,9.1%,0.46,
