Team,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,League
<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin Tigers</a>,60,53,30,80,8,2,4433,1054.1,952,94,867,371,26,29,43,460,396,3.38,4.02,3.68,1.25,107,100,99.0,-0.64,2.1%,19.6%,8.4%,11.2%,CL
<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima Carp</a>,52,56,21,56,8,2,4636,1069.0,1066,113,913,429,19,28,40,529,482,4.06,4.31,3.76,1.40,93,103,101.0,-0.25,2.4%,19.7%,9.3%,10.4%,CL
<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,56,58,24,104,4,1,4451,1045.0,997,98,932,392,55,38,26,474,437,3.76,4.03,3.59,1.33,106,91,96.4,-0.27,2.2%,20.9%,8.8%,12.1%,CL
<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,67,45,27,96,4,4,4429,1060.2,901,114,886,390,16,59,19,421,394,3.34,4.36,3.68,1.22,118,100,98.9,-1.02,2.6%,20.0%,8.8%,11.2%,CL
<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult Swallows</a>,41,69,21,88,1,1,4713,1063.0,1177,139,884,404,21,28,33,589,545,4.61,4.62,3.78,1.49,90,101,101.7,-0.01,2.9%,18.8%,8.6%,10.2%,CL
<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi Dragons</a>,60,55,31,94,11,6,4431,1055.0,1002,116,947,340,15,36,41,489,450,3.84,4.07,3.43,1.27,94,102,92.2,-0.23,2.6%,21.4%,7.7%,13.7%,CL
<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX Buffaloes</a>,45,68,20,84,3,1,4509,1054.0,958,107,937,458,14,39,23,502,465,3.97,4.32,3.74,1.34,95,104,100.5,-0.35,2.4%,20.8%,10.2%,10.6%,PL
<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte Marines</a>,60,57,34,78,4,2,4459,1055.2,989,110,835,382,12,28,40,479,447,3.81,4.30,3.78,1.30,100,103,101.7,-0.49,2.5%,18.7%,8.6%,10.2%,PL
<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank Hawks</a>,73,42,33,120,3,1,4446,1066.1,843,83,1035,457,9,56,22,389,346,2.92,3.88,3.50,1.22,131,91,94.1,-0.96,1.9%,23.3%,10.3%,13.0%,PL
<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten Eagles</a>,55,57,28,103,3,2,4528,1055.2,995,110,867,398,15,46,39,522,492,4.19,4.34,3.76,1.32,92,102,101.2,-0.14,2.4%,19.1%,8.8%,10.4%,PL
<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu Lions</a>,58,58,35,90,1,1,4585,1049.0,1010,106,764,477,6,53,45,543,500,4.29,4.74,4.17,1.42,94,106,112.2,-0.45,2.3%,16.7%,10.4%,6.3%,PL
<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,53,62,25,83,5,2,4553,1054.1,1002,98,930,422,21,43,35,528,471,4.02,4.13,3.68,1.35,93,100,99.0,-0.11,2.2%,20.4%,9.3%,11.2%,PL
League Average,57,57,27,90,5,2,4514,1057.0,991,107,900,410,19,40,34,494,452,3.85,4.25,3.71,1.33,100,100,99.9,-0.41,2.4%,19.9%,9.1%,10.9%,
