Team,G,W,L,T,PCT,GB,RS,RA,Diff,XPCT,Home,Road,vs H,vs M,vs L,vs E,vs F,vs B
<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank Hawks</a>,120,73,42,5,0.635,--,531,389,142,0.639,40-19(1),33-23(4),--,11-12(1),13-10(1),15-9,17-6(1),17-5(2)
<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte Marines</a>,120,60,57,3,0.513,14.0,461,479,-18,0.482,35-23(2),25-34(1),12-11(1),--,9-15,8-15(1),13-11,18-5(1)
<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu Lions</a>,120,58,58,4,0.500,15.5,479,543,-64,0.443,35-22(3),23-36(1),10-13(1),15-9,--,12-10(2),10-14,11-12(1)
<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten Eagles</a>,120,55,57,8,0.491,16.5,557,522,35,0.530,31-25(4),24-32(4),9-15,15-8(1),10-12(2),--,11-10(3),10-12(2)
<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,120,53,62,5,0.461,20.0,493,528,-35,0.469,31-26(3),22-36(2),6-17(1),11-13,14-10,10-11(3),--,12-11(1)
<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX Buffaloes</a>,120,45,68,7,0.398,27.0,441,502,-61,0.441,26-31(3),19-37(4),5-17(2),5-18(1),12-11(1),12-10(2),11-12(1),--
