Player,Age,Pos,Inn,TZR,TZR/143,RngR,ARM,DPR,ErrR,Pos Adj,Framing,Blocking,Team,League
Kajitani Takayuki,32,8,6.0,-0.2,-42.9,0.0,-0.2,,0.0,0.0,,,Yomiuri Giants,CL
Kajitani Takayuki,32,9,480.2,5.1,13.7,7.4,-1.6,,-0.7,-1.9,,,Yomiuri Giants,CL
Kuwahara Masayuki,27,8,1068.1,-9.5,-11.4,-3.6,-5.3,,-0.6,3.5,,,DeNA BayStars,CL
Sakaguchi Tomotaka,36,7,21.0,-0.2,-12.3,-0.5,0.3,,0.0,-0.2,,,Yakult Swallows,CL
Sakaguchi Tomotaka,36,8,27.0,0.6,28.6,0.9,-0.2,,0.0,0.1,,,Yakult Swallows,CL
Sakaguchi Tomotaka,36,9,37.0,-0.1,-3.5,0.4,-0.4,,0.0,-0.1,,,Yakult Swallows,CL
Chikamoto Koji,26,8,1194.0,-2.9,-3.1,-1.8,-1.3,,0.2,4.0,,,Hanshin Tigers,CL
Watanabe Daiki,24,7,9.0,0.2,28.6,0.2,0.0,,0.0,-0.1,,,Yakult Swallows,CL
Watanabe Daiki,24,8,11.0,-0.2,-23.4,-0.2,0.0,,0.0,0.0,,,Yakult Swallows,CL
Watanabe Daiki,24,9,179.1,0.7,5.0,0.1,0.5,,0.0,-0.7,,,Yakult Swallows,CL
Tanaka Kosuke,31,5,36.0,-0.6,-21.4,-0.8,,0.0,0.3,-0.1,,,Hiroshima Carp,CL
Tanaka Kosuke,31,6,267.2,0.3,1.4,1.2,,-0.7,-0.2,2.2,,,Hiroshima Carp,CL
Ohshima Yohei,35,8,1183.0,-5.3,-5.8,-3.4,-2.2,,0.2,3.9,,,Chunichi Dragons,CL
Tatsumi Ryosuke,24,8,990.0,3.1,4.0,-0.3,3.2,,0.2,3.3,,,Rakuten Eagles,PL
Tatsumi Ryosuke,24,9,2.0,-0.2,-128.7,-0.2,0.0,,0.0,0.0,,,Rakuten Eagles,PL
Tatsumi Ryosuke,24,DH,2.0,,,,,,,0.0,,,Rakuten Eagles,PL
Nishikawa Haruki,29,7,910.2,4.0,5.7,4.5,-1.2,,0.7,-8.6,,,Nipponham Fighters,PL
Nishikawa Haruki,29,8,98.0,-5.0,-65.7,-2.8,-1.3,,-0.8,0.3,,,Nipponham Fighters,PL
Nishikawa Haruki,29,DH,35.0,,,,,,,-0.4,,,Nipponham Fighters,PL
Ishii Kazunari,27,4,30.0,2.0,85.8,1.7,,0.2,0.1,0.1,,,Nipponham Fighters,PL
Ishii Kazunari,27,5,13.0,0.2,19.8,0.2,,0.0,0.0,0.0,,,Nipponham Fighters,PL
Ishii Kazunari,27,6,761.2,-0.4,-0.7,-4.5,,3.2,0.8,6.2,,,Nipponham Fighters,PL
Ishii Kazunari,27,DH,2.0,,,,,,,0.0,,,Nipponham Fighters,PL
Kaneko Yuji,31,7,0.1,0.0,0.0,0.0,0.0,,0.0,0.0,,,Seibu Lions,PL
Kaneko Yuji,31,8,535.2,-4.5,-10.8,-3.7,-0.9,,0.1,1.8,,,Seibu Lions,PL
Kaneko Yuji,31,DH,2.0,,,,,,,0.0,,,Seibu Lions,PL
Sano Kodai,24,7,36.0,-1.7,-60.8,-1.4,-0.4,,0.0,-0.3,,,ORIX Buffaloes,PL
Sano Kodai,24,8,112.1,1.1,12.6,1.2,-0.1,,0.0,0.4,,,ORIX Buffaloes,PL
Sano Kodai,24,9,76.2,1.8,30.2,1.2,0.7,,0.0,-0.3,,,ORIX Buffaloes,PL
Sano Kodai,24,DH,6.0,,,,,,,-0.1,,,ORIX Buffaloes,PL
Shuto Ukyo,25,4,362.0,-5.4,-19.2,-1.7,,-2.1,-1.6,1.0,,,SoftBank Hawks,PL
Shuto Ukyo,25,6,23.0,-0.2,-11.2,-0.5,,0.1,0.2,0.2,,,SoftBank Hawks,PL
Shuto Ukyo,25,7,1.2,-0.5,-378.5,-0.5,0.0,,0.0,0.0,,,SoftBank Hawks,PL
Shuto Ukyo,25,8,12.1,-0.7,-73.2,-0.5,-0.2,,0.0,0.0,,,SoftBank Hawks,PL
Shuto Ukyo,25,DH,2.0,,,,,,,0.0,,,SoftBank Hawks,PL
Ogino Takashi,35,7,856.1,18.4,27.7,14.1,3.6,,0.7,-8.1,,,Lotte Marines,PL
Ogino Takashi,35,8,370.2,2.0,6.9,1.3,0.6,,0.1,1.2,,,Lotte Marines,PL
Ishikawa Shingo,28,7,15.0,0.5,42.9,0.6,-0.1,,0.0,-0.1,,,Yomiuri Giants,CL
Ishikawa Shingo,28,9,36.0,-1.0,-35.8,-1.3,0.3,,0.0,-0.1,,,Yomiuri Giants,CL
Ishikawa Shingo,28,DH,7.0,,,,,,,-0.1,,,Yomiuri Giants,CL
Fukuda Shuhei,28,4,29.0,0.6,26.6,0.2,,0.2,0.1,0.1,,,ORIX Buffaloes,PL
Fukuda Shuhei,28,5,6.0,-0.3,-64.4,-0.3,,0.0,0.0,0.0,,,ORIX Buffaloes,PL
Fukuda Shuhei,28,8,874.0,4.0,5.9,5.9,-2.1,,0.2,2.9,,,ORIX Buffaloes,PL
Mune Yuma,25,3,6.0,0.1,21.4,0.2,,-0.1,0.0,-0.1,,,ORIX Buffaloes,PL
Mune Yuma,25,5,1067.0,7.4,8.9,6.1,,-1.4,2.7,-4.1,,,ORIX Buffaloes,PL
Mune Yuma,25,8,41.0,1.9,59.6,1.6,0.3,,0.0,0.1,,,ORIX Buffaloes,PL
Mune Yuma,25,9,6.0,-0.3,-64.4,-0.3,0.0,,0.0,0.0,,,ORIX Buffaloes,PL
Yamasaki Kotaro,27,7,219.2,7.4,43.3,6.3,0.9,,0.2,-2.1,,,Yakult Swallows,CL
Yamasaki Kotaro,27,8,163.0,-2.0,-15.8,-1.4,-0.6,,0.0,0.5,,,Yakult Swallows,CL
Yamasaki Kotaro,27,9,147.2,-0.9,-7.8,2.2,-2.3,,-0.8,-0.6,,,Yakult Swallows,CL
Fushimi Torai,31,2,644.0,3.4,6.8,,2.3,,1.1,9.2,3.3,0.3,ORIX Buffaloes,PL
Matsumoto Go,27,7,42.0,-1.7,-52.1,-2.1,0.3,,0.0,-0.4,,,Nipponham Fighters,PL
Matsumoto Go,27,8,72.0,-0.2,-3.6,0.3,-0.6,,0.0,0.2,,,Nipponham Fighters,PL
Matsumoto Go,27,9,92.2,4.4,61.1,4.8,-0.4,,0.0,-0.4,,,Nipponham Fighters,PL
Matsumoto Go,27,DH,2.0,,,,,,,0.0,,,Nipponham Fighters,PL
Ohta Ryo,20,3,7.0,0.4,73.5,0.2,,0.2,0.0,-0.1,,,ORIX Buffaloes,PL
Ohta Ryo,20,4,341.0,-0.9,-3.4,0.3,,0.7,-1.9,0.9,,,ORIX Buffaloes,PL
Ohta Ryo,20,5,10.0,0.2,25.7,0.2,,0.0,0.0,0.0,,,ORIX Buffaloes,PL
Ohta Ryo,20,DH,5.0,,,,,,,-0.1,,,ORIX Buffaloes,PL
Oka Hiromi,29,3,25.0,0.3,15.4,0.1,,0.0,0.2,-0.3,,,Lotte Marines,PL
Oka Hiromi,29,7,24.0,0.9,48.3,0.8,0.1,,0.0,-0.2,,,Lotte Marines,PL
Oka Hiromi,29,8,203.0,-0.5,-3.2,-0.2,-0.3,,0.1,0.7,,,Lotte Marines,PL
Oka Hiromi,29,9,185.0,5.7,39.7,4.4,1.2,,0.0,-0.7,,,Lotte Marines,PL
Oka Hiromi,29,DH,4.0,,,,,,,0.0,,,Lotte Marines,PL
Takeoka Ryusei,20,4,9.0,0.1,14.3,-0.2,,0.2,0.0,0.0,,,Yakult Swallows,CL
Kawashima Keizo,37,3,15.0,0.0,0.0,-0.1,,0.0,0.0,-0.2,,,SoftBank Hawks,PL
Kawashima Keizo,37,4,155.0,-0.7,-5.8,-0.2,,0.3,-0.9,0.4,,,SoftBank Hawks,PL
Kawashima Keizo,37,DH,22.0,,,,,,,-0.3,,,SoftBank Hawks,PL
Kamizato Kazuki,27,7,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,DeNA BayStars,CL
Kamizato Kazuki,27,8,116.0,-0.4,-4.4,-1.5,1.1,,0.0,0.4,,,DeNA BayStars,CL
Kamizato Kazuki,27,9,65.2,1.8,35.3,2.1,-0.3,,0.0,-0.3,,,DeNA BayStars,CL
Usami Shingo,28,2,163.0,-0.5,-3.9,,0.3,,-0.8,2.3,-1.4,-0.1,Nipponham Fighters,PL
Takata Tomoki,31,3,3.0,0.2,85.8,0.2,,0.0,0.0,0.0,,,SoftBank Hawks,PL
Takata Tomoki,31,4,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,SoftBank Hawks,PL
Takata Tomoki,31,5,39.2,-0.8,-25.9,0.5,,-0.1,-1.3,-0.2,,,SoftBank Hawks,PL
Takata Tomoki,31,6,60.0,0.0,0.0,-0.1,,-0.3,0.3,0.5,,,SoftBank Hawks,PL
Sugiya Kenshi,30,3,27.0,0.6,28.6,0.5,,-0.1,0.1,-0.3,,,Nipponham Fighters,PL
Sugiya Kenshi,30,4,91.0,1.1,15.6,0.9,,-0.2,0.3,0.2,,,Nipponham Fighters,PL
Sugiya Kenshi,30,7,51.0,-1.7,-42.9,-1.8,0.1,,0.0,-0.5,,,Nipponham Fighters,PL
Sugiya Kenshi,30,8,3.0,-0.2,-85.8,-0.2,0.0,,0.0,0.0,,,Nipponham Fighters,PL
Sugiya Kenshi,30,9,8.0,0.6,96.5,0.0,0.6,,0.0,0.0,,,Nipponham Fighters,PL
Sugiya Kenshi,30,DH,1.0,,,,,,,0.0,,,Nipponham Fighters,PL
Kishi Junichiro,24,7,169.0,2.7,20.6,2.6,0.0,,0.1,-1.6,,,Seibu Lions,PL
Kishi Junichiro,24,8,513.0,-6.5,-16.3,-8.1,1.4,,0.1,1.7,,,Seibu Lions,PL
Kishi Junichiro,24,9,18.0,-0.1,-7.2,0.0,-0.1,,0.0,-0.1,,,Seibu Lions,PL
Kishi Junichiro,24,DH,10.0,,,,,,,-0.1,,,Seibu Lions,PL
Kikuchi Ryosuke,31,4,1088.2,-0.2,-0.2,-3.4,,1.5,1.6,2.9,,,Hiroshima Carp,CL
Hirooka Taishi,24,3,48.0,0.1,2.7,0.1,,0.0,0.1,-0.5,,,Yomiuri Giants,CL
Hirooka Taishi,24,4,80.0,-2.7,-43.4,-2.7,,-0.2,0.2,0.2,,,Yomiuri Giants,CL
Hirooka Taishi,24,5,9.0,-0.3,-42.9,-0.3,,0.0,0.0,0.0,,,Yomiuri Giants,CL
