#,Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,K%,BB%,BB/K,wSB,PullAIR%,Chase%,Z-Con%,Swing%,SwStr%,TTO%,Age,Pos,B,Team,League
,Chikamoto Koji,140,612,569,91,178,33,5,10,251,50,24,7,4,2,58,33,0,4,6,0.313,0.354,0.441,0.795,132,0.128,0.334,9.5%,5.4%,0.57,1.6,15.5%,25.6%,93.9%,50.9%,6.3%,16.5%,26,8,L,Hanshin Tigers,CL
,Itohara Kento,125,488,441,34,126,17,3,2,155,30,6,5,1,3,61,41,0,2,9,0.286,0.347,0.351,0.698,106,0.065,0.325,12.5%,8.4%,0.67,-0.7,11.4%,20.7%,93.1%,41.7%,5.0%,21.3%,28,4,L,Hanshin Tigers,CL
,Marte Jefry,128,526,446,55,115,18,1,22,201,71,0,0,0,2,72,74,3,4,16,0.258,0.367,0.451,0.818,139,0.193,0.263,13.7%,14.1%,1.03,-0.1,20.2%,17.7%,88.7%,40.3%,7.4%,31.9%,30,3,R,Hanshin Tigers,CL
,Nakano Takumu,135,525,466,45,127,15,4,1,153,36,30,2,20,4,81,29,5,6,6,0.273,0.321,0.328,0.649,91,0.055,0.325,15.4%,5.5%,0.36,4.3,12.3%,26.9%,91.7%,44.4%,6.9%,21.1%,25,6,L,Hanshin Tigers,CL
,Ohyama Yusuke,129,512,466,55,121,23,2,21,211,71,2,1,0,7,89,37,1,2,15,0.260,0.313,0.453,0.766,122,0.193,0.275,17.4%,7.2%,0.42,-0.1,19.6%,25.6%,87.9%,46.8%,10.5%,28.7%,,,,Hanshin Tigers,CL
,Sands Jerry,120,461,408,47,101,21,1,20,184,65,1,1,0,3,89,49,5,1,11,0.248,0.328,0.451,0.779,127,0.203,0.268,19.3%,10.6%,0.55,-0.2,19.3%,23.5%,85.8%,46.2%,11.7%,34.3%,33,7,R,Hanshin Tigers,CL
,Sato Teruaki,126,455,425,56,101,25,0,24,198,64,6,2,0,2,173,25,4,3,2,0.238,0.284,0.466,0.750,117,0.228,0.335,38.0%,5.5%,0.14,0.3,22.8%,38.3%,72.8%,55.3%,22.5%,48.8%,22,9,L,Hanshin Tigers,CL
,Umeno Ryutaro,130,458,404,33,91,15,3,3,121,33,8,4,6,2,107,41,3,5,14,0.225,0.303,0.300,0.603,78,0.075,0.297,23.4%,9.0%,0.38,-0.1,5.3%,23.7%,85.2%,44.7%,10.9%,33.0%,30,2,R,Hanshin Tigers,CL
,Kikuchi Ryosuke,132,542,494,64,137,23,2,16,212,60,1,5,2,3,86,42,2,1,8,0.277,0.333,0.429,0.762,124,0.152,0.306,15.9%,7.7%,0.49,-1.6,20.7%,30.5%,92.8%,45.0%,6.9%,26.6%,31,4,R,Hiroshima Carp,CL
,Kozono Kaito,113,481,449,65,134,18,6,5,179,35,4,4,12,4,57,13,1,3,7,0.298,0.320,0.399,0.719,111,0.101,0.330,11.9%,2.7%,0.23,-0.7,12.0%,39.8%,93.1%,58.8%,9.6%,15.6%,21,6,L,Hiroshima Carp,CL
,Nishikawa Ryoma,137,551,504,57,144,19,1,12,201,60,3,3,4,4,70,37,1,2,14,0.286,0.335,0.399,0.734,116,0.113,0.310,12.7%,6.7%,0.53,-0.6,12.4%,25.9%,91.4%,44.5%,5.5%,21.6%,26,7,L,Hiroshima Carp,CL
,Sakakura Shogo,132,484,422,58,133,24,2,12,197,68,4,3,2,5,60,51,1,4,9,0.315,0.390,0.467,0.857,153,0.152,0.341,12.4%,10.5%,0.85,-0.4,15.9%,21.7%,91.5%,41.5%,7.0%,25.4%,23,3,L,Hiroshima Carp,CL
,Suzuki Seiya,132,533,435,77,138,26,0,38,278,88,9,4,0,5,88,87,11,6,7,0.317,0.433,0.639,1.072,214,0.322,0.318,16.5%,16.3%,0.99,0.1,19.9%,16.7%,88.7%,35.6%,7.4%,40.0%,26,9,R,Hiroshima Carp,CL
,Kuwahara Masayuki,135,571,519,84,161,39,2,14,246,43,12,7,4,0,75,44,1,4,12,0.310,0.369,0.474,0.843,141,0.164,0.342,13.1%,7.7%,0.59,-0.4,11.0%,22.3%,92.3%,43.8%,7.1%,23.3%,27,8,R,DeNA BayStars,CL
,Maki Shugo,137,523,487,73,153,35,3,22,260,71,2,1,1,2,85,27,1,6,16,0.314,0.356,0.534,0.890,153,0.220,0.343,16.3%,5.2%,0.32,-0.1,19.6%,26.5%,88.0%,51.0%,10.0%,25.6%,23,4,R,DeNA BayStars,CL
,Miyazaki Toshiro,141,569,519,61,156,32,0,16,236,73,0,0,0,5,53,41,3,4,15,0.301,0.353,0.455,0.808,131,0.154,0.308,9.3%,7.2%,0.77,-0.1,15.2%,20.8%,93.7%,43.9%,5.6%,19.3%,32,5,R,DeNA BayStars,CL
,Sano Keita,143,615,545,73,165,34,2,17,254,72,0,1,0,4,73,61,1,5,14,0.303,0.376,0.466,0.842,141,0.163,0.322,11.9%,9.9%,0.84,-0.5,16.0%,24.8%,89.7%,48.1%,8.8%,24.6%,26,7,L,DeNA BayStars,CL
,Soto Neftali,123,451,410,42,96,18,1,21,179,62,0,1,0,1,116,35,4,5,12,0.234,0.302,0.437,0.739,111,0.203,0.274,25.7%,7.8%,0.30,-0.4,18.0%,32.9%,83.5%,51.3%,15.0%,38.1%,32,3,R,DeNA BayStars,CL
,Maru Yoshihiro,118,457,392,58,104,21,0,23,194,55,5,3,0,2,120,63,0,0,5,0.265,0.365,0.495,0.860,139,0.230,0.323,26.3%,13.8%,0.53,-0.2,17.2%,16.5%,76.6%,43.4%,12.8%,45.1%,32,8,L,Yomiuri Giants,CL
,Matsubara Seiya,135,477,431,69,118,20,4,12,182,37,15,7,3,3,100,38,0,2,4,0.274,0.333,0.422,0.755,111,0.148,0.329,21.0%,8.0%,0.38,0.1,8.4%,22.0%,86.5%,44.4%,9.4%,31.4%,26,9,L,Yomiuri Giants,CL
,Okamoto Kazuma,143,592,521,71,138,19,1,39,276,113,1,1,0,7,108,57,4,7,16,0.265,0.341,0.530,0.871,141,0.265,0.260,18.2%,9.6%,0.53,-0.3,18.8%,24.8%,85.3%,47.3%,11.2%,34.5%,25,5,R,Yomiuri Giants,CL
,Sakamoto Hayato,117,487,424,53,115,26,0,19,198,46,2,3,2,2,90,58,4,1,4,0.271,0.359,0.467,0.826,130,0.196,0.303,18.5%,11.9%,0.64,-0.8,20.5%,21.7%,86.3%,45.6%,10.0%,34.3%,32,6,R,Yomiuri Giants,CL
,Aoki Norichika,122,501,446,57,115,29,0,9,171,56,0,0,0,2,44,43,1,10,10,0.258,0.335,0.383,0.718,104,0.125,0.268,8.8%,8.6%,0.98,-0.1,20.2%,22.6%,93.3%,45.8%,5.4%,19.2%,39,7,L,Yakult Swallows,CL
,Murakami Munetaka,143,615,500,82,139,27,0,39,283,112,12,7,0,3,133,106,6,6,12,0.278,0.408,0.566,0.974,173,0.288,0.302,21.6%,17.2%,0.80,-0.4,16.5%,18.0%,81.9%,41.0%,11.2%,45.2%,21,5,L,Yakult Swallows,CL
,Nakamura Yuhei,123,445,377,47,105,24,0,2,135,36,0,3,14,4,66,46,0,4,10,0.279,0.360,0.358,0.718,105,0.079,0.329,14.8%,10.3%,0.70,-1.1,9.4%,15.0%,89.6%,39.9%,6.1%,25.6%,31,2,R,Yakult Swallows,CL
,Osuna Jose,120,495,469,42,121,24,2,13,188,60,3,0,0,2,80,22,2,2,18,0.258,0.293,0.401,0.694,96,0.143,0.286,16.2%,4.4%,0.28,0.4,16.2%,30.1%,86.0%,51.3%,11.9%,23.2%,28,3,R,Yakult Swallows,CL
,Shiomi Yasutaka,140,534,474,80,132,21,7,14,209,59,21,5,2,0,156,48,1,10,1,0.278,0.357,0.441,0.798,126,0.163,0.388,29.2%,9.0%,0.31,1.8,11.9%,22.8%,78.2%,46.3%,14.4%,40.8%,28,8,R,Yakult Swallows,CL
,Yamada Tetsuto,137,581,493,84,134,18,0,34,254,101,4,3,0,7,100,76,0,5,10,0.272,0.370,0.515,0.885,149,0.243,0.273,17.2%,13.1%,0.76,-0.4,23.4%,18.6%,87.2%,38.7%,8.5%,36.1%,28,4,R,Yakult Swallows,CL
,Kyoda Yota,113,448,409,41,105,7,4,3,129,24,6,5,8,3,75,21,0,7,5,0.257,0.302,0.315,0.617,85,0.058,0.305,16.7%,4.7%,0.28,-0.7,9.3%,27.1%,87.0%,49.9%,9.9%,22.1%,27,6,L,Chunichi Dragons,CL
,Ohshima Yohei,141,596,548,54,160,19,5,1,192,34,16,8,1,2,60,42,5,3,4,0.292,0.345,0.350,0.695,109,0.058,0.325,10.1%,7.0%,0.70,-0.1,11.2%,21.4%,95.9%,40.9%,3.7%,17.3%,35,8,L,Chunichi Dragons,CL
,Takahashi Shuhei,137,520,475,40,123,27,0,5,165,39,1,0,0,4,79,40,4,1,21,0.259,0.315,0.347,0.662,98,0.088,0.299,15.2%,7.7%,0.51,0.1,13.0%,26.5%,91.8%,45.6%,6.5%,23.8%,27,5,L,Chunichi Dragons,CL
,Viciedo Dayan,130,526,480,44,132,23,1,17,208,70,1,2,0,3,56,35,9,8,15,0.275,0.333,0.433,0.766,129,0.158,0.280,10.6%,6.7%,0.62,-0.6,11.7%,28.7%,90.7%,49.7%,9.0%,20.5%,32,3,R,Chunichi Dragons,CL
,Fukuda Shuhei,107,471,408,47,112,14,1,1,131,21,9,1,10,2,52,43,0,8,6,0.275,0.354,0.321,0.675,101,0.046,0.311,11.0%,9.1%,0.83,1.1,11.2%,14.3%,95.3%,38.1%,3.0%,20.4%,28,8,L,ORIX Buffaloes,PL
,Kurebayashi Kotaro,136,473,448,37,102,22,2,10,158,48,2,1,6,4,101,12,0,3,11,0.228,0.251,0.353,0.604,76,0.125,0.270,21.4%,2.5%,0.12,-0.1,14.6%,37.8%,86.6%,56.3%,13.3%,26.0%,19,6,R,ORIX Buffaloes,PL
,Mune Yuma,139,543,481,71,131,17,7,9,189,42,8,4,14,2,62,33,1,13,15,0.272,0.335,0.393,0.728,114,0.121,0.296,11.4%,6.1%,0.53,-0.1,10.9%,22.0%,92.2%,46.7%,5.9%,19.2%,25,5,L,ORIX Buffaloes,PL
,Sugimoto Yutaro,134,542,478,73,144,20,2,32,264,83,3,3,0,3,116,51,4,10,15,0.301,0.378,0.552,0.930,172,0.251,0.336,21.4%,9.4%,0.44,-0.6,16.2%,28.6%,83.2%,50.0%,13.8%,36.7%,30,9,R,ORIX Buffaloes,PL
,Yoshida Masataka,110,455,389,61,132,22,1,21,219,72,0,0,0,3,26,58,6,5,9,0.339,0.429,0.563,0.992,192,0.224,0.322,5.7%,12.7%,2.23,-0.1,11.8%,17.7%,93.6%,37.7%,4.6%,23.1%,27,7,L,ORIX Buffaloes,PL
,Fujioka Yudai,137,493,432,41,110,21,3,3,146,37,10,3,18,1,95,40,2,2,7,0.255,0.320,0.338,0.658,88,0.083,0.319,19.3%,8.1%,0.42,0.6,8.8%,21.2%,87.6%,41.1%,6.7%,28.0%,27,6,L,Lotte Marines,PL
,Laird Brandon,136,545,485,57,127,18,0,29,232,95,0,1,0,7,109,50,4,3,15,0.262,0.330,0.478,0.808,128,0.216,0.277,20.0%,9.2%,0.46,-0.4,27.9%,31.9%,89.5%,47.0%,13.7%,34.5%,33,3,R,Lotte Marines,PL
,Martin Leonys,116,499,416,66,97,30,0,27,208,75,4,1,0,3,132,70,3,10,9,0.233,0.355,0.500,0.855,141,0.267,0.269,26.5%,14.0%,0.53,0.3,26.7%,26.6%,82.2%,45.2%,14.5%,45.9%,33,9,L,Lotte Marines,PL
,Nakamura Shogo,143,615,506,78,143,36,2,9,210,67,12,7,15,8,90,76,1,10,8,0.283,0.382,0.415,0.797,127,0.132,0.323,14.6%,12.4%,0.84,-0.4,17.2%,21.6%,93.3%,36.5%,5.7%,28.5%,29,4,R,Lotte Marines,PL
,Ogino Takashi,143,643,570,86,169,33,5,10,242,45,24,11,5,3,70,53,0,12,5,0.296,0.367,0.425,0.792,125,0.129,0.323,10.9%,8.2%,0.76,0.3,18.2%,17.6%,94.9%,38.2%,3.8%,20.7%,35,7,R,Lotte Marines,PL
,Kai Takuya,143,479,405,42,92,15,0,12,143,44,6,6,26,2,142,44,0,2,7,0.227,0.305,0.353,0.658,90,0.126,0.316,29.6%,9.2%,0.31,-1.0,17.0%,21.5%,81.2%,43.1%,11.7%,41.3%,28,2,R,SoftBank Hawks,PL
,Kurihara Ryoya,143,596,531,71,146,32,3,21,247,77,7,2,3,7,90,53,1,2,9,0.275,0.339,0.465,0.804,131,0.190,0.293,15.1%,8.9%,0.59,0.4,23.1%,23.9%,87.5%,47.5%,9.4%,27.5%,24,UTL,L,SoftBank Hawks,PL
,Nakamura Akira,139,552,462,49,113,20,2,8,161,56,1,1,11,6,59,70,3,3,8,0.245,0.344,0.348,0.692,101,0.103,0.262,10.7%,12.7%,1.19,-0.3,17.9%,18.7%,94.5%,39.4%,3.9%,24.8%,31,3,L,SoftBank Hawks,PL
