#,Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,K%,BB%,BB/K,wSB,TTO%,Age,Pos,B,,Team,League
,Inoue Kouta,69,280,248,26,56,14,0,9,97,36,0,1,0,2,96,29,0,1,2,0.226,0.307,0.391,0.698,96,0.165,0.324,34.3%,10.4%,0.30,-0.2,47.9%,18,9,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Itayama Yutaro,72,260,231,21,60,15,0,3,84,23,1,4,1,1,39,27,0,0,4,0.260,0.336,0.364,0.700,98,0.104,0.300,15.0%,10.4%,0.69,-1.0,26.5%,26,4,L,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Hayashi Kouta,69,288,259,29,69,16,0,9,112,40,3,1,0,3,52,23,1,3,9,0.266,0.330,0.432,0.762,116,0.166,0.299,18.1%,8.0%,0.44,0.4,29.2%,19,5,L,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Kozono Kaito,66,266,249,34,76,12,6,1,103,20,11,6,3,2,22,12,0,0,4,0.305,0.335,0.414,0.749,112,0.109,0.329,8.3%,4.5%,0.55,0.1,13.2%,20,5,L,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Nirasawa Yuya,68,236,218,18,50,4,3,0,60,13,1,4,1,3,30,11,0,3,3,0.229,0.272,0.275,0.547,56,0.046,0.262,12.7%,4.7%,0.37,-1.0,17.4%,19,,L,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Ugusa Koki,54,236,221,27,62,7,4,2,83,15,11,5,2,0,34,10,0,3,3,0.281,0.321,0.376,0.697,98,0.095,0.324,14.4%,4.2%,0.29,0.4,19.5%,23,7,L,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Chino Naoto,67,258,228,33,54,8,0,6,80,24,7,4,6,0,57,23,0,1,4,0.237,0.310,0.351,0.661,89,0.114,0.291,22.1%,8.9%,0.40,0.0,33.3%,21,,R,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,Hosokawa Seiya,64,270,214,41,68,6,2,13,117,53,7,4,0,3,62,48,1,5,1,0.318,0.448,0.547,0.995,184,0.229,0.387,23.0%,17.8%,0.77,0.1,45.6%,21,9,R,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,Itoh Yukiya,70,265,230,30,57,7,0,7,85,28,2,1,1,3,58,27,1,4,9,0.248,0.333,0.370,0.703,101,0.122,0.298,21.9%,10.2%,0.47,0.2,34.7%,23,5,R,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,Miyamoto Shumei,67,226,200,22,48,10,3,4,76,16,15,8,8,1,73,16,0,1,0,0.240,0.298,0.380,0.678,93,0.140,0.355,32.3%,7.1%,0.22,0.0,41.2%,23,7,L,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,Mori Keito,58,207,186,22,39,3,2,2,52,13,7,7,7,1,48,12,0,1,3,0.210,0.260,0.280,0.540,54,0.070,0.270,23.2%,5.8%,0.25,-1.0,30.0%,18,6,L,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,Urena Estamy,65,268,236,37,70,8,0,12,114,47,0,1,0,4,40,27,1,1,4,0.297,0.366,0.483,0.849,136,0.186,0.309,14.9%,10.1%,0.68,-0.1,29.5%,21,7,R,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
,Yaoita Takumaru,70,244,217,34,68,6,4,8,106,26,6,2,3,1,37,20,0,3,1,0.313,0.378,0.488,0.866,140,0.175,0.347,15.2%,8.2%,0.54,0.6,26.6%,23,,L,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
,Yuasa Dai,74,266,224,37,56,5,0,3,70,23,22,5,8,1,52,29,0,4,5,0.250,0.345,0.313,0.658,85,0.063,0.312,19.5%,10.9%,0.56,2.3,31.6%,20,4,R,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
,Hamada Taiki,58,237,207,27,46,2,0,11,81,34,0,2,0,3,51,22,0,5,11,0.222,0.308,0.391,0.699,97,0.169,0.236,21.5%,9.3%,0.43,-0.5,35.4%,19,9,R,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,EL
,Matsumoto Yu,61,242,224,23,66,7,1,4,87,20,3,0,1,2,33,14,0,1,7,0.295,0.336,0.388,0.724,105,0.093,0.328,13.6%,5.8%,0.42,0.7,21.1%,25,3,L,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,EL
,Nagaoka Hideki,71,268,237,22,52,12,0,2,70,26,1,1,6,1,48,23,0,1,11,0.219,0.290,0.295,0.585,66,0.076,0.266,17.9%,8.6%,0.48,0.0,27.2%,18,4,L,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,EL
,Ohta Kengo,65,255,224,25,55,10,3,3,80,22,2,2,2,0,40,27,0,2,6,0.246,0.332,0.357,0.689,95,0.111,0.287,15.7%,10.6%,0.68,-0.1,27.5%,23,3,L,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,EL
,Takeoka Ryusei,72,277,238,25,52,8,1,2,68,14,3,7,8,1,56,29,1,1,2,0.218,0.305,0.286,0.591,68,0.068,0.276,20.2%,10.5%,0.52,-1.6,31.4%,19,6,L,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,EL
,Ishikawa Takaya,58,238,205,37,57,12,0,3,78,24,3,4,0,1,57,28,0,4,7,0.278,0.374,0.380,0.754,99,0.102,0.370,23.9%,11.8%,0.49,-0.6,37.0%,19,5,R,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,Itoh Kosuke,76,264,247,27,54,9,3,1,72,22,5,5,1,4,48,11,0,1,5,0.219,0.251,0.291,0.542,46,0.072,0.262,18.2%,4.2%,0.23,-0.7,22.7%,20,,R,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,Neo Akira,71,307,282,37,67,11,3,5,99,33,2,1,3,2,69,20,0,0,8,0.238,0.286,0.351,0.637,69,0.113,0.295,22.5%,6.5%,0.29,0.2,30.6%,20,9,L,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,Okabayashi Yuki,64,236,214,30,61,5,4,0,74,15,4,6,5,1,38,15,0,1,1,0.285,0.333,0.346,0.679,80,0.061,0.345,16.1%,6.4%,0.39,-1.1,22.5%,18,7,L,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,Kurebayashi Kotaro,86,338,309,28,68,10,1,1,83,20,1,0,0,2,83,23,0,4,9,0.220,0.281,0.269,0.550,58,0.049,0.295,24.6%,6.8%,0.28,0.4,31.7%,18,6,R,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,WL
,Fujiwara Kyota,58,263,226,35,52,8,2,7,85,19,14,3,1,1,75,29,0,6,7,0.230,0.332,0.376,0.708,94,0.146,0.310,28.5%,11.0%,0.39,1.6,42.2%,20,7,L,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,EL
,Fukuda Koki,61,214,185,15,39,7,0,2,52,17,0,0,0,1,52,25,0,3,5,0.211,0.313,0.281,0.594,65,0.070,0.280,24.3%,11.7%,0.48,0.2,36.9%,22,5,L,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,EL
