Team,G,W,L,T,PCT,GB,RS,RA,Diff,XPCT,Home,Road,vs E,vs DB,vs G,vs M,vs S,vs F,vs L,Inter
<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten Eagles</a>,79,42,28,9,0.600,--,361,312,49,0.566,23-13(1),19-15(8),--,8-5,6-5(4),3-9,11-2(3),9-3(1),5-4(1),--
<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,76,42,32,2,0.568,2.0,334,344,-10,0.487,22-22(1),20-10(1),5-8,--,9-3,6-7(1),7-3,7-5,8-6(1),--
<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,79,38,33,8,0.535,4.5,366,342,24,0.531,18-18(5),20-15(3),5-6(4),3-9,--,9-4(1),5-7(1),7-2,9-5(2),--
<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte Marines</a>,70,34,31,5,0.523,5.5,284,262,22,0.537,14-14(2),20-17(3),9-3,7-6(1),4-9(1),--,4-5,7-5(2),3-3(1),--
<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult Swallows</a>,79,32,38,9,0.457,10.0,294,329,-35,0.449,18-14(5),14-24(4),2-11(3),3-7,7-5(1),5-4,--,7-4(4),8-7(1),--
<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,76,28,41,7,0.406,13.5,332,344,-12,0.484,11-20(6),17-21(1),3-9(1),5-7,2-7,5-7(2),4-7(4),--,8-3,1-1
<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu Lions</a>,75,28,41,6,0.406,13.5,328,367,-39,0.449,15-21(3),13-20(3),4-5(1),6-8(1),5-9(2),3-3(1),7-8(1),3-8,--,--
