Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Team,League
Akiyama Takumi,1,0,0,0,0,0,8,2.0,2,0,2,0,0,0,0,1,1,4.50,1.56,2.30,1.00,82,36,59,2.94,0.0%,25.0%,0.0%,25.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Baba Kosuke,4,0,0,0,0,0,26,6.0,5,0,4,4,0,0,0,1,1,1.50,4.22,4.80,1.50,246,98,124,-2.72,0.0%,15.4%,15.4%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Edwards Jon,9,0,0,1,0,0,32,8.2,4,0,10,3,0,0,0,0,0,0.00,2.29,2.61,0.81,999,53,67,-2.29,0.0%,31.2%,9.4%,21.8%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Fujikawa Kyuji,2,0,0,0,0,0,9,2.0,2,0,2,1,0,0,0,0,0,0.00,3.06,3.69,1.50,999,71,95,-3.06,0.0%,22.2%,11.1%,11.1%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Fujinami Shintaro,4,3,0,0,0,0,85,22.0,10,0,29,10,0,0,0,1,1,0.41,2.28,2.56,0.91,901,53,66,-1.87,0.0%,34.1%,11.8%,22.3%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Fukunaga Shungo,30,3,2,2,0,0,144,32.0,33,1,25,19,0,1,3,16,14,3.94,4.27,4.38,1.62,94,99,113,-0.33,0.7%,17.4%,13.2%,4.2%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Garcia Onelki,3,1,1,0,0,0,74,19.0,19,2,10,2,0,0,0,6,4,1.89,4.19,3.72,1.11,195,97,96,-2.30,2.7%,13.5%,2.7%,10.8%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Gunkel Joe,1,0,0,0,0,0,15,5.0,1,0,2,0,0,0,0,0,0,0.00,2.76,3.47,0.20,999,64,90,-2.76,0.0%,13.3%,0.0%,13.3%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Hamachi Masumi,24,1,0,4,0,0,116,26.0,29,4,23,9,0,0,1,15,10,3.46,4.82,3.59,1.46,107,112,93,-1.36,3.4%,19.8%,7.8%,12.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Iida Yuya,10,2,1,0,0,0,74,18.0,19,0,18,6,1,0,0,7,7,3.50,2.56,3.18,1.39,106,59,82,0.94,0.0%,24.3%,8.1%,16.2%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
