Team,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,League
<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin Tigers</a>,3032,2670,265,618,122,15,40,890,251,51,44,31,22,621,289,1,19,51,0.231,0.309,0.333,0.642,81,0.102,0.285,31.3%,20.5%,9.5%,0.47,WL
<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima Carp</a>,2792,2525,260,646,95,29,37,910,235,65,31,30,17,450,199,1,21,65,0.256,0.314,0.360,0.674,91,0.104,0.296,24.6%,16.1%,7.1%,0.44,WL
<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,2830,2422,334,617,101,18,61,937,317,65,40,57,21,599,295,2,35,62,0.255,0.342,0.387,0.729,108,0.132,0.312,33.7%,21.2%,10.4%,0.49,EL
<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,3056,2667,366,707,97,13,74,1052,340,65,31,36,16,502,307,2,30,74,0.265,0.346,0.394,0.740,107,0.129,0.300,28.9%,16.4%,10.0%,0.61,EL
<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult Swallows</a>,2951,2610,294,682,85,10,43,916,271,35,28,36,20,483,267,2,18,83,0.261,0.332,0.351,0.683,94,0.090,0.304,26.9%,16.4%,9.0%,0.55,EL
<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi Dragons</a>,2904,2598,343,705,125,22,35,979,307,65,37,32,19,547,230,1,25,59,0.271,0.334,0.377,0.711,88,0.106,0.329,28.0%,18.8%,7.9%,0.42,WL
<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX Buffaloes</a>,3240,2843,353,703,149,31,47,1055,326,49,37,36,17,630,302,1,42,70,0.247,0.327,0.371,0.698,101,0.124,0.301,30.2%,19.4%,9.3%,0.48,WL
<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte Marines</a>,2661,2293,284,586,93,16,48,855,270,53,27,55,16,558,260,1,37,55,0.256,0.339,0.373,0.712,95,0.117,0.316,32.5%,21.0%,9.8%,0.47,EL
<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank Hawks</a>,2837,2467,357,643,133,16,48,952,337,67,43,32,24,562,293,2,21,43,0.261,0.341,0.386,0.727,108,0.125,0.316,31.8%,19.8%,10.3%,0.52,WL
<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten Eagles</a>,3034,2663,361,745,101,11,55,1033,333,54,42,35,24,492,285,3,27,80,0.280,0.352,0.388,0.740,109,0.108,0.322,27.4%,16.2%,9.4%,0.58,EL
<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu Lions</a>,2896,2538,328,637,94,21,73,992,300,49,28,32,13,545,281,5,31,58,0.251,0.331,0.391,0.722,104,0.140,0.292,31.0%,18.8%,9.7%,0.52,EL
<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,2906,2502,332,601,107,16,71,953,301,58,36,36,15,605,306,1,47,57,0.240,0.332,0.381,0.713,106,0.141,0.288,33.8%,20.8%,10.5%,0.51,EL
League Average,2928,2566,323,658,108,18,53,960,299,56,35,37,19,550,276,2,29,63,0.256,0.333,0.374,0.707,100,0.118,0.305,30.0%,18.8%,9.4%,0.50,
