Pitcher,Team,Throws,IP,TBF,FB Velo,K%,BB%,Swing%,Z-Swing%,Chase%,Contact%,Z-Con%,O-Con%,SwStr%,Whiff%,CSW%,Strike%,Ball%,F-Str%,PAR%,PLUS%,GB%,FB%,LD%,OFFB%,IFFB%,AIR%,HR%,HR/FB,Pull%,Cent%,Oppo%,Pull AIR%,Zone%,Arm%,Glove%,High%,Low%,MM%,Behind%,Sec%,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78
Sumida Chihiro,Seibu,L,156.3333333,646,91.9,0.22910217,0.0495356,0.47881356,0.63406683,0.31040564,0.75575221,0.86375321,0.51704545,0.1169491525,0.2442477876,0.3046610169,0.6707627119,0.3292372881,0.649068323,0.2218890555,0.6088983051,0.4726477024,0.4288840263,0.09846827133,0.3544857768,0.07439824945,0.5273522976,0.01857585139,0.0612244898,0.3916849015,0.4135667396,0.1947483589,0.1518438178,0.5199152542,0.4188903007,0.5811096993,0.3574756459,0.6425243541,0.05379076662,0.09826344769,0.4915254237,,22.91021672,4.953560372,47.88135593,63.40668297,31.04056437,75.57522124,86.37532134,51.70454545,11.69491525,24.42477876,30.46610169,67.07627119,32.92372881,64.9068323,22.18890555,60.88983051,47.26477024,42.88840263,9.846827133,35.44857768,7.439824945,52.73522976,1.857585139,6.12244898,39.16849015,41.35667396,19.47483589,15.18438178,51.99152542,41.88903007,58.11096993,35.74756459,64.25243541,5.379076662,9.826344769,49.15254237
Saiki Hiroto,Hanshin,R,155.3333333,635,93.3,0.19212598,0.06456693,0.46904087,0.66021672,0.25888325,0.7903365,0.84994138,0.62418301,0.09834075273,0.209663503,0.2715499798,0.6487252125,0.3512747875,0.6097946288,0.1624500666,0.5953055443,0.4154175589,0.4796573876,0.1049250535,0.3725910064,0.1070663812,0.5845824411,0.009448818898,0.02678571429,0.3490364026,0.4282655246,0.2226980728,0.1602564103,0.5228652367,0.4696847211,0.5303152789,0.4854486661,0.5145513339,0.0561843169,0.09983831851,0.4212869284,,19.21259843,6.456692913,46.90408741,66.02167183,25.88832487,79.0336497,84.99413834,62.41830065,9.834075273,20.9663503,27.15499798,64.87252125,35.12747875,60.97946288,16.24500666,59.53055443,41.54175589,47.96573876,10.49250535,37.25910064,10.70663812,58.45824411,0.9448818898,2.678571429,34.90364026,42.82655246,22.26980728,16.02564103,52.28652367,46.96847211,53.03152789,48.54486661,51.45513339,5.61843169,9.983831851,42.12869284
Yamasaki Iori,Yomiuri,R,153.6666667,624,91.8,0.20833333,0.04807692,0.47068404,0.63741722,0.30855316,0.77508651,0.88701299,0.55181347,0.1058631922,0.2249134948,0.2817589577,0.6530944625,0.3469055375,0.6183574879,0.1757493188,0.5977198697,0.5469107551,0.3775743707,0.07551487414,0.2929061785,0.08466819222,0.4530892449,0.01442307692,0.05454545455,0.3638443936,0.4073226545,0.2288329519,0.1327433628,0.4918566775,0.5591703945,0.4408296055,0.3546156974,0.6453843026,0.03334688898,0.1057340382,0.3778501629,,20.83333333,4.807692308,47.06840391,63.74172185,30.85531575,77.50865052,88.7012987,55.18134715,10.58631922,22.49134948,28.17589577,65.30944625,34.69055375,61.83574879,17.57493188,59.77198697,54.69107551,37.75743707,7.551487414,29.29061785,8.466819222,45.30892449,1.442307692,5.454545455,36.38443936,40.73226545,22.88329519,13.27433628,49.18566775,55.91703945,44.08296055,35.46156974,64.53843026,3.334688898,10.57340382,37.78501629
Kay Anthony,DeNA,L,150.0,607,94.5,0.21416804,0.06425041,0.48132606,0.64681208,0.31543624,0.75588492,0.87548638,0.5106383,0.1174989509,0.2441150828,0.2908099035,0.6592530424,0.3407469576,0.6611570248,0.1658163265,0.6080570709,0.5784543326,0.3442622951,0.07728337237,0.2412177986,0.1030444965,0.4215456674,0.01317957166,0.05442176871,0.3067915691,0.4285714286,0.2646370023,0.08604651163,0.5002098196,0.3850671141,0.6149328859,0.4303691275,0.5696308725,0.04697986577,0.09647651007,0.3176668065,,21.41680395,6.425041186,48.13260596,64.68120805,31.54362416,75.58849172,87.54863813,51.06382979,11.74989509,24.41150828,29.08099035,65.92530424,34.07469576,66.11570248,16.58163265,60.80570709,57.84543326,34.42622951,7.728337237,24.12177986,10.30444965,42.15456674,1.317957166,5.442176871,30.67915691,42.85714286,26.46370023,8.604651163,50.02098196,38.50671141,61.49328859,43.03691275,56.96308725,4.697986577,9.647651007,31.76668065
Morishita Masato,Hiroshima,R,150.0,621,91.1,0.14814815,0.0547504,0.48753224,0.67691095,0.25992439,0.82186949,0.89406286,0.59636364,0.08684436801,0.1781305115,0.2570937231,0.6672398968,0.3327601032,0.6045380875,0.1306818182,0.6014617369,0.5197505198,0.3721413721,0.1081081081,0.2765072765,0.09563409563,0.4802494802,0.009661835749,0.03351955307,0.3721413721,0.4116424116,0.2162162162,0.1393442623,0.5455717971,0.5616673829,0.4383326171,0.4911903739,0.5088096261,0.04727116459,0.1018478728,0.3542562339,,14.81481481,5.475040258,48.75322442,67.69109535,25.99243856,82.18694885,89.40628638,59.63636364,8.684436801,17.81305115,25.70937231,66.72398968,33.27601032,60.45380875,13.06818182,60.14617369,51.97505198,37.21413721,10.81081081,27.65072765,9.563409563,48.02494802,0.9661835749,3.351955307,37.21413721,41.16424116,21.62162162,13.93442623,54.55717971,56.16673829,43.83326171,49.11903739,50.88096261,4.727116459,10.18478728,35.42562339
Miyagi Hiroya,ORIX,L,149.0,617,90.8,0.26580227,0.04862237,0.48501249,0.62085691,0.34077253,0.73562232,0.88020833,0.4559194,0.1282264779,0.2643776824,0.321815154,0.6835970025,0.3164029975,0.677471637,0.2037267081,0.6228143214,0.5193236715,0.3913043478,0.08937198068,0.3140096618,0.07729468599,0.4806763285,0.009724473258,0.03703703704,0.3188405797,0.4734299517,0.2077294686,0.1062801932,0.5149875104,0.3792672773,0.6207327227,0.2793505412,0.7206494588,0.05120732723,0.07410491257,0.5387177352,,26.5802269,4.862236629,48.50124896,62.08569119,34.07725322,73.56223176,88.02083333,45.59193955,12.82264779,26.43776824,32.1815154,68.35970025,31.64029975,67.7471637,20.37267081,62.28143214,51.93236715,39.13043478,8.937198068,31.40096618,7.729468599,48.06763285,0.9724473258,3.703703704,31.88405797,47.34299517,20.77294686,10.62801932,51.49875104,37.92672773,62.07327227,27.93505412,72.06494588,5.120732723,7.410491257,53.87177352
Kitayama Koki,Nipponham,R,147.0,600,93.4,0.235,0.075,0.48635027,0.6616242,0.29066667,0.78151986,0.85078219,0.60550459,0.1062578748,0.2184801382,0.2805543889,0.6656866863,0.3343133137,0.5866666667,0.1947513812,0.6161276774,0.4127764128,0.4864864865,0.1007371007,0.371007371,0.1154791155,0.5872235872,0.01166666667,0.03535353535,0.3587223587,0.4054054054,0.2358722359,0.1572481572,0.5275094498,0.4279714406,0.5720285594,0.5459890802,0.4540109198,0.05669886602,0.1209575808,0.3351532969,,23.5,7.5,48.6350273,66.16242038,29.06666667,78.15198618,85.07821901,60.55045872,10.62578748,21.84801382,28.05543889,66.56866863,33.43133137,58.66666667,19.47513812,61.61276774,41.27764128,48.64864865,10.07371007,37.1007371,11.54791155,58.72235872,1.166666667,3.535353535,35.87223587,40.54054054,23.58722359,15.72481572,52.75094498,42.79714406,57.20285594,54.59890802,45.40109198,5.669886602,12.09575808,33.51532969
Takahashi Kona,Seibu,R,145.6666667,619,93.1,0.14216478,0.06623586,0.46182886,0.66143683,0.25553663,0.81834696,0.917603,0.55333333,0.08389261745,0.1816530427,0.2529362416,0.6367449664,0.3632550336,0.5751211632,0.1331316188,0.5729865772,0.5166666667,0.3833333333,0.1,0.3208333333,0.0625,0.4833333333,0.01615508885,0.05434782609,0.31875,0.4583333333,0.2229166667,0.1122661123,0.5079697987,0.5161425577,0.4838574423,0.44360587,0.55639413,0.05576519916,0.1358490566,0.4505033557,,14.21647819,6.62358643,46.18288591,66.14368291,25.55366269,81.83469573,91.76029963,55.33333333,8.389261745,18.16530427,25.29362416,63.67449664,36.32550336,57.51211632,13.31316188,57.29865772,51.66666667,38.33333333,10.0,32.08333333,6.25,48.33333333,1.615508885,5.434782609,31.875,45.83333333,22.29166667,11.22661123,50.79697987,51.61425577,48.38574423,44.360587,55.639413,5.576519916,13.58490566,45.05033557
Jackson Andre,DeNA,R,145.3333333,636,94.2,0.16981132,0.08018868,0.46857143,0.65707621,0.26030928,0.79268293,0.87218935,0.5709571,0.09714285714,0.2073170732,0.2714285714,0.6526530612,0.3473469388,0.6170886076,0.1544117647,0.5910204082,0.5222222222,0.4,0.07777777778,0.3,0.1,0.4777777778,0.0141509434,0.05,0.3333333333,0.4422222222,0.2244444444,0.1123110151,0.5248979592,0.36,0.64,0.513877551,0.486122449,0.06367346939,0.1232653061,0.3889795918,,16.98113208,8.018867925,46.85714286,65.70762053,26.03092784,79.26829268,87.21893491,57.09570957,9.714285714,20.73170732,27.14285714,65.26530612,34.73469388,61.70886076,15.44117647,59.10204082,52.22222222,40.0,7.777777778,30.0,10.0,47.77777778,1.41509434,5.0,33.33333333,44.22222222,22.44444444,11.23110151,52.48979592,36.0,64.0,51.3877551,48.6122449,6.367346939,12.32653061,38.89795918
Ohzeki Tomohisa,SoftBank,L,144.0,586,88.6,0.16552901,0.05802048,0.46234676,0.6592775,0.23733583,0.81628788,0.89788294,0.55731225,0.08493870403,0.1837121212,0.2657618214,0.6475481611,0.3524518389,0.6239316239,0.1452344932,0.5936952715,0.4362416107,0.4921700224,0.07158836689,0.3646532438,0.1275167785,0.5637583893,0.01877133106,0.05,0.3914988814,0.418344519,0.1901565996,0.1559020045,0.5332749562,0.4076182137,0.5923817863,0.3362521891,0.6637478109,0.05253940455,0.1195271454,0.5525394046,,16.55290102,5.802047782,46.23467601,65.92775041,23.73358349,81.62878788,89.7882939,55.7312253,8.493870403,18.37121212,26.57618214,64.75481611,35.24518389,62.39316239,14.52344932,59.36952715,43.62416107,49.21700224,7.158836689,36.46532438,12.75167785,56.37583893,1.877133106,5.0,39.14988814,41.8344519,19.01565996,15.59020045,53.32749562,40.76182137,59.23817863,33.62521891,66.37478109,5.253940455,11.95271454,55.25394046
Uwasawa Naoyuki,SoftBank,R,143.0,576,90.8,0.19965278,0.06076389,0.4822695,0.64291845,0.31072411,0.76378676,0.84913218,0.57522124,0.1139184397,0.2362132353,0.2934397163,0.6684397163,0.3315602837,0.6260869565,0.164756447,0.6117021277,0.4806763285,0.4565217391,0.06280193237,0.3333333333,0.1231884058,0.5193236715,0.02083333333,0.06349206349,0.347826087,0.4082125604,0.2439613527,0.1279620853,0.5164007092,0.5199468085,0.4800531915,0.5088652482,0.4911347518,0.06028368794,0.1050531915,0.5155141844,,19.96527778,6.076388889,48.22695035,64.29184549,31.07241063,76.37867647,84.91321762,57.52212389,11.39184397,23.62132353,29.34397163,66.84397163,33.15602837,62.60869565,16.4756447,61.17021277,48.06763285,45.65217391,6.280193237,33.33333333,12.31884058,51.93236715,2.083333333,6.349206349,34.7826087,40.82125604,24.39613527,12.79620853,51.64007092,51.99468085,48.00531915,50.88652482,49.11347518,6.028368794,10.50531915,51.55141844
Matsuba Takahiro,Chunichi,L,141.6666667,598,84.3,0.10200669,0.06020067,0.44774076,0.61670973,0.25728155,0.85524975,0.92039106,0.67924528,0.06481058877,0.1447502548,0.2610680055,0.6517571885,0.3482428115,0.6164154104,0.100660066,0.583295299,0.5041322314,0.4194214876,0.07644628099,0.3223140496,0.09710743802,0.4958677686,0.01505016722,0.04433497537,0.3760330579,0.4421487603,0.1818181818,0.1469387755,0.5298950251,0.4623459607,0.5376540393,0.3893199452,0.6106800548,0.0447284345,0.1013235965,0.3733455043,,10.2006689,6.02006689,44.77407576,61.6709733,25.72815534,85.52497452,92.03910615,67.9245283,6.481058877,14.47502548,26.10680055,65.17571885,34.82428115,61.64154104,10.0660066,58.3295299,50.41322314,41.94214876,7.644628099,32.23140496,9.710743802,49.58677686,1.505016722,4.433497537,37.60330579,44.21487603,18.18181818,14.69387755,52.98950251,46.23459607,53.76540393,38.93199452,61.06800548,4.47284345,10.13235965,37.33455043
Ojima Kazuya,Lotte,L,141.3333333,619,89.6,0.14701131,0.08723748,0.45323129,0.64241349,0.27918367,0.79174484,0.90469613,0.55263158,0.0943877551,0.2082551595,0.262329932,0.6267006803,0.3732993197,0.6025848142,0.1391437309,0.5616496599,0.4659574468,0.4489361702,0.08510638298,0.3638297872,0.08510638298,0.5340425532,0.03231017771,0.09478672986,0.3595744681,0.4085106383,0.2319148936,0.1361702128,0.4791666667,0.4379251701,0.5620748299,0.3469387755,0.6530612245,0.04209183673,0.1271258503,0.4944727891,,14.70113086,8.723747981,45.32312925,64.24134871,27.91836735,79.17448405,90.46961326,55.26315789,9.43877551,20.82551595,26.2329932,62.67006803,37.32993197,60.25848142,13.91437309,56.16496599,46.59574468,44.89361702,8.510638298,36.38297872,8.510638298,53.40425532,3.231017771,9.478672986,35.95744681,40.85106383,23.19148936,13.61702128,47.91666667,43.79251701,56.20748299,34.69387755,65.30612245,4.209183673,12.71258503,49.44727891
Ohsera Daichi,Hiroshima,R,133.6666667,567,89.0,0.15520282,0.05820106,0.4823911,0.68650089,0.25943853,0.79634966,0.88098318,0.55223881,0.09823911029,0.2036503362,0.2557924004,0.6468952734,0.3531047266,0.5935828877,0.1492281304,0.5820203892,0.4258823529,0.4847058824,0.08941176471,0.3811764706,0.1035294118,0.5741176471,0.01940035273,0.05339805825,0.3529411765,0.4470588235,0.2,0.1583710407,0.5217794254,0.4835572024,0.5164427976,0.3747105141,0.6252894859,0.04678091709,0.116720704,0.2854494903,,15.52028219,5.82010582,48.23911029,68.65008881,25.94385286,79.63496638,88.09831824,55.2238806,9.823911029,20.36503362,25.57924004,64.68952734,35.31047266,59.35828877,14.92281304,58.20203892,42.58823529,48.47058824,8.941176471,38.11764706,10.35294118,57.41176471,1.940035273,5.339805825,35.29411765,44.70588235,20.0,15.83710407,52.17794254,48.35572024,51.64427976,37.47105141,62.52894859,4.678091709,11.6720704,28.54494903
Watanabe Yutaro,Seibu,R,133.0,565,91.6,0.14159292,0.06725664,0.50576369,0.69658887,0.28615702,0.8328585,0.91237113,0.6101083,0.08453410183,0.1671415005,0.2439961575,0.6705091258,0.3294908742,0.6053097345,0.1328903654,0.6027857829,0.4683257919,0.4253393665,0.1063348416,0.3371040724,0.08823529412,0.5316742081,0.01592920354,0.04787234043,0.3190045249,0.4411764706,0.2398190045,0.1334841629,0.53506244,0.5105667627,0.4894332373,0.4918347743,0.5081652257,0.06628242075,0.1099903939,0.3458213256,,14.15929204,6.725663717,50.57636888,69.65888689,28.61570248,83.28584995,91.2371134,61.01083032,8.453410183,16.71415005,24.39961575,67.05091258,32.94908742,60.53097345,13.28903654,60.27857829,46.83257919,42.53393665,10.63348416,33.71040724,8.823529412,53.16742081,1.592920354,4.787234043,31.90045249,44.11764706,23.98190045,13.34841629,53.506244,51.05667627,48.94332373,49.18347743,50.81652257,6.628242075,10.99903939,34.58213256
Mori Shohei,Hiroshima,L,130.6666667,554,88.9,0.18231047,0.05595668,0.43984962,0.61290323,0.23751274,0.80555556,0.89046942,0.54935622,0.08552631579,0.1944444444,0.2885338346,0.6513157895,0.3486842105,0.5768535262,0.1644518272,0.5859962406,0.4830917874,0.4154589372,0.1014492754,0.3309178744,0.0845410628,0.5169082126,0.02527075812,0.08139534884,0.347826087,0.4541062802,0.1980676329,0.1342925659,0.5390037594,0.4572368421,0.5427631579,0.4107142857,0.5892857143,0.04981203008,0.1123120301,0.3505639098,,18.23104693,5.59566787,43.98496241,61.29032258,23.75127421,80.55555556,89.04694168,54.93562232,8.552631579,19.44444444,28.85338346,65.13157895,34.86842105,57.68535262,16.44518272,58.59962406,48.30917874,41.54589372,10.14492754,33.09178744,8.45410628,51.69082126,2.527075812,8.139534884,34.7826087,45.41062802,19.80676329,13.42925659,53.90037594,45.72368421,54.27631579,41.07142857,58.92857143,4.981203008,11.23120301,35.05639098
