Player,Team,Position,Inning,TZR,RngR,DPR,ARM,Error,位置補正,Framing,Blocking,
藤野 恵音,ソ,1B,25.7,0.0,0.7,-0.1,-,-0.5,-0.3,-,-,
藤野 恵音,ソ,CF,12.0,0.3,0.5,-,-0.2,0.0,0.0,-,-,
宜保 翔,オ,2B,27.3,1.1,0.7,0.1,-,0.3,0.1,-,-,
宜保 翔,オ,DH,19.0,-,-,-,-,-,-0.2,-,-,
佐野 大陽,神,1B,1.0,0.3,0.2,0.0,-,0.1,0.0,-,-,
佐野 大陽,神,2B,48.0,0.6,0.4,-0.1,-,0.3,0.1,-,-,
佐野 大陽,神,3B,75.0,0.6,1.1,0.0,-,-0.6,-0.3,-,-,
佐野 大陽,神,SS,61.0,2.1,1.0,0.2,-,0.9,0.5,-,-,
イヒネ イツア,ソ,3B,102.7,3.4,2.4,0.5,-,0.5,-0.4,-,-,
イヒネ イツア,ソ,SS,147.0,-0.2,0.2,-0.1,-,-0.3,1.2,-,-,
増田 将馬,ハ,2B,16.0,0.5,0.3,0.1,-,0.1,0.0,-,-,
増田 将馬,ハ,CF,87.0,0.5,0.2,-,0.3,0.1,0.3,-,-,
増田 将馬,ハ,RF,228.0,6.3,2.7,-,3.3,0.3,-0.9,-,-,
増田 将馬,ハ,DH,15.0,-,-,-,-,-,-0.2,-,-,
神里 和毅,デ,CF,26.0,-1.3,-0.8,-,-0.5,0.0,0.1,-,-,
神里 和毅,デ,RF,9.0,1.2,0.7,-,0.5,0.0,0.0,-,-,
神里 和毅,デ,DH,13.0,-,-,-,-,-,-0.2,-,-,
増田 陸,巨,1B,10.0,-0.4,-0.5,0.0,-,0.1,-0.1,-,-,
増田 陸,巨,2B,145.0,-2.2,-2.5,0.1,-,0.2,0.4,-,-,
増田 陸,巨,3B,9.0,-1.2,-1.3,0.0,-,0.1,0.0,-,-,
村山 源,巨,2B,9.0,-0.5,-0.6,0.1,-,0.0,0.0,-,-,
村山 源,巨,3B,8.0,-0.2,-0.2,0.0,-,0.0,0.0,-,-,
村山 源,巨,SS,45.0,-1.8,-1.0,0.1,-,-0.9,0.4,-,-,
石川 慎吾,ロ,LF,27.0,-5.8,-4.2,-,-1.6,0.0,-0.3,-,-,
石川 慎吾,ロ,DH,66.0,-,-,-,-,-,-0.8,-,-,
藤田 和樹,ロ,LF,17.0,0.3,0.4,-,-0.2,0.0,-0.2,-,-,
藤田 和樹,ロ,CF,8.0,-0.2,0.1,-,-0.2,0.0,0.0,-,-,
藤田 和樹,ロ,RF,24.0,-1.3,-1.2,-,-0.1,0.0,-0.1,-,-,
藤田 和樹,ロ,DH,7.0,-,-,-,-,-,-0.1,-,-,
小森 航大郎,楽,1B,5.0,-0.3,-0.3,0.0,-,0.0,-0.1,-,-,
小森 航大郎,楽,2B,8.0,-0.9,-0.7,-0.1,-,0.0,0.0,-,-,
小森 航大郎,楽,LF,35.0,0.6,-0.7,-,1.2,0.0,-0.3,-,-,
小森 航大郎,楽,CF,18.0,0.1,0.3,-,-0.2,0.0,0.1,-,-,
小森 航大郎,楽,RF,37.0,-1.4,-1.5,-,0.1,0.0,-0.1,-,-,
小森 航大郎,楽,DH,1.0,-,-,-,-,-,0.0,-,-,
星野 ひので,日,LF,4.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
星野 ひので,日,CF,62.0,-1.2,-1.1,-,-0.1,0.0,0.2,-,-,
星野 ひので,日,RF,59.0,0.9,0.9,-,-0.1,0.1,-0.2,-,-,
度会 隆輝,デ,RF,49.0,-3.7,-2.8,-,-0.9,0.0,-0.2,-,-,
度会 隆輝,デ,DH,40.3,-,-,-,-,-,-0.5,-,-,
池田 陵真,オ,LF,84.0,2.9,2.7,-,0.1,0.1,-0.8,-,-,
池田 陵真,オ,RF,11.0,0.6,0.6,-,0.0,0.0,0.0,-,-,
池田 陵真,オ,DH,31.0,-,-,-,-,-,-0.4,-,-,
尾田 剛樹,中,LF,7.0,0.5,0.4,-,0.0,0.0,-0.1,-,-,
尾田 剛樹,中,CF,192.0,1.1,1.0,-,-0.1,0.2,0.6,-,-,
尾田 剛樹,中,RF,123.3,3.7,4.0,-,-0.5,0.2,-0.5,-,-,
福島 圭音,神,LF,8.0,0.7,0.6,-,0.0,0.0,-0.1,-,-,
福島 圭音,神,CF,90.0,2.0,2.4,-,-0.5,0.1,0.3,-,-,
福島 圭音,神,RF,46.0,-1.3,-1.4,-,0.0,0.0,-0.2,-,-,
佐藤 航太,ソ,LF,54.0,-1.9,-1.6,-,-0.4,0.1,-0.5,-,-,
佐藤 航太,ソ,CF,17.0,-1.8,-1.3,-,-0.5,0.0,0.1,-,-,
佐藤 航太,ソ,RF,24.0,-2.3,-2.5,-,0.2,0.0,-0.1,-,-,
佐藤 航太,ソ,DH,3.0,-,-,-,-,-,0.0,-,-,
大泉 周也,ソ,LF,28.0,1.4,1.1,-,0.2,0.1,-0.3,-,-,
大泉 周也,ソ,CF,9.0,0.3,0.3,-,-0.1,0.0,0.0,-,-,
