Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HP,SO,GDP,AVG,SLG,OBP,Team,
嶺井 博希,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,SoftBank Hawks,
*モイネロ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,SoftBank Hawks,
*柳田 悠岐,6,24,23,2,7,1,0,1,11,3,0,0,0,0,1,0,0,5,0,.304,.478,.333,SoftBank Hawks,
*柳町 達,6,25,24,1,10,3,0,0,13,1,0,0,0,0,1,0,0,6,0,.417,.542,.440,SoftBank Hawks,
山川 穂高,6,22,18,2,4,0,0,1,7,2,0,0,0,0,3,1,1,7,0,.222,.389,.364,SoftBank Hawks,
*泉口 友汰,2,10,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,.000,.000,.000,Yomiuri Giants,
*浦田 俊輔,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Yomiuri Giants,
オコエ 瑠偉,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,.000,.000,.500,Yomiuri Giants,
*大城 卓三,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Yomiuri Giants,
岡本 和真,2,9,7,1,2,0,0,0,2,0,0,0,0,0,2,1,0,1,0,.286,.286,.444,Yomiuri Giants,
*キャベッジ,2,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,.000,.000,.000,Yomiuri Giants,
岸田 行倫,2,9,7,2,1,0,0,0,1,0,0,0,0,0,2,0,0,1,1,.143,.143,.333,Yomiuri Giants,
小林 誠司,1,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,2.000,1.000,Yomiuri Giants,
坂本 勇人,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,.000,.000,1.000,Yomiuri Giants,
*佐々木 俊輔,1,6,6,1,3,0,0,1,6,2,0,0,0,0,0,0,0,0,0,.500,1.000,.500,Yomiuri Giants,
大勢,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Yomiuri Giants,
*田中 瑛斗,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Yomiuri Giants,
戸郷 翔征,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,Yomiuri Giants,
