Pitcher,G,W,L,SV,CG,SHO,PCT,BF,IP,,H,HR,BB,IBB,HB,SO,WP,BK,R,ER,ERA,Team,
Kobune Tsubasa,4,0,0,0,0,0,.000,17,3,.1,6,0,2,0,0,0,0,0,3,3,8.10,Hiroshima Carp,
Masuda Takehisa,14,1,0,0,0,0,1.000,57,15,,11,0,2,0,2,11,1,0,2,1,0.60,Hiroshima Carp,
Matsumoto Ryuya,13,1,1,1,0,0,.500,56,12,.2,10,0,5,0,0,11,1,0,8,3,2.13,Hiroshima Carp,
Ohmichi Haruki,13,0,0,3,0,0,.000,53,13,,7,0,8,0,0,11,3,0,2,2,1.38,Hiroshima Carp,
Ohsera Daichi,1,0,1,0,0,0,.000,24,4,.1,10,1,0,0,0,5,0,0,8,8,16.62,Hiroshima Carp,
Saitoh Yuta,13,1,0,0,0,0,1.000,68,15,.1,14,0,7,0,2,11,3,1,4,2,1.17,Hiroshima Carp,
Sato Ryunosuke,7,1,1,0,0,0,.500,167,38,,40,1,16,0,1,19,3,0,18,17,4.03,Hiroshima Carp,
Sugihara Mirai,5,0,0,0,0,0,.000,23,5,.2,4,0,2,0,1,3,0,0,1,1,1.59,Hiroshima Carp,
Sugita Takeru,5,0,2,0,0,0,.000,95,21,,25,0,8,0,1,9,2,0,11,11,4.71,Hiroshima Carp,
Taka Taichi,7,2,3,0,0,0,.400,148,31,,38,2,11,0,3,23,3,0,19,16,4.65,Hiroshima Carp,
Takahashi Kouya,8,0,1,0,0,0,.000,57,14,,12,1,4,0,1,11,1,0,5,5,3.21,Hiroshima Carp,
Takeshita Kaito,4,2,0,1,0,0,1.000,17,4,,1,0,3,0,0,4,1,0,0,0,0.00,Hiroshima Carp,
Takita Kazuki,11,2,1,0,0,0,.667,90,21,,13,1,14,0,1,18,2,0,8,4,1.71,Hiroshima Carp,
Tamamura Shogo,2,0,2,0,0,0,.000,50,10,,15,1,1,0,1,10,2,0,9,5,4.50,Hiroshima Carp,
Tsuji Taiga,6,0,1,0,0,0,.000,33,6,,8,1,6,0,1,4,0,0,7,7,10.50,Hiroshima Carp,
Tsunehiro Hayato,7,1,5,0,0,0,.167,167,37,.1,36,1,18,0,2,26,8,0,24,17,4.10,Hiroshima Carp,
Bauer Trevor,1,0,0,0,0,0,.000,18,5,,3,0,0,0,0,7,0,0,1,1,1.80,DeNA BayStars,
Diaz Yofrec,8,0,0,0,0,0,.000,35,7,.1,10,1,5,0,0,7,1,0,7,7,8.59,DeNA BayStars,
Hamachi Masumi,6,0,0,0,0,0,.000,24,6,,6,0,1,0,0,6,0,0,2,2,3.00,DeNA BayStars,
Hashimoto Tatsuya,10,0,0,0,0,0,.000,40,9,.1,10,1,3,0,0,12,1,0,6,6,5.79,DeNA BayStars,
Horioka Hayato,11,1,2,1,0,0,.333,49,11,,7,1,5,0,0,13,1,1,7,2,1.64,DeNA BayStars,
Irie Taisei,2,0,1,0,0,0,.000,12,2,,6,1,0,0,0,2,0,0,4,4,18.00,DeNA BayStars,
Ishida Kenta,1,0,0,0,0,0,.000,3,1,,0,0,0,0,0,1,0,0,0,0,0.00,DeNA BayStars,
Ishida Yutaro,2,1,1,0,0,0,.500,42,11,,9,0,1,0,0,8,0,0,3,1,0.82,DeNA BayStars,
Iwata Masaki,14,2,0,0,0,0,1.000,45,11,.1,9,1,2,0,2,8,0,0,6,6,4.76,DeNA BayStars,
Jackson Andre,1,0,1,0,0,0,.000,20,5,,3,0,3,0,0,2,0,0,2,2,3.60,DeNA BayStars,
Kanabuchi Koki,1,0,0,0,0,0,.000,4,1,,0,0,0,0,0,1,0,0,0,0,0.00,DeNA BayStars,
Kasaya Shunsuke,1,0,0,0,0,0,.000,2,0,.1,0,0,0,0,1,0,0,0,0,0,0.00,DeNA BayStars,
Konno Ryuto,4,0,1,0,0,0,.000,21,4,.1,4,0,5,0,0,1,1,0,3,3,6.23,DeNA BayStars,
Kozono Kenta,7,3,0,0,0,0,1.000,157,41,,27,3,10,0,1,31,0,0,8,8,1.76,DeNA BayStars,
Kyoyama Masaya,9,1,1,0,0,0,.500,46,7,,11,0,11,0,3,3,1,0,9,9,11.57,DeNA BayStars,
Marcelino Hansel,15,1,2,4,0,0,.333,64,15,.1,11,0,7,0,0,29,1,0,5,4,2.35,DeNA BayStars,
Matsumoto Ryoto,19,1,0,0,0,0,1.000,71,15,.1,12,1,11,0,3,15,0,0,10,10,5.87,DeNA BayStars,
Matsumoto Ryunosuke,2,0,0,0,0,0,.000,28,7,.2,4,1,1,0,0,9,0,0,3,1,1.17,DeNA BayStars,
Mishima Kazuki,12,0,0,1,0,0,.000,54,14,,8,1,3,0,1,13,1,0,3,3,1.93,DeNA BayStars,
Miyagi Daita,1,0,0,0,0,0,.000,3,1,,0,0,0,0,0,0,0,0,0,0,0.00,DeNA BayStars,
Mori Yuito,12,0,2,0,0,0,.000,69,16,,17,3,3,0,1,11,1,0,10,8,4.50,DeNA BayStars,
Morihara Kohei,5,0,0,0,0,0,.000,23,6,,5,0,1,0,0,2,0,0,0,0,0.00,DeNA BayStars,
Morishita Ryudai,3,0,1,0,0,0,.000,44,9,,11,0,6,0,2,6,0,0,7,7,7.00,DeNA BayStars,
Nakagawa Hayate,1,0,0,0,0,0,.000,3,1,,0,0,0,0,0,2,0,0,0,0,0.00,DeNA BayStars,
Nakagawa Koh,10,0,0,0,0,0,.000,45,10,,12,0,2,0,0,13,1,0,4,1,0.90,DeNA BayStars,
Ohnuki Shinichi,2,0,1,0,0,0,.000,34,8,,10,0,0,0,0,5,0,0,3,2,2.25,DeNA BayStars,
Sakamoto Yuya,2,0,0,0,0,0,.000,7,2,,1,0,0,0,0,1,0,0,0,0,0.00,DeNA BayStars,
Sasaki Chihaya,5,1,0,0,0,0,1.000,29,5,,12,0,1,0,0,5,0,0,4,2,3.60,DeNA BayStars,
Shimizu Manato,1,0,0,0,0,0,.000,6,0,.1,4,0,1,0,0,0,0,0,3,3,81.00,DeNA BayStars,
Shinogi Kentaro,10,0,2,2,0,0,.000,48,11,,7,1,7,0,1,11,0,0,5,4,3.27,DeNA BayStars,
Shoji Haruto,8,2,3,0,0,0,.400,156,37,.2,35,3,11,0,2,27,0,0,10,8,1.91,DeNA BayStars,
