Pitcher,G,W,L,SV,HLD,HP,CG,SHO,NBBG,PCT,BF,IP,H,HR,BB,IBB,HB,SO,WP,BK,R,ER,ERA,Team,
伊藤 大海,1,1,0,0,0,0,0,0,0,1.000,30,8,5,0,1,0,0,11,0,0,0,0,0.00,Nipponham Fighters,
*上原 健太,4,0,0,0,0,0,0,0,0,.000,13,3.1,2,1,1,0,0,4,0,0,1,1,2.70,Nipponham Fighters,
*加藤 貴之,1,0,0,0,0,0,0,0,0,.000,4,1,1,1,0,0,0,1,0,0,1,1,9.00,Nipponham Fighters,
金村 尚真,1,0,1,0,0,0,0,0,0,.000,4,0.1,1,0,2,1,0,0,0,0,1,1,27.00,Nipponham Fighters,
北山 亘基,1,1,0,0,0,0,0,0,0,1.000,30,7,8,1,1,0,0,6,0,0,3,3,3.86,Nipponham Fighters,
畔柳 亨丞,1,0,0,0,0,0,0,0,0,.000,3,1,0,0,0,0,0,2,0,0,0,0,0.00,Nipponham Fighters,
古林 睿煬,1,0,0,0,0,0,0,0,0,.000,17,4.2,2,0,1,0,0,6,0,0,0,0,0.00,Nipponham Fighters,
齋藤 友貴哉,2,0,0,0,1,1,0,0,0,.000,8,2,0,0,2,0,0,2,1,0,0,0,0.00,Nipponham Fighters,
杉浦 稔大,2,0,0,0,0,0,0,0,0,.000,6,1.2,1,0,0,0,0,3,0,0,0,0,0.00,Nipponham Fighters,
達 孝太,2,0,1,0,0,0,0,0,0,.000,51,11.2,12,0,2,1,2,12,0,0,2,1,0.77,Nipponham Fighters,
田中 正義,2,0,0,0,0,0,0,0,0,.000,8,1.2,3,1,0,0,0,2,0,0,1,1,5.40,Nipponham Fighters,
玉井 大翔,2,0,0,0,0,0,0,0,0,.000,2,0.1,1,0,0,0,0,1,0,0,0,0,0.00,Nipponham Fighters,
福島 蓮,1,0,1,0,0,0,0,0,0,.000,27,7.1,3,0,2,0,0,10,0,0,2,2,2.45,Nipponham Fighters,
*山﨑 福也,2,1,0,0,0,1,0,0,0,1.000,9,2.1,2,0,0,0,0,2,0,0,0,0,0.00,Nipponham Fighters,
*東 克樹,1,0,1,0,0,0,0,0,0,.000,24,5.2,6,0,0,0,0,5,0,0,2,2,3.18,DeNA BayStars,
石田 裕太郎,2,0,0,0,1,1,0,0,0,.000,12,3,2,0,1,0,0,3,0,0,0,0,0.00,DeNA BayStars,
伊勢 大夢,1,0,0,0,0,0,0,0,0,.000,6,1,1,0,2,0,0,0,0,0,1,1,9.00,DeNA BayStars,
入江 大生,1,0,0,0,0,0,0,0,0,.000,3,1,0,0,0,0,0,2,0,0,0,0,0.00,DeNA BayStars,
*ケイ,1,0,1,0,0,0,0,0,0,.000,22,4.2,5,1,2,1,2,4,0,0,4,4,7.71,DeNA BayStars,
*坂本 裕哉,1,0,0,0,0,0,0,0,0,.000,2,0.1,0,0,1,0,0,0,0,0,0,0,0.00,DeNA BayStars,
佐々木 千隼,2,0,1,0,0,0,0,0,0,.000,6,1,2,1,1,0,0,1,0,0,2,2,18.00,DeNA BayStars,
竹田 祐,1,0,0,0,0,0,0,0,0,.000,21,5,6,0,1,0,0,5,0,0,2,2,3.60,DeNA BayStars,
中川 虎大,2,0,0,0,1,1,0,0,0,.000,6,2,0,0,0,0,0,4,1,0,0,0,0.00,DeNA BayStars,
宮城 滝太,1,0,0,0,0,0,0,0,0,.000,1,0.1,0,0,0,0,0,1,0,0,0,0,0.00,DeNA BayStars,
森原 康平,1,0,0,0,1,1,0,0,0,.000,4,1,0,0,1,0,0,1,0,0,0,0,0.00,DeNA BayStars,
有原 航平,1,0,0,0,0,0,0,0,0,.000,26,6,4,0,3,0,1,2,0,0,0,0,0.00,SoftBank Hawks,
伊藤 優輔,2,0,0,0,0,0,0,0,0,.000,8,2,3,0,0,0,0,1,0,0,1,1,4.50,SoftBank Hawks,
上沢 直之,1,0,1,0,0,0,0,0,0,.000,30,6.2,7,2,3,0,0,10,0,0,6,5,6.75,SoftBank Hawks,
*大江 竜聖,2,0,0,0,0,0,0,0,0,.000,6,2,2,0,0,0,0,0,0,0,0,0,0.00,SoftBank Hawks,
*大関 友久,1,0,1,0,0,0,0,0,0,.000,14,2.1,5,1,2,0,0,2,0,0,4,4,15.43,SoftBank Hawks,
大津 亮介,1,0,1,0,0,0,0,0,0,.000,16,3.2,3,0,2,0,0,1,0,0,3,3,7.36,SoftBank Hawks,
尾形 崇斗,1,0,0,0,0,0,0,0,0,.000,4,1,1,0,0,0,0,0,0,0,0,0,0.00,SoftBank Hawks,
上茶谷 大河,1,0,0,0,0,0,0,0,0,.000,9,2,2,1,1,0,0,2,0,0,2,2,9.00,SoftBank Hawks,
