Batter,Team,Bats,PA,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,K%,BB%,Swing%,Z-Swing%,Chase%,Contact%,Z-Con%,O-Con%,SwStr%,Whiff%,CSW%,PLUS%,GB%,FB%,LD%,OFFB%,IFFB%,AIR%,HR%,HR/FB,Pull%,Cent%,Oppo%,Pull AIR%
Duplantier Jon,Hanshin,L,28.0,57.14285714,0.0,35.9223301,40.0,28.94736842,59.45945946,69.23076923,36.36363636,14.5631068,40.54054054,50.48543689,72.81553398,90.90909091,0.0,9.090909091,0.0,0.0,9.090909091,0.0,,9.090909091,63.63636364,27.27272727,0.0,,0.5714285714,0.0,0.359223301,0.4,0.2894736842,0.5945945946,0.6923076923,0.3636363636,0.145631068,0.4054054054,0.5048543689,0.7281553398,0.9090909091,0.0,0.09090909091,0.0,0.0,0.09090909091,0.0,0.0,0.09090909091,0.6363636364,0.2727272727,0.0
Takanashi Hirotoshi,Yakult,R,27.0,55.55555556,0.0,38.0952381,38.70967742,37.20930233,67.5,70.83333333,62.5,12.38095238,32.5,45.71428571,73.33333333,91.66666667,8.333333333,0.0,8.333333333,0.0,8.333333333,0.0,0.0,16.66666667,83.33333333,0.0,0.0,,0.5555555556,0.0,0.380952381,0.3870967742,0.3720930233,0.675,0.7083333333,0.625,0.1238095238,0.325,0.4571428571,0.7333333333,0.9166666667,0.08333333333,0.0,0.08333333333,0.0,0.08333333333,0.0,0.0,0.1666666667,0.8333333333,0.0,0.0
Kanemaru Yumeto,Chunichi,L,27.0,62.96296296,0.0,30.10752688,29.23076923,32.14285714,50.0,57.89473684,33.33333333,15.05376344,50.0,61.29032258,79.56989247,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,20.0,50.0,30.0,0.0,,0.6296296296,0.0,0.3010752688,0.2923076923,0.3214285714,0.5,0.5789473684,0.3333333333,0.1505376344,0.5,0.6129032258,0.7956989247,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.3,0.0
Yamano Taichi,Yakult,L,27.0,29.62962963,3.703703704,44.16666667,50.79365079,36.84210526,83.01886792,81.25,85.71428571,7.5,16.98113208,29.16666667,67.5,77.77777778,11.11111111,11.11111111,11.11111111,0.0,22.22222222,0.0,0.0,5.555555556,55.55555556,38.88888889,0.0,,0.2962962963,0.03703703704,0.4416666667,0.5079365079,0.3684210526,0.8301886792,0.8125,0.8571428571,0.075,0.1698113208,0.2916666667,0.675,0.7777777778,0.1111111111,0.1111111111,0.1111111111,0.0,0.2222222222,0.0,0.0,0.05555555556,0.5555555556,0.3888888889,0.0
Ihara Takato,Hanshin,L,27.0,18.51851852,0.0,36.26373626,41.37931034,27.27272727,87.87878788,95.83333333,66.66666667,4.395604396,12.12121212,39.56043956,69.23076923,63.63636364,27.27272727,9.090909091,18.18181818,9.090909091,36.36363636,0.0,0.0,18.18181818,59.09090909,22.72727273,0.0,,0.1851851852,0.0,0.3626373626,0.4137931034,0.2727272727,0.8787878788,0.9583333333,0.6666666667,0.04395604396,0.1212121212,0.3956043956,0.6923076923,0.6363636364,0.2727272727,0.09090909091,0.1818181818,0.09090909091,0.3636363636,0.0,0.0,0.1818181818,0.5909090909,0.2272727273,0.0
Kamizato Kazuki,DeNA,L,27.0,29.62962963,3.703703704,52.67857143,77.55102041,33.33333333,69.49152542,76.31578947,57.14285714,16.07142857,30.50847458,25.89285714,54.46428571,29.41176471,58.82352941,11.76470588,52.94117647,5.882352941,70.58823529,0.0,0.0,11.76470588,41.17647059,47.05882353,5.555555556,,0.2962962963,0.03703703704,0.5267857143,0.7755102041,0.3333333333,0.6949152542,0.7631578947,0.5714285714,0.1607142857,0.3050847458,0.2589285714,0.5446428571,0.2941176471,0.5882352941,0.1176470588,0.5294117647,0.05882352941,0.7058823529,0.0,0.0,0.1176470588,0.4117647059,0.4705882353,0.05555555556
Yanagi Yuya,Chunichi,R,26.0,42.30769231,3.846153846,42.42424242,50.90909091,31.81818182,64.28571429,85.71428571,21.42857143,15.15151515,35.71428571,41.41414141,67.67676768,64.28571429,35.71428571,0.0,28.57142857,7.142857143,35.71428571,0.0,0.0,21.42857143,71.42857143,7.142857143,0.0,,0.4230769231,0.03846153846,0.4242424242,0.5090909091,0.3181818182,0.6428571429,0.8571428571,0.2142857143,0.1515151515,0.3571428571,0.4141414141,0.6767676768,0.6428571429,0.3571428571,0.0,0.2857142857,0.07142857143,0.3571428571,0.0,0.0,0.2142857143,0.7142857143,0.07142857143,0.0
Yamanobe Kakeru,Seibu,R,26.0,33.33333333,0.0,33.33333333,40.0,25.0,100.0,100.0,100.0,0.0,0.0,33.33333333,66.66666667,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,100.0,0.0,0.0,0.0,,0.3333333333,0.0,0.3333333333,0.4,0.25,1.0,1.0,1.0,0.0,0.0,0.3333333333,0.6666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Ishida Yutaro,DeNA,R,26.0,30.76923077,3.846153846,59.81308411,54.83870968,66.66666667,78.125,79.41176471,76.66666667,13.08411215,21.875,37.38317757,83.17757009,82.35294118,5.882352941,11.76470588,0.0,5.882352941,17.64705882,0.0,0.0,23.52941176,29.41176471,47.05882353,5.882352941,,0.3076923077,0.03846153846,0.5981308411,0.5483870968,0.6666666667,0.78125,0.7941176471,0.7666666667,0.1308411215,0.21875,0.3738317757,0.8317757009,0.8235294118,0.05882352941,0.1176470588,0.0,0.05882352941,0.1764705882,0.0,0.0,0.2352941176,0.2941176471,0.4705882353,0.05882352941
Kobayashi Seiji,Yomiuri,R,26.0,30.76923077,11.53846154,40.0,56.0,22.22222222,76.31578947,85.71428571,50.0,9.473684211,23.68421053,29.47368421,58.94736842,46.66666667,53.33333333,0.0,40.0,13.33333333,53.33333333,0.0,0.0,26.66666667,66.66666667,6.666666667,6.666666667,,0.3076923077,0.1153846154,0.4,0.56,0.2222222222,0.7631578947,0.8571428571,0.5,0.09473684211,0.2368421053,0.2947368421,0.5894736842,0.4666666667,0.5333333333,0.0,0.4,0.1333333333,0.5333333333,0.0,0.0,0.2666666667,0.6666666667,0.06666666667,0.06666666667
Yamanobe Kakeru,Yakult,R,26.0,8.695652174,4.347826087,55.26315789,72.5,36.11111111,73.80952381,72.4137931,76.92307692,14.47368421,26.19047619,27.63157895,64.47368421,63.15789474,36.84210526,0.0,26.31578947,10.52631579,36.84210526,0.0,0.0,42.10526316,42.10526316,15.78947368,11.11111111,,0.08695652174,0.04347826087,0.5526315789,0.725,0.3611111111,0.7380952381,0.724137931,0.7692307692,0.1447368421,0.2619047619,0.2763157895,0.6447368421,0.6315789474,0.3684210526,0.0,0.2631578947,0.1052631579,0.3684210526,0.0,0.0,0.4210526316,0.4210526316,0.1578947368,0.1111111111
Hagio Masaya,Yomiuri,R,25.0,20.0,0.0,54.54545455,67.44186047,42.22222222,68.75,93.10344828,31.57894737,17.04545455,31.25,31.81818182,64.77272727,42.10526316,47.36842105,10.52631579,36.84210526,10.52631579,57.89473684,0.0,0.0,42.10526316,36.84210526,21.05263158,10.52631579,,0.2,0.0,0.5454545455,0.6744186047,0.4222222222,0.6875,0.9310344828,0.3157894737,0.1704545455,0.3125,0.3181818182,0.6477272727,0.4210526316,0.4736842105,0.1052631579,0.3684210526,0.1052631579,0.5789473684,0.0,0.0,0.4210526316,0.3684210526,0.2105263158,0.1052631579
Higuchi Seishu,Chunichi,L,25.0,32.0,4.0,47.25274725,61.11111111,27.02702703,62.79069767,72.72727273,30.0,17.58241758,37.20930233,38.46153846,68.13186813,42.85714286,57.14285714,0.0,42.85714286,14.28571429,57.14285714,0.0,0.0,50.0,35.71428571,14.28571429,20.0,,0.32,0.04,0.4725274725,0.6111111111,0.2702702703,0.6279069767,0.7272727273,0.3,0.1758241758,0.3720930233,0.3846153846,0.6813186813,0.4285714286,0.5714285714,0.0,0.4285714286,0.1428571429,0.5714285714,0.0,0.0,0.5,0.3571428571,0.1428571429,0.2
Tamamura Shogo,Hiroshima,L,25.0,56.0,4.0,41.86046512,44.0,38.88888889,58.33333333,72.72727273,35.71428571,17.44186047,41.66666667,46.51162791,70.93023256,70.0,10.0,20.0,10.0,0.0,30.0,0.0,0.0,10.0,50.0,40.0,0.0,,0.56,0.04,0.4186046512,0.44,0.3888888889,0.5833333333,0.7272727273,0.3571428571,0.1744186047,0.4166666667,0.4651162791,0.7093023256,0.7,0.1,0.2,0.1,0.0,0.3,0.0,0.0,0.1,0.5,0.4,0.0
Avila Pedro,Yakult,R,25.0,32.0,0.0,52.5,57.77777778,45.71428571,69.04761905,84.61538462,43.75,16.25,30.95238095,36.25,73.75,60.0,26.66666667,13.33333333,20.0,6.666666667,40.0,0.0,0.0,0.0,66.66666667,33.33333333,0.0,,0.32,0.0,0.525,0.5777777778,0.4571428571,0.6904761905,0.8461538462,0.4375,0.1625,0.3095238095,0.3625,0.7375,0.6,0.2666666667,0.1333333333,0.2,0.06666666667,0.4,0.0,0.0,0.0,0.6666666667,0.3333333333,0.0
Masuda Daiki,Yomiuri,R,25.0,28.0,0.0,50.63291139,63.46153846,25.92592593,72.5,81.81818182,28.57142857,13.92405063,27.5,32.91139241,69.62025316,66.66666667,33.33333333,0.0,27.77777778,5.555555556,33.33333333,0.0,0.0,22.22222222,55.55555556,22.22222222,5.555555556,,0.28,0.0,0.5063291139,0.6346153846,0.2592592593,0.725,0.8181818182,0.2857142857,0.1392405063,0.275,0.3291139241,0.6962025316,0.6666666667,0.3333333333,0.0,0.2777777778,0.05555555556,0.3333333333,0.0,0.0,0.2222222222,0.5555555556,0.2222222222,0.05555555556
Sekine Taiki,DeNA,L,24.0,8.333333333,0.0,52.17391304,66.66666667,36.36363636,88.88888889,95.83333333,75.0,5.797101449,11.11111111,23.1884058,63.76811594,65.0,35.0,0.0,30.0,5.0,35.0,0.0,0.0,35.0,35.0,30.0,0.0,,0.08333333333,0.0,0.5217391304,0.6666666667,0.3636363636,0.8888888889,0.9583333333,0.75,0.05797101449,0.1111111111,0.231884058,0.6376811594,0.65,0.35,0.0,0.3,0.05,0.35,0.0,0.0,0.35,0.35,0.3,0.0
Inoue Tomoya,SoftBank,R,24.0,20.83333333,0.0,59.45945946,69.04761905,46.875,63.63636364,82.75862069,26.66666667,21.62162162,36.36363636,39.18918919,72.97297297,50.0,33.33333333,16.66666667,16.66666667,16.66666667,50.0,0.0,0.0,50.0,44.44444444,5.555555556,21.05263158,,0.2083333333,0.0,0.5945945946,0.6904761905,0.46875,0.6363636364,0.8275862069,0.2666666667,0.2162162162,0.3636363636,0.3918918919,0.7297297297,0.5,0.3333333333,0.1666666667,0.1666666667,0.1666666667,0.5,0.0,0.0,0.5,0.4444444444,0.05555555556,0.2105263158
Chono Hisayoshi,Yomiuri,R,24.0,33.33333333,8.333333333,46.72897196,65.90909091,33.33333333,62.0,72.4137931,47.61904762,17.75700935,38.0,31.77570093,57.94392523,35.71428571,57.14285714,7.142857143,57.14285714,0.0,64.28571429,0.0,0.0,21.42857143,64.28571429,14.28571429,14.28571429,,0.3333333333,0.08333333333,0.4672897196,0.6590909091,0.3333333333,0.62,0.724137931,0.4761904762,0.1775700935,0.38,0.3177570093,0.5794392523,0.3571428571,0.5714285714,0.07142857143,0.5714285714,0.0,0.6428571429,0.0,0.0,0.2142857143,0.6428571429,0.1428571429,0.1428571429
Matsubara Seiya,Seibu,L,24.0,25.0,0.0,52.74725275,69.81132075,28.94736842,81.25,83.78378378,72.72727273,9.89010989,18.75,25.27472527,62.63736264,23.52941176,52.94117647,23.52941176,47.05882353,5.882352941,76.47058824,0.0,0.0,41.17647059,35.29411765,23.52941176,22.22222222,,0.25,0.0,0.5274725275,0.6981132075,0.2894736842,0.8125,0.8378378378,0.7272727273,0.0989010989,0.1875,0.2527472527,0.6263736264,0.2352941176,0.5294117647,0.2352941176,0.4705882353,0.05882352941,0.7647058824,0.0,0.0,0.4117647059,0.3529411765,0.2352941176,0.2222222222
Kuriyama Takumi,Seibu,L,23.0,30.43478261,0.0,56.19047619,78.0,36.36363636,74.57627119,82.05128205,60.0,14.28571429,25.42372881,24.76190476,64.76190476,50.0,50.0,0.0,42.85714286,7.142857143,50.0,0.0,0.0,35.71428571,35.71428571,28.57142857,18.75,,0.3043478261,0.0,0.5619047619,0.78,0.3636363636,0.7457627119,0.8205128205,0.6,0.1428571429,0.2542372881,0.2476190476,0.6476190476,0.5,0.5,0.0,0.4285714286,0.07142857143,0.5,0.0,0.0,0.3571428571,0.3571428571,0.2857142857,0.1875
Watanabe Ryo,Hanshin,R,23.0,34.7826087,17.39130435,47.0,71.11111111,27.27272727,63.82978723,71.875,46.66666667,17.0,36.17021277,30.0,57.0,50.0,40.0,10.0,40.0,0.0,50.0,0.0,0.0,50.0,50.0,0.0,18.18181818,,0.347826087,0.1739130435,0.47,0.7111111111,0.2727272727,0.6382978723,0.71875,0.4666666667,0.17,0.3617021277,0.3,0.57,0.5,0.4,0.1,0.4,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.1818181818
Griffin Foster,Yomiuri,L,23.0,26.08695652,4.347826087,43.52941176,58.82352941,20.58823529,70.27027027,73.33333333,57.14285714,12.94117647,29.72972973,32.94117647,62.35294118,87.5,6.25,6.25,6.25,0.0,12.5,0.0,0.0,43.75,37.5,18.75,6.25,,0.2608695652,0.04347826087,0.4352941176,0.5882352941,0.2058823529,0.7027027027,0.7333333333,0.5714285714,0.1294117647,0.2972972973,0.3294117647,0.6235294118,0.875,0.0625,0.0625,0.0625,0.0,0.125,0.0,0.0,0.4375,0.375,0.1875,0.0625
Mori Shunta,Chunichi,L,22.0,36.36363636,4.545454545,54.16666667,64.86486486,47.45762712,53.84615385,58.33333333,50.0,25.0,46.15384615,38.54166667,63.54166667,41.66666667,50.0,8.333333333,25.0,25.0,58.33333333,0.0,0.0,58.33333333,33.33333333,8.333333333,25.0,,0.3636363636,0.04545454545,0.5416666667,0.6486486486,0.4745762712,0.5384615385,0.5833333333,0.5,0.25,0.4615384615,0.3854166667,0.6354166667,0.4166666667,0.5,0.08333333333,0.25,0.25,0.5833333333,0.0,0.0,0.5833333333,0.3333333333,0.08333333333,0.25
Sasahara Misaki,Yomiuri,R,22.0,31.81818182,9.090909091,48.42105263,70.45454545,29.41176471,78.26086957,96.77419355,40.0,10.52631579,21.73913043,24.21052632,60.0,38.46153846,53.84615385,7.692307692,46.15384615,7.692307692,61.53846154,0.0,0.0,53.84615385,30.76923077,15.38461538,30.76923077,,0.3181818182,0.09090909091,0.4842105263,0.7045454545,0.2941176471,0.7826086957,0.9677419355,0.4,0.1052631579,0.2173913043,0.2421052632,0.6,0.3846153846,0.5384615385,0.07692307692,0.4615384615,0.07692307692,0.6153846154,0.0,0.0,0.5384615385,0.3076923077,0.1538461538,0.3076923077
Takeda Aito,Lotte,R,21.0,23.80952381,0.0,69.64285714,75.86206897,62.96296296,66.66666667,77.27272727,52.94117647,23.21428571,33.33333333,28.57142857,76.78571429,66.66666667,26.66666667,6.666666667,6.666666667,20.0,33.33333333,0.0,0.0,26.66666667,40.0,33.33333333,13.33333333,,0.2380952381,0.0,0.6964285714,0.7586206897,0.6296296296,0.6666666667,0.7727272727,0.5294117647,0.2321428571,0.3333333333,0.2857142857,0.7678571429,0.6666666667,0.2666666667,0.06666666667,0.06666666667,0.2,0.3333333333,0.0,0.0,0.2666666667,0.4,0.3333333333,0.1333333333
