Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,wSB,Team,League
Makihara Taisei,6,24,23,1,7,0,1,0,9,1,0,1,0,0,7,0,0,1,0,0.304,0.333,0.391,0.725,123,0.087,0.438,29.2%,29.2%,0.0%,0.00,-0.4,SoftBank Hawks,PL
Kai Takuya,6,19,15,1,5,1,0,0,6,2,0,2,2,0,5,2,0,0,0,0.333,0.412,0.400,0.812,151,0.067,0.500,36.8%,26.3%,10.5%,0.40,-0.7,SoftBank Hawks,PL
Kamizato Kazuki,2,3,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.500,0.667,0.500,1.167,254,0.000,0.500,33.3%,0.0%,33.3%,1.00,-0.0,DeNA BayStars,CL
Fukuda Shuhei,9,33,26,0,4,0,0,0,4,1,1,0,3,0,3,4,0,0,0,0.154,0.267,0.154,0.421,32,0.000,0.174,21.2%,9.1%,12.1%,1.33,0.1,ORIX Buffaloes,PL
Itohara Kento,6,15,14,0,3,0,0,0,3,0,0,0,1,0,3,0,0,0,0,0.214,0.214,0.214,0.429,33,0.000,0.273,20.0%,20.0%,0.0%,0.00,-0.0,Hanshin Tigers,CL
Kurebayashi Kotaro,11,40,36,2,10,4,0,0,14,2,0,0,2,0,5,2,0,0,1,0.278,0.316,0.389,0.705,120,0.111,0.323,17.5%,12.5%,5.0%,0.40,-0.0,ORIX Buffaloes,PL
Wakatsuki Kenya,7,22,18,2,4,1,0,0,5,1,0,0,1,0,5,3,0,0,0,0.222,0.333,0.278,0.611,93,0.056,0.308,36.4%,22.7%,13.6%,0.60,-0.0,ORIX Buffaloes,PL
Fujinami Shintaro,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-105,0.000,,100.0%,100.0%,0.0%,0.00,0.0,Hanshin Tigers,CL
Fujita Kazuya,2,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.333,0.333,0.333,0.667,102,0.000,0.333,0.0%,0.0%,0.0%,,-0.0,DeNA BayStars,CL
Nishi Yuki,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,539,0.000,1.000,0.0%,0.0%,0.0%,,-0.0,Hanshin Tigers,CL
Nishi Junya,2,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,844,1.000,1.000,0.0%,0.0%,0.0%,,0.0,Hanshin Tigers,CL
Nishino Masahiro,9,24,18,2,6,1,0,0,7,4,0,0,1,2,1,3,0,0,0,0.333,0.391,0.389,0.780,146,0.056,0.316,16.7%,4.2%,12.5%,3.00,-0.0,ORIX Buffaloes,PL
Tanigawara Kenta,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-101,0.000,0.000,0.0%,0.0%,0.0%,,0.0,SoftBank Hawks,PL
Chikamoto Koji,6,25,23,3,8,1,0,0,9,4,1,0,0,0,3,2,0,0,1,0.348,0.400,0.391,0.791,150,0.043,0.400,20.0%,12.0%,8.0%,0.67,0.1,Hanshin Tigers,CL
Noguchi Tomoya,2,2,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.500,0.500,0.500,1.000,216,0.000,1.000,50.0%,50.0%,0.0%,0.00,-0.0,ORIX Buffaloes,PL
Nomura Isami,1,3,3,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0.333,0.333,1.333,1.667,400,1.000,0.000,33.3%,0.0%,0.0%,,0.0,SoftBank Hawks,PL
Kaneko Yuji,2,7,7,0,3,1,0,0,4,1,0,0,0,0,1,0,0,0,0,0.429,0.429,0.571,1.000,205,0.143,0.500,14.3%,14.3%,0.0%,0.00,-0.0,Seibu Lions,PL
Suzuki Shohei,1,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-100,0.000,0.000,33.3%,33.3%,0.0%,0.00,0.0,Seibu Lions,PL
Nagaoka Hideki,10,40,34,4,7,0,0,1,10,2,0,0,3,0,3,3,1,0,0,0.206,0.270,0.294,0.564,69,0.088,0.200,17.5%,7.5%,7.5%,1.00,-0.0,Yakult Swallows,CL
Sekine Taiki,2,5,3,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0.000,0.400,0.000,0.400,29,0.000,0.000,80.0%,40.0%,40.0%,1.00,-0.0,DeNA BayStars,CL
Yohkawa Naomasa,5,11,10,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,1,0.000,0.000,0.000,0.000,-105,0.000,0.000,45.5%,45.5%,0.0%,0.00,0.0,Hanshin Tigers,CL
Aoki Norichika,8,16,14,1,4,1,0,0,5,1,0,0,0,0,4,1,0,1,2,0.286,0.375,0.357,0.732,119,0.071,0.400,31.2%,25.0%,6.2%,0.25,-0.0,Yakult Swallows,CL
Aoyagi Koyo,2,6,6,1,2,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0.333,0.333,0.500,0.833,161,0.167,0.400,16.7%,16.7%,0.0%,0.00,-0.0,Hanshin Tigers,CL
Tongu Yuma,7,20,15,0,1,0,0,0,1,1,0,0,0,0,3,5,0,0,0,0.067,0.300,0.067,0.367,17,0.000,0.083,40.0%,15.0%,25.0%,1.67,-0.0,ORIX Buffaloes,PL
Takahashi Keiji,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-95,0.000,,100.0%,100.0%,0.0%,0.00,0.0,Yakult Swallows,CL
Takatera Nozomu,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-105,0.000,,100.0%,100.0%,0.0%,0.00,0.0,Hanshin Tigers,CL
Ｔ－岡田,4,10,10,0,1,0,0,0,1,1,0,0,0,0,4,0,0,0,1,0.100,0.100,0.100,0.200,-40,0.000,0.167,40.0%,40.0%,0.0%,0.00,-0.0,ORIX Buffaloes,PL
