Pitcher,G,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,GB%,Chase%,Con%,SwStr%,CSW%,FB Velo,Team,Age,T,League
Yabuta Kazuki,18,1,0,0,1,0,0,103,24.0,19,2,16,14,0,1,1,11,11,4.13,4.73,4.61,1.38,76,134,128,-0.60,1.9%,15.5%,13.6%,1.9%,37.5%,27.5%,76.2%,10.3%,25.4%,90.9,Hiroshima Carp,29,R,CL
Yasaki Takuya,47,2,0,1,17,0,0,204,49.1,35,2,51,25,1,0,2,12,10,1.82,3.08,3.53,1.22,173,88,98,-1.26,1.0%,25.0%,12.3%,12.7%,32.8%,27.7%,72.8%,13.3%,26.5%,92.5,Hiroshima Carp,27,R,CL
Ariyoshi Yuki,1,0,1,0,0,0,0,18,4.0,4,0,1,1,0,1,0,3,3,6.75,4.10,4.80,1.25,50,109,133,2.65,0.0%,5.6%,5.6%,0.0%,46.7%,22.2%,100.0%,0.0%,25.4%,86.1,DeNA BayStars,31,R,CL
Azuma Katsuki,12,1,6,0,0,0,0,229,50.2,67,5,41,10,0,2,1,30,26,4.62,3.48,3.45,1.52,73,93,96,1.14,2.2%,17.9%,4.4%,13.5%,48.3%,31.5%,81.9%,9.2%,28.6%,88.6,DeNA BayStars,26,L,CL
Escobar Edwin,70,4,2,2,34,0,0,268,63.1,48,4,51,29,2,5,0,17,17,2.42,3.92,3.98,1.22,139,105,111,-1.50,1.5%,19.0%,10.8%,8.2%,46.8%,28.8%,77.3%,11.6%,25.3%,95.6,DeNA BayStars,30,L,CL
Gsellman Robert,4,1,1,0,0,0,0,81,20.1,15,1,12,6,0,2,0,6,6,2.66,3.74,4.06,1.03,127,100,113,-1.08,1.2%,14.8%,7.4%,7.4%,70.5%,27.7%,77.4%,10.1%,26.0%,92.2,DeNA BayStars,,,CL
Hamaguchi Haruhiro,19,8,7,0,0,0,0,464,112.1,104,8,88,33,1,2,3,42,42,3.36,3.40,3.61,1.22,100,90,100,-0.04,1.7%,19.0%,7.1%,11.9%,50.4%,28.3%,77.8%,10.0%,28.1%,87.1,DeNA BayStars,27,L,CL
Hirata Shingo,47,4,3,0,10,0,0,180,42.0,47,5,39,8,0,2,0,21,20,4.29,3.51,3.08,1.31,78,93,86,0.78,2.8%,21.7%,4.4%,17.2%,46.9%,26.1%,79.5%,9.6%,26.4%,90.5,DeNA BayStars,32,R,CL
Ikeya Sota,6,1,0,0,0,0,0,26,5.1,3,1,7,7,0,0,0,2,2,3.38,6.85,4.80,1.88,100,183,133,-3.47,3.8%,26.9%,26.9%,0.0%,33.3%,20.3%,81.6%,5.9%,31.9%,85.4,DeNA BayStars,22,L,CL
Imanaga Shota,21,11,4,0,0,3,2,560,143.2,106,14,132,29,1,3,3,37,36,2.26,3.20,2.96,0.94,149,85,82,-0.94,2.5%,23.6%,5.2%,18.4%,39.1%,29.6%,75.9%,12.2%,27.9%,91.5,DeNA BayStars,28,L,CL
Irie Taisei,57,5,1,0,10,0,0,262,63.0,49,4,69,26,2,1,2,23,21,3.00,3.02,3.16,1.19,112,81,88,-0.02,1.5%,26.3%,9.9%,16.4%,53.1%,31.4%,72.6%,12.8%,30.8%,94.4,DeNA BayStars,23,R,CL
Ise Hiromu,71,3,3,1,39,0,0,269,68.0,52,1,69,17,4,5,2,14,13,1.72,2.24,2.87,1.01,196,60,80,-0.52,0.4%,25.7%,6.3%,19.3%,53.3%,26.0%,73.9%,12.9%,31.1%,92.4,DeNA BayStars,24,R,CL
Ishida Kenta,15,7,4,0,0,0,0,337,82.1,67,8,68,26,3,1,3,30,27,2.95,3.70,3.55,1.13,114,98,99,-0.75,2.4%,20.2%,7.7%,12.5%,47.6%,25.5%,76.5%,10.5%,29.7%,87.8,DeNA BayStars,29,L,CL
Ishikawa Tatsuya,3,0,0,0,0,0,0,28,5.1,4,1,3,7,0,1,0,5,5,8.44,8.92,6.23,2.06,40,237,173,-0.48,3.6%,10.7%,25.0%,-14.3%,35.3%,17.2%,85.0%,5.7%,22.6%,87.4,DeNA BayStars,24,L,CL
Kamichatani Taiga,13,3,6,0,0,1,1,278,66.2,65,8,49,17,3,2,0,40,35,4.73,4.05,3.65,1.23,71,108,101,0.68,2.9%,17.6%,6.1%,11.5%,50.5%,24.8%,78.9%,9.7%,28.8%,90.0,DeNA BayStars,25,R,CL
Kriske Brooks,18,1,1,1,4,0,0,89,21.0,15,2,26,13,0,0,3,7,6,2.57,3.72,3.34,1.33,131,99,93,-1.15,2.2%,29.2%,14.6%,14.6%,46.0%,30.9%,65.7%,15.7%,32.4%,94.7,DeNA BayStars,28,R,CL
Kyoyama Masaya,17,2,2,0,1,0,0,254,55.2,56,4,39,30,0,5,7,24,20,3.23,4.52,4.45,1.54,104,120,124,-1.29,1.6%,15.4%,11.8%,3.5%,53.9%,22.6%,78.2%,9.9%,24.6%,91.7,DeNA BayStars,23,R,CL
Mikami Tomoya,19,0,0,0,0,0,0,106,24.2,28,3,19,8,2,1,0,10,10,3.65,4.24,3.76,1.46,92,113,105,-0.59,2.8%,17.9%,7.5%,10.4%,44.3%,25.6%,82.1%,8.5%,27.7%,89.8,DeNA BayStars,33,R,CL
Mishima Kazuki,13,2,2,1,5,0,0,50,12.2,8,1,11,6,1,0,0,4,4,2.84,3.81,3.80,1.11,118,102,106,-0.97,2.0%,22.0%,12.0%,10.0%,50.0%,23.2%,67.8%,13.4%,29.2%,92.3,DeNA BayStars,32,R,CL
Miura Ginji,6,0,0,0,0,0,0,42,8.1,16,2,8,1,0,0,0,10,10,10.80,4.66,3.13,2.04,31,124,87,6.14,4.8%,19.0%,2.4%,16.7%,24.2%,34.9%,71.1%,15.1%,30.8%,89.5,DeNA BayStars,22,R,CL
Miyaguni Ryosuke,17,0,0,0,2,0,0,103,20.2,35,6,13,5,0,1,1,20,20,8.71,6.49,4.02,1.94,39,173,112,2.22,5.8%,12.6%,4.9%,7.8%,44.0%,25.9%,83.9%,7.2%,27.8%,88.4,DeNA BayStars,30,R,CL
Morihara Kohei,6,0,0,0,0,0,0,24,6.0,6,2,8,0,0,0,0,4,4,6.00,4.77,1.47,1.00,56,127,41,1.23,8.3%,33.3%,0.0%,33.3%,43.8%,46.9%,70.6%,18.8%,33.8%,90.7,DeNA BayStars,,,CL
Nakagawa Koh,8,0,0,0,0,0,0,46,10.1,8,1,11,7,0,1,0,5,5,4.35,4.55,3.93,1.45,77,121,109,-0.20,2.2%,23.9%,15.2%,8.7%,40.7%,16.5%,79.1%,7.5%,27.4%,90.7,DeNA BayStars,22,R,CL
Ohnuki Shinichi,24,11,8,0,0,0,0,562,136.2,126,13,118,36,2,8,4,48,42,2.77,3.58,3.34,1.19,121,95,93,-0.81,2.3%,21.0%,6.4%,14.6%,52.0%,26.3%,76.1%,10.7%,30.5%,89.3,DeNA BayStars,28,R,CL
Peoples Michael,3,0,2,0,0,0,0,18,3.0,9,0,4,1,0,0,0,5,5,15.00,1.44,3.13,3.33,22,38,87,13.56,0.0%,22.2%,5.6%,16.7%,76.9%,26.7%,80.6%,9.9%,28.2%,88.1,DeNA BayStars,30,R,CL
Romero Fernando,23,6,8,0,0,0,0,420,92.1,100,8,54,35,1,9,5,59,50,4.87,4.49,4.35,1.46,69,120,121,0.38,1.9%,12.9%,8.3%,4.5%,52.7%,26.8%,80.1%,9.8%,23.6%,93.6,DeNA BayStars,27,R,CL
Sakaguchi Kousuke,1,0,0,0,0,0,0,14,3.0,4,1,2,1,0,0,0,3,3,9.00,7.10,4.09,1.67,37,189,114,1.90,7.1%,14.3%,7.1%,7.1%,54.5%,22.9%,85.7%,7.2%,17.4%,91.1,DeNA BayStars,22,R,CL
Sakamoto Yuya,15,0,5,0,0,0,0,212,48.0,52,9,28,21,0,3,1,33,33,6.19,5.87,4.47,1.52,54,156,124,0.32,4.2%,13.2%,9.9%,3.3%,50.6%,26.9%,78.9%,9.9%,26.1%,88.8,DeNA BayStars,24,L,CL
Sunada Yoshiki,15,0,0,0,0,0,0,62,12.2,17,2,8,5,1,1,0,9,8,5.68,5.31,4.32,1.74,59,142,120,0.37,3.2%,12.9%,8.1%,4.8%,41.9%,23.1%,84.6%,6.7%,28.1%,86.7,DeNA BayStars,26,L,CL
Tanaka Kenjiro,47,3,0,0,13,0,0,160,37.2,31,5,25,14,2,2,1,14,11,2.63,4.78,4.11,1.19,128,127,114,-2.15,3.1%,15.6%,8.8%,6.9%,49.6%,26.4%,78.8%,9.3%,26.3%,87.9,DeNA BayStars,32,L,CL
Yamasaki Yasuaki,56,0,2,37,3,0,0,197,54.1,29,4,42,9,1,0,1,9,8,1.33,3.01,3.12,0.70,253,80,87,-1.68,2.0%,21.3%,4.6%,16.8%,55.5%,33.1%,76.5%,12.0%,28.8%,92.5,DeNA BayStars,29,R,CL
Akahoshi Yuji,31,5,5,0,5,0,0,347,78.0,81,8,52,32,1,4,0,50,35,4.04,4.49,4.22,1.45,84,119,117,-0.45,2.3%,15.0%,9.2%,5.8%,51.6%,27.4%,82.8%,7.9%,24.1%,90.7,Yomiuri Giants,22,R,CL
Andriese Matt,5,0,2,0,0,0,0,87,18.2,28,3,18,4,0,1,0,11,10,4.82,4.07,3.19,1.71,70,108,89,0.75,3.4%,20.7%,4.6%,16.1%,60.9%,25.5%,80.1%,9.0%,27.1%,89.9,Yomiuri Giants,32,R,CL
De La Rosa Rubby,30,0,0,1,11,0,0,108,27.1,18,2,24,10,0,2,0,9,7,2.30,3.62,3.50,1.02,147,96,97,-1.32,1.9%,22.2%,9.3%,13.0%,50.0%,31.0%,77.7%,11.0%,25.1%,94.4,Yomiuri Giants,33,R,CL
Hatake Seishu,27,3,0,1,5,0,0,122,28.2,22,3,22,14,2,0,1,11,10,3.14,4.39,4.14,1.26,108,116,115,-1.25,2.5%,18.0%,11.5%,6.6%,61.3%,22.8%,78.9%,9.7%,24.0%,90.4,Yomiuri Giants,28,R,CL
Heinai Ryuta,53,4,4,0,13,0,0,213,50.0,53,4,39,13,0,3,2,26,24,4.32,3.54,3.58,1.32,78,94,99,0.78,1.9%,18.3%,6.1%,12.2%,47.1%,27.6%,77.3%,11.0%,26.7%,94.2,Yomiuri Giants,23,R,CL
Hotta Kenshin,8,2,3,0,0,0,0,150,34.1,38,5,24,16,1,1,0,24,24,6.29,5.08,4.27,1.57,54,135,119,1.21,3.3%,16.0%,10.7%,5.3%,40.6%,29.4%,80.4%,9.2%,24.8%,89.5,Yomiuri Giants,21,R,CL
Imamura Nobutaka,55,2,4,0,21,0,0,227,53.0,45,3,34,22,1,4,1,24,21,3.57,4.03,4.27,1.26,95,107,119,-0.46,1.3%,15.0%,9.7%,5.3%,53.9%,22.9%,81.9%,8.0%,26.0%,89.8,Yomiuri Giants,28,L,CL
Inoh Shoichi,7,1,0,0,1,0,0,22,5.0,5,0,4,2,0,0,1,1,1,1.80,2.70,3.89,1.40,188,72,108,-0.90,0.0%,18.2%,9.1%,9.1%,62.5%,23.4%,84.0%,7.7%,25.0%,90.8,Yomiuri Giants,36,R,CL
Inoue Haruto,7,1,1,0,0,0,0,106,24.0,28,4,27,7,0,0,0,18,16,6.00,3.89,2.91,1.46,56,103,81,2.11,3.8%,25.5%,6.6%,18.9%,44.4%,28.5%,82.7%,7.7%,29.5%,90.1,Yomiuri Giants,21,L,CL
Kagiya Yohei,21,2,0,0,3,0,0,74,17.0,21,4,9,5,0,0,0,8,7,3.71,5.99,4.26,1.53,91,159,118,-2.28,5.4%,12.2%,6.8%,5.4%,51.7%,25.2%,91.6%,4.3%,19.1%,89.2,Yomiuri Giants,31,R,CL
Kikuchi Taiki,16,0,2,0,0,0,0,82,17.2,16,2,21,13,0,1,2,13,11,5.60,4.57,3.82,1.64,60,121,106,1.03,2.4%,25.6%,15.9%,9.8%,42.6%,26.7%,75.4%,9.9%,28.8%,92.3,Yomiuri Giants,23,R,CL
Krol Ian,21,1,1,1,5,0,0,89,21.0,17,1,15,10,0,1,2,10,9,3.86,3.86,4.24,1.29,88,102,118,-0.00,1.1%,16.9%,11.2%,5.6%,54.0%,30.1%,79.3%,9.9%,26.6%,92.1,Yomiuri Giants,31,L,CL
Kuwahara Takuya,49,3,2,0,13,0,0,194,45.1,50,3,30,12,2,1,1,26,26,5.16,3.50,3.87,1.37,66,93,108,1.66,1.5%,15.5%,6.2%,9.3%,37.9%,24.5%,81.5%,9.3%,24.7%,92.6,Yomiuri Giants,26,R,CL
Mercedes CC,20,5,7,0,0,0,0,458,110.1,107,7,74,31,1,3,1,44,39,3.18,3.51,3.86,1.25,106,93,107,-0.33,1.5%,16.2%,6.8%,9.4%,54.8%,21.5%,84.0%,6.6%,29.3%,88.2,Yomiuri Giants,,,CL
Naoe Daisuke,9,1,1,0,0,0,0,79,18.2,12,2,16,8,0,3,1,9,7,3.38,4.55,3.79,1.07,100,121,105,-1.17,2.5%,20.3%,10.1%,10.1%,46.2%,28.5%,81.0%,7.8%,26.2%,89.4,Yomiuri Giants,22,R,CL
Ohe Ryusei,3,0,0,0,0,0,0,26,5.1,5,1,5,3,0,1,0,2,1,1.69,5.92,4.03,1.50,200,157,112,-4.23,3.8%,19.2%,11.5%,7.7%,53.3%,13.0%,83.3%,6.0%,30.0%,85.1,Yomiuri Giants,23,L,CL
Ota Taisei,57,1,3,37,8,0,0,221,57.0,38,7,60,13,0,3,1,17,13,2.05,3.44,2.67,0.89,165,91,74,-1.39,3.2%,27.1%,5.9%,21.3%,61.1%,32.0%,70.7%,15.4%,30.7%,95.1,Yomiuri Giants,23,R,CL
Sakurai Toshiki,8,2,0,0,0,0,0,46,8.1,13,3,9,6,0,2,1,13,13,14.04,8.50,4.15,2.28,24,225,115,5.54,6.5%,19.6%,13.0%,6.5%,53.6%,21.1%,74.0%,9.9%,26.6%,90.4,Yomiuri Giants,28,R,CL
Shoemaker Matt,18,4,8,0,0,1,1,406,95.1,92,13,65,30,0,5,1,50,45,4.25,4.61,3.94,1.28,80,122,109,-0.36,3.2%,16.0%,7.4%,8.6%,54.6%,30.4%,78.4%,9.9%,27.5%,89.6,Yomiuri Giants,35,R,CL
Sugano Tomoyuki,23,10,7,0,0,0,0,596,147.0,138,15,104,26,1,6,2,52,51,3.12,3.67,3.49,1.12,108,97,97,-0.55,2.5%,17.4%,4.4%,13.1%,48.1%,29.0%,80.6%,9.2%,27.4%,91.0,Yomiuri Giants,32,R,CL
Takagi Kyosuke,17,0,1,0,2,0,0,86,19.1,19,1,13,8,0,0,1,9,6,2.79,3.67,4.22,1.40,121,97,117,-0.88,1.2%,15.1%,9.3%,5.8%,40.6%,29.4%,82.3%,7.9%,25.2%,89.1,Yomiuri Giants,32,L,CL
Takahashi Yuki,10,1,5,0,0,0,0,130,26.2,34,1,21,18,0,0,1,20,16,5.40,4.04,4.57,1.95,63,107,127,1.36,0.8%,16.2%,13.8%,2.3%,40.9%,22.1%,81.0%,8.0%,25.2%,88.7,Yomiuri Giants,25,L,CL
Takanashi Yuhei,59,2,0,0,25,0,0,195,46.1,32,1,44,19,2,4,1,13,11,2.14,2.97,3.52,1.10,158,79,98,-0.83,0.5%,22.6%,9.7%,12.8%,57.1%,26.4%,76.9%,10.5%,28.1%,88.9,Yomiuri Giants,29,L,CL
Toda Natsuki,14,1,0,0,0,0,0,104,22.0,33,6,15,6,0,1,1,17,16,6.55,6.24,3.93,1.77,52,165,109,0.31,5.8%,14.4%,5.8%,8.7%,43.9%,25.9%,82.6%,8.1%,22.8%,90.4,Yomiuri Giants,21,R,CL
Togo Shosei,25,12,8,0,0,3,1,702,171.2,146,11,154,51,1,8,3,52,50,2.62,3.17,3.33,1.15,129,84,93,-0.55,1.6%,21.9%,7.3%,14.7%,44.6%,30.8%,76.1%,11.9%,27.7%,91.1,Yomiuri Giants,22,R,CL
Tone Chiaki,9,0,0,0,0,0,0,63,14.1,16,4,9,3,0,1,0,8,8,5.02,6.31,3.85,1.33,67,167,107,-1.29,6.3%,14.3%,4.8%,9.5%,33.3%,26.0%,90.2%,4.2%,23.7%,90.1,Yomiuri Giants,29,L,CL
Vieira Thyago,9,0,2,0,0,0,0,39,7.1,9,3,8,8,0,1,0,9,8,9.82,9.92,4.80,2.32,34,263,133,-0.10,7.7%,20.5%,20.5%,0.0%,40.9%,21.1%,71.6%,12.1%,26.4%,97.1,Yomiuri Giants,29,R,CL
Yamaguchi Shun,1,0,0,0,0,0,0,8,2.0,0,0,4,2,0,0,0,0,0,0.00,2.10,2.30,1.00,999,56,64,-2.10,0.0%,50.0%,25.0%,25.0%,50.0%,17.6%,78.9%,10.0%,25.0%,89.0,Yomiuri Giants,34,R,CL
Yamamoto Itsuki,2,0,0,0,0,0,0,10,2.0,2,0,0,1,0,0,0,1,0,0.00,4.60,5.80,1.50,999,122,161,-4.60,0.0%,0.0%,10.0%,-10.0%,44.4%,15.0%,93.8%,2.3%,25.6%,86.6,Yomiuri Giants,24,L,CL
Yamasaki Iori,20,5,5,0,1,0,0,410,97.1,95,6,55,20,1,9,0,37,34,3.14,3.67,3.95,1.18,108,97,110,-0.53,1.5%,13.4%,4.9%,8.5%,49.8%,27.8%,82.4%,8.0%,27.0%,89.6,Yomiuri Giants,23,R,CL
Yokogawa Kai,1,0,1,0,0,0,0,17,3.0,7,0,0,1,0,0,0,5,5,15.00,4.10,5.39,2.67,23,109,150,10.90,0.0%,0.0%,5.9%,-5.9%,66.7%,16.0%,90.9%,4.0%,16.0%,85.9,Yomiuri Giants,21,L,CL
Cole A.J.,34,2,0,0,6,0,0,145,36.0,25,3,32,14,1,1,2,13,11,2.75,3.66,3.56,1.08,125,95,99,-0.91,2.1%,22.1%,9.7%,12.4%,34.7%,27.1%,71.8%,13.4%,28.5%,92.3,Yakult Swallows,30,R,CL
Hara Juri,22,8,7,0,0,0,0,476,107.2,132,14,52,32,1,5,1,59,58,4.85,4.86,4.38,1.52,71,126,122,-0.01,2.9%,10.9%,6.7%,4.2%,48.3%,26.2%,86.1%,6.3%,24.4%,89.1,Yakult Swallows,28,R,CL
Hoshi Tomoya,7,0,1,0,0,0,0,56,12.1,14,2,12,6,0,1,0,6,6,4.38,4.97,3.73,1.62,79,129,104,-0.59,3.6%,21.4%,10.7%,10.7%,51.4%,25.4%,76.8%,9.9%,29.3%,90.6,Yakult Swallows,28,R,CL
Ichikawa Yuta,6,0,0,0,0,0,0,58,12.0,17,1,6,6,0,1,2,10,10,7.50,4.94,4.80,1.92,46,128,133,2.56,1.7%,10.3%,10.3%,0.0%,40.0%,23.7%,83.0%,7.2%,26.6%,86.5,Yakult Swallows,21,R,CL
Ishikawa Masanori,16,6,4,0,0,0,0,357,84.0,93,16,39,15,2,3,1,45,42,4.50,5.29,4.13,1.29,77,138,115,-0.79,4.5%,10.9%,4.2%,6.7%,49.5%,27.7%,85.6%,6.4%,27.8%,82.2,Yakult Swallows,42,L,CL
Ishiyama Taichi,38,2,0,0,16,0,0,148,36.0,27,0,35,14,2,2,2,7,7,1.75,2.49,3.38,1.14,197,65,94,-0.74,0.0%,23.6%,9.5%,14.2%,47.4%,26.5%,76.7%,10.6%,30.4%,92.0,Yakult Swallows,33,R,CL
Kanakubo Yuto,3,1,1,0,0,0,0,43,9.1,13,3,4,2,1,0,0,8,8,7.71,7.07,4.33,1.61,45,184,120,0.64,7.0%,9.3%,4.7%,4.7%,54.1%,18.2%,83.9%,7.3%,22.6%,89.0,Yakult Swallows,22,R,CL
Kizawa Naofumi,55,9,3,0,8,0,0,284,70.1,57,3,52,21,1,3,5,28,23,2.94,3.20,3.71,1.11,117,83,103,-0.26,1.1%,18.3%,7.4%,10.9%,53.4%,28.7%,79.0%,10.2%,25.5%,94.1,Yakult Swallows,24,R,CL
Konno Ryuta,51,1,2,1,16,0,0,198,46.0,45,4,37,16,1,2,2,22,19,3.72,3.80,3.74,1.33,93,99,104,-0.08,2.0%,18.7%,8.1%,10.6%,32.4%,24.0%,80.1%,9.1%,28.1%,89.4,Yakult Swallows,27,R,CL
Kozawa Reiji,10,2,1,0,0,0,0,200,46.0,48,4,44,17,1,6,2,21,21,4.11,3.82,3.45,1.41,84,99,96,0.29,2.0%,22.0%,8.5%,13.5%,44.7%,28.6%,76.5%,11.1%,29.0%,88.7,Yakult Swallows,24,R,CL
Kubo Takuma,29,1,0,0,7,0,0,107,26.2,19,1,19,13,2,2,1,8,8,2.70,3.85,4.24,1.20,128,100,118,-1.15,0.9%,17.8%,12.1%,5.6%,60.3%,21.6%,81.0%,7.8%,26.8%,86.1,Yakult Swallows,25,L,CL
McGough Scott,55,2,2,38,4,0,0,215,53.2,39,5,59,13,2,1,2,16,14,2.35,2.90,2.66,0.97,147,75,74,-0.55,2.3%,27.4%,6.0%,21.4%,39.1%,39.7%,68.1%,17.7%,32.5%,94.0,Yakult Swallows,32,R,CL
Miyadai Kohei,2,0,0,0,0,0,0,12,2.1,4,0,4,1,0,0,1,5,5,19.29,0.96,2.30,2.14,18,25,64,18.33,0.0%,33.3%,8.3%,25.0%,28.6%,31.0%,68.0%,16.3%,24.5%,92.1,Yakult Swallows,26,L,CL
Ogawa Yasuhiro,25,8,8,0,0,1,1,621,153.1,145,16,91,32,1,3,2,50,48,2.82,3.96,3.85,1.15,122,103,107,-1.14,2.6%,14.7%,5.2%,9.5%,45.0%,31.3%,82.1%,9.0%,26.1%,89.3,Yakult Swallows,32,R,CL
Ohnishi Hiroki,43,3,2,0,3,0,0,260,58.2,74,8,42,15,4,2,1,34,29,4.45,4.31,3.76,1.52,77,112,105,0.14,3.1%,16.2%,5.8%,10.4%,57.1%,30.8%,81.6%,9.1%,26.5%,91.3,Yakult Swallows,24,R,CL
Ohshita Yuma,10,0,0,0,1,0,0,62,15.0,16,4,11,3,0,0,0,10,7,4.20,5.70,3.51,1.27,82,148,98,-1.50,6.5%,17.7%,4.8%,12.9%,52.1%,32.2%,72.8%,12.9%,31.2%,87.7,Yakult Swallows,29,R,CL
Okugawa Yasunobu,1,0,0,0,0,0,0,15,4.0,2,1,3,1,0,0,0,1,1,2.25,5.60,3.47,0.75,153,146,96,-3.35,6.7%,20.0%,6.7%,13.3%,18.2%,33.3%,81.5%,9.4%,28.3%,90.5,Yakult Swallows,21,R,CL
Sakamoto Koshiro,7,0,1,0,0,0,0,59,10.2,15,4,11,9,0,1,2,14,11,9.28,8.73,4.46,2.25,37,227,124,0.55,6.8%,18.6%,15.3%,3.4%,35.1%,20.5%,80.6%,8.3%,25.6%,90.1,Yakult Swallows,27,L,CL
Shibata Daichi,1,0,0,0,0,0,0,10,1.0,5,0,2,1,0,0,1,5,1,9.00,2.10,3.80,6.00,38,55,106,6.90,0.0%,20.0%,10.0%,10.0%,71.4%,28.6%,83.3%,8.1%,18.9%,91.9,Yakult Swallows,24,R,CL
Shimizu Noboru,50,5,4,0,28,0,0,173,46.2,23,1,43,14,3,1,0,6,6,1.16,2.50,3.12,0.79,297,65,87,-1.34,0.6%,24.9%,8.1%,16.8%,48.2%,28.6%,68.7%,15.5%,29.7%,90.7,Yakult Swallows,25,R,CL
Sneed Cy,23,9,6,0,0,0,0,553,132.1,140,17,96,26,0,5,3,66,52,3.54,4.02,3.53,1.25,97,105,98,-0.48,3.1%,17.4%,4.7%,12.7%,44.9%,35.4%,81.1%,9.9%,26.8%,91.5,Yakult Swallows,29,R,CL
Suarez Andrew,6,0,0,0,0,0,0,102,21.2,27,4,16,7,0,0,2,17,15,6.23,5.00,3.92,1.57,55,130,109,1.23,3.9%,15.7%,6.9%,8.8%,40.5%,28.6%,80.9%,8.8%,27.2%,91.7,Yakult Swallows,29,L,CL
Sugiyama Koki,1,0,0,0,0,0,0,4,0.2,2,0,0,0,0,0,0,0,0,0.00,3.10,4.80,3.00,999,81,133,-3.10,0.0%,0.0%,0.0%,0.0%,75.0%,33.3%,100.0%,0.0%,22.2%,90.6,Yakult Swallows,25,R,CL
Taguchi Kazuto,45,1,1,2,18,0,0,143,36.0,30,0,31,8,2,3,1,7,5,1.25,2.30,3.19,1.06,276,60,89,-1.05,0.0%,21.7%,5.6%,16.1%,66.3%,30.4%,76.9%,11.4%,26.2%,90.1,Yakult Swallows,26,L,CL
Takahashi Keiji,17,8,2,0,0,2,1,416,102.2,75,9,113,37,3,9,1,32,30,2.63,3.39,2.97,1.09,131,88,83,-0.76,2.2%,27.2%,8.9%,18.3%,49.0%,25.8%,75.1%,11.6%,30.3%,92.3,Yakult Swallows,25,L,CL
Takanashi Hirotoshi,20,7,9,0,0,1,1,447,102.2,103,11,84,41,1,6,2,51,49,4.30,4.23,3.84,1.40,80,110,107,0.07,2.5%,18.8%,9.2%,9.6%,44.2%,24.2%,81.1%,8.2%,27.2%,89.2,Yakult Swallows,31,R,CL
Takeyama Hyuga,1,0,0,0,0,0,0,3,1.0,0,0,1,0,0,0,0,0,0,0.00,1.10,1.47,0.00,999,29,41,-1.10,0.0%,33.3%,0.0%,33.3%,0.0%,25.0%,66.7%,14.3%,28.6%,91.6,Yakult Swallows,18,R,CL
Umeno Yugo,41,4,3,0,16,0,0,168,39.0,37,6,26,15,2,1,3,15,13,3.00,5.00,4.15,1.33,115,130,115,-2.00,3.6%,15.5%,8.9%,6.5%,38.7%,26.2%,79.3%,9.8%,25.0%,90.8,Yakult Swallows,23,R,CL
Yamamoto Daiki,5,0,0,0,0,0,0,27,5.2,10,3,4,1,0,0,0,5,5,7.94,9.10,3.69,1.94,43,237,103,-1.16,11.1%,14.8%,3.7%,11.1%,36.4%,26.8%,83.0%,8.2%,29.6%,89.2,Yakult Swallows,,,CL
Yamashita Hikaru,2,1,1,0,0,0,0,54,12.1,14,0,3,5,0,1,0,2,2,1.46,4.08,5.17,1.54,236,106,144,-2.62,0.0%,5.6%,9.3%,-3.7%,55.6%,21.1%,91.1%,4.0%,21.0%,88.2,Yakult Swallows,22,L,CL
Yoshida Daiki,2,0,1,0,0,0,0,44,9.0,14,1,7,5,0,0,0,3,3,3.00,4.66,4.35,2.11,115,121,121,-1.66,2.3%,15.9%,11.4%,4.5%,50.0%,26.7%,88.7%,4.7%,25.9%,87.9,Yakult Swallows,24,R,CL
Fujishima Kento,50,2,1,0,10,0,0,201,50.2,39,3,43,11,0,1,0,12,12,2.13,2.89,3.21,0.99,144,84,89,-0.76,1.5%,21.4%,5.5%,15.9%,47.3%,22.1%,80.9%,8.3%,27.3%,87.7,Chunichi Dragons,24,R,CL
Fuku Hiroto,36,2,2,0,3,0,0,123,27.2,25,3,25,12,2,2,1,15,14,4.55,4.22,3.74,1.34,68,123,104,0.33,2.4%,20.3%,9.8%,10.6%,36.2%,19.8%,76.2%,11.0%,25.0%,88.0,Chunichi Dragons,30,L,CL
Fukutani Koji,5,1,3,0,0,0,0,119,23.0,42,3,14,9,0,0,4,27,23,9.00,4.76,4.38,2.22,34,139,122,4.24,2.5%,11.8%,7.6%,4.2%,44.8%,21.9%,86.3%,6.2%,22.8%,89.8,Chunichi Dragons,31,R,CL
Hashimoto Yuki,4,0,0,0,0,0,0,39,8.1,12,2,5,3,0,3,0,9,9,9.72,7.18,4.29,1.80,32,210,119,2.54,5.1%,12.8%,7.7%,5.1%,46.4%,29.2%,79.7%,8.1%,26.9%,91.0,Chunichi Dragons,24,L,CL
Ishida KentoMarc,2,0,0,0,0,0,0,15,3.0,5,0,0,2,0,0,0,4,4,12.00,5.10,6.13,2.33,26,149,170,6.90,0.0%,0.0%,13.3%,-13.3%,53.8%,14.7%,80.6%,8.5%,22.5%,89.5,Chunichi Dragons,26,R,CL
