Pitcher,G,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,GB%,Chase%,Con%,SwStr%,CSW%,FB Velo,Team,Age,T,League
Nabatame Tsubasa,2,0,1,0,0,0,0,41,10.0,7,0,7,4,0,1,0,5,4,3.60,3.20,4.07,1.10,89,89,113,0.40,0.0%,17.1%,9.8%,7.3%,55.2%,16.7%,82.0%,8.0%,23.2%,93.7,Nipponham Fighters,27,R,PL
Nemoto Haruka,13,3,3,0,1,0,0,254,60.2,52,8,53,24,0,4,1,19,17,2.52,4.45,3.66,1.25,128,124,102,-1.93,3.1%,20.9%,9.4%,11.4%,45.1%,20.6%,82.2%,7.2%,28.1%,87.9,Nipponham Fighters,19,L,PL
Nishimura Takahiro,18,0,0,0,0,0,0,94,21.2,22,4,25,10,1,1,1,15,12,4.98,4.72,3.20,1.48,65,131,89,0.26,4.3%,26.6%,10.6%,16.0%,41.1%,27.3%,73.2%,12.0%,29.3%,91.8,Nipponham Fighters,29,R,PL
Ponce Cody,14,3,5,0,0,1,1,344,83.1,69,10,66,23,0,2,3,35,31,3.35,3.98,3.55,1.10,96,111,99,-0.63,2.9%,19.2%,6.7%,12.5%,48.6%,24.2%,81.4%,8.4%,28.1%,92.6,Nipponham Fighters,28,R,PL
Rodriguez Bryan,22,3,2,0,8,0,0,66,16.1,14,0,13,3,1,1,0,5,4,2.20,2.25,3.28,1.04,146,63,91,-0.05,0.0%,19.7%,4.5%,15.2%,66.7%,26.2%,80.3%,9.8%,27.5%,95.5,Nipponham Fighters,30,R,PL
Sugiura Toshihiro,16,3,6,0,0,0,0,184,42.2,45,5,48,10,0,2,3,25,25,5.27,3.22,2.73,1.29,61,90,76,2.05,2.7%,26.1%,5.4%,20.7%,33.9%,30.7%,70.6%,14.1%,29.7%,90.6,Nipponham Fighters,30,R,PL
Suzuki Kenya,19,2,1,0,3,0,0,159,38.0,33,2,25,13,2,4,1,12,12,2.84,3.81,4.05,1.21,113,106,112,-0.97,1.3%,15.7%,8.2%,7.5%,32.1%,20.0%,83.3%,7.2%,27.0%,80.1,Nipponham Fighters,24,R,PL
Tamai Taisho,50,1,1,0,19,0,0,167,37.2,37,1,16,17,2,0,1,17,14,3.35,3.95,4.86,1.43,96,110,135,-0.60,0.6%,9.6%,10.2%,-0.6%,53.7%,15.9%,88.6%,4.8%,21.6%,89.3,Nipponham Fighters,30,R,PL
Tanaka Eito,4,1,3,0,0,0,0,87,18.2,22,3,8,7,0,7,0,11,10,4.82,6.59,4.69,1.55,67,183,130,-1.77,3.4%,9.2%,8.0%,1.1%,56.2%,21.2%,85.9%,5.7%,25.1%,90.6,Nipponham Fighters,22,R,PL
Tanigawa Masaki,9,0,0,0,0,0,0,41,9.1,10,1,8,3,0,0,0,5,4,3.86,3.75,3.58,1.39,83,104,100,0.11,2.4%,19.5%,7.3%,12.2%,46.7%,24.3%,75.6%,11.9%,29.6%,90.2,Nipponham Fighters,29,R,PL
Tateno Kazuaki,3,1,2,0,0,0,0,52,10.2,16,1,4,4,0,1,2,12,12,10.13,4.98,4.80,1.88,32,139,133,5.15,1.9%,7.7%,7.7%,0.0%,60.5%,26.4%,87.9%,5.7%,24.0%,90.0,Nipponham Fighters,24,R,PL
Tatsu Kota,1,0,0,0,0,0,0,12,3.0,1,0,0,3,0,0,0,0,0,0.00,6.10,7.30,1.33,999,170,203,-6.10,0.0%,0.0%,25.0%,-25.0%,33.3%,13.0%,94.1%,2.2%,21.7%,90.1,Nipponham Fighters,18,R,PL
Uehara Kenta,25,3,5,0,1,0,0,302,73.1,73,2,59,21,0,3,2,28,26,3.19,2.83,3.54,1.28,101,79,98,0.36,0.7%,19.5%,7.0%,12.6%,46.6%,25.4%,80.1%,9.0%,27.8%,90.4,Nipponham Fighters,28,L,PL
Uwasawa Naoyuki,23,8,9,0,0,3,0,631,152.0,129,15,127,50,0,9,2,61,57,3.38,3.88,3.58,1.18,95,108,99,-0.50,2.4%,20.1%,7.9%,12.2%,49.5%,27.6%,78.3%,11.1%,26.6%,90.9,Nipponham Fighters,28,R,PL
Yoshida Kosei,51,2,3,0,5,0,0,256,63.1,53,5,40,23,0,1,4,30,30,4.26,4.00,4.14,1.20,76,111,115,0.26,2.0%,15.6%,9.0%,6.6%,40.8%,23.6%,84.0%,6.9%,25.7%,89.6,Nipponham Fighters,21,R,PL
