Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Team,League
Escobar Edwin,2,0,0,0,0,0,9,2.0,2,0,2,1,0,0,0,0,0,0.00,2.60,3.69,1.50,999,71,103,-2.60,0.0%,22.2%,11.1%,11.1%,DeNA BayStars,CL
Keller Kyle,4,0,0,0,0,0,13,3.1,1,0,5,2,0,0,0,0,0,0.00,1.90,2.49,0.90,999,56,69,-1.90,0.0%,38.5%,15.4%,23.1%,Hanshin Tigers,CL
Sneed Cy,3,1,1,0,0,0,68,14.1,19,1,12,4,1,2,0,8,4,2.51,3.59,3.62,1.60,112,95,101,-1.08,1.5%,17.6%,5.9%,11.8%,Yakult Swallows,CL
Smith Burch,2,0,0,0,0,0,7,2.0,0,0,1,0,0,0,0,0,0,0.00,2.10,3.37,0.00,999,59,94,-2.10,0.0%,14.3%,0.0%,14.3%,Seibu Lions,PL
McGough Scott,6,0,1,3,0,0,28,5.1,7,1,5,4,0,0,0,6,3,5.06,5.92,4.44,2.06,56,157,124,-0.85,3.6%,17.9%,14.3%,3.6%,Yakult Swallows,CL
Moinelo Livan,3,0,1,2,0,0,14,2.2,5,0,3,1,0,0,0,1,1,3.38,1.98,3.37,2.25,78,56,94,1.40,0.0%,21.4%,7.1%,14.3%,SoftBank Hawks,PL
Rea Colin,1,0,0,0,0,0,5,1.0,1,1,1,0,0,0,0,1,1,9.00,14.10,2.80,1.00,29,398,78,-5.10,20.0%,20.0%,0.0%,20.0%,SoftBank Hawks,PL
Waguespack Jacob,6,1,0,3,0,0,24,6.0,4,0,9,2,0,0,0,0,0,0.00,1.10,1.88,1.00,999,32,52,-1.10,0.0%,37.5%,8.3%,29.2%,ORIX Buffaloes,PL
Kubo Takuma,3,0,0,0,0,0,5,1.0,1,0,0,1,0,0,0,0,0,0.00,6.10,6.80,2.00,999,162,189,-6.10,0.0%,0.0%,20.0%,-20.0%,Yakult Swallows,CL
Imai Tatsuya,1,0,1,0,0,0,18,4.0,4,1,3,2,0,1,0,5,5,11.25,7.10,4.24,1.50,24,199,118,4.15,5.6%,16.7%,11.1%,5.6%,Seibu Lions,PL
Imanaga Shota,1,0,1,0,0,0,24,5.0,7,0,3,2,1,0,0,2,2,3.60,3.10,4.38,1.80,76,84,122,0.50,0.0%,12.5%,8.3%,4.2%,DeNA BayStars,CL
Konno Ryuta,2,0,0,0,0,0,12,3.0,0,0,1,3,0,0,0,0,0,0.00,5.44,6.47,1.00,999,144,180,-5.44,0.0%,8.3%,25.0%,-16.7%,Yakult Swallows,CL
Ise Hiromu,3,0,0,0,0,0,13,3.2,0,0,3,2,0,0,0,0,0,0.00,3.10,4.03,0.55,999,84,112,-3.10,0.0%,23.1%,15.4%,7.7%,DeNA BayStars,CL
Itoh Masashi,1,0,1,0,0,0,18,5.0,4,0,3,0,0,0,0,1,1,1.80,1.90,3.13,0.80,142,56,87,-0.10,0.0%,16.7%,0.0%,16.7%,Hanshin Tigers,CL
Irie Taisei,2,0,0,0,0,0,10,3.0,2,0,2,0,0,0,0,0,0,0.00,1.77,2.80,0.67,999,48,78,-1.77,0.0%,20.0%,0.0%,20.0%,DeNA BayStars,CL
