Team,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,wSB,League
Seibu Lions,72,66,5,12,3,1,2,23,5,0,0,0,1,20,5,1,0,0,0.182,0.236,0.348,0.585,78,0.167,0.222,37.5%,27.8%,6.9%,0.25,-0.0,PL
Yakult Swallows,392,334,40,79,14,1,12,131,37,6,0,7,1,96,47,2,3,7,0.237,0.335,0.392,0.727,116,0.156,0.295,39.5%,24.5%,12.0%,0.49,0.6,CL
DeNA BayStars,98,87,3,16,2,0,1,21,2,0,0,3,0,13,8,1,0,5,0.184,0.253,0.241,0.494,51,0.057,0.205,22.4%,13.3%,8.2%,0.62,-0.1,CL
SoftBank Hawks,211,191,21,45,10,1,4,69,20,0,3,6,0,49,12,0,2,1,0.236,0.288,0.361,0.649,99,0.126,0.297,30.8%,23.2%,5.7%,0.24,-1.2,PL
Hanshin Tigers,218,195,12,45,10,1,1,60,12,4,0,4,3,52,16,1,0,4,0.231,0.285,0.308,0.593,86,0.077,0.303,31.7%,23.9%,7.3%,0.31,0.5,CL
ORIX Buffaloes,428,367,34,91,11,1,6,122,28,6,1,12,2,69,40,4,7,5,0.248,0.332,0.332,0.664,109,0.084,0.289,26.9%,16.1%,9.3%,0.58,0.2,PL
League Average,236,207,19,48,8,1,4,71,17,3,1,5,1,50,21,2,2,4,0.232,0.309,0.344,0.652,100,0.111,0.284,31.5%,21.1%,9.0%,0.43,-0.0,
