#,Pitcher,G,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,GB%,Chase%,Con%,SwStr%,CSW%,FB Velo,,Team,Age,T,League
,<a href=https://npb.jp/bis/eng/players/51955152.html>Saito Taichi</a>,1,0,0,0,0,0,0,4,1.0,1,0,0,0,0,0,0,0,0,0.00,3.05,4.80,1.00,999,88,143,-3.05,0.0%,0.0%,0.0%,0.0%,75.0%,28.6%,66.7%,14.3%,28.6%,93.6,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,22,R,CL
,<a href=https://npb.jp/bis/eng/players/31935138.html>Shimauchi Sotaro</a>,1,0,0,0,0,0,0,4,0.2,1,0,1,1,0,0,0,1,1,13.50,4.55,4.80,3.00,26,132,143,8.95,0.0%,25.0%,25.0%,0.0%,100.0%,20.0%,66.7%,11.8%,23.5%,93.7,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,29,R,CL
,<a href=https://npb.jp/bis/eng/players/43545152.html>Tarnok Freddy</a>,1,0,0,0,0,0,0,25,7.0,5,0,7,0,0,0,0,0,0,0.00,1.05,2.00,0.71,999,30,60,-1.05,0.0%,28.0%,0.0%,28.0%,72.2%,29.4%,82.6%,8.5%,34.0%,93.1,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,27,R,CL
,<a href=https://npb.jp/bis/eng/players/11415134.html>Tokoda Hiroki</a>,1,0,0,0,0,0,0,24,5.0,9,0,5,0,0,0,0,2,2,3.60,1.05,2.72,1.80,96,30,81,2.55,0.0%,20.8%,0.0%,20.8%,31.6%,44.4%,82.7%,9.3%,24.7%,90.1,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,31,L,CL
,<a href=https://npb.jp/bis/eng/players/81085157.html>Tsuji Taiga</a>,1,0,0,0,0,0,0,3,0.2,0,0,1,1,0,0,0,0,0,0.00,4.55,4.80,1.50,999,132,143,-4.55,0.0%,33.3%,33.3%,0.0%,0.0%,36.4%,71.4%,12.5%,25.0%,91.2,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,21,L,CL
,<a href=https://npb.jp/bis/eng/players/51155136.html>Azuma Katsuki</a>,1,0,1,0,0,0,0,26,6.0,4,2,7,4,0,0,0,3,3,4.50,7.05,3.65,1.33,77,205,109,-2.55,7.7%,26.9%,15.4%,11.5%,53.3%,22.9%,75.0%,10.0%,33.0%,88.2,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,30,L,CL
,<a href=https://npb.jp/bis/eng/players/61365153.html>Irie Taisei</a>,1,0,1,0,0,0,0,20,4.0,5,0,6,3,0,0,0,4,4,9.00,2.30,3.30,2.00,38,67,98,6.70,0.0%,30.0%,15.0%,15.0%,18.2%,25.0%,72.2%,11.8%,29.4%,92.8,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,27,R,CL
,<a href=https://npb.jp/bis/eng/players/41145151.html>Ise Hiromu</a>,1,0,0,0,0,0,0,3,1.0,0,0,1,0,0,0,0,0,0,0.00,1.05,1.47,0.00,999,31,44,-1.05,0.0%,33.3%,0.0%,33.3%,50.0%,16.7%,60.0%,15.4%,38.5%,92.3,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,28,R,CL
,<a href=https://npb.jp/bis/eng/players/21125159.html>Ishida Yutaro</a>,1,0,1,0,0,0,0,29,7.0,7,0,9,1,0,0,0,4,4,5.14,0.91,2.04,1.14,67,26,61,4.23,0.0%,31.0%,3.4%,27.6%,57.9%,23.9%,68.2%,13.6%,36.9%,91.0,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,24,R,CL
,<a href=https://npb.jp/bis/eng/players/33235155.html>Marcelino Hansel</a>,1,0,0,0,0,0,0,3,1.0,0,0,1,0,0,0,0,0,0,0.00,1.05,1.47,0.00,999,31,44,-1.05,0.0%,33.3%,0.0%,33.3%,50.0%,28.6%,66.7%,13.3%,40.0%,94.9,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,24,R,CL
