#,Pitcher,G,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,GB%,Chase%,Con%,SwStr%,CSW%,FB Velo,,Team,Age,T,League
,<a href=https://npb.jp/bis/eng/players/13315153.html>Murakami Shoki</a>,1,0,1,0,0,0,0,23,6.0,5,2,7,2,0,0,0,3,3,4.50,6.05,2.63,1.17,72,188,78,-1.55,8.7%,30.4%,8.7%,21.7%,42.9%,40.4%,73.5%,12.9%,30.7%,91.5,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,28,R,CL
,<a href=https://npb.jp/bis/eng/players/91095136.html>Takahashi Haruto</a>,1,1,0,0,0,1,1,32,9.0,3,0,6,2,0,0,0,0,0,0.00,2.39,3.55,0.56,999,74,106,-2.39,0.0%,18.8%,6.2%,12.5%,54.2%,30.8%,75.4%,12.5%,29.5%,91.9,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,30,L,CL
,<a href=https://npb.jp/bis/eng/players/91995153.html>Kuribayashi Ryoji</a>,1,1,0,0,0,1,1,28,9.0,1,0,9,0,0,0,0,0,0,0.00,1.05,1.59,0.11,999,30,47,-1.05,0.0%,32.1%,0.0%,32.1%,31.6%,43.2%,74.5%,12.6%,36.8%,90.1,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,29,R,CL
,<a href=https://npb.jp/bis/eng/players/43545152.html>Tarnok Freddy</a>,1,0,0,0,0,0,0,25,7.0,5,0,7,0,0,0,0,0,0,0.00,1.05,2.00,0.71,999,30,60,-1.05,0.0%,28.0%,0.0%,28.0%,72.2%,29.4%,82.6%,8.5%,34.0%,93.1,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,27,R,CL
,<a href=https://npb.jp/bis/eng/players/11415134.html>Tokoda Hiroki</a>,1,0,0,0,0,0,0,24,5.0,9,0,5,0,0,0,0,2,2,3.60,1.05,2.72,1.80,96,30,81,2.55,0.0%,20.8%,0.0%,20.8%,31.6%,44.4%,82.7%,9.3%,24.7%,90.1,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,31,L,CL
,<a href=https://npb.jp/bis/eng/players/51155136.html>Azuma Katsuki</a>,1,0,1,0,0,0,0,26,6.0,4,2,7,4,0,0,0,3,3,4.50,7.05,3.65,1.33,77,205,109,-2.55,7.7%,26.9%,15.4%,11.5%,53.3%,22.9%,75.0%,10.0%,33.0%,88.2,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,30,L,CL
,<a href=https://npb.jp/bis/eng/players/61365153.html>Irie Taisei</a>,1,0,1,0,0,0,0,20,4.0,5,0,6,3,0,0,0,4,4,9.00,2.30,3.30,2.00,38,67,98,6.70,0.0%,30.0%,15.0%,15.0%,18.2%,25.0%,72.2%,11.8%,29.4%,92.8,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,27,R,CL
,<a href=https://npb.jp/bis/eng/players/21125159.html>Ishida Yutaro</a>,1,0,1,0,0,0,0,29,7.0,7,0,9,1,0,0,0,4,4,5.14,0.91,2.04,1.14,67,26,61,4.23,0.0%,31.0%,3.4%,27.6%,57.9%,23.9%,68.2%,13.6%,36.9%,91.0,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,24,R,CL
,<a href=https://npb.jp/bis/eng/players/23725150.html>Howard Spencer</a>,1,0,1,0,0,0,0,25,6.0,4,0,7,4,0,0,0,1,0,0.00,2.72,3.60,1.33,999,83,107,-2.72,0.0%,28.0%,16.0%,12.0%,35.7%,10.9%,69.2%,12.4%,27.8%,91.7,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,29,R,CL
,<a href=https://npb.jp/bis/eng/players/71275152.html>Takemaru Kazuyuki</a>,1,1,0,0,0,0,0,22,6.0,3,0,5,2,0,0,0,1,1,1.50,2.39,3.44,0.83,219,73,102,-0.89,0.0%,22.7%,9.1%,13.6%,53.3%,35.6%,64.7%,15.2%,34.2%,91.0,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,24,L,CL
,<a href=https://npb.jp/bis/eng/players/21925139.html>Takanashi Hirotoshi</a>,1,0,0,0,0,0,0,25,6.0,5,1,6,2,0,0,0,1,1,1.50,4.22,3.20,1.17,241,117,95,-2.72,4.0%,24.0%,8.0%,16.0%,35.3%,41.5%,79.1%,9.4%,32.3%,91.1,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,35,R,CL
,<a href=https://npb.jp/bis/eng/players/63365153.html>Yamano Taichi</a>,1,1,0,0,0,0,0,29,7.0,8,0,4,1,0,0,0,2,2,2.57,2.34,3.77,1.29,141,65,112,0.23,0.0%,13.8%,3.4%,10.3%,50.0%,26.1%,79.1%,8.9%,32.7%,91.1,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,27,L,CL
,<a href=https://npb.jp/bis/eng/players/53555157.html>Yoshimura Kojiro</a>,1,1,0,0,0,0,0,21,5.1,5,1,7,0,0,0,0,2,2,3.38,2.87,1.47,0.94,107,79,44,0.51,4.8%,33.3%,0.0%,33.3%,28.6%,17.9%,76.7%,10.8%,30.1%,92.5,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,28,R,CL
,<a href=https://npb.jp/bis/eng/players/21925152.html>Sakurai Yorinosuke</a>,1,0,0,0,0,0,0,27,7.0,3,0,9,2,0,0,0,1,0,0.00,1.34,2.21,0.71,999,43,66,-1.34,0.0%,33.3%,7.4%,25.9%,31.2%,36.8%,70.2%,13.9%,30.7%,91.1,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,22,R,CL
