0                 Team   W   L  SV CG SHO    BF      IP     H  HR    SO   BB IBB  HB  WP    R   ER   ERA   FIP kwERA  WHIP ERA+ FIP- kwERA-   Diff   HR%     K%    BB%  K-BB% League
1       Hanshin Tigers  66  39  30  5   2  4126   979.1   862  60   844  370   5  55  54  401  348  3.20  3.97  3.65  1.26  114   94   95.6  -0.77  1.5%  20.5%   9.0%  11.5%     WL
2       Hiroshima Carp  49  49  29  2   0  3951   931.0   858  62   690  341   1  38  50  409  360  3.48  4.20  3.92  1.29  103  101  102.5  -0.72  1.6%  17.5%   8.6%   8.8%     WL
3        DeNA BayStars  40  62  18  1   0  4018   927.2   861  69   830  423   0  47  64  446  368  3.57  4.29  3.79  1.38   98  106   99.1  -0.72  1.7%  20.7%  10.5%  10.1%     EL
4       Yomiuri Giants  63  52  27  1   0  4815  1125.1  1082  79  1002  450   0  53  51  521  464  3.71  4.07  3.65  1.36   99   96   95.6  -0.36  1.6%  20.8%   9.3%  11.5%     EL
5      Yakult Swallows  54  56  26  1   0  4255   982.1   938  77   744  418   4  57  67  489  426  3.90  4.55  4.03  1.38   95  106  105.6  -0.65  1.8%  17.5%   9.8%   7.7%     EL
6     Chunichi Dragons  34  64  21  2   0  4299   959.1   987  59   730  453   5  53  52  555  480  4.50  4.46  4.16  1.50   84  101  108.8   0.05  1.4%  17.0%  10.5%   6.4%     WL
7       ORIX Buffaloes  43  64  19  0   0  4559  1071.0  1014  68   926  389   1  39  56  474  421  3.54  3.89  3.62  1.31   98   97   94.8  -0.35  1.5%  20.3%   8.5%  11.8%     WL
8        Lotte Marines  61  45  36  0   0  4095   969.1   880  86   727  337   0  43  39  451  380  3.53  4.43  3.85  1.26  104  104  100.7  -0.90  2.1%  17.8%   8.2%   9.5%     EL
9       SoftBank Hawks  65  43  31  2   2  4307  1019.1   873  47   875  423   4  49  54  407  350  3.09  3.87  3.75  1.27  119   90   98.2  -0.78  1.1%  20.3%   9.8%  10.5%     WL
10      Rakuten Eagles  69  42  34  0   0  4288  1015.2   908  77   802  374   0  49  42  410  366  3.24  4.25  3.80  1.26  112  101   99.5  -1.01  1.8%  18.7%   8.7%  10.0%     EL
11         Seibu Lions  47  58  18  3   0  4356   986.2  1031  75   795  425   0  40  48  555  467  4.26  4.39  3.95  1.48   86  103  103.4  -0.13  1.7%  18.3%   9.8%   8.5%     EL
12  Nipponham Fighters  38  55  23  1   0  3723   880.1   777  79   747  342   3  24  38  420  359  3.67  4.31  3.71  1.27   99  103   97.2  -0.64  2.1%  20.1%   9.2%  10.9%     EL
13      League Average  52  52  26  2   0  4233   987.0   923  70   809  395   2  46  51  462  399  3.64  4.22  3.82  1.34  100  100  100.1  -0.58  1.7%  19.1%   9.3%   9.8%    NaN
