#,Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,,Team,League
,Sanchez Angel,1,0,1,0,0,0,27,6.1,6,1,7,2,1,0,0,3,3,4.26,4.15,2.95,1.26,90,96,92,0.11,3.7%,25.9%,7.4%,18.5%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,チェン・ウェイン,1,0,1,0,0,0,17,3.1,7,3,1,0,0,0,0,5,5,13.50,14.46,4.21,2.10,29,333,131,-0.96,17.6%,5.9%,0.0%,5.9%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,De La Rosa Rubby,1,0,0,0,0,0,3,1.0,0,0,0,0,0,0,0,0,0,0.00,3.36,4.80,0.00,999,78,150,-3.36,0.0%,0.0%,0.0%,0.0%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,Herrmann Frank,2,0,0,0,0,0,9,2.0,2,0,1,1,1,0,0,1,1,4.50,3.86,4.80,1.50,86,89,150,0.64,0.0%,11.1%,11.1%,0.0%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,Vieira Thyago,2,0,0,0,0,0,10,2.2,1,0,3,0,0,1,0,0,0,0.00,2.24,1.80,0.38,999,52,56,-2.24,0.0%,30.0%,0.0%,30.0%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,Moore Matt,1,1,0,0,0,0,24,7.0,0,0,5,2,0,0,0,0,0,0.00,2.79,3.55,0.29,999,67,111,-2.79,0.0%,20.8%,8.3%,12.5%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,Moinelo Livan,5,2,0,0,0,0,19,5.1,0,0,11,2,0,1,0,0,0,0.00,0.93,0.06,0.38,999,22,2,-0.93,0.0%,57.9%,10.5%,47.4%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,Nakagawa Kota,2,0,0,0,0,0,5,1.2,1,0,1,0,0,0,0,0,0,0.00,2.16,2.80,0.60,999,50,87,-2.16,0.0%,20.0%,0.0%,20.0%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,Imamura Nobutaka,1,0,1,0,0,0,10,1.2,4,1,1,1,0,0,0,4,3,16.20,11.76,4.80,3.00,24,273,150,4.44,10.0%,10.0%,10.0%,0.0%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,Senga Koudai,2,1,0,0,0,0,55,14.0,11,1,14,3,0,0,0,3,3,1.93,2.94,2.80,1.00,192,70,87,-1.01,1.8%,25.5%,5.5%,20.0%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,Wada Tsuyoshi,1,0,0,0,0,0,10,2.0,3,0,2,1,0,0,0,1,1,4.50,2.86,3.80,2.00,82,69,119,1.64,0.0%,20.0%,10.0%,10.0%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,Karakawa Yuki,2,0,0,0,0,0,6,1.2,2,0,1,0,0,0,0,0,0,0.00,2.16,3.13,1.20,999,50,98,-2.16,0.0%,16.7%,0.0%,16.7%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,Kayama Shinya,3,0,0,0,0,0,4,1.0,1,0,1,0,0,0,0,1,1,9.00,1.36,2.30,1.00,41,33,72,7.64,0.0%,25.0%,0.0%,25.0%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,Ohe Ryusei,2,0,0,0,0,0,9,1.2,2,0,1,1,0,1,0,0,0,0.00,5.76,4.80,1.80,999,134,150,-5.76,0.0%,11.1%,11.1%,0.0%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,Ohtake Kan,2,0,0,0,0,0,8,1.0,4,0,1,0,0,0,0,2,0,0.00,1.36,3.55,4.00,999,32,111,-1.36,0.0%,12.5%,0.0%,12.5%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,Ono Fumiya,1,0,0,0,0,0,2,0.2,0,0,1,0,0,0,0,0,0,0.00,0.36,-0.20,0.00,999,8,-6,-0.36,0.0%,50.0%,0.0%,50.0%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,Iwashita Daiki,1,0,0,0,0,0,3,1.0,0,0,1,0,0,0,0,0,0,0.00,1.36,1.47,0.00,999,31,46,-1.36,0.0%,33.3%,0.0%,33.3%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,Iwasaki Sho,3,0,0,0,0,0,9,3.0,1,0,3,0,0,0,0,0,0,0.00,1.36,1.47,0.33,999,33,46,-1.36,0.0%,33.3%,0.0%,33.3%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,Togo Shosei,3,0,0,0,0,0,21,5.2,2,1,8,3,0,0,0,2,2,3.18,4.42,2.42,0.88,121,102,75,-1.25,4.8%,38.1%,14.3%,23.8%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,Sugiyama Kazuki,1,0,0,0,0,0,4,1.0,0,0,1,1,0,0,0,0,0,0.00,4.36,4.80,1.00,999,105,150,-4.36,0.0%,25.0%,25.0%,0.0%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,Tojo Taiki,1,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,nan,nan,4.80,,nan,nan,150,,0.0%,0.0%,0.0%,0.0%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,Higashihama Nao,1,0,0,0,0,0,22,4.0,7,0,4,3,0,1,0,3,3,6.75,4.36,4.35,2.50,55,105,136,2.39,0.0%,18.2%,13.6%,4.5%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,Matsumoto Yuki,2,1,0,0,0,0,15,3.2,3,0,5,1,0,0,1,0,0,0.00,1.45,2.13,1.09,999,35,67,-1.45,0.0%,33.3%,6.7%,26.7%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,Mori Yuito,5,0,0,3,0,0,24,5.0,5,0,6,3,0,1,0,1,1,1.80,3.36,3.55,1.60,206,81,111,-1.56,0.0%,25.0%,12.5%,12.5%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,Shiino Arata,1,0,0,0,0,0,3,1.0,1,0,0,0,0,0,0,0,0,0.00,3.36,4.80,1.00,999,81,150,-3.36,0.0%,0.0%,0.0%,0.0%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,澤村 拓一,2,0,1,0,0,0,10,2.0,2,0,0,2,0,0,0,1,1,4.50,6.36,6.80,2.00,86,147,212,-1.86,0.0%,0.0%,20.0%,-20.0%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,Taguchi Kazuto,1,0,0,0,0,0,8,2.0,1,0,1,1,0,0,0,1,1,4.50,3.86,4.80,1.00,85,90,150,0.64,0.0%,12.5%,12.5%,0.0%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,Hatake Seishu,1,0,1,0,0,0,9,1.2,4,2,3,0,0,0,0,4,4,21.60,15.36,1.47,2.40,18,356,46,6.24,22.2%,33.3%,0.0%,33.3%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,Ishikawa Shuta,1,1,0,0,0,0,22,5.1,4,1,7,1,0,1,0,2,2,3.38,4.30,2.07,0.94,110,103,65,-0.93,4.5%,31.8%,4.5%,27.3%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,Mima Manabu,1,0,0,0,0,0,23,5.1,7,1,5,1,0,0,0,3,2,3.38,4.49,3.06,1.50,114,103,95,-1.11,4.3%,21.7%,4.3%,17.4%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,Sugano Tomoyuki,1,0,1,0,0,0,24,6.0,6,1,4,0,0,1,0,4,4,6.00,4.70,3.13,1.00,64,109,98,1.30,4.2%,16.7%,0.0%,16.7%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
