Rank,Pitcher,Age,T,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Team,League
,<a href=https://npb.jp/bis/eng/players/61765155.html>Kuroyanagi Kyosuke</a>,21.0,R,18,3,2,1,0,0,227,57.1,44,3,53,20,0,2,0,21,19,2.98,3.44,3.35,1.12,116,84,85,-0.46,1.3%,23.3%,8.8%,14.5%,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,EL
,<a href=https://npb.jp/bis/eng/players/03105153.html>Matsumoto Ryodai</a>,22.0,R,11,0,0,0,0,0,47,11.0,10,1,13,3,0,0,0,3,3,2.45,3.10,2.67,1.18,141,76,68,-0.65,2.1%,27.7%,6.4%,21.3%,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,EL
,<a href=https://npb.jp/bis/eng/players/61665151.html>Matsuoka Koki</a>,23.0,R,18,2,2,0,0,0,139,31.1,32,2,17,14,0,3,3,17,15,4.31,4.83,4.58,1.47,80,118,116,-0.52,1.4%,12.2%,10.1%,2.1%,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,EL
,<a href=https://npb.jp/bis/eng/players/33135155.html>Matsuura Keito</a>,20.0,L,24,0,2,0,0,0,162,39.0,33,3,48,14,0,1,2,10,8,1.85,3.15,2.70,1.21,187,77,69,-1.30,1.9%,29.6%,8.6%,21.0%,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,EL
,<a href=https://npb.jp/bis/eng/players/41445116.html>Miyanishi Naoki</a>,39.0,L,12,0,0,1,0,0,44,11.1,6,1,10,3,0,0,0,2,2,1.59,3.64,3.21,0.79,218,89,81,-2.05,2.3%,22.7%,6.8%,15.9%,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,EL
,<a href=https://npb.jp/bis/eng/players/53155157.html>Miyauchi Haruki</a>,28.0,R,14,1,1,0,0,0,61,14.1,11,2,14,7,0,0,0,7,3,1.88,4.79,3.65,1.26,184,117,93,-2.91,3.3%,23.0%,11.5%,11.5%,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,EL
,<a href=https://npb.jp/bis/eng/players/23925159.html>Murphy Patrick</a>,29.0,R,5,1,0,0,0,0,92,21.0,24,1,16,8,0,2,0,12,10,4.29,3.98,3.93,1.52,81,97,100,0.31,1.1%,17.4%,8.7%,8.7%,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,EL
,<a href=https://npb.jp/bis/eng/players/81285157.html>Nakayama Terukazu</a>,25.0,R,20,6,2,0,0,0,146,34.0,37,4,20,13,1,0,0,13,12,3.18,4.96,4.32,1.47,109,121,110,-1.78,2.7%,13.7%,8.9%,4.8%,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,EL
,<a href=https://npb.jp/bis/eng/players/41645153.html>Nemoto Haruka</a>,21.0,L,20,5,5,0,0,0,305,73.1,59,3,51,29,0,5,3,25,23,2.82,3.99,4.08,1.20,123,97,104,-1.17,1.0%,16.7%,9.5%,7.2%,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,EL
,<a href=https://npb.jp/bis/eng/players/43745136.html>Rodriguez Bryan</a>,32.0,R,22,1,1,2,0,0,77,21.2,16,0,14,1,0,1,1,3,3,1.25,2.44,3.11,0.78,277,59,79,-1.19,0.0%,18.2%,1.3%,16.9%,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,EL
,<a href=https://npb.jp/bis/eng/players/21725138.html>Saito Yukiya</a>,29.0,R,16,1,1,0,0,0,76,16.1,14,0,22,7,0,1,4,5,3,1.65,2.24,2.83,1.29,210,55,72,-0.59,0.0%,28.9%,9.2%,19.7%,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,EL
,<a href=https://npb.jp/bis/eng/players/31035153.html>Saitoh Shinji</a>,26.0,R,18,2,1,0,0,0,98,21.2,21,0,17,10,0,3,0,15,11,4.57,3.69,4.09,1.43,76,90,104,0.88,0.0%,17.3%,10.2%,7.1%,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,EL
,<a href=https://npb.jp/bis/eng/players/61765139.html>Sugiura Toshihiro</a>,32.0,R,2,0,0,0,0,0,9,2.0,3,0,2,0,0,0,0,0,0,0.00,1.46,2.58,1.50,999,36,65,-1.46,0.0%,22.2%,0.0%,22.2%,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,EL
,<a href=https://npb.jp/bis/eng/players/83785159.html>Sun Yi-Lei</a>,19.0,R,15,2,2,0,0,0,109,25.2,26,2,24,8,0,2,1,12,11,3.86,3.77,3.33,1.32,90,92,85,0.09,1.8%,22.0%,7.3%,14.7%,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,EL
,<a href=https://npb.jp/bis/eng/players/61065151.html>Suzuki Kenya</a>,26.0,R,16,2,3,0,0,0,228,53.0,55,3,20,14,0,1,0,27,22,3.74,4.29,4.54,1.30,93,105,115,-0.55,1.3%,8.8%,6.1%,2.7%,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,EL
,<a href=https://npb.jp/bis/eng/players/91295134.html>Tamai Taisho</a>,32.0,R,17,1,4,0,0,0,75,16.1,18,1,9,7,0,1,1,10,9,4.96,4.62,4.53,1.53,70,113,115,0.34,1.3%,12.0%,9.3%,2.7%,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,EL
,<a href=https://npb.jp/bis/eng/players/61065136.html>Tanaka Eito</a>,24.0,R,29,5,2,1,0,0,190,46.0,34,1,43,17,0,2,1,16,12,2.35,3.11,3.43,1.11,147,76,87,-0.76,0.5%,22.6%,8.9%,13.7%,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,EL
,<a href=https://npb.jp/bis/eng/players/31235134.html>Tanaka Seigi</a>,29.0,R,3,0,0,0,0,0,18,4.0,6,1,1,2,0,0,1,3,3,6.75,7.71,5.36,2.00,51,188,136,-0.96,5.6%,5.6%,11.1%,-5.5%,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,EL
,<a href=https://npb.jp/bis/eng/players/01205155.html>Tatsu Kota</a>,20.0,R,19,6,3,0,0,0,367,87.0,80,4,74,35,0,0,6,37,36,3.72,3.56,3.74,1.32,93,87,95,0.16,1.1%,20.2%,9.5%,10.7%,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,EL
,<a href=https://npb.jp/bis/eng/players/41345132.html>Uehara Kenta</a>,30.0,L,14,6,3,0,1,0,293,70.0,71,5,61,13,0,0,1,26,20,2.57,3.20,3.16,1.20,135,78,80,-0.63,1.7%,20.8%,4.4%,16.4%,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,EL
,<a href=https://npb.jp/bis/eng/players/33735151.html>VerHagen Drew</a>,33.0,R,11,2,4,0,0,0,202,47.0,50,1,41,12,0,2,0,22,16,3.06,2.89,3.36,1.32,113,70,85,0.17,0.5%,20.3%,5.9%,14.4%,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,EL
,<a href=https://npb.jp/bis/eng/players/63365157.html>Yamamoto Kodai</a>,25.0,L,20,2,1,0,0,0,156,33.0,35,2,19,22,0,1,1,18,10,2.73,5.19,4.99,1.73,127,126,127,-2.46,1.3%,12.2%,14.1%,-1.9%,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,EL
,<a href=https://npb.jp/bis/eng/players/03105136.html>Yamamoto Takumi</a>,24.0,R,9,2,0,0,0,0,37,9.0,9,0,6,1,0,0,0,4,2,2.00,2.46,3.45,1.11,173,60,88,-0.46,0.0%,16.2%,2.7%,13.5%,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,EL
,<a href=https://npb.jp/bis/eng/players/63365155.html>Yanagawa Taisei</a>,20.0,R,19,4,2,2,0,0,140,36.1,30,1,39,8,0,0,1,14,11,2.72,2.33,2.59,1.05,127,57,66,0.39,0.7%,27.9%,5.7%,22.2%,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,EL
,<a href=https://npb.jp/bis/eng/players/73375157.html>Yazawa Kota</a>,23.0,L,14,1,0,0,0,0,72,17.0,12,1,17,8,0,2,2,9,9,4.76,3.99,3.55,1.18,73,97,90,0.77,1.4%,23.6%,11.1%,12.5%,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,EL
,<a href=https://npb.jp/bis/eng/players/93795159.html>Zabala Aneurys</a>,27.0,R,22,1,1,5,0,0,94,22.2,15,1,28,8,0,1,1,7,6,2.38,2.75,2.67,1.01,146,67,68,-0.37,1.1%,29.8%,8.5%,21.3%,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,EL
,Ajiro Kenta,Ajiro Kenta,R,18,0,5,0,0,0,286,63.0,59,5,27,37,0,7,2,41,28,4.00,5.73,5.15,1.52,75,162,131,-1.73,1.7%,9.4%,12.9%,-3.5%,Oisix,EL
,Iida Yamato,Iida Yamato,R,17,1,7,0,0,0,215,45.1,54,6,34,24,0,1,2,39,31,6.15,5.34,4.33,1.72,49,151,110,0.81,2.8%,15.8%,11.2%,4.6%,Oisix,EL
,Irei Kaito,Irei Kaito,L,34,1,0,0,0,0,147,32.0,38,1,16,15,0,1,3,23,21,5.91,4.37,4.73,1.66,51,124,120,1.54,0.7%,10.9%,10.2%,0.7%,Oisix,EL
,Kasahara Shotaro,Kasahara Shotaro,L,13,1,6,0,0,0,288,60.1,82,7,38,29,0,3,3,47,34,5.07,5.30,4.49,1.84,59,150,114,-0.23,2.4%,13.2%,10.1%,3.1%,Oisix,EL
,Kiguchi Kodai,Kiguchi Kodai,R,14,0,0,0,0,0,73,16.2,18,1,8,7,1,2,1,14,14,7.56,4.90,4.66,1.50,39,139,118,2.66,1.4%,11.0%,9.6%,1.4%,Oisix,EL
,Kobayashi Keisuke,Kobayashi Keisuke,R,26,1,2,0,0,0,132,31.0,36,2,17,9,0,0,1,15,14,4.06,4.07,4.19,1.45,74,115,106,-0.01,1.5%,12.9%,6.8%,6.1%,Oisix,EL
,Maekawa Satoshi,Maekawa Satoshi,R,17,0,1,0,0,0,164,34.2,30,2,24,34,1,3,4,24,23,5.97,6.03,5.41,1.85,50,170,137,-0.06,1.2%,14.6%,20.7%,-6.1%,Oisix,EL
,Makino Kenshin,Makino Kenshin,L,23,3,9,0,2,1,523,121.0,139,10,77,38,0,0,6,62,57,4.24,4.20,4.05,1.46,70,119,103,0.04,1.9%,14.7%,7.3%,7.4%,Oisix,EL
,Meguro Koya,Meguro Koya,L,18,4,7,0,0,0,406,87.2,103,5,45,47,0,3,8,61,56,5.75,4.89,4.85,1.71,52,138,123,0.86,1.2%,11.1%,11.6%,-0.5%,Oisix,EL
,Mikami Tomoya,Mikami Tomoya,R,47,4,4,1,0,0,201,45.2,45,2,31,18,2,3,1,19,18,3.55,4.05,4.15,1.38,84,114,105,-0.50,1.0%,15.4%,9.0%,6.4%,Oisix,EL
,Nishimura Riku,Nishimura Riku,R,62,4,5,0,0,0,257,62.1,58,2,26,13,0,3,0,26,22,3.18,3.81,4.29,1.14,94,108,109,-0.63,0.8%,10.1%,5.1%,5.0%,Oisix,EL
,Noto Syuto,Noto Syuto,R,35,5,4,0,0,0,382,83.0,84,2,50,52,0,2,7,48,45,4.88,4.52,4.85,1.64,61,128,123,0.36,0.5%,13.1%,13.6%,-0.5%,Oisix,EL
,Shimokawa Shunsuke,Shimokawa Shunsuke,R,40,4,8,0,0,0,494,112.0,108,9,102,43,1,9,2,59,48,3.86,4.08,3.61,1.35,77,115,92,-0.22,1.8%,20.6%,8.7%,11.9%,Oisix,EL
,Suzuki Hayato,Suzuki Hayato,R,21,1,1,0,0,0,120,27.2,30,4,22,7,0,1,0,16,14,4.55,4.62,3.55,1.34,66,131,90,-0.07,3.3%,18.3%,5.8%,12.5%,Oisix,EL
,Tanaka Takuma,Tanaka Takuma,R,4,0,0,0,0,0,22,3.0,9,0,1,3,0,0,3,8,4,12.00,5.79,5.71,4.00,25,164,145,6.21,0.0%,4.5%,13.6%,-9.1%,Oisix,EL
,Tateike Ryosuke,Tateike Ryosuke,R,2,0,0,0,0,0,7,1.0,4,0,1,0,0,0,0,3,3,27.00,1.46,3.37,4.00,11,41,86,25.54,0.0%,14.3%,0.0%,14.3%,Oisix,EL
,Uchida Kenta,Uchida Kenta,L,37,1,1,0,0,0,155,33.2,42,5,24,14,0,2,5,28,28,7.49,5.39,4.15,1.66,40,152,105,2.10,3.2%,15.5%,9.0%,6.5%,Oisix,EL
,Uemura Tomoki,Uemura Tomoki,R,48,5,5,20,0,0,207,46.0,41,2,31,24,3,2,1,25,15,2.93,4.37,4.46,1.41,102,124,113,-1.44,1.0%,15.0%,11.6%,3.4%,Oisix,EL
,Yabuta Kazuki,Yabuta Kazuki,R,26,5,10,0,0,0,618,143.0,134,9,86,75,1,3,11,70,58,3.65,4.71,4.62,1.46,82,133,117,-1.06,1.5%,13.9%,12.1%,1.8%,Oisix,EL
,Yagami Tatsuhiro,Yagami Tatsuhiro,L,2,0,0,0,0,0,8,1.1,2,0,0,1,0,1,1,1,1,6.75,7.96,6.05,2.25,44,225,154,-1.21,0.0%,0.0%,12.5%,-12.5%,Oisix,EL
,Yamada Takuro,Yamada Takuro,R,16,0,1,0,0,0,68,15.0,13,1,15,10,1,3,2,11,11,6.60,4.93,4.06,1.53,45,139,103,1.67,1.5%,22.1%,14.7%,7.4%,Oisix,EL
,Yoshida Kazumasa,Yoshida Kazumasa,R,36,1,3,0,0,0,145,36.2,33,2,30,6,3,0,0,10,9,2.21,3.02,3.14,1.06,135,85,80,-0.81,1.4%,20.7%,4.1%,16.6%,Oisix,EL
,Fujimoto Sohta,Fujimoto Sohta,R,40,2,4,0,0,0,208,42.2,38,0,23,46,0,8,6,32,29,6.12,6.18,5.91,1.97,56,153,150,-0.06,0.0%,11.1%,22.1%,-11.0%,HAYATE,WL
,Fujioka Yoshiaki,Fujioka Yoshiaki,R,21,0,2,3,0,0,79,19.2,15,0,14,5,0,0,0,5,3,1.37,2.80,3.66,1.02,249,69,93,-1.43,0.0%,17.7%,6.3%,11.4%,HAYATE,WL
,Hayakawa Daiki,Hayakawa Daiki,R,25,4,7,0,1,0,402,95.0,89,3,73,32,0,2,3,43,34,3.22,3.41,3.78,1.27,106,84,96,-0.19,0.7%,18.2%,8.0%,10.2%,HAYATE,WL
,Hirama Rintaro,Hirama Rintaro,R,34,2,7,2,0,0,283,63.2,69,1,30,30,0,3,6,32,27,3.82,4.28,4.80,1.55,89,106,122,-0.46,0.4%,10.6%,10.6%,0.0%,HAYATE,WL
,Ikeya Sohta,Ikeya Sohta,L,23,2,5,0,0,0,196,41.2,55,1,16,25,0,0,2,31,27,5.83,4.80,5.26,1.92,59,119,134,1.03,0.5%,8.2%,12.8%,-4.6%,HAYATE,WL
,Kinoshita Motoya,Kinoshita Motoya,R,8,2,2,0,1,1,167,42.0,38,0,29,7,0,3,2,9,6,1.29,2.79,3.48,1.07,265,69,88,-1.50,0.0%,17.4%,4.2%,13.2%,HAYATE,WL
,Mora Miguel,Mora Miguel,R,27,0,9,0,0,0,351,69.1,73,1,39,78,0,7,15,67,63,8.18,6.20,5.91,2.18,42,153,150,1.98,0.3%,11.1%,22.2%,-11.1%,HAYATE,WL
,Murakami Wataru,Murakami Wataru,R,16,0,1,0,0,0,74,12.0,13,0,8,21,0,6,2,21,15,11.25,8.88,6.56,2.83,30,219,166,2.37,0.0%,10.8%,28.4%,-17.6%,HAYATE,WL
,Ninomiya Isaki,Ninomiya Isaki,R,23,5,5,0,2,1,471,110.1,101,7,83,42,0,3,5,49,39,3.18,4.00,3.93,1.30,107,99,100,-0.82,1.5%,17.6%,8.9%,8.7%,HAYATE,WL
,Nishihama Yuhsei,Nishihama Yuhsei,R,21,4,8,0,0,0,467,109.0,97,4,69,43,0,7,6,48,42,3.47,4.05,4.24,1.28,98,100,108,-0.58,0.9%,14.8%,9.2%,5.6%,HAYATE,WL
,Noguchi Wataru,Noguchi Wataru,R,24,0,1,0,0,0,115,24.2,28,1,9,13,0,1,3,15,11,4.01,4.96,5.15,1.66,85,123,131,-0.95,0.9%,7.8%,11.3%,-3.5%,HAYATE,WL
,Nomura Yuhki,Nomura Yuhki,R,14,0,3,0,0,0,138,31.0,32,0,13,12,1,0,1,16,8,2.32,3.78,4.73,1.42,147,93,120,-1.46,0.0%,9.4%,8.7%,0.7%,HAYATE,WL
,Ohbae Kohshi,Ohbae Kohshi,R,25,0,7,1,0,0,238,47.2,52,5,24,49,0,2,7,50,43,8.12,7.03,5.85,2.12,42,174,148,1.09,2.1%,10.1%,20.6%,-10.5%,HAYATE,WL
,Okuda Kanata,Okuda Kanata,L,24,5,7,1,0,0,465,107.2,139,6,29,33,0,2,10,64,59,4.93,4.62,4.89,1.60,69,114,124,0.31,1.3%,6.2%,7.1%,-0.9%,HAYATE,WL
,Okuda Kensei,Okuda Kensei,R,44,1,3,4,0,0,232,43.2,47,0,40,49,0,5,11,39,28,5.77,5.34,5.19,2.20,59,132,132,0.43,0.0%,17.2%,21.1%,-3.9%,HAYATE,WL
,Shohji Aoba,Shohji Aoba,L,25,0,0,0,0,0,123,25.0,13,1,24,29,0,11,16,17,16,5.76,6.86,5.21,1.68,59,170,132,-1.10,0.8%,19.5%,23.6%,-4.1%,HAYATE,WL
,Takeuchi Keito,Takeuchi Keito,R,27,0,6,0,0,0,362,75.1,89,5,23,48,0,7,5,60,51,6.09,5.90,5.49,1.82,56,146,139,0.19,1.4%,6.4%,13.3%,-6.9%,HAYATE,WL
,Tanaka Kenjiro,Tanaka Kenjiro,L,18,0,1,3,0,0,77,19.1,16,0,9,6,0,1,2,3,3,1.40,3.62,4.41,1.14,244,89,112,-2.22,0.0%,11.7%,7.8%,3.9%,HAYATE,WL
,Van Gurp Franklin,Van Gurp Franklin,R,10,0,6,0,0,0,192,38.1,32,4,33,33,0,9,1,28,25,5.87,6.38,4.80,1.70,58,158,122,-0.51,2.1%,17.2%,17.2%,0.0%,HAYATE,WL
,Yamada Ryu,Yamada Ryu,R,20,1,0,0,0,0,108,23.2,23,2,7,15,0,4,1,17,10,3.80,6.38,5.54,1.61,90,158,141,-2.58,1.9%,6.5%,13.9%,-7.4%,HAYATE,WL
