#,,Team,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,wSB,League
,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin Tigers</a>,5003,4343,577,1151,197,35,42,1544,520,126,67,56,45,847,490,7,69,106,0.265,0.346,0.356,0.701,106,0.090,0.317,27.6%,16.9%,9.8%,0.58,0.8,WL
,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima Carp</a>,4348,3883,405,949,157,20,47,1287,377,70,41,56,30,758,343,6,35,102,0.244,0.309,0.331,0.641,94,0.087,0.290,26.4%,17.4%,7.9%,0.45,-0.5,WL
,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,4818,4248,533,1120,207,32,66,1589,494,105,53,57,40,798,421,5,52,104,0.264,0.335,0.374,0.709,113,0.110,0.308,26.7%,16.6%,8.7%,0.53,1.7,EL
,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,4960,4296,513,1078,178,12,80,1520,477,103,58,103,35,839,464,4,61,93,0.251,0.330,0.354,0.684,108,0.103,0.292,27.9%,16.9%,9.4%,0.55,-0.3,EL
,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult Swallows</a>,4678,4105,442,1008,178,15,46,1354,402,107,55,68,42,826,409,4,53,111,0.246,0.319,0.330,0.649,92,0.084,0.294,27.4%,17.7%,8.7%,0.50,1.3,EL
,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi Dragons</a>,4645,4050,480,1011,173,25,55,1399,435,106,51,59,32,797,449,2,55,108,0.250,0.330,0.345,0.676,101,0.096,0.296,28.0%,17.2%,9.7%,0.56,2.5,WL
,🦬,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX Buffaloes</a>,4408,3854,410,955,125,22,34,1226,382,67,57,59,29,643,424,1,41,103,0.248,0.327,0.318,0.645,99,0.070,0.287,25.0%,14.6%,9.6%,0.66,-6.2,WL
,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte Marines</a>,4634,4058,472,1047,178,14,66,1451,440,52,33,77,47,746,410,1,41,114,0.258,0.329,0.358,0.686,100,0.100,0.298,26.4%,16.1%,8.8%,0.55,-0.8,EL
,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank Hawks</a>,4606,4011,576,1070,216,37,74,1582,522,72,40,43,37,787,449,2,66,75,0.267,0.347,0.394,0.742,121,0.128,0.313,28.4%,17.1%,9.7%,0.57,0.3,WL
,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten Eagles</a>,4788,4190,433,997,162,32,36,1331,388,60,31,61,32,878,452,4,53,107,0.238,0.318,0.318,0.635,91,0.080,0.291,28.5%,18.3%,9.4%,0.51,1.3,EL
,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu Lions</a>,4816,4262,520,1083,188,27,68,1529,481,123,46,60,34,817,407,5,53,88,0.254,0.324,0.359,0.683,100,0.105,0.298,26.8%,17.0%,8.5%,0.50,7.0,EL
,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,4582,4071,530,1000,208,20,109,1575,499,66,31,44,43,981,363,3,61,58,0.246,0.314,0.387,0.701,104,0.141,0.295,31.7%,21.4%,7.9%,0.37,2.1,EL
,🦢,<a href=https://www.niigata-albirex-bc.jp/>Oisix Albirex</a>,4698,4173,399,1015,166,21,35,1328,378,42,37,58,32,846,378,1,57,103,0.243,0.312,0.318,0.631,98,0.075,0.295,26.8%,18.0%,8.0%,0.45,-3.8,EL
,✌️,<a href=https://hayateventures.jp/>HAYATE Ventures</a>,4299,3857,333,875,139,16,20,1106,302,102,72,56,25,832,320,0,41,85,0.227,0.291,0.287,0.578,70,0.060,0.282,27.3%,19.4%,7.4%,0.38,-5.3,WL
,,League Average,4663,4100,473,1026,177,23,56,1416,436,86,48,61,36,814,413,3,53,97,0.250,0.324,0.345,0.669,100,0.095,0.297,27.5%,17.5%,8.9%,0.51,-0.0,
