Rank,Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,wSB,Age,Pos,B,,Team,League
,Endo Jo,126,410,324,48,85,7,5,0,102,30,30,15,12,3,66,65,0,6,6,0.262,0.392,0.315,0.707,109,0.053,0.326,32.0%,16.1%,15.9%,0.98,0.3,,4,,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Fujita Kento,60,134,121,14,21,5,0,0,26,7,0,0,2,2,19,8,0,1,4,0.174,0.227,0.215,0.442,31,0.041,0.202,20.1%,14.2%,6.0%,0.42,0.0,23,2,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Fukushima Kein,110,232,196,34,48,5,2,1,60,23,15,12,5,1,39,21,0,9,3,0.245,0.344,0.306,0.650,92,0.061,0.299,26.3%,16.8%,9.1%,0.54,-1.3,23,8,L,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Haraguchi Fumihito,7,25,22,1,5,0,0,0,5,3,0,0,0,2,2,1,0,0,2,0.227,0.240,0.227,0.467,39,0.000,0.227,12.0%,8.0%,4.0%,0.50,0.0,33,3,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Inoue Kouta,83,355,308,39,95,16,0,8,135,52,1,1,0,5,92,37,2,5,6,0.308,0.386,0.438,0.824,142,0.130,0.408,38.6%,25.9%,10.4%,0.40,-0.0,23,9,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Itsubo Hinase,105,301,273,38,75,9,1,2,92,28,15,10,4,1,27,20,0,3,12,0.275,0.330,0.337,0.667,97,0.062,0.298,16.3%,9.0%,6.6%,0.74,-0.7,20,8,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Katayama Yuya,90,236,210,28,65,6,2,2,81,21,1,1,4,1,24,19,1,2,7,0.310,0.371,0.386,0.757,123,0.076,0.341,19.1%,10.2%,8.1%,0.79,-0.1,31,3,L,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Kinami Seiya,3,8,6,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.167,0.375,0.167,0.542,62,0.000,0.167,25.0%,0.0%,25.0%,1.00,0.0,31,6,L,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Kumagai Takahiro,3,14,12,1,2,1,0,1,6,5,0,0,0,1,4,1,0,0,0,0.167,0.214,0.500,0.714,108,0.333,0.125,42.9%,28.6%,7.1%,0.25,0.0,29,5,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Mieses Johan,58,188,162,20,37,9,0,5,61,22,0,1,0,1,44,22,0,3,6,0.228,0.330,0.377,0.707,108,0.149,0.281,37.8%,23.4%,11.7%,0.50,-0.3,29,DH,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
