Rank,Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,wSB,Age,Pos,B,,Team,League
,Endo Jo,126,410,324,48,85,7,5,0,102,30,30,15,12,3,66,65,0,6,6,0.262,0.392,0.315,0.707,109,0.053,0.326,32.0%,16.1%,15.9%,0.98,0.3,,4,,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Inoue Kouta,83,355,308,39,95,16,0,8,135,52,1,1,0,5,92,37,2,5,6,0.308,0.386,0.438,0.824,142,0.130,0.408,38.6%,25.9%,10.4%,0.40,-0.0,23,9,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Takatera Nozomu,123,487,430,64,124,17,6,0,153,35,23,8,9,3,59,41,2,4,7,0.288,0.354,0.356,0.710,109,0.068,0.332,20.5%,12.1%,8.4%,0.69,1.4,22,6,L,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Nirasawa Yuya,98,345,300,22,78,10,1,2,96,31,2,0,12,3,38,30,0,0,10,0.260,0.324,0.320,0.644,95,0.060,0.289,20.3%,11.0%,8.7%,0.79,0.4,24,6,L,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Sato Keisuke,94,382,333,40,96,9,2,4,121,33,11,9,5,2,53,40,1,2,10,0.288,0.366,0.363,0.729,121,0.075,0.331,25.4%,13.9%,10.5%,0.75,-1.0,24,4,L,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Uchida Shodai,106,366,340,31,79,17,0,4,108,31,0,1,3,3,84,16,0,3,7,0.232,0.271,0.318,0.589,78,0.086,0.294,28.4%,23.0%,4.4%,0.19,-0.3,20,5,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Akihiro Yuto,96,360,314,36,86,21,1,2,115,28,2,1,2,2,47,39,0,3,11,0.274,0.358,0.366,0.724,120,0.092,0.315,24.4%,13.1%,10.8%,0.83,0.1,22,3,L,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
,Tima Julian,115,401,374,43,94,18,1,15,159,53,0,1,0,4,84,21,1,2,6,0.251,0.292,0.425,0.717,117,0.174,0.283,29.9%,20.9%,5.2%,0.25,-0.2,20,5,R,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
,Hashimoto Seiya,103,355,329,43,86,19,2,7,130,42,8,5,0,4,41,20,0,2,10,0.261,0.304,0.395,0.699,106,0.134,0.277,19.2%,11.5%,5.6%,0.49,-0.2,24,2,L,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,EL
,Itoh Ryui,95,368,321,19,71,9,2,0,84,15,11,6,10,1,96,32,0,4,8,0.221,0.299,0.262,0.561,67,0.041,0.314,34.8%,26.1%,8.7%,0.33,-0.0,22,6,R,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,EL
