Team,G,W,L,T,PCT,GB,Home,Road,vsT,vsH,vsC,vsB,vsD,Int,
HanshinTigers,110,66,39,5,.629,--,31-24(5),35-15,--,13-12(2),15-13,20-7(3),16-7,2-0,
Fukuoka SoftBankHawks,115,65,43,7,.602,2.5,28-25(2),37-18(5),12-13(2),--,13-11(2),19-8(2),20-10(1),1-1,
Hiroshima ToyoCarp,106,49,49,8,.500,13.5,24-21(5),25-28(3),13-15,11-13(2),--,11-11(3),14-8(3),0-2,
ORIXBuffaloes,122,43,64,15,.402,24.0,23-30(9),20-34(6),7-20(3),8-19(2),11-11(3),--,14-9(7),3-5,
ChunichiDragons,109,34,64,11,.347,28.5,17-32(2),17-32(9),7-16,10-20(1),8-14(3),9-14(7),--,--,
