Player,Team,Position,Inning,TZR,RngR,DPR,ARM,Error,位置補正,Framing,Blocking,
吉川 尚輝,巨,2B,1126.3,9.0,9.9,0.0,-,-0.9,3.0,-,-,
吉川 尚輝,巨,SS,1.7,0.1,-0.1,0.1,-,0.0,0.0,-,-,
大島 洋平,中,LF,262.7,0.5,2.2,-,-1.8,0.1,-2.5,-,-,
大島 洋平,中,CF,621.0,-4.4,-2.7,-,-1.7,0.1,2.1,-,-,
桑原 将志,デ,CF,1069.3,9.7,10.9,-,-1.4,0.2,3.6,-,-,
西川 龍馬,広,LF,559.3,0.0,0.0,-,-0.2,0.2,-5.3,-,-,
西川 龍馬,広,CF,267.0,-2.6,-2.9,-,0.2,0.0,0.9,-,-,
西川 龍馬,広,RF,15.0,1.7,1.6,-,0.1,0.0,-0.1,-,-,
近本 光司,神,CF,1174.0,21.3,22.6,-,-0.7,-0.6,3.9,-,-,
塩見 泰隆,ヤ,CF,1097.3,8.6,5.0,-,3.3,0.2,3.6,-,-,
西川 遥輝,楽,LF,763.3,17.2,9.6,-,7.3,0.4,-7.2,-,-,
西川 遥輝,楽,CF,77.0,-3.7,-3.3,-,-0.4,0.0,0.3,-,-,
西川 遥輝,楽,DH,14.0,-,-,-,-,-,-0.2,-,-,
髙部 瑛斗,ロ,LF,378.0,4.5,0.9,-,3.4,0.1,-3.6,-,-,
髙部 瑛斗,ロ,CF,830.7,12.9,9.9,-,2.8,0.2,2.8,-,-,
鈴木 将平,西,LF,64.7,-0.3,0.7,-,-0.1,-0.8,-0.6,-,-,
鈴木 将平,西,CF,411.7,-3.6,-3.0,-,0.2,-0.8,1.4,-,-,
鈴木 将平,西,DH,2.0,-,-,-,-,-,0.0,-,-,
福田 周平,オ,2B,1.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
福田 周平,オ,LF,291.0,8.5,7.6,-,0.7,0.1,-2.8,-,-,
福田 周平,オ,CF,697.3,-0.4,-2.2,-,1.8,0.1,2.3,-,-,
三森 大貴,ソ,1B,73.0,-0.6,0.6,-0.1,-,-1.1,-0.8,-,-,
三森 大貴,ソ,2B,749.7,10.5,9.6,-0.5,-,1.3,2.0,-,-,
三森 大貴,ソ,DH,18.0,-,-,-,-,-,-0.2,-,-,
今川 優馬,日,LF,291.0,8.5,5.6,-,3.5,-0.7,-2.8,-,-,
今川 優馬,日,CF,249.7,-2.0,-1.4,-,-0.6,0.0,0.8,-,-,
今川 優馬,日,RF,98.0,-4.8,-6.4,-,1.6,0.0,-0.4,-,-,
今川 優馬,日,DH,49.0,-,-,-,-,-,-0.6,-,-,
万波 中正,日,LF,2.3,0.1,0.0,-,0.1,0.0,0.0,-,-,
万波 中正,日,CF,58.3,2.6,2.5,-,0.1,0.0,0.2,-,-,
万波 中正,日,RF,608.3,10.3,6.5,-,3.7,0.1,-2.4,-,-,
万波 中正,日,DH,17.0,-,-,-,-,-,-0.2,-,-,
アルカンタラ,日,2B,359.0,-5.5,-4.3,0.1,-,-1.3,1.0,-,-,
アルカンタラ,日,3B,13.0,0.2,0.8,0.0,-,-0.6,0.0,-,-,
アルカンタラ,日,SS,6.0,-0.1,0.0,-0.1,-,0.0,0.0,-,-,
アルカンタラ,日,LF,83.7,2.9,1.3,-,1.6,0.0,-0.8,-,-,
アルカンタラ,日,CF,27.0,-0.2,0.0,-,-0.2,0.0,0.1,-,-,
アルカンタラ,日,RF,27.0,-3.1,-2.8,-,-0.3,0.0,-0.1,-,-,
アルカンタラ,日,DH,108.0,-,-,-,-,-,-1.3,-,-,
渡邉 諒,日,1B,62.0,0.5,0.3,0.0,-,0.2,-0.7,-,-,
渡邉 諒,日,2B,51.0,1.2,1.7,-0.2,-,-0.4,0.1,-,-,
渡邉 諒,日,DH,14.0,-,-,-,-,-,-0.2,-,-,
石井 一成,日,2B,395.3,1.0,1.1,-0.6,-,0.5,1.1,-,-,
石井 一成,日,3B,34.0,-0.7,0.4,0.0,-,-1.1,-0.1,-,-,
石井 一成,日,SS,277.0,-2.7,-2.9,0.5,-,-0.3,2.3,-,-,
石井 一成,日,LF,5.0,0.3,0.3,-,0.0,0.0,0.0,-,-,
石井 一成,日,CF,1.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
石井 一成,日,RF,6.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
石井 一成,日,DH,13.0,-,-,-,-,-,-0.2,-,-,
岡林 勇希,中,CF,447.3,1.0,-2.3,-,3.2,0.1,1.5,-,-,
岡林 勇希,中,RF,764.7,8.3,8.5,-,0.4,-0.7,-3.0,-,-,
近藤 健介,日,LF,332.0,1.7,1.6,-,1.6,-1.5,-3.2,-,-,
近藤 健介,日,CF,298.3,0.7,2.2,-,-1.5,0.0,1.0,-,-,
近藤 健介,日,DH,178.0,-,-,-,-,-,-2.1,-,-,
堂林 翔太,広,1B,35.0,-0.8,-0.9,-0.1,-,0.2,-0.4,-,-,
堂林 翔太,広,LF,235.3,6.6,4.2,-,2.4,0.1,-2.2,-,-,
堂林 翔太,広,RF,247.0,1.7,1.4,-,0.3,0.1,-1.0,-,-,
淺間 大基,日,1B,26.0,0.1,0.0,0.0,-,0.1,-0.3,-,-,
淺間 大基,日,3B,20.0,-0.9,-0.7,-0.2,-,0.1,-0.1,-,-,
淺間 大基,日,LF,156.0,1.2,1.2,-,-0.1,0.1,-1.5,-,-,
淺間 大基,日,CF,114.7,-1.3,-1.5,-,0.2,0.0,0.4,-,-,
淺間 大基,日,RF,209.7,3.5,3.9,-,-0.5,0.0,-0.8,-,-,
淺間 大基,日,DH,4.0,-,-,-,-,-,0.0,-,-,
水野 達稀,日,2B,33.0,-2.2,-2.3,0.0,-,0.1,0.1,-,-,
水野 達稀,日,3B,28.0,0.0,-0.2,0.0,-,0.3,-0.1,-,-,
水野 達稀,日,SS,39.0,-0.9,-0.5,0.1,-,-0.5,0.3,-,-,
若月 健矢,オ,C,466.0,3.3,-,-,3.2,0.1,6.7,1.6,0.3,
王 柏融,日,1B,26.0,-1.2,-1.2,-0.1,-,0.1,-0.3,-,-,
王 柏融,日,LF,13.3,0.1,-0.2,-,0.3,0.0,-0.1,-,-,
