PlayerNum,enPlayer,Link,BirthDate,Height,Weight,T,B,Note,Team
88,Yano Akihiro,Dec. 6 1968,,,Hanshin Tigers
21,Akiyama Takumi,https://npb.jp/bis/eng/players/51155131.html,Apr. 26 1991,188,103,R,L,,Hanshin Tigers
44,Alcantara Raul,https://npb.jp/bis/eng/players/03505153.html,Dec. 4 1992,193,109,R,R,,Hanshin Tigers
50,Aoyagi Koyo,https://npb.jp/bis/eng/players/71175132.html,Dec. 11 1993,183,83,R,R,,Hanshin Tigers
18,Baba Kosuke,https://npb.jp/bis/eng/players/41445136.html,May 18 1995,180,96,R,R,,Hanshin Tigers
14,Chen Wei-Yin,https://npb.jp/bis/eng/players/21625119.html,Jul. 21 1985,183,86,L,R,Released (Jun. 29).,Hanshin Tigers
19,Fujinami Shintaro,https://npb.jp/bis/eng/players/41045137.html,Apr. 12 1994,197,98,R,R,,Hanshin Tigers
49,Gunkel Joe,https://npb.jp/bis/eng/players/93395151.html,Dec. 30 1991,199,101,R,R,,Hanshin Tigers
36,Hamachi Masumi,https://npb.jp/bis/eng/players/71675134.html,May 25 1998,185,92,R,R,,Hanshin Tigers
69,Ishii Daichi,https://npb.jp/bis/eng/players/41145153.html,Jul. 29 1997,175,79,R,R,,Hanshin Tigers
27,Itoh Masashi,https://npb.jp/bis/eng/players/71375153.html,May 8 1996,178,84,L,L,,Hanshin Tigers
17,Iwasada Yuta,https://npb.jp/bis/eng/players/51355139.html,Sep. 5 1991,183,86,L,L,,Hanshin Tigers
13,Iwazaki Suguru,https://npb.jp/bis/eng/players/31335139.html,Jun. 19 1991,185,88,L,L,,Hanshin Tigers
54,Kajiya Ren,https://npb.jp/bis/eng/players/21525139.html,Nov. 25 1991,185,91,R,R,,Hanshin Tigers
42,Keller Kyle,https://npb.jp/bis/eng/players/73975155.html,Apr. 28 1993,193,86,R,R,,Hanshin Tigers
47,Kirishiki Takuma,https://npb.jp/bis/eng/players/01705155.html,Jun. 20 1999,178,90,L,L,,Hanshin Tigers
56,Kobayashi Keisuke,https://npb.jp/bis/eng/players/21725134.html,Nov. 2 1992,188,90,R,R,,Hanshin Tigers
20,Moriki Daichi,https://npb.jp/bis/eng/players/03305155.html,Apr. 17 2003,184,90,R,R,,Hanshin Tigers
43,Moriya Kouki,https://npb.jp/bis/eng/players/51855130.html,Nov. 25 1993,184,87,R,R,,Hanshin Tigers
41,Murakami Shoki,https://npb.jp/bis/eng/players/13315153.html,Jun. 25 1998,174,79,R,L,,Hanshin Tigers
34,Niho Akira,https://npb.jp/bis/eng/players/61265118.html,May 18 1990,182,77,R,R,,Hanshin Tigers
15,Nishi Junya,https://npb.jp/bis/eng/players/91495151.html,Sep. 13 2001,184,90,R,R,,Hanshin Tigers
16,Nishi Yuki,https://npb.jp/bis/eng/players/71275118.html,Nov. 10 1990,181,82,R,R,,Hanshin Tigers
66,Ogawa Ippei,https://npb.jp/bis/eng/players/11715151.html,Jun. 3 1997,183,82,R,R,,Hanshin Tigers
64,Okadome Hidetaka,https://npb.jp/bis/eng/players/11515155.html,Nov. 7 1999,180,87,R,R,,Hanshin Tigers
40,Onaka Yuya,https://npb.jp/bis/eng/players/61365134.html,Jan. 31 1995,173,75,R,L,,Hanshin Tigers
98,Ono Taiki,https://npb.jp/bis/eng/players/81385134.html,May 30 1994,186,75,R,R,,Hanshin Tigers
37,Oyokawa Masaki,https://npb.jp/bis/eng/players/91795151.html,Apr. 18 2001,184,79,L,L,,Hanshin Tigers
35,Saiki Hiroto,https://npb.jp/bis/eng/players/41745134.html,Nov. 7 1998,189,88,R,R,Registered(developmental player ->) (May 6).,Hanshin Tigers
48,Saitoh Yukiya,https://npb.jp/bis/eng/players/21725138.html,Jan. 5 1995,184,92,R,L,,Hanshin Tigers
30,Satoh Ren,https://npb.jp/bis/eng/players/81085153.html,Apr. 11 1998,189,105,R,R,,Hanshin Tigers
46,Shimamoto Hiroya,https://npb.jp/bis/eng/players/51055133.html,Feb. 14 1993,176,73,L,L,Registered(developmental player ->) (Jun. 21).,Hanshin Tigers
28,Suzuki Yuto,https://npb.jp/bis/eng/players/01005155.html,Mar. 17 2000,174,83,L,L,,Hanshin Tigers
29,Takahashi Haruto,https://npb.jp/bis/eng/players/91095136.html,Nov. 7 1995,181,80,L,L,,Hanshin Tigers
92,Watanabe Yuta,https://npb.jp/bis/eng/players/93395136.html,Sep. 19 1991,185,84,L,L,Registered(developmental player ->) (Mar. 22).,Hanshin Tigers
52,Wilkerson Aaron,https://npb.jp/bis/eng/players/93795155.html,May 24 1989,191,95,R,R,,Hanshin Tigers
65,Yuasa Atsuki,https://npb.jp/bis/eng/players/41845138.html,Jul. 17 1999,183,81,R,R,,Hanshin Tigers
59,Fujita Kento,https://npb.jp/bis/eng/players/91695151.html,Oct. 18 2001,173,78,R,R,,Hanshin Tigers
95,Katayama Yuya,https://npb.jp/bis/eng/players/01505138.html,Jun. 18 1994,177,82,R,L,,Hanshin Tigers
57,Nagasaka Kenya,https://npb.jp/bis/eng/players/91495134.html,Apr. 28 1994,173,75,R,R,,Hanshin Tigers
68,Nakagawa Hayato,https://npb.jp/bis/eng/players/51455155.html,Jan. 27 2004,172,72,R,R,,Hanshin Tigers
39,Sakaeda Yuki,https://npb.jp/bis/eng/players/51055153.html,May 16 1998,180,83,R,R,,Hanshin Tigers
12,Sakamoto Seishiro,https://npb.jp/bis/eng/players/11915132.html,Nov. 10 1993,176,80,R,R,,Hanshin Tigers
2,Umeno Ryutaro,https://npb.jp/bis/eng/players/21325139.html,Jun. 17 1991,173,78,R,R,,Hanshin Tigers
45,Endo Jo,https://npb.jp/bis/eng/players/71575151.html,Sep. 19 2001,178,81,R,L,,Hanshin Tigers
94,Haraguchi Fumihito,https://npb.jp/bis/eng/players/61065131.html,Mar. 3 1992,182,92,R,R,,Hanshin Tigers
26,Hojoh Fumiya,https://npb.jp/bis/eng/players/11215137.html,Jul. 29 1994,177,79,R,R,,Hanshin Tigers
33,Itohara Kento,https://npb.jp/bis/eng/players/81185134.html,Nov. 11 1992,175,82,R,L,,Hanshin Tigers
0,Kinami Seiya,https://npb.jp/bis/eng/players/31735138.html,Jun. 15 1994,179,80,R,L,,Hanshin Tigers
4,Kumagai Takahiro,https://npb.jp/bis/eng/players/81585136.html,Nov. 10 1995,175,68,R,R,,Hanshin Tigers
31,Marte Jefry,https://npb.jp/bis/eng/players/63365138.html,Jun. 21 1991,185,102,R,R,,Hanshin Tigers
51,Nakano Takumu,https://npb.jp/bis/eng/players/41445153.html,Jun. 28 1996,171,68,R,L,,Hanshin Tigers
38,Obata Ryuhei,https://npb.jp/bis/eng/players/31535138.html,Sep. 21 2000,184,75,R,L,,Hanshin Tigers
3,Ohyama Yusuke,https://npb.jp/bis/eng/players/21325134.html,Dec. 19 1994,181,92,R,R,,Hanshin Tigers
8,Sato Teruaki,https://npb.jp/bis/eng/players/41045153.html,Mar. 13 1999,187,94,R,L,,Hanshin Tigers
67,Takatera Nozomu,https://npb.jp/bis/eng/players/41245153.html,Oct. 17 2002,178,76,R,L,,Hanshin Tigers
62,Ueda Kai,https://npb.jp/bis/eng/players/01305130.html,Apr. 19 1996,175,72,R,S,,Hanshin Tigers
00,Yamamoto Yasuhiro,https://npb.jp/bis/eng/players/93195132.html,Oct. 10 1993,176,76,R,R,,Hanshin Tigers
55,Yohkawa Naomasa,https://npb.jp/bis/eng/players/11615139.html,Jul. 17 1991,180,90,R,R,,Hanshin Tigers
5,Chikamoto Koji,https://npb.jp/bis/eng/players/71075138.html,Nov. 9 1994,171,71,L,L,,Hanshin Tigers
25,Egoshi Taiga,https://npb.jp/bis/eng/players/21325130.html,Mar. 12 1993,182,81,R,R,,Hanshin Tigers
32,Inoue Kouta,https://npb.jp/bis/eng/players/31335151.html,Aug. 12 2001,188,100,R,R,,Hanshin Tigers
63,Itayama Yutaro,https://npb.jp/bis/eng/players/91395132.html,Mar. 27 1994,180,82,R,L,,Hanshin Tigers
7,Itoi Yoshio,https://npb.jp/bis/eng/players/91195119.html,Jul. 31 1981,188,99,R,L,,Hanshin Tigers
58,Maegawa Ukyo,https://npb.jp/bis/eng/players/21825155.html,May 18 2003,176,88,L,L,,Hanshin Tigers
97,Onodera Dan,https://npb.jp/bis/eng/players/71775151.html,Mar. 17 1998,183,81,R,R,,Hanshin Tigers
24,Rojas Jr. Mel,https://npb.jp/bis/eng/players/23925153.html,May 24 1990,189,110,R,S,,Hanshin Tigers
53,Shimada Kairi,https://npb.jp/bis/eng/players/91995136.html,Feb. 6 1996,176,71,R,L,,Hanshin Tigers
9,Takayama Shun,https://npb.jp/bis/eng/players/01005132.html,Apr. 18 1993,181,86,R,L,,Hanshin Tigers
61,Toyoda Hiroshi,https://npb.jp/bis/eng/players/31435155.html,Apr. 28 1997,177,85,R,R,,Hanshin Tigers
125,Itoh Ryo,https://npb.jp/bis/eng/players/31335155.html,Nov. 8 1999,178,86,L,L,,Hanshin Tigers
122,Iwata Masaki,https://npb.jp/bis/eng/players/81385153.html,Jun. 16 1998,178,75,L,L,,Hanshin Tigers
127,Kawahara Riku,https://npb.jp/bis/eng/players/11715138.html,Dec. 12 2000,186,85,L,L,,Hanshin Tigers
126,Maki Johichiro,https://npb.jp/bis/eng/players/81685136.html,Sep. 23 1999,181,83,R,L,,Hanshin Tigers
124,Mochizuki Atsushi,https://npb.jp/bis/eng/players/81885132.html,Aug. 2 1997,190,94,R,R,,Hanshin Tigers
88,Sasaoka Shinji,Aug. 26 1967,,,Hiroshima Carp
