batId,batter_team_name_short,batter_name,Bats,IP,PA,Count,qualified,FB Velo,K%,BB%,Swing%,Z-Swing%,Chase%,Contact%,Z-Con%,O-Con%,Whiff%,SwStr%,CSW%,Ball%,Strike%,F-Str%,PAR%,PLUS%,Behind%,Zone%,Glove%,Arm%,High%,Low%,MM%,Sec%,sSeager,BIP,Pull AIR%,HR%,HR/FB,Usage,Avg Velo,Max Velo,YpERA Grade,null,GB%,FB%,LD%,IFFB%,OFFB%,AIR%,Pull%,Cent%,Oppo%,FB Velo_pctl,K%_pctl,BB%_pctl,Swing%_pctl,Z-Swing%_pctl,Chase%_pctl,Contact%_pctl,Z-Con%_pctl,O-Con%_pctl,Whiff%_pctl,SwStr%_pctl,CSW%_pctl,Ball%_pctl,Strike%_pctl,F-Str%_pctl,PAR%_pctl,PLUS%_pctl,Behind%_pctl,Zone%_pctl,Glove%_pctl,Arm%_pctl,High%_pctl,Low%_pctl,MM%_pctl,Sec%_pctl,BIP_pctl,GB%_pctl,FB%_pctl,LD%_pctl,IFFB%_pctl,OFFB%_pctl,AIR%_pctl,Pull%_pctl,Cent%_pctl,Oppo%_pctl,Pull AIR%_pctl,HR%_pctl,HR/FB_pctl,Usage_pctl,Avg Velo_pctl,Max Velo_pctl,YpERA Grade_pctl
1800099,ORIX,Tongu Yuma,R,63.33333333,271,1104,TRUE,91.2,0.184501845,0.08487084871,0.5018115942,0.7341772152,0.2686025408,0.7563176895,0.8571428571,0.4797297297,0.2436823105,0.1222826087,0.2509057971,0.3577898551,0.6422101449,0.624535316,0.1317204301,0.5860507246,0.09692028986,0.5009057971,0.5670289855,0.4329710145,0.4338768116,0.5661231884,0.05434782609,0.410326087,,186,0.2645502646,0.0405904059,0.1009174312,1,86.29005629,101.3,,0,0.3494623656,0.5860215054,0.06451612903,0.1774193548,0.4086021505,0.6505376344,0.4139784946,0.4139784946,0.1720430108,0.245951417,0.7105263158,0.7975708502,0.6599190283,0.8502024291,0.6315789474,0.5222672065,0.5111336032,0.3522267206,0.532388664,0.475708502,0.8441295547,0.7307692308,0.7307692308,0.528340081,0.8360323887,0.7489878543,0.4939271255,0.6943319838,0.3360323887,0.6659919028,0.4939271255,0.508097166,0.7408906883,0.3481781377,0.1923076923,0.8299595142,0.8987854251,0.548582996,0.1912955466,0.8866396761,0.8906882591,0.6862348178,0.3137651822,0.7408906883,0.8927125506,0.9311740891,0.7368421053,0.4949392713,0.3623481781,0.04453441296,
1600003,Rakuten,Mogi Eigoro,L,62.66666667,269,1147,TRUE,90.8,0.2750929368,0.1003717472,0.4673060157,0.6994906621,0.2222222222,0.7406716418,0.8106796117,0.5080645161,0.2593283582,0.1211857018,0.272885789,0.3783783784,0.6216216216,0.5650557621,0.1983914209,0.5727986051,0.1168265039,0.5135135135,0.4585876199,0.5414123801,0.4568439407,0.5431560593,0.0706190061,0.454228422,,166,0.1796407186,0.03345724907,0.1111111111,1,85.53790614,100.1,,0,0.4759036145,0.4879518072,0.03614457831,0.1024096386,0.3855421687,0.5240963855,0.421686747,0.3493975904,0.2289156627,0.4534412955,0.4048582996,0.8663967611,0.4493927126,0.7348178138,0.8087044534,0.4453441296,0.3481781377,0.455465587,0.455465587,0.487854251,0.6619433198,0.8542510121,0.8542510121,0.758097166,0.5506072874,0.8238866397,0.7145748988,0.5890688259,0.6518218623,0.3502024291,0.3198380567,0.6821862348,0.4149797571,0.1457489879,0.2125506073,0.5789473684,0.7348178138,0.3866396761,0.516194332,0.8168016194,0.6396761134,0.7044534413,0.5668016194,0.5232793522,0.7105263158,0.8967611336,0.7469635628,0.4949392713,0.6781376518,0.1386639676,
12102,Seibu,Kuriyama Takumi,L,62.33333333,268,1070,TRUE,91.4,0.2126865672,0.08208955224,0.491588785,0.7145454545,0.2557692308,0.7794676806,0.8676844784,0.5187969925,0.2205323194,0.108411215,0.2514018692,0.3607476636,0.6392523364,0.5789473684,0.1753846154,0.5794392523,0.1158878505,0.5140186916,0.438317757,0.561682243,0.4785046729,0.5214953271,0.06448598131,0.3588785047,,184,0.1774193548,0.01119402985,0.03614457831,1,86.83659245,100.7,,0,0.4619565217,0.4510869565,0.08695652174,0.125,0.3260869565,0.5380434783,0.4293478261,0.3804347826,0.1902173913,0.1811740891,0.6113360324,0.7732793522,0.5647773279,0.7914979757,0.6700404858,0.6113360324,0.5526315789,0.475708502,0.6214574899,0.5647773279,0.8400809717,0.7489878543,0.7489878543,0.7105263158,0.6315789474,0.7914979757,0.7064777328,0.5829959514,0.7186234818,0.2834008097,0.2165991903,0.7854251012,0.504048583,0.6052631579,0.1943319838,0.6255060729,0.6578947368,0.745951417,0.4018218623,0.6548582996,0.6862348178,0.7327935223,0.4352226721,0.6902834008,0.7034412955,0.6720647773,0.5182186235,0.4949392713,0.2206477733,0.08906882591,
1900014,Lotte,Martin Leonys,L,63,265,1103,TRUE,91.1,0.2867924528,0.1094339623,0.4782214156,0.6945525292,0.2886247878,0.6717267552,0.7955182073,0.4117647059,0.3282732448,0.1569872958,0.2967332123,0.3693284936,0.6306715064,0.5871212121,0.2146892655,0.5871143376,0.1124206709,0.4664246824,0.4777878513,0.5222121487,0.4179510426,0.5820489574,0.06436990027,0.44646098,,147,0.277027027,0.03396226415,0.09278350515,1,85.65928433,99.4,,0,0.2721088435,0.6598639456,0.06802721088,0.2380952381,0.4217687075,0.7278911565,0.5034013605,0.3197278912,0.1768707483,0.2844129555,0.3724696356,0.9048582996,0.504048583,0.7186234818,0.544534413,0.2712550607,0.2834008097,0.2692307692,0.2813765182,0.2611336032,0.4939271255,0.7935222672,0.7935222672,0.6740890688,0.4655870445,0.7368421053,0.6781376518,0.8724696356,0.5931174089,0.4089068826,0.6255060729,0.3765182186,0.5060728745,0.1700404858,0.2246963563,0.8866396761,0.9372469636,0.5779352227,0.07793522267,0.9048582996,0.9473684211,0.9008097166,0.6852226721,0.7307692308,0.8987854251,0.9008097166,0.7246963563,0.4949392713,0.6255060729,0.1993927126,
1300093,DeNA,Minei Hiroki,R,68,259,884,TRUE,90.6,0.2123552124,0.01158301158,0.6228765572,0.7673913043,0.4646226415,0.7254545455,0.8441926346,0.5126903553,0.2745454545,0.1710079275,0.2831257078,0.2502831257,0.7497168743,0.7120622568,0.2030075188,0.6828992072,0.05769230769,0.5209513024,0.5859728507,0.4140271493,0.3936651584,0.6063348416,0.06900452489,0.4269535674,,191,0.1487179487,0.01930501931,0.06172839506,1,84.91600467,98.8,,0,0.5130890052,0.4240837696,0.06282722513,0.1361256545,0.2879581152,0.4869109948,0.3926701571,0.3664921466,0.2408376963,0.5759109312,0.6133603239,0.3319838057,0.9493927126,0.9271255061,0.1093117409,0.3927125506,0.4534412955,0.4655870445,0.4028340081,0.2186234818,0.5931174089,0.1963562753,0.1963562753,0.2348178138,0.524291498,0.2388663968,0.2449392713,0.5182186235,0.2550607287,0.7469635628,0.7894736842,0.2125506073,0.4392712551,0.2611336032,0.1902834008,0.475708502,0.5647773279,0.536437247,0.3542510121,0.5526315789,0.536437247,0.6194331984,0.516194332,0.467611336,0.6052631579,0.7773279352,0.6275303644,0.4949392713,0.8562753036,0.2712550607,
2000146,Lotte,Hechavarria Adeiny,R,64.66666667,258,897,TRUE,90.6,0.1860465116,0.03875968992,0.530657748,0.7296703297,0.3257918552,0.7605042017,0.8524096386,0.5486111111,0.2394957983,0.127090301,0.2619843924,0.3299888517,0.6700111483,0.6575875486,0.2008368201,0.6064659978,0.09810479376,0.5072463768,0.5785953177,0.4214046823,0.4113712375,0.5886287625,0.07134894091,0.386845039,,197,0.1818181818,0.007751937984,0.01818181818,1,86.06053269,99.4,,0,0.3756345178,0.5583756345,0.06598984772,0.1675126904,0.3908629442,0.6243654822,0.3604060914,0.3756345178,0.2639593909,0.5759109312,0.7024291498,0.4412955466,0.7793522267,0.8360323887,0.3603238866,0.5384615385,0.4858299595,0.5303643725,0.548582996,0.4291497976,0.7530364372,0.487854251,0.487854251,0.3724696356,0.532388664,0.5850202429,0.5101214575,0.6417004049,0.2914979757,0.7105263158,0.6821862348,0.3198380567,0.3987854251,0.4777327935,0.1831983806,0.7914979757,0.8603238866,0.5566801619,0.2145748988,0.8461538462,0.8512145749,0.5425101215,0.4534412955,0.3643724696,0.7206477733,0.6275303644,0.4412955466,0.4949392713,0.4574898785,0.1993927126,
400021,Yakult,Aoki Norichika,L,57.66666667,257,1057,TRUE,90.6,0.1050583658,0.1089494163,0.4162724693,0.6363636364,0.1872586873,0.875,0.9300291545,0.6804123711,0.125,0.05203405866,0.2355723746,0.3954588458,0.6045411542,0.5333333333,0.09375,0.5477767266,0.1475875118,0.5099337748,0.4673604541,0.5326395459,0.4001892148,0.5998107852,0.07379375591,0.3822138127,,194,0.1827411168,0.01945525292,0.07352941176,1,85.43185035,97.6,,0,0.5463917526,0.3505154639,0.1030927835,0.1082474227,0.2422680412,0.4536082474,0.5206185567,0.2422680412,0.2371134021,0.5759109312,0.9129554656,0.8967611336,0.2287449393,0.4615384615,0.9048582996,0.8866396761,0.8218623482,0.7611336032,0.8967611336,0.8906882591,0.9190283401,0.9271255061,0.9271255061,0.8552631579,0.9311740891,0.9433198381,0.9190283401,0.6275303644,0.6255060729,0.3765182186,0.7368421053,0.2651821862,0.3461538462,0.4939271255,0.1862348178,0.3825910931,0.4008097166,0.8502024291,0.4939271255,0.4230769231,0.4433198381,0.9149797571,0.8198380567,0.495951417,0.7267206478,0.7813765182,0.6740890688,0.4949392713,0.7287449393,0.4149797571,
1300044,Lotte,Oka Hiromi,R,58,251,1005,TRUE,90.7,0.2231075697,0.09561752988,0.4248756219,0.6070038911,0.2342158859,0.7470725995,0.8557692308,0.452173913,0.2529274005,0.1074626866,0.3024875622,0.3631840796,0.6368159204,0.6533864542,0.1800643087,0.5820895522,0.1004975124,0.5114427861,0.5572139303,0.4427860697,0.3810945274,0.6189054726,0.06865671642,0.439800995,,159,0.1320754717,0.02390438247,0.09375,1,85.2525296,97.6,,0,0.5094339623,0.4025157233,0.08805031447,0.1006289308,0.3018867925,0.4905660377,0.3899371069,0.358490566,0.251572327,0.5182186235,0.5627530364,0.8421052632,0.2550607287,0.3643724696,0.7591093117,0.471659919,0.4939271255,0.3117408907,0.4817813765,0.5708502024,0.4574898785,0.7611336032,0.7611336032,0.3886639676,0.6093117409,0.7712550607,0.5263157895,0.6153846154,0.3765182186,0.6255060729,0.8279352227,0.1740890688,0.4412955466,0.1983805668,0.2165991903,0.483805668,0.508097166,0.7550607287,0.524291498,0.5890688259,0.544534413,0.6153846154,0.5425101215,0.4149797571,0.5263157895,0.8360323887,0.7267206478,0.4949392713,0.7854251012,0.4149797571,
1100105,ORIX,Adachi Ryoichi,R,53.33333333,243,1008,TRUE,90.9,0.1893004115,0.1069958848,0.3508946322,0.52,0.1462882096,0.8186968839,0.8846153846,0.5373134328,0.1813031161,0.06361829026,0.3151093439,0.3866799205,0.6133200795,0.6291666667,0.1503267974,0.5566600398,0.126984127,0.5467196819,0.6091269841,0.3908730159,0.4503968254,0.5496031746,0.07142857143,0.3141153082,,163,0.02366863905,0.004115226337,0.02222222222,1,86.86550633,99.4,,0,0.6380368098,0.2760736196,0.08588957055,0.05521472393,0.2208588957,0.3619631902,0.1779141104,0.490797546,0.3312883436,0.3917004049,0.6882591093,0.8866396761,0.07489878543,0.1882591093,0.9352226721,0.7429149798,0.6376518219,0.5060728745,0.7530364372,0.8502024291,0.3947368421,0.8987854251,0.8987854251,0.487854251,0.75,0.9129554656,0.794534413,0.3441295547,0.1700404858,0.8319838057,0.3704453441,0.6315789474,0.3917004049,0.7611336032,0.2145748988,0.2408906883,0.2692307692,0.7408906883,0.6882591093,0.3765182186,0.3016194332,0.2085020243,0.1599190283,0.2064777328,0.2429149798,0.5870445344,0.4544534413,0.4949392713,0.2125506073,0.1993927126,
1400119,Nipponham,Asama Daiki,L,59.33333333,241,899,TRUE,91.4,0.2282157676,0.04564315353,0.5595105673,0.755186722,0.3333333333,0.7912524851,0.8626373626,0.6043165468,0.2087475149,0.1167964405,0.2424916574,0.3092324805,0.6907675195,0.6763485477,0.1845637584,0.6307007786,0.06785317019,0.5361512792,0.4182424917,0.5817575083,0.4215795328,0.5784204672,0.06229143493,0.424916574,,174,0.1724137931,0.01659751037,0.05714285714,1,85.94780546,101.3,,0,0.4885057471,0.4022988506,0.1091954023,0.1436781609,0.2586206897,0.5114942529,0.4482758621,0.3448275862,0.2068965517,0.1811740891,0.54048583,0.508097166,0.8643724696,0.9068825911,0.3299595142,0.6497975709,0.532388664,0.6457489879,0.6599190283,0.5182186235,0.8947368421,0.3886639676,0.3886639676,0.2995951417,0.5991902834,0.4230769231,0.2975708502,0.4109311741,0.8016194332,0.2004048583,0.5971659919,0.4048582996,0.5546558704,0.2732793522,0.2074898785,0.5506072874,0.5050607287,0.8765182186,0.2975708502,0.479757085,0.6113360324,0.7773279352,0.5860323887,0.6315789474,0.6852226721,0.7550607287,0.6072874494,0.4949392713,0.5,0.04453441296,
