Player,Team,Position,Inning,TZR,RngR,DPR,ARM,Error,位置補正,Framing,Blocking,
柳町 達,ソ,LF,10.0,1.3,1.2,-,0.1,0.0,-0.1,-,-,
柳町 達,ソ,CF,33.0,1.7,1.5,-,0.1,0.0,0.1,-,-,
柳町 達,ソ,RF,22.0,0.3,0.6,-,-0.3,0.0,-0.1,-,-,
柳町 達,ソ,DH,7.0,-,-,-,-,-,-0.1,-,-,
来田 涼斗,オ,1B,122.3,-1.9,-2.3,0.0,-,0.4,-1.4,-,-,
来田 涼斗,オ,LF,244.0,-0.2,-0.8,-,0.4,0.3,-2.3,-,-,
来田 涼斗,オ,RF,307.0,-5.3,-3.0,-,-2.3,0.0,-1.2,-,-,
来田 涼斗,オ,DH,149.0,-,-,-,-,-,-1.8,-,-,
西巻 賢二,ロ,2B,302.7,3.1,3.8,-0.9,-,0.1,0.8,-,-,
西巻 賢二,ロ,3B,80.3,3.3,2.4,-0.1,-,1.0,-0.3,-,-,
西巻 賢二,ロ,SS,99.0,2.3,3.0,-0.9,-,0.3,0.8,-,-,
西巻 賢二,ロ,LF,24.0,0.5,-0.2,-,0.7,0.0,-0.2,-,-,
西巻 賢二,ロ,CF,137.0,0.5,1.1,-,-0.7,0.1,0.5,-,-,
西巻 賢二,ロ,DH,3.0,-,-,-,-,-,0.0,-,-,
田宮 裕涼,日,C,162.0,-1.1,-,-,-0.6,-0.4,2.3,-2.3,0.0,
田宮 裕涼,日,LF,20.0,0.4,1.2,-,0.0,-0.8,-0.2,-,-,
田宮 裕涼,日,RF,60.0,-2.3,-2.4,-,0.1,0.0,-0.2,-,-,
田宮 裕涼,日,DH,43.0,-,-,-,-,-,-0.5,-,-,
細川 凌平,日,2B,69.0,2.8,3.4,0.2,-,-0.8,0.2,-,-,
細川 凌平,日,SS,213.0,4.3,3.8,-0.6,-,1.1,1.7,-,-,
細川 凌平,日,LF,14.0,-0.2,-0.3,-,0.0,0.0,-0.1,-,-,
細川 凌平,日,CF,131.3,-2.2,-3.2,-,0.9,0.1,0.4,-,-,
