PlayerNum,jpPlayer,Link,BirthDate,Height,Weight,T,B,Note,Team
88,矢野　燿大,1968.12.06,,,Hanshin Tigers
13,岩崎　優,https://npb.jp/bis/players/31335139.html,1991.06.19,185,88,左,左,,Hanshin Tigers
14,チェン・ウェイン,https://npb.jp/bis/players/21625119.html,1985.07.21,183,86,左,右,6/29 自由契約,Hanshin Tigers
15,西　純矢,https://npb.jp/bis/players/91495151.html,2001.09.13,184,90,右,右,,Hanshin Tigers
16,西　勇輝,https://npb.jp/bis/players/71275118.html,1990.11.10,181,82,右,右,,Hanshin Tigers
17,岩貞　祐太,https://npb.jp/bis/players/51355139.html,1991.09.05,183,86,左,左,,Hanshin Tigers
18,馬場　皐輔,https://npb.jp/bis/players/41445136.html,1995.05.18,180,96,右,右,,Hanshin Tigers
19,藤浪　晋太郎,https://npb.jp/bis/players/41045137.html,1994.04.12,197,98,右,右,,Hanshin Tigers
20,森木　大智,https://npb.jp/bis/players/03305155.html,2003.04.17,184,90,右,右,,Hanshin Tigers
21,秋山　拓巳,https://npb.jp/bis/players/51155131.html,1991.04.26,188,103,右,左,,Hanshin Tigers
27,伊藤　将司,https://npb.jp/bis/players/71375153.html,1996.05.08,178,84,左,左,,Hanshin Tigers
28,鈴木　勇斗,https://npb.jp/bis/players/01005155.html,2000.03.17,174,83,左,左,,Hanshin Tigers
29,髙橋　遥人,https://npb.jp/bis/players/91095136.html,1995.11.07,181,80,左,左,,Hanshin Tigers
30,佐藤　蓮,https://npb.jp/bis/players/81085153.html,1998.04.11,189,105,右,右,,Hanshin Tigers
34,二保　旭,https://npb.jp/bis/players/61265118.html,1990.05.18,182,77,右,右,,Hanshin Tigers
35,才木　浩人,https://npb.jp/bis/players/41745134.html,1998.11.07,189,88,右,右,5/6 育成選手から支配下選手へ移行,Hanshin Tigers
36,浜地　真澄,https://npb.jp/bis/players/71675134.html,1998.05.25,185,92,右,右,,Hanshin Tigers
37,及川　雅貴,https://npb.jp/bis/players/91795151.html,2001.04.18,184,79,左,左,,Hanshin Tigers
40,尾仲　祐哉,https://npb.jp/bis/players/61365134.html,1995.01.31,173,75,右,左,,Hanshin Tigers
41,村上　頌樹,https://npb.jp/bis/players/13315153.html,1998.06.25,174,79,右,左,,Hanshin Tigers
42,ケラー,https://npb.jp/bis/players/73975155.html,1993.04.28,193,86,右,右,,Hanshin Tigers
43,守屋　功輝,https://npb.jp/bis/players/51855130.html,1993.11.25,184,87,右,右,,Hanshin Tigers
44,アルカンタラ,https://npb.jp/bis/players/03505153.html,1992.12.04,193,109,右,右,,Hanshin Tigers
46,島本　浩也,https://npb.jp/bis/players/51055133.html,1993.02.14,176,73,左,左,6/21 育成選手から支配下選手へ移行,Hanshin Tigers
47,桐敷　拓馬,https://npb.jp/bis/players/01705155.html,1999.06.20,178,90,左,左,,Hanshin Tigers
48,齋藤　友貴哉,https://npb.jp/bis/players/21725138.html,1995.01.05,184,92,右,左,,Hanshin Tigers
49,ガンケル,https://npb.jp/bis/players/93395151.html,1991.12.30,199,101,右,右,,Hanshin Tigers
50,青柳　晃洋,https://npb.jp/bis/players/71175132.html,1993.12.11,183,83,右,右,,Hanshin Tigers
52,ウィルカーソン,https://npb.jp/bis/players/93795155.html,1989.05.24,191,95,右,右,,Hanshin Tigers
54,加治屋　蓮,https://npb.jp/bis/players/21525139.html,1991.11.25,185,91,右,右,,Hanshin Tigers
56,小林　慶祐,https://npb.jp/bis/players/21725134.html,1992.11.02,188,90,右,右,,Hanshin Tigers
64,岡留　英貴,https://npb.jp/bis/players/11515155.html,1999.11.07,180,87,右,右,,Hanshin Tigers
65,湯浅　京己,https://npb.jp/bis/players/41845138.html,1999.07.17,183,81,右,右,,Hanshin Tigers
66,小川　一平,https://npb.jp/bis/players/11715151.html,1997.06.03,183,82,右,右,,Hanshin Tigers
69,石井　大智,https://npb.jp/bis/players/41145153.html,1997.07.29,175,79,右,右,,Hanshin Tigers
92,渡邉　雄大,https://npb.jp/bis/players/93395136.html,1991.09.19,185,84,左,左,3/22 育成選手から支配下選手へ移行,Hanshin Tigers
98,小野　泰己,https://npb.jp/bis/players/81385134.html,1994.05.30,186,75,右,右,,Hanshin Tigers
2,梅野　隆太郎,https://npb.jp/bis/players/21325139.html,1991.06.17,173,78,右,右,,Hanshin Tigers
12,坂本　誠志郎,https://npb.jp/bis/players/11915132.html,1993.11.10,176,80,右,右,,Hanshin Tigers
39,榮枝　裕貴,https://npb.jp/bis/players/51055153.html,1998.05.16,180,83,右,右,,Hanshin Tigers
57,長坂　拳弥,https://npb.jp/bis/players/91495134.html,1994.04.28,173,75,右,右,,Hanshin Tigers
59,藤田　健斗,https://npb.jp/bis/players/91695151.html,2001.10.18,173,78,右,右,,Hanshin Tigers
68,中川　勇斗,https://npb.jp/bis/players/51455155.html,2004.01.27,172,72,右,右,,Hanshin Tigers
95,片山　雄哉,https://npb.jp/bis/players/01505138.html,1994.06.18,177,82,右,左,,Hanshin Tigers
00,山本　泰寛,https://npb.jp/bis/players/93195132.html,1993.10.10,176,76,右,右,,Hanshin Tigers
0,木浪　聖也,https://npb.jp/bis/players/31735138.html,1994.06.15,179,80,右,左,,Hanshin Tigers
3,大山　悠輔,https://npb.jp/bis/players/21325134.html,1994.12.19,181,92,右,右,,Hanshin Tigers
