Pitcher,G,W,L,SV,HLD,CG,SHO,PCT,BF,IP,,H,HR,BB,IBB,HB,SO,WP,BK,R,ER,ERA,Team,
Akiyama Takumi,5,1,3,0,0,0,0,.250,101,23,,29,1,3,0,0,15,1,0,15,14,5.48,Hanshin Tigers,
Alcantara Raul,39,1,3,1,17,0,0,.250,156,38,.1,38,5,8,0,1,29,0,0,21,20,4.70,Hanshin Tigers,
Aoyagi Koyo,24,13,4,0,0,4,2,.765,644,162,.1,126,7,32,4,8,132,0,0,46,37,2.05,Hanshin Tigers,
Baba Kosuke,7,0,1,0,0,0,0,.000,36,7,,12,1,3,2,0,7,2,0,4,4,5.14,Hanshin Tigers,
Fujinami Shintaro,16,3,5,0,0,0,0,.375,276,66,.2,58,6,21,1,3,65,5,0,28,25,3.38,Hanshin Tigers,
Gunkel Joe,16,5,5,0,0,1,0,.500,372,92,.1,80,6,16,1,3,52,1,0,32,28,2.73,Hanshin Tigers,
Hamachi Masumi,52,1,3,0,21,0,0,.250,181,47,.1,38,3,5,1,0,38,0,0,9,6,1.14,Hanshin Tigers,
Ishii Daichi,18,0,1,0,0,0,0,.000,94,24,,11,2,9,2,2,24,2,0,4,2,0.75,Hanshin Tigers,
Itoh Masashi,20,9,5,0,0,6,2,.643,539,136,.2,119,10,22,3,2,92,1,0,45,40,2.63,Hanshin Tigers,
Iwasada Yuta,53,2,1,0,11,0,0,.667,176,42,,34,1,12,1,2,38,1,0,16,12,2.57,Hanshin Tigers,
Iwazaki Suguru,57,1,6,28,11,0,0,.143,239,55,,63,1,10,1,2,44,0,0,16,12,1.96,Hanshin Tigers,
Kajiya Ren,39,0,2,0,7,0,0,.000,128,29,.2,26,1,13,2,1,30,1,0,8,8,2.43,Hanshin Tigers,
Keller Kyle,34,3,2,3,5,0,0,.600,128,32,.2,25,2,5,0,2,46,0,0,12,12,3.31,Hanshin Tigers,
Kirishiki Takuma,7,0,3,0,0,0,0,.000,65,14,.1,20,2,4,2,0,16,0,0,8,8,5.02,Hanshin Tigers,
Kobayashi Keisuke,10,0,0,0,0,0,0,.000,47,11,.1,12,1,4,1,0,9,0,0,2,2,1.59,Hanshin Tigers,
Moriki Daichi,2,0,2,0,0,0,0,.000,37,8,.2,9,0,3,2,0,6,0,0,8,6,6.23,Hanshin Tigers,
Nishi Junya,14,6,3,0,0,1,0,.667,309,77,.1,67,7,19,0,1,60,2,0,24,23,2.68,Hanshin Tigers,
Nishi Yuki,23,9,9,0,0,2,2,.500,599,148,.1,132,8,26,3,5,93,2,0,40,36,2.18,Hanshin Tigers,
Ogawa Ippei,6,0,2,0,0,0,0,.000,100,24,.2,16,3,9,2,3,22,1,0,12,12,4.38,Hanshin Tigers,
Onaka Yuya,1,0,0,0,0,0,0,.000,11,2,,4,0,1,1,0,2,0,0,2,2,9.00,Hanshin Tigers,
Ono Taiki,5,0,0,0,0,0,0,.000,25,5,,7,1,3,0,0,7,0,0,3,1,1.80,Hanshin Tigers,
Oyokawa Masaki,1,0,0,0,0,0,0,.000,4,1,,1,1,0,0,0,0,0,0,1,1,9.00,Hanshin Tigers,
Saiki Hiroto,9,4,1,0,0,1,1,.800,186,47,,40,4,11,1,0,43,0,0,10,8,1.53,Hanshin Tigers,
Saitoh Yukiya,20,0,1,0,0,0,0,.000,107,23,.1,23,2,10,0,3,27,0,0,14,13,5.01,Hanshin Tigers,
Shimamoto Hiroya,15,0,0,0,2,0,0,.000,56,14,,12,1,2,0,0,11,0,0,4,4,2.57,Hanshin Tigers,
Watanabe Yuta,32,3,1,0,10,0,0,.750,72,18,.1,16,2,4,1,1,18,0,0,5,5,2.45,Hanshin Tigers,
Wilkerson Aaron,14,5,5,0,0,0,0,.500,292,70,.2,70,4,21,1,1,54,0,0,32,32,4.08,Hanshin Tigers,
Yuasa Atsuki,59,2,3,0,43,0,0,.400,221,58,,38,1,12,0,0,67,2,0,7,7,1.09,Hanshin Tigers,
Anderson Drew,13,3,4,0,0,0,0,.429,293,70,,61,9,23,0,3,59,0,0,32,28,3.60,Hiroshima Carp,
Corniel Robert,12,0,0,0,0,0,0,.000,66,15,.1,15,2,4,0,1,19,0,0,6,6,3.52,Hiroshima Carp,
Endoh Atsushi,20,4,7,0,0,0,0,.364,434,105,.1,104,17,18,1,3,78,0,0,47,42,3.59,Hiroshima Carp,
Franzua Geronimo,3,0,0,0,0,0,0,.000,18,3,.1,2,0,5,0,1,4,1,0,3,3,8.10,Hiroshima Carp,
Fujii Reira,12,0,1,0,0,0,0,.000,62,14,,10,1,9,1,1,15,1,0,6,6,3.86,Hiroshima Carp,
Horie Atsuya,26,3,2,0,6,0,0,.600,73,17,.1,13,1,8,1,1,8,5,0,6,6,3.12,Hiroshima Carp,
Ichioka Ryuji,10,1,0,0,1,0,0,1.000,41,8,.2,15,0,1,0,0,7,0,0,2,2,2.08,Hiroshima Carp,
Kemna Makoto,43,4,0,0,14,0,0,1.000,172,39,.1,37,1,18,1,3,37,1,0,21,14,3.20,Hiroshima Carp,
Kikuchi Yasunori,8,0,0,0,2,0,0,.000,39,8,,10,2,4,1,1,6,0,0,5,5,5.63,Hiroshima Carp,
Kobayashi Tatsuto,1,0,0,0,0,0,0,.000,5,1,,2,0,1,0,0,0,0,0,1,1,9.00,Hiroshima Carp,
Kuri Aren,26,6,9,0,0,0,0,.400,609,140,.1,147,13,53,3,8,121,1,0,55,52,3.33,Hiroshima Carp,
Kuribayashi Ryoji,48,0,2,31,6,0,0,.000,185,48,.1,22,0,15,2,2,59,1,0,8,8,1.49,Hiroshima Carp,
Kurohara Takumi,12,0,0,0,1,0,0,.000,44,9,.2,11,0,4,0,1,11,0,1,7,7,6.52,Hiroshima Carp,
Matsumoto Ryuya,50,4,2,0,4,0,0,.667,240,55,.2,58,5,15,1,3,54,0,0,23,22,3.56,Hiroshima Carp,
Mori Shohei,8,1,0,0,1,0,0,1.000,87,19,,22,1,8,0,1,10,2,0,5,4,1.89,Hiroshima Carp,
Morishita Masato,27,10,8,0,0,3,2,.556,764,178,.2,195,13,44,0,8,133,3,1,67,63,3.17,Hiroshima Carp,
Moriura Daisuke,51,3,6,0,24,0,0,.333,201,46,.1,47,4,16,3,3,48,1,1,17,17,3.30,Hiroshima Carp,
Nakazaki Shota,28,2,5,0,7,0,0,.286,108,23,.2,27,6,10,3,1,18,0,0,19,17,6.46,Hiroshima Carp,
Nomura Yusuke,9,2,3,0,0,0,0,.400,191,41,.1,55,4,14,1,0,18,0,0,27,24,5.23,Hiroshima Carp,
Ohmichi Haruki,3,0,1,0,0,0,0,.000,53,12,,16,5,3,0,1,8,1,0,9,9,6.75,Hiroshima Carp,
Ohsera Daichi,23,8,9,0,0,3,2,.471,583,135,.1,156,18,27,2,2,97,0,0,73,71,4.72,Hiroshima Carp,
Shimauchi Sotaro,22,0,3,0,7,0,0,.000,91,19,,21,2,11,1,1,20,2,0,13,8,3.79,Hiroshima Carp,
Tamamura Shogo,9,2,2,0,0,0,0,.500,188,43,.2,46,2,13,0,1,21,0,0,19,19,3.92,Hiroshima Carp,
Tokoda Hiroki,17,8,6,0,0,1,1,.571,446,114,,87,10,28,2,4,74,2,1,36,36,2.84,Hiroshima Carp,
Turley Nik,45,2,4,0,14,0,0,.333,155,37,.2,26,7,16,2,2,32,2,0,14,13,3.11,Hiroshima Carp,
Yabuta Kazuki,18,1,0,0,1,0,0,1.000,103,24,,19,2,14,0,1,16,1,0,11,11,4.13,Hiroshima Carp,
Yasaki Takuya,47,2,0,1,17,0,0,1.000,204,49,.1,35,2,25,1,0,51,2,0,12,10,1.82,Hiroshima Carp,
Ariyoshi Yuki,1,0,1,0,0,0,0,.000,18,4,,4,0,1,0,1,1,0,0,3,3,6.75,DeNA BayStars,
Azuma Katsuki,12,1,6,0,0,0,0,.143,229,50,.2,67,5,10,0,2,41,1,0,30,26,4.62,DeNA BayStars,
Escobar Edwin,70,4,2,2,34,0,0,.667,268,63,.1,48,4,29,2,5,51,0,0,17,17,2.42,DeNA BayStars,
Gsellman Robert,4,1,1,0,0,0,0,.500,81,20,.1,15,1,6,0,2,12,0,0,6,6,2.66,DeNA BayStars,
Hamaguchi Haruhiro,19,8,7,0,0,0,0,.533,464,112,.1,104,8,33,1,2,88,3,1,42,42,3.36,DeNA BayStars,
Hirata Shingo,47,4,3,0,10,0,0,.571,180,42,,47,5,8,0,2,39,0,0,21,20,4.29,DeNA BayStars,
Ikeya Sota,6,1,0,0,0,0,0,1.000,26,5,.1,3,1,7,0,0,7,0,0,2,2,3.38,DeNA BayStars,
Imanaga Shota,21,11,4,0,0,3,2,.733,560,143,.2,106,14,29,1,3,132,3,0,37,36,2.26,DeNA BayStars,
Irie Taisei,57,5,1,0,10,0,0,.833,262,63,,49,4,26,2,1,69,2,0,23,21,3.00,DeNA BayStars,
Ise Hiromu,71,3,3,1,39,0,0,.500,269,68,,52,1,17,4,5,69,2,0,14,13,1.72,DeNA BayStars,
Ishida Kenta,15,7,4,0,0,0,0,.636,337,82,.1,67,8,26,3,1,68,3,0,30,27,2.95,DeNA BayStars,
Ishikawa Tatsuya,3,0,0,0,0,0,0,.000,28,5,.1,4,1,7,0,1,3,0,0,5,5,8.44,DeNA BayStars,
Kamichatani Taiga,13,3,6,0,0,1,1,.333,278,66,.2,65,8,17,3,2,49,0,1,40,35,4.73,DeNA BayStars,
Kriske Brooks,18,1,1,1,4,0,0,.500,89,21,,15,2,13,0,0,26,3,0,7,6,2.57,DeNA BayStars,
Kyoyama Masaya,17,2,2,0,1,0,0,.500,254,55,.2,56,4,30,0,5,39,7,0,24,20,3.23,DeNA BayStars,
Mikami Tomoya,19,0,0,0,0,0,0,.000,106,24,.2,28,3,8,2,1,19,0,0,10,10,3.65,DeNA BayStars,
Mishima Kazuki,13,2,2,1,5,0,0,.500,50,12,.2,8,1,6,1,0,11,0,0,4,4,2.84,DeNA BayStars,
Miura Ginji,6,0,0,0,0,0,0,.000,42,8,.1,16,2,1,0,0,8,0,0,10,10,10.80,DeNA BayStars,
Miyaguni Ryosuke,17,0,0,0,2,0,0,.000,103,20,.2,35,6,5,0,1,13,1,0,20,20,8.71,DeNA BayStars,
Morihara Kohei,6,0,0,0,0,0,0,.000,24,6,,6,2,0,0,0,8,0,0,4,4,6.00,DeNA BayStars,
Nakagawa Koh,8,0,0,0,0,0,0,.000,46,10,.1,8,1,7,0,1,11,0,0,5,5,4.35,DeNA BayStars,
Ohnuki Shinichi,24,11,8,0,0,0,0,.579,562,136,.2,126,13,36,2,8,118,4,0,48,42,2.77,DeNA BayStars,
Peoples Michael,3,0,2,0,0,0,0,.000,18,3,,9,0,1,0,0,4,0,0,5,5,15.00,DeNA BayStars,
