Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HP,SO,GDP,AVG,SLG,OBP,Team,
Akiyama Takumi,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,Hanshin Tigers,
Alcantara Raul,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Aoyagi Koyo,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Baba Kosuke,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Chen Wei-Yin,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Egoshi Taiga,70,293,237,47,53,9,5,7,93,26,8,2,7,1,43,0,5,99,6,.224,.392,.353,Hanshin Tigers,
Endo Jo,87,246,211,28,48,3,1,2,59,18,4,5,10,2,23,0,0,51,1,.227,.280,.301,Hanshin Tigers,
Fujinami Shintaro,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Fujita Kento,65,126,115,10,28,6,0,1,37,12,1,0,7,0,3,0,1,26,0,.243,.322,.269,Hanshin Tigers,
Gunkel Joe,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Hamachi Masumi,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Haraguchi Fumihito,32,109,98,7,20,4,1,3,35,20,0,0,0,1,7,0,3,16,1,.204,.357,.275,Hanshin Tigers,
Hojoh Fumiya,21,68,55,7,14,4,0,2,24,9,1,0,3,0,10,0,0,8,1,.255,.436,.369,Hanshin Tigers,
Inoue Kouta,110,467,432,49,96,22,1,11,153,70,4,1,0,3,24,1,8,150,7,.222,.354,.274,Hanshin Tigers,
Ishii Daichi,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Itayama Yutaro,85,317,273,37,67,16,2,5,102,30,4,7,2,2,39,0,1,72,6,.245,.374,.340,Hanshin Tigers,
Itoh Masashi,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,Hanshin Tigers,
Itoi Yoshio,11,35,31,5,9,1,0,1,13,3,0,0,0,0,4,0,0,4,0,.290,.419,.371,Hanshin Tigers,
Iwasada Yuta,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Iwata Masaki,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Kajiya Ren,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Katayama Yuya,75,174,156,15,32,4,0,1,39,11,1,0,3,2,13,0,0,43,4,.205,.250,.263,Hanshin Tigers,
Kawahara Riku,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Keller Kyle,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Kinami Seiya,38,147,127,27,35,9,1,0,46,14,2,0,1,0,16,0,3,28,2,.276,.362,.370,Hanshin Tigers,
Kirishiki Takuma,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Kobayashi Keisuke,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Kumagai Takahiro,16,49,42,5,14,1,1,0,17,8,4,0,3,1,3,0,0,8,1,.333,.405,.370,Hanshin Tigers,
