Team,G,W,L,T,PCT,GB,Home,Road,vsS,vsDB,vsT,vsG,vsC,vsD,Int,
Tokyo YakultSwallows,143,80,59,4,.576,--,37-34,43-25(4),--,16-9,13-11(1),11-13(1),16-8(1),10-14(1),14-4,
YOKOHAMA DeNABAYSTARS,143,73,68,2,.518,8.0,41-30(1),32-38(1),9-16,--,16-9,13-11(1),8-17,18-6(1),9-9,
HanshinTigers,143,68,71,4,.489,12.0,37-32(3),31-39(1),11-13(1),9-16,--,14-10(1),9-14(2),13-12,12-6,
YomiuriGiants,143,68,72,3,.486,12.5,35-35(2),33-37(1),13-11(1),11-13(1),10-14(1),--,13-12,13-12,8-10,
Hiroshima ToyoCarp,143,66,74,3,.471,14.5,36-33(2),30-41(1),8-16(1),17-8,14-9(2),12-13,--,10-15,5-13,
ChunichiDragons,143,66,75,2,.468,15.0,37-33(1),29-42(1),14-10(1),6-18(1),12-13,12-13,15-10,--,7-11,
