0                 Team   W   L  SV CG SHO    BF     IP    H  HR   SO   BB IBB  HB  WP    R   ER   ERA   FIP kwERA  WHIP ERA+ FIP- kwERA-   Diff   HR%     K%    BB%  K-BB% League
1       Hanshin Tigers  30  44  20  0   0  3122  718.1  718  52  534  312   3  31  49  357  307  3.85  4.44  4.09  1.43   96  103  105.7  -0.60  1.7%  17.1%  10.0%   7.1%     WL
2       Hiroshima Carp  30  42  20  0   0  2860  660.1  651  40  569  275   0  21  53  342  307  4.18  3.96  3.77  1.40   87   93   97.5   0.22  1.4%  19.9%   9.6%  10.3%     WL
3        DeNA BayStars  42  32  28  1   0  2946  663.2  649  44  567  349   0  31  37  344  278  3.77  4.43  4.06  1.50   96  105  104.9  -0.66  1.5%  19.2%  11.8%   7.4%     EL
4       Yomiuri Giants  38  33  20  0   0  3027  707.1  684  57  557  287   4  29  33  342  298  3.79  4.37  3.91  1.37   99   99  101.0  -0.58  1.9%  18.4%   9.5%   8.9%     EL
5      Yakult Swallows  32  38  16  1   0  2913  687.0  675  73  511  224   2  32  36  329  282  3.69  4.57  3.81  1.31  100  106   98.6  -0.87  2.5%  17.5%   7.7%   9.9%     EL
6     Chunichi Dragons  37  32  18  3   0  2805  673.1  618  44  486  204   1  33  25  289  247  3.30  4.02  3.79  1.22  128   81   98.1  -0.72  1.6%  17.3%   7.3%  10.1%     WL
7       ORIX Buffaloes  42  38  23  1   0  3256  756.2  780  42  597  280   0  18  34  346  279  3.32  3.88  3.83  1.40  107   94   98.9  -0.56  1.3%  18.3%   8.6%   9.7%     WL
8        Lotte Marines  34  31  13  1   0  2599  615.0  567  58  507  234   3  37  22  262  237  3.47  4.45  3.75  1.30  113   97   96.9  -0.99  2.2%  19.5%   9.0%  10.5%     EL
9       SoftBank Hawks  43  26  19  3   1  2756  665.2  537  29  627  243   2  28  62  243  214  2.89  3.46  3.41  1.17  124   83   88.0  -0.57  1.1%  22.8%   8.8%  13.9%     WL
10      Rakuten Eagles  42  28  23  0   0  3025  703.2  651  50  573  335   3  30  41  312  277  3.54  4.41  4.01  1.40  104  102  103.7  -0.86  1.7%  18.9%  11.1%   7.9%     EL
11         Seibu Lions  28  41  11  2   0  2914  661.2  677  68  482  303   2  41  32  367  322  4.38  4.99  4.19  1.48   84  117  108.2  -0.61  2.3%  16.5%  10.4%   6.1%     EL
12  Nipponham Fighters  28  41  11  2   1  2916  671.0  683  75  584  268   2  22  41  344  295  3.96  4.56  3.72  1.42   89  111   96.0  -0.61  2.6%  20.0%   9.2%  10.8%     EL
13      League Average  36  36  18  1   0  2928  682.0  658  53  550  276   2  29  39  323  279  3.68  4.29  3.86  1.37  100  100   99.9  -0.61  1.8%  18.8%   9.4%   9.4%    NaN
