                  Pitcher   G   W  L  SV  HLD  CG  SHO   BF     IP    H  HR   SO  BB  IBB  HB  WP   R  ER    ERA    FIP  kwERA  WHIP ERA+ FIP- kwERA-   Diff    HR%      K%    BB%   K-BB%                Team League
24          Saitoh Yukiya   5   0  0   0    0   0    0   35    7.0    9   1   11   5    0   0   3   6   6   7.71   4.22   3.09  2.00   47  105     83   3.49   2.9%   31.4%  14.3%   17.1%      Hanshin Tigers     CL
25          Suarez Robert  51   3  1  25    8   0    0  208   52.1   36   2   50  19    4   0   2  15  13   2.24   3.04   3.31  1.05  162   76     89  -0.80   1.0%   24.0%   9.1%   14.9%      Hanshin Tigers     CL
26       Takahashi Haruto  12   5  4   0    0   1    0  306   76.0   67   4   75  17    1   1   1  25  21   2.49   2.79   2.90  1.11  145   70     78  -0.30   1.3%   24.5%   5.6%   18.9%      Hanshin Tigers     CL
27        Tanigawa Masaki  14   0  0   0    0   0    0   61   14.1   13   2   15   4    1   2   1   8   8   5.02   4.34   3.00  1.19   72  108     81   0.68   3.3%   24.6%   6.6%   18.0%      Hanshin Tigers     CL
28          Yokoyama Yuya   1   0  0   0    0   0    0    6    1.0    2   1    0   1    0   0   0   2   2  18.00  19.36   6.47  3.00   20  484    174  -1.36  16.7%    0.0%  16.7%  -16.7%      Hanshin Tigers     CL
29          Endoh Atsushi  19   5  6   0    0   2    0  464  107.0   90  13   97  52    2   4   2  53  46   3.87   4.70   3.83  1.33   97  113    103  -0.83   2.8%   20.9%  11.2%    9.7%      Hiroshima Carp     CL
30       Franzua Geronimo  53   2  3  19    7   0    0  217   55.0   39   7   62  17    2   1   1  18  15   2.45   3.75   2.73  1.02  154   90     73  -1.30   3.2%   28.6%   7.8%   20.8%      Hiroshima Carp     CL
31            Fujii Reira   3   0  0   0    0   0    0   14    3.0    4   0    4   1    0   0   0   2   2   6.00   1.70   2.66  1.67   63   41     72   4.30   0.0%   28.6%   7.1%   21.5%      Hiroshima Carp     CL
32           Horie Atsuya  52   3  4   0   19   0    0  224   49.2   50   7   41  31    6   1   4  26  23   4.17   5.48   4.35  1.63   90  131    117  -1.31   3.1%   18.3%  13.8%    4.5%      Hiroshima Carp     CL
33          Ichioka Ryuji  19   0  1   1    2   0    0   81   17.1   25   2   14   5    0   1   0  12  12   6.23   4.29   3.69  1.73   61  103     99   1.94   2.5%   17.3%   6.2%   11.1%      Hiroshima Carp     CL
34         Imamura Takeru   6   0  0   0    1   0    0   25    4.1   10   0    1   2    0   0   1   6   6  12.46   4.29   5.20  2.77   30  103    140   8.17   0.0%    4.0%   8.0%   -4.0%      Hiroshima Carp     CL
35             Johnson DJ  14   0  0   0    1   0    0   69   13.2   19   0   13   8    1   1   3  10   7   4.61   3.44   4.08  1.98   82   82    110   1.17   0.0%   18.8%  11.6%    7.2%      Hiroshima Carp     CL
36           Johnson Kris  10   0  7   0    0   0    0  237   51.2   60   3   35  25    0   1   5  38  35   6.10   4.27   4.38  1.65   62  102    118   1.83   1.3%   14.8%  10.5%    4.3%      Hiroshima Carp     CL
37           Kemna Makoto  41   1  1   0   11   0    0  212   51.0   37   3   55  23    1   1   3  22  22   3.88   3.38   3.29  1.18   97   81     88   0.50   1.4%   25.9%  10.8%   15.1%      Hiroshima Carp     CL
38       Kikuchi Yasunori  44   1  0   1    4   0    0  189   42.0   41   6   53  19    0   3   3  24  21   4.50   4.27   3.00  1.43   84  102     81   0.23   3.2%   28.0%  10.1%   17.9%      Hiroshima Carp     CL
39              Kuri Aren  20   8  6   0    0   2    1  544  130.2  116  11  106  44    0   0   4  46  43   2.96   3.85   3.66  1.22  127   92     98  -0.89   2.0%   19.5%   8.1%   11.4%      Hiroshima Carp     CL
40       Montilla Emailin   1   0  0   0    0   0    0    6    1.0    3   0    0   0    0   0   0   2   2  18.00   3.36   4.80  3.00   21   80    129  14.64   0.0%    0.0%   0.0%    0.0%      Hiroshima Carp     CL
41       Morishita Masato  18  10  3   0    0   2    1  485  122.2  102   6  124  32    0   4   2  30  26   1.91   2.86   2.90  1.09  198   69     78  -0.95   1.2%   25.6%   6.6%   19.0%      Hiroshima Carp     CL
42        Nakamura Kyohei  14   0  0   0    1   0    0   44    9.1    7   0    4   8    0   1   0   1   1   0.96   5.40   5.71  1.61  393  129    153  -4.44   0.0%    9.1%  18.2%   -9.1%      Hiroshima Carp     CL
43          Nakamura Yuta   8   3  4   0    0   0    0  191   46.2   42   8   37  11    0   2   1  12  12   2.31   4.84   3.44  1.14  163  116     92  -2.53   4.2%   19.4%   5.8%   13.6%      Hiroshima Carp     CL
44             Nakata Ren  32   0  1   0    4   0    0  116   27.1   28   6   22   8    0   0   0  13  13   4.28   5.49   3.59  1.32   88  132     97  -1.21   5.2%   19.0%   6.9%   12.1%      Hiroshima Carp     CL
45         Nakazaki Shota   6   1  0   0    0   0    0   25    5.0    8   3    3   3    0   0   0   5   5   9.00  11.76   4.80  2.20   42  282    129  -2.76  12.0%   12.0%  12.0%    0.0%      Hiroshima Carp     CL
46          Nomura Yusuke  13   6  3   0    0   0    0  309   70.2   81   9   35  22    1   3   0  36  36   4.58   5.09   4.38  1.46   82  122    118  -0.51   2.9%   11.3%   7.1%    4.2%      Hiroshima Carp     CL
47          Ohsera Daichi  11   5  4   0    0   2    0  272   63.1   70   6   38  14    1   1   0  33  31   4.41   4.11   3.92  1.33   86   98    105   0.30   2.2%   14.0%   5.1%    8.9%      Hiroshima Carp     CL
48           Scott Tayler   7   0  3   0    0   0    0   49    8.0   17   1    7   8    1   1   0  14  14  15.75   6.61   5.00  3.12   24  158    134   9.14   2.0%   14.3%  16.3%   -2.0%      Hiroshima Carp     CL
