PlayerNum,Player,Link,BirthDate,Height,Weight,T,B,Note,Team,jpPlayer
21,Akiyama Takumi,https://npb.jp/bis/eng/players/51155131.html,Apr. 26 1991,188,101,R,L,,Hanshin Tigers,秋山 拓巳
17,Aoyagi Koyo,https://npb.jp/bis/eng/players/71175132.html,Dec. 11 1993,183,82,R,R,,Hanshin Tigers,青柳 晃洋
18,Baba Kosuke,https://npb.jp/bis/eng/players/41445136.html,May 18 1995,180,97,R,R,,Hanshin Tigers,馬場 皐輔
99,Beasley Jeremy,https://npb.jp/bis/eng/players/03905157.html,Nov. 20 1995,191,109,R,R,,Hanshin Tigers,ビーズリー
98,Brewer Colten,https://npb.jp/bis/eng/players/63265157.html,Oct. 29 1992,193,100,R,R,Registered (Jul. 21).,Hanshin Tigers,ブルワー
36,Hamachi Masumi,https://npb.jp/bis/eng/players/71675134.html,May 25 1998,185,92,R,R,,Hanshin Tigers,浜地 真澄
48,Ibaragi Hidetoshi,https://npb.jp/bis/eng/players/81185157.html,Jun. 8 2004,182,85,R,R,,Hanshin Tigers,茨木 秀俊
69,Ishii Daichi,https://npb.jp/bis/eng/players/41145153.html,Jul. 29 1997,175,77,R,R,,Hanshin Tigers,石井 大智
27,Itoh Masashi,https://npb.jp/bis/eng/players/71375153.html,May 8 1996,178,85,L,L,,Hanshin Tigers,伊藤 将司
14,Iwasada Yuta,https://npb.jp/bis/eng/players/51355139.html,Sep. 5 1991,183,86,L,L,,Hanshin Tigers,岩貞 祐太
93,Iwata Masaki,https://npb.jp/bis/eng/players/81385153.html,Jun. 16 1998,178,77,L,L,,Hanshin Tigers,岩田 将貴
13,Iwazaki Suguru,https://npb.jp/bis/eng/players/31335139.html,Jun. 19 1991,185,89,L,L,,Hanshin Tigers,岩崎 優
54,Kajiya Ren,https://npb.jp/bis/eng/players/21525139.html,Nov. 25 1991,185,91,R,R,,Hanshin Tigers,加治屋 蓮
24,Keller Brian,https://npb.jp/bis/eng/players/43745157.html,Jun. 21 1994,191,91,R,R,Released (Jul. 25).,Hanshin Tigers,Ｂ．ケラー
42,Keller Kyle,https://npb.jp/bis/eng/players/73975155.html,Apr. 28 1993,193,92,R,R,,Hanshin Tigers,Ｋ．ケラー
47,Kirishiki Takuma,https://npb.jp/bis/eng/players/01705155.html,Jun. 20 1999,179,90,L,L,,Hanshin Tigers,桐敷 拓馬
56,Kobayashi Keisuke,https://npb.jp/bis/eng/players/21725134.html,Nov. 2 1992,188,91,R,R,,Hanshin Tigers,小林 慶祐
30,Mombetsu Keito,https://npb.jp/bis/eng/players/53355157.html,Jul. 10 2004,183,86,L,L,,Hanshin Tigers,門別 啓人
