Year,Team,ParkF,League
2014,Rakuten Eagles,1.03,NPB
2014,Seibu Lions,1.06,NPB
2013,Nipponham Fighters,0.97,NPB
2013,Yakult Swallows,1.16,NPB
2013,Yomiuri Giants,1.00,NPB
2013,Hanshin Tigers,0.91,NPB
2013,Hiroshima Carp,0.93,NPB
2013,DeNA BayStars,1.19,NPB
2013,Chunichi Dragons,0.80,NPB
2013,ORIX Buffaloes,0.94,NPB
2013,SoftBank Hawks,0.89,NPB
2013,Lotte Marines,1.04,NPB
2013,Rakuten Eagles,1.04,NPB
2013,Seibu Lions,1.09,NPB
2012,Nipponham Fighters,0.98,NPB
2012,Yakult Swallows,1.16,NPB
2012,Yomiuri Giants,1.04,NPB
2012,Hanshin Tigers,0.88,NPB
2012,Hiroshima Carp,0.98,NPB
2012,DeNA BayStars,1.14,NPB
2012,Chunichi Dragons,0.80,NPB
2012,ORIX Buffaloes,1.03,NPB
2012,SoftBank Hawks,0.89,NPB
2012,Lotte Marines,1.01,NPB
2012,Rakuten Eagles,1.01,NPB
2012,Seibu Lions,1.07,NPB
2011,Nipponham Fighters,0.99,NPB
2011,Yakult Swallows,1.09,NPB
2011,Yomiuri Giants,0.99,NPB
2011,Hanshin Tigers,0.96,NPB
2011,Hiroshima Carp,1.00,NPB
2011,DeNA BayStars,1.15,NPB
2011,Chunichi Dragons,0.82,NPB
2011,ORIX Buffaloes,1.03,NPB
2011,SoftBank Hawks,0.93,NPB
2011,Lotte Marines,0.91,NPB
2011,Rakuten Eagles,1.02,NPB
2011,Seibu Lions,1.10,NPB
2010,Nipponham Fighters,0.99,NPB
2010,Yakult Swallows,1.04,NPB
2010,Yomiuri Giants,1.03,NPB
2010,Hanshin Tigers,0.89,NPB
2010,Hiroshima Carp,1.05,NPB
2010,DeNA BayStars,1.12,NPB
2010,Chunichi Dragons,0.89,NPB
2010,ORIX Buffaloes,1.04,NPB
2010,SoftBank Hawks,0.91,NPB
2010,Lotte Marines,0.95,NPB
2010,Rakuten Eagles,1.03,NPB
2010,Seibu Lions,1.07,NPB
2009,Nipponham Fighters,0.94,NPB
2009,Yakult Swallows,1.06,NPB
2009,Yomiuri Giants,0.99,NPB
2009,Hanshin Tigers,0.88,NPB
2009,Hiroshima Carp,1.06,NPB
2009,DeNA BayStars,1.11,NPB
2009,Chunichi Dragons,0.91,NPB
2009,ORIX Buffaloes,0.93,NPB
2009,SoftBank Hawks,0.98,NPB
2009,Lotte Marines,1.01,NPB
2009,Rakuten Eagles,1.03,NPB
2009,Seibu Lions,1.07,NPB
2008,Nipponham Fighters,0.93,NPB
2008,Yakult Swallows,1.09,NPB
2008,Yomiuri Giants,1.02,NPB
2008,Hanshin Tigers,0.84,NPB
2008,Hiroshima Carp,1.11,NPB
2008,DeNA BayStars,1.04,NPB
2008,Chunichi Dragons,0.90,NPB
2008,ORIX Buffaloes,0.95,NPB
2008,SoftBank Hawks,0.94,NPB
2008,Lotte Marines,1.03,NPB
2008,Rakuten Eagles,1.05,NPB
2008,Seibu Lions,1.07,NPB
2007,Nipponham Fighters,0.93,NPB
2007,Yakult Swallows,1.11,NPB
2007,Yomiuri Giants,0.91,NPB
2007,Hanshin Tigers,0.89,NPB
2007,Hiroshima Carp,1.17,NPB
2007,DeNA BayStars,1.10,NPB
2007,Chunichi Dragons,0.85,NPB
2007,ORIX Buffaloes,1.00,NPB
2007,SoftBank Hawks,0.94,NPB
2007,Lotte Marines,0.95,NPB
2007,Rakuten Eagles,1.04,NPB
2007,Seibu Lions,1.12,NPB
2006,Nipponham Fighters,1.00,NPB
2006,Yakult Swallows,1.11,NPB
2006,Yomiuri Giants,0.91,NPB
2006,Hanshin Tigers,0.92,NPB
2006,Hiroshima Carp,1.15,NPB
2006,DeNA BayStars,1.11,NPB
2006,Chunichi Dragons,0.83,NPB
2006,ORIX Buffaloes,0.99,NPB
2006,SoftBank Hawks,0.88,NPB
2006,Lotte Marines,0.91,NPB
2006,Rakuten Eagles,0.94,NPB
2006,Seibu Lions,1.07,NPB
2005,Nipponham Fighters,1.07,NPB
2005,Yakult Swallows,1.03,NPB
2005,Yomiuri Giants,0.90,NPB
2005,Hanshin Tigers,0.94,NPB
2005,Hiroshima Carp,1.11,NPB
2005,DeNA BayStars,1.19,NPB
2005,Chunichi Dragons,0.87,NPB
2005,ORIX Buffaloes,0.96,NPB
2005,SoftBank Hawks,0.90,NPB
2005,Lotte Marines,0.90,NPB
2005,Rakuten Eagles,0.98,NPB
2005,Seibu Lions,1.03,NPB
2004,ORIX BlueWave,1.12,NPB
2004,Nipponham Fighters,1.10,NPB
2004,Yakult Swallows,0.97,NPB
2004,Yomiuri Giants,0.99,NPB
2004,Hanshin Tigers,0.96,NPB
2004,Hiroshima Carp,1.08,NPB
2004,DeNA BayStars,1.13,NPB
2004,Chunichi Dragons,0.89,NPB
2004,Kintetsu Buffaloes,0.89,NPB
2004,Daiei Hawks,0.99,NPB
2004,Lotte Marines,0.93,NPB
2004,Seibu Lions,0.99,NPB
2003,ORIX BlueWave,1.09,NPB
2003,Nipponham Fighters,1.14,NPB
2003,Yakult Swallows,0.93,NPB
2003,Yomiuri Giants,1.06,NPB
2003,Hanshin Tigers,0.95,NPB
2003,Hiroshima Carp,1.10,NPB
2003,DeNA BayStars,1.11,NPB
2003,Chunichi Dragons,0.87,NPB
2003,Kintetsu Buffaloes,0.94,NPB
2003,Daiei Hawks,0.88,NPB
2003,Lotte Marines,0.98,NPB
2003,Seibu Lions,1.02,NPB
2002,ORIX BlueWave,1.04,NPB
2002,Nipponham Fighters,1.10,NPB
2002,Yakult Swallows,0.97,NPB
2002,Yomiuri Giants,1.04,NPB
2002,Hanshin Tigers,0.93,NPB
2002,Hiroshima Carp,1.15,NPB
2002,DeNA BayStars,1.04,NPB
2002,Chunichi Dragons,0.88,NPB
2002,Kintetsu Buffaloes,0.90,NPB
2002,Daiei Hawks,0.96,NPB
2002,Lotte Marines,1.00,NPB
2002,Seibu Lions,1.02,NPB
2001,ORIX BlueWave,0.97,NPB
2001,Nipponham Fighters,1.15,NPB
2001,Yakult Swallows,1.04,NPB
2001,Yomiuri Giants,0.99,NPB
2001,Hanshin Tigers,0.92,NPB
2001,Hiroshima Carp,1.07,NPB
2001,DeNA BayStars,1.10,NPB
2001,Chunichi Dragons,0.88,NPB
2001,Kintetsu Buffaloes,0.98,NPB
2001,Daiei Hawks,0.96,NPB
2001,Lotte Marines,1.04,NPB
2001,Seibu Lions,0.94,NPB
2000,ORIX BlueWave,0.94,NPB
2000,Nipponham Fighters,1.07,NPB
2000,Yakult Swallows,1.06,NPB
2000,Yomiuri Giants,0.96,NPB
2000,Hanshin Tigers,0.91,NPB
2000,Hiroshima Carp,1.05,NPB
2000,DeNA BayStars,1.12,NPB
2000,Chunichi Dragons,0.91,NPB
2000,Kintetsu Buffaloes,0.97,NPB
2000,Daiei Hawks,1.04,NPB
2000,Lotte Marines,1.01,NPB
2000,Seibu Lions,0.96,NPB
2026,Hanshin Tigers,0.85,Farm
2026,Hiroshima Carp,0.95,Farm
2026,DeNA BayStars,1.01,Farm
2026,Yomiuri Giants,0.95,Farm
2026,Yakult Swallows,0.95,Farm
2026,Chunichi Dragons,1.09,Farm
2026,ORIX Buffaloes,0.85,Farm
2026,Lotte Marines,1.13,Farm
2026,SoftBank Hawks,0.99,Farm
2026,Rakuten Eagles,0.98,Farm
2026,Seibu Lions,1.11,Farm
2026,Nipponham Fighters,1.17,Farm
2026,Oisix Albirex,0.84,Farm
2026,HAYATE Ventures,1.10,Farm
2025,Hanshin Tigers,0.85,Farm
2025,Hiroshima Carp,0.95,Farm
2025,DeNA BayStars,1.01,Farm
2025,Yomiuri Giants,0.95,Farm
2025,Yakult Swallows,0.95,Farm
2025,Chunichi Dragons,1.09,Farm
2025,ORIX Buffaloes,0.85,Farm
2025,Lotte Marines,1.13,Farm
2025,SoftBank Hawks,0.99,Farm
2025,Rakuten Eagles,0.98,Farm
2025,Seibu Lions,1.11,Farm
2025,Nipponham Fighters,1.17,Farm
2025,Oisix Albirex,0.84,Farm
2025,HAYATE Ventures,1.10,Farm
2024,Hanshin Tigers,1.06,Farm
2024,Hiroshima Carp,0.95,Farm
2024,DeNA BayStars,0.97,Farm
2024,Yomiuri Giants,0.94,Farm
2024,Yakult Swallows,1.04,Farm
2024,Chunichi Dragons,1.01,Farm
2024,ORIX Buffaloes,0.88,Farm
2024,Lotte Marines,1.10,Farm
2024,SoftBank Hawks,1.01,Farm
2024,Rakuten Eagles,0.98,Farm
2024,Seibu Lions,1.09,Farm
2024,Nipponham Fighters,1.10,Farm
2024,Oisix Albirex,0.81,Farm
2024,HAYATE Ventures,1.07,Farm
2023,Hanshin Tigers,1.03,Farm
2023,Hiroshima Carp,0.94,Farm
2023,DeNA BayStars,0.95,Farm
2023,Yomiuri Giants,1.00,Farm
2023,Yakult Swallows,1.00,Farm
2023,Chunichi Dragons,1.03,Farm
2023,ORIX Buffaloes,0.89,Farm
2023,Lotte Marines,1.07,Farm
2023,SoftBank Hawks,1.02,Farm
2023,Rakuten Eagles,0.97,Farm
2023,Seibu Lions,1.10,Farm
2023,Nipponham Fighters,1.02,Farm
2022,Hanshin Tigers,1.01,Farm
2022,Hiroshima Carp,0.97,Farm
2022,DeNA BayStars,0.92,Farm
2022,Yomiuri Giants,1.02,Farm
2022,Yakult Swallows,1.03,Farm
2022,Chunichi Dragons,1.09,Farm
2022,ORIX Buffaloes,0.91,Farm
2022,Lotte Marines,1.02,Farm
2022,SoftBank Hawks,1.03,Farm
2022,Rakuten Eagles,0.99,Farm
2022,Seibu Lions,1.02,Farm
