Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,K%,BB%,BB/K,wSB,AIR%,Chase%,Z-Con%,Swing%,SwStr%,TTO%,Age,Pos,B,Team,League
Aduwa Makoto,4,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-97,0.000,0.000,66.7%,0.0%,0.00,0.0,0.0%,40.0%,50.0%,46.2%,30.8%,66.7%,26,1,R,Hiroshima Carp,CL
Aizawa Tsubasa,24,55,43,4,5,1,0,0,6,1,0,1,3,0,16,7,2,2,1,0.116,0.269,0.140,0.409,27,0.024,0.185,29.1%,12.7%,0.44,-0.4,50.0%,25.7%,80.3%,40.9%,9.8%,41.8%,37,2,R,Hiroshima Carp,CL
Akiyama Shogo,64,157,145,12,38,6,0,1,47,5,0,0,1,0,27,9,0,2,2,0.262,0.314,0.324,0.638,93,0.062,0.316,17.2%,5.7%,0.33,-0.1,41.9%,26.0%,89.7%,43.1%,6.6%,23.6%,37,8,L,Hiroshima Carp,CL
Dohbayashi Shota,44,77,70,5,13,6,0,1,22,4,0,0,1,0,23,6,1,0,3,0.186,0.250,0.314,0.564,70,0.128,0.261,29.9%,7.8%,0.26,-0.0,54.3%,32.3%,79.1%,56.4%,17.3%,39.0%,33,3,R,Hiroshima Carp,CL
Dominguez Johan,6,9,9,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0.000,0.000,0.000,0.000,-97,0.000,0.000,77.8%,0.0%,0.00,0.0,0.0%,50.0%,60.0%,45.5%,21.2%,77.8%,29,1,R,Hiroshima Carp,CL
Endoh Atsushi,7,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-97,0.000,0.000,33.3%,0.0%,0.00,0.0,50.0%,50.0%,100.0%,44.4%,22.2%,33.3%,26,1,R,Hiroshima Carp,CL
Fabian Sandro,138,572,539,60,149,30,0,17,230,65,2,3,0,2,84,22,3,9,8,0.276,0.315,0.427,0.742,122,0.151,0.300,14.7%,3.8%,0.26,-0.9,65.7%,38.1%,90.9%,54.7%,9.7%,21.5%,27,7,R,Hiroshima Carp,CL
Futamata Shoichi,54,130,118,12,22,4,1,3,37,6,1,1,2,1,31,8,1,1,2,0.186,0.242,0.314,0.556,67,0.128,0.224,23.8%,6.2%,0.26,-0.2,47.7%,26.8%,83.3%,50.1%,12.3%,32.3%,22,8,R,Hiroshima Carp,CL
Hatsuki Ryutaro,74,119,105,26,31,2,2,0,37,4,17,5,1,0,29,13,1,0,0,0.295,0.373,0.352,0.725,119,0.057,0.408,24.4%,10.9%,0.45,1.2,42.7%,22.2%,87.2%,41.4%,7.5%,35.3%,25,4,L,Hiroshima Carp,CL
Hayashi Kota,22,49,48,2,9,0,0,2,15,4,0,0,0,0,18,1,1,0,0,0.188,0.204,0.313,0.517,55,0.125,0.250,36.7%,2.0%,0.06,-0.0,60.0%,35.5%,74.7%,54.6%,21.3%,42.9%,24,3,L,Hiroshima Carp,CL
Ishihara Tomoki,51,116,104,4,20,4,0,0,24,3,0,0,5,0,29,4,0,3,3,0.192,0.243,0.231,0.474,44,0.039,0.267,25.0%,3.4%,0.14,-0.0,46.2%,26.7%,84.9%,46.7%,12.6%,28.4%,27,2,R,Hiroshima Carp,CL
Isomura Yoshitaka,6,7,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-97,0.000,0.000,28.6%,0.0%,0.00,0.0,60.0%,27.3%,84.6%,61.5%,15.4%,28.6%,32,2,R,Hiroshima Carp,CL
Kikuchi Ryosuke,113,389,355,30,89,19,0,4,120,28,5,3,17,2,70,14,0,1,5,0.251,0.280,0.338,0.618,86,0.087,0.300,18.0%,3.6%,0.20,-0.3,49.5%,30.2%,91.0%,41.5%,6.2%,22.6%,35,4,R,Hiroshima Carp,CL
Kozono Kaito,138,573,521,51,161,24,4,3,202,47,12,7,3,2,47,42,6,5,9,0.309,0.365,0.388,0.753,127,0.079,0.334,8.2%,7.3%,0.89,-0.6,51.9%,37.3%,90.7%,56.1%,9.1%,16.1%,25,UTL,L,Hiroshima Carp,CL
Kubo Shu,17,14,13,1,2,2,0,0,4,0,1,1,0,0,6,1,0,0,1,0.154,0.214,0.308,0.522,56,0.154,0.286,42.9%,7.1%,0.17,-0.2,42.9%,41.9%,68.8%,50.9%,21.1%,50.0%,24,8,R,Hiroshima Carp,CL
Maekawa Seita,28,56,54,1,10,3,0,0,13,9,0,1,0,0,10,2,0,0,3,0.185,0.214,0.241,0.455,38,0.056,0.227,17.9%,3.6%,0.20,-0.3,47.7%,32.3%,89.2%,46.8%,5.9%,21.4%,22,4,R,Hiroshima Carp,CL
Matsuyama Ryuhei,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000,-97,0.000,0.000,0.0%,0.0%,,0.0,0.0%,100.0%,100.0%,66.7%,0.0%,0.0%,39,,L,Hiroshima Carp,CL
Montero Elehuris,105,396,368,23,94,21,1,9,144,41,0,0,0,3,89,23,2,2,11,0.255,0.301,0.391,0.692,107,0.136,0.311,22.5%,5.8%,0.26,-0.2,62.4%,35.2%,85.7%,51.8%,15.7%,30.6%,26,3,R,Hiroshima Carp,CL
Mori Shohei,23,42,36,1,7,1,0,0,8,3,0,0,6,0,20,0,0,0,0,0.194,0.194,0.222,0.416,26,0.028,0.438,47.6%,0.0%,0.00,-0.0,31.8%,37.5%,81.6%,39.5%,13.4%,47.6%,27,1,L,Hiroshima Carp,CL
Morishita Masato,22,50,43,1,4,0,0,0,4,0,0,0,5,0,19,2,0,0,0,0.093,0.133,0.093,0.226,-29,0.000,0.167,38.0%,4.0%,0.11,-0.0,40.7%,39.8%,85.2%,47.5%,12.6%,42.0%,27,1,R,Hiroshima Carp,CL
Nakamura Kento,4,10,6,1,0,0,0,0,0,0,1,0,0,0,1,3,0,1,0,0.000,0.400,0.000,0.400,30,0.000,0.000,10.0%,30.0%,3.00,0.2,60.0%,23.1%,84.6%,43.2%,11.4%,40.0%,28,3,R,Hiroshima Carp,CL
Nakamura Shosei,104,368,344,43,97,21,3,9,151,33,2,6,3,1,48,17,1,3,2,0.282,0.321,0.439,0.760,127,0.157,0.306,13.0%,4.6%,0.35,-1.8,56.1%,26.9%,91.4%,44.6%,7.4%,20.1%,26,8,R,Hiroshima Carp,CL
Noma Takayoshi,79,166,154,10,38,3,2,0,45,15,2,1,0,1,30,10,1,1,3,0.247,0.295,0.292,0.587,78,0.045,0.304,18.1%,6.0%,0.33,-0.1,39.7%,28.5%,93.1%,43.7%,6.4%,24.1%,32,8,L,Hiroshima Carp,CL
Ohmori Minoru,102,173,162,28,43,6,1,3,60,11,7,2,2,0,42,9,1,0,2,0.265,0.304,0.370,0.674,102,0.105,0.342,24.3%,5.2%,0.21,0.4,49.6%,40.5%,78.6%,54.0%,15.9%,31.2%,28,8,L,Hiroshima Carp,CL
Ohsera Daichi,23,41,34,2,4,0,0,0,4,0,0,0,6,0,14,1,0,0,0,0.118,0.143,0.118,0.261,-19,0.000,0.200,34.1%,2.4%,0.07,-0.0,25.0%,25.0%,82.4%,41.4%,10.5%,36.6%,34,1,R,Hiroshima Carp,CL
Saitoh Yuta,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-97,0.000,,100.0%,0.0%,0.00,0.0,0.0%,25.0%,0.0%,33.3%,33.3%,100.0%,21,1,L,Hiroshima Carp,CL
Sakakura Shogo,104,399,345,29,82,26,1,5,125,37,1,0,4,3,72,43,3,4,8,0.238,0.327,0.362,0.689,107,0.124,0.284,18.0%,10.8%,0.60,-0.0,58.6%,23.5%,89.8%,40.5%,8.5%,30.1%,27,2,L,Hiroshima Carp,CL
Sasaki Tai,54,187,181,11,49,2,1,0,53,6,2,0,0,0,23,5,3,1,6,0.271,0.294,0.293,0.587,78,0.022,0.310,12.3%,2.7%,0.22,0.2,59.0%,40.6%,87.6%,60.7%,10.6%,15.0%,22,5,R,Hiroshima Carp,CL
Sato Keisuke,5,16,15,0,1,0,0,0,1,1,0,0,0,0,5,1,0,0,0,0.067,0.125,0.067,0.192,-39,0.000,0.100,31.2%,6.2%,0.20,-0.0,50.0%,35.1%,83.3%,51.4%,12.5%,37.5%,24,4,L,Hiroshima Carp,CL
Sato Ryunosuke,6,5,4,0,1,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0.250,0.250,0.250,0.500,52,0.000,0.500,40.0%,0.0%,0.00,-0.0,0.0%,11.1%,100.0%,33.3%,4.2%,40.0%,22,1,L,Hiroshima Carp,CL
Shimizu Kanato,4,14,13,1,2,1,0,0,3,0,0,0,0,0,4,1,0,0,0,0.154,0.214,0.231,0.445,35,0.077,0.222,28.6%,7.1%,0.25,-0.0,55.6%,33.3%,71.4%,42.6%,13.1%,35.7%,20,2,L,Hiroshima Carp,CL
Suekane Shota,123,477,437,40,106,18,3,11,163,62,2,3,0,5,97,33,0,2,6,0.243,0.296,0.373,0.669,101,0.130,0.284,20.3%,6.9%,0.34,-0.9,59.8%,36.6%,82.8%,54.8%,16.5%,29.6%,29,9,R,Hiroshima Carp,CL
Taka Taichi,8,16,15,1,1,0,0,0,1,0,0,0,1,0,7,0,0,0,0,0.067,0.067,0.067,0.134,-57,0.000,0.125,43.8%,0.0%,0.00,-0.0,12.5%,50.0%,90.0%,46.7%,15.6%,43.8%,23,1,L,Hiroshima Carp,CL
Takahashi Kouya,24,2,2,0,1,1,0,0,2,2,0,0,0,0,1,0,0,0,0,0.500,0.500,1.000,1.500,339,0.500,1.000,50.0%,0.0%,0.00,0.0,0.0%,50.0%,50.0%,57.1%,28.6%,50.0%,26,1,L,Hiroshima Carp,CL
Tamamura Shogo,17,25,22,2,2,0,0,0,2,2,0,0,2,0,14,1,0,0,0,0.091,0.130,0.091,0.221,-30,0.000,0.250,56.0%,4.0%,0.07,-0.0,30.0%,38.9%,72.7%,41.9%,17.4%,60.0%,24,1,L,Hiroshima Carp,CL
Tamura Shunsuke,25,69,63,5,16,0,1,1,21,4,0,1,0,0,14,6,1,0,1,0.254,0.319,0.333,0.652,97,0.079,0.312,20.3%,8.7%,0.43,-0.4,39.6%,27.6%,78.4%,50.5%,15.3%,30.4%,21,3,L,Hiroshima Carp,CL
Tanaka Kosuke,15,44,34,2,5,0,0,0,5,0,0,2,0,0,7,9,1,1,0,0.147,0.341,0.147,0.488,52,0.000,0.185,15.9%,20.5%,1.29,-0.7,55.6%,15.1%,84.9%,35.4%,6.3%,36.4%,35,5,L,Hiroshima Carp,CL
Tokoda Hiroki,26,57,54,6,14,2,0,1,19,2,0,0,3,0,12,0,0,0,1,0.259,0.259,0.352,0.611,83,0.093,0.317,21.1%,0.0%,0.00,-0.0,37.8%,40.6%,85.7%,46.9%,12.8%,22.8%,30,1,L,Hiroshima Carp,CL
Tsunehiro Hayato,7,10,9,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0.000,0.000,0.000,0.000,-97,0.000,0.000,50.0%,0.0%,0.00,0.0,40.0%,33.3%,91.7%,43.9%,7.3%,50.0%,23,1,R,Hiroshima Carp,CL
Uchida Shodai,6,10,9,0,2,1,0,0,3,0,0,0,0,0,4,1,0,0,0,0.222,0.300,0.333,0.633,91,0.111,0.400,40.0%,10.0%,0.25,-0.0,40.0%,50.0%,73.3%,62.2%,24.3%,50.0%,20,6,R,Hiroshima Carp,CL
Uemoto Takashi,21,31,27,1,5,1,0,0,6,0,0,0,2,0,8,2,0,0,1,0.185,0.241,0.222,0.463,41,0.037,0.263,25.8%,6.5%,0.25,-0.0,47.6%,25.9%,86.0%,46.7%,9.8%,32.3%,34,5,R,Hiroshima Carp,CL
Watanabe Yuto,2,8,8,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.125,0.125,0.125,0.250,-23,0.000,0.125,0.0%,0.0%,,-0.0,62.5%,44.4%,88.9%,51.5%,9.1%,0.0%,22,3,R,Hiroshima Carp,CL
Yamaashi Tatsuya,11,14,9,2,1,0,0,0,1,1,0,0,3,0,0,2,0,0,1,0.111,0.273,0.111,0.384,21,0.000,0.111,0.0%,14.3%,1.00,-0.0,18.2%,27.3%,100.0%,32.4%,2.7%,14.3%,31,UTL,R,Hiroshima Carp,CL
Yano Masaya,112,335,284,24,59,6,1,1,70,19,2,3,16,2,69,27,1,6,1,0.208,0.288,0.246,0.534,63,0.038,0.269,20.6%,8.1%,0.39,-0.8,44.2%,24.6%,87.1%,46.2%,8.6%,29.0%,26,6,L,Hiroshima Carp,CL
Austin Tyler,65,246,219,35,59,14,0,11,106,28,0,0,0,0,45,26,6,1,10,0.269,0.350,0.484,0.834,149,0.215,0.294,18.3%,10.6%,0.58,-0.1,66.3%,19.6%,85.1%,42.6%,10.2%,33.3%,33,3,R,DeNA BayStars,CL
Azuma Junpei,4,6,6,1,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0.167,0.167,0.167,0.334,2,0.000,0.500,66.7%,0.0%,0.00,-0.0,50.0%,54.5%,55.6%,62.5%,33.3%,66.7%,23,7,R,DeNA BayStars,CL
Azuma Katsuki,24,53,38,3,7,1,0,0,8,4,0,0,11,0,13,4,0,0,0,0.184,0.262,0.211,0.473,45,0.027,0.280,24.5%,7.5%,0.31,-0.0,30.6%,16.2%,88.9%,34.5%,5.7%,32.1%,29,1,L,DeNA BayStars,CL
Bauer Trevor,21,39,34,0,2,0,0,0,2,0,0,0,4,0,20,1,0,0,0,0.059,0.086,0.059,0.145,-54,0.000,0.143,51.3%,2.6%,0.05,-0.0,11.8%,25.0%,77.8%,34.5%,12.9%,53.8%,34,1,R,DeNA BayStars,CL
Chino Naoto,8,20,17,3,3,1,0,1,7,2,0,1,0,0,2,3,0,0,0,0.176,0.300,0.412,0.712,113,0.236,0.143,10.0%,15.0%,1.50,-0.3,53.3%,26.0%,88.0%,43.2%,11.4%,30.0%,26,4,R,DeNA BayStars,CL
Ebina Tatsuo,115,401,348,53,99,21,1,8,146,41,5,4,4,7,68,31,1,11,5,0.284,0.355,0.420,0.775,133,0.136,0.326,17.0%,7.7%,0.46,-0.7,59.4%,27.4%,89.3%,46.4%,9.9%,26.7%,27,9,R,DeNA BayStars,CL
Ford Mike,25,51,46,1,9,1,0,0,10,1,0,0,0,0,13,5,0,0,0,0.196,0.275,0.217,0.492,51,0.021,0.273,25.5%,9.8%,0.38,-0.0,69.7%,32.1%,85.2%,47.7%,16.6%,35.3%,32,3,L,DeNA BayStars,CL
Fujinami Shintaro,6,6,5,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,0.000,66.7%,0.0%,0.00,0.0,0.0%,28.6%,85.7%,44.0%,16.0%,66.7%,31,1,R,DeNA BayStars,CL
Hayashi Takuma,95,290,258,35,63,11,1,2,82,20,11,4,7,4,54,19,4,2,4,0.244,0.297,0.318,0.615,86,0.074,0.296,18.6%,6.6%,0.35,0.4,50.7%,37.1%,89.2%,54.5%,9.8%,25.9%,24,4,L,DeNA BayStars,CL
Inoue Kento,12,31,29,2,5,0,0,2,11,7,0,0,0,1,6,1,0,0,0,0.172,0.194,0.379,0.573,70,0.207,0.136,19.4%,3.2%,0.17,-0.0,60.9%,40.0%,90.0%,55.7%,12.2%,29.0%,25,7,L,DeNA BayStars,CL
Ishida Yutaro,21,26,23,1,2,0,0,0,2,2,0,0,2,0,8,1,0,0,0,0.087,0.125,0.087,0.212,-33,0.000,0.133,30.8%,3.8%,0.12,-0.0,17.6%,66.7%,79.4%,59.8%,13.1%,34.6%,23,1,R,DeNA BayStars,CL
