Rank,Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,Age,Pos,B,Team,League
,Ogawa Ryusei,46,100,88,6,21,1,0,0,22,8,6,2,3,0,17,8,0,1,4,0.239,0.309,0.250,0.559,75,0.011,0.296,25.0%,17.0%,8.0%,0.47,27,6,L,Lotte Marines,PL
,Ojima Kazuya,14,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-97,0.000,0.000,0.0%,0.0%,0.0%,,28,1,L,Lotte Marines,PL
,Oka Hiromi,45,140,120,13,32,5,0,2,43,15,3,1,2,0,28,15,1,3,1,0.267,0.362,0.358,0.720,123,0.091,0.333,32.1%,20.0%,10.7%,0.54,33,7,R,Lotte Marines,PL
,Polanco Gregory,39,154,139,13,28,3,0,5,46,13,0,0,0,1,35,14,1,0,1,0.201,0.273,0.331,0.604,86,0.130,0.230,35.1%,22.7%,9.1%,0.40,33,DH,L,Lotte Marines,PL
,Satoh Toshiya,26,81,74,3,8,1,0,1,12,6,1,0,1,1,15,2,1,3,0,0.108,0.163,0.162,0.325,2,0.054,0.119,22.2%,18.5%,2.5%,0.13,27,2,L,Lotte Marines,PL
,Soto Neftali,65,239,220,17,48,9,0,8,81,26,0,0,0,1,64,16,0,2,5,0.218,0.276,0.368,0.644,98,0.150,0.268,36.8%,26.8%,6.7%,0.25,36,3,R,Lotte Marines,PL
,Takabe Akito,61,186,172,18,41,7,0,0,48,15,6,0,1,3,22,8,0,2,2,0.238,0.276,0.279,0.555,72,0.041,0.268,16.1%,11.8%,4.3%,0.36,27,8,L,Lotte Marines,PL
,Takano Shuta,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-97,0.000,0.000,0.0%,0.0%,0.0%,,26,1,L,Lotte Marines,PL
,Takeda Aito,10,13,9,1,0,0,0,0,0,0,0,0,3,0,5,0,0,1,0,0.000,0.100,0.000,0.100,-64,0.000,0.000,38.5%,38.5%,0.0%,0.00,28,9,R,Lotte Marines,PL
,Tamura Tatsuhiro,12,30,27,0,3,0,0,0,3,1,0,0,3,0,6,0,0,0,3,0.111,0.111,0.111,0.222,-29,0.000,0.143,20.0%,20.0%,0.0%,0.00,31,2,R,Lotte Marines,PL
,Tanaka Haruya,11,5,5,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0.200,0.200,0.200,0.400,25,0.000,0.250,20.0%,20.0%,0.0%,0.00,21,1,L,Lotte Marines,PL
,Taneichi Atsuki,14,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-97,0.000,,50.0%,50.0%,0.0%,0.00,26,1,R,Lotte Marines,PL
,Tatematsu Yu,4,6,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.000,0.000,0.000,0.000,-97,0.000,0.000,50.0%,50.0%,0.0%,0.00,26,3,L,Lotte Marines,PL
,Terachi Ryusei,69,265,248,24,68,10,0,5,93,22,0,0,1,1,40,9,1,6,5,0.274,0.314,0.375,0.689,112,0.101,0.309,20.4%,15.1%,3.4%,0.23,19,2,L,Lotte Marines,PL
,Tomosugi Atsuki,66,189,162,14,36,4,2,0,44,10,5,5,14,2,19,10,1,1,2,0.222,0.269,0.272,0.541,68,0.050,0.248,15.3%,10.1%,5.3%,0.53,24,6,R,Lotte Marines,PL
,Ueda Kyuto,20,63,53,6,10,5,0,0,15,5,0,0,1,1,10,7,0,1,0,0.189,0.290,0.283,0.573,78,0.094,0.227,27.0%,15.9%,11.1%,0.70,23,5,L,Lotte Marines,PL
,Voth Austin,15,5,5,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0.200,0.200,0.200,0.400,25,0.000,0.333,40.0%,40.0%,0.0%,0.00,33,1,R,Lotte Marines,PL
,Wada Koshiro,12,4,2,4,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0.000,0.250,0.000,0.250,-16,0.000,0.000,50.0%,25.0%,25.0%,1.00,26,7,L,Lotte Marines,PL
,Yamaguchi Koki,6,17,17,2,3,1,0,0,4,2,0,0,0,0,7,0,0,0,0,0.176,0.176,0.235,0.411,28,0.059,0.300,41.2%,41.2%,0.0%,0.00,24,7,R,Lotte Marines,PL
,Yamamoto Daito,67,263,247,29,52,9,0,10,91,25,1,0,0,0,67,13,0,3,7,0.211,0.259,0.368,0.627,92,0.157,0.247,34.2%,25.5%,4.9%,0.19,22,9,R,Lotte Marines,PL
,Yasuda Hisanori,52,201,177,16,47,10,0,0,57,15,0,1,0,2,35,19,2,3,1,0.266,0.343,0.322,0.665,106,0.056,0.326,26.9%,17.4%,9.5%,0.54,26,5,L,Lotte Marines,PL
,Akihiro Yuto,22,59,53,4,11,2,0,1,16,4,0,0,0,0,16,5,0,1,1,0.208,0.288,0.302,0.590,84,0.094,0.278,37.3%,27.1%,8.5%,0.31,22,7,L,SoftBank Hawks,PL
,Arihara Kohei,15,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,,50.0%,50.0%,0.0%,0.00,32,1,R,SoftBank Hawks,PL
,Downs Jeter,32,98,88,10,22,8,3,1,39,13,3,1,0,1,19,9,0,0,0,0.250,0.316,0.443,0.759,134,0.193,0.304,29.6%,19.4%,9.2%,0.47,26,5,R,SoftBank Hawks,PL
,Hirose Ryuta,30,94,85,6,19,2,0,1,24,7,1,0,1,1,28,7,0,0,2,0.224,0.280,0.282,0.562,75,0.058,0.316,38.3%,29.8%,7.4%,0.25,24,4,R,SoftBank Hawks,PL
,Imamiya Kenta,34,137,123,10,29,6,0,1,38,9,0,0,2,1,16,10,0,1,6,0.236,0.296,0.309,0.605,88,0.073,0.262,19.7%,11.7%,7.3%,0.62,33,6,R,SoftBank Hawks,PL
,Ishizuka Soichiro,22,52,48,3,10,4,0,0,14,5,0,0,0,0,16,0,0,4,2,0.208,0.269,0.292,0.561,75,0.084,0.312,30.8%,30.8%,0.0%,0.00,24,7,R,SoftBank Hawks,PL
