Rank,Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,Age,Pos,B,Team,League
,Hiranuma Shota,36,90,84,8,15,1,0,0,16,5,3,0,1,0,17,3,1,2,0,0.179,0.225,0.190,0.415,32,0.011,0.224,22.2%,18.9%,3.3%,0.18,27,7,L,Seibu Lions,PL
,Hirasawa Taiga,7,17,17,1,1,1,0,0,2,0,0,0,0,0,4,0,0,0,0,0.059,0.059,0.118,0.177,-46,0.059,0.077,23.5%,23.5%,0.0%,0.00,27,7,L,Seibu Lions,PL
,Hiruma Takuya,12,37,34,0,6,0,0,0,6,0,0,0,2,0,8,1,0,0,0,0.176,0.200,0.176,0.376,19,0.000,0.231,24.3%,21.6%,2.7%,0.12,24,7,L,Seibu Lions,PL
,Imai Tatsuya,15,6,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0.000,0.000,0.000,0.000,-101,0.000,0.000,66.7%,66.7%,0.0%,0.00,27,1,R,Seibu Lions,PL
,Kishi Junichiro,8,23,22,1,2,2,0,0,4,0,0,0,0,0,3,1,0,0,0,0.091,0.130,0.182,0.312,-3,0.091,0.105,17.4%,13.0%,4.3%,0.33,28,7,R,Seibu Lions,PL
,Kodama Ryosuke,39,49,44,5,8,2,0,0,10,3,1,2,1,0,7,4,0,0,0,0.182,0.250,0.227,0.477,51,0.045,0.216,22.4%,14.3%,8.2%,0.57,26,4,R,Seibu Lions,PL
,Koga Yuto,66,187,165,11,34,5,0,1,42,8,0,0,6,0,36,16,0,0,3,0.206,0.276,0.255,0.531,68,0.049,0.258,28.3%,19.3%,8.6%,0.44,25,2,R,Seibu Lions,PL
,Kuriyama Takumi,11,23,23,0,2,0,0,0,2,0,0,0,0,0,7,0,0,0,1,0.087,0.087,0.087,0.174,-45,0.000,0.125,30.4%,30.4%,0.0%,0.00,41,DH,L,Seibu Lions,PL
,Makino Shoya,29,67,61,3,13,0,1,0,15,0,1,0,4,0,22,2,0,0,0,0.213,0.238,0.246,0.484,53,0.033,0.333,35.8%,32.8%,3.0%,0.09,24,2,L,Seibu Lions,PL
,Matsubara Seiya,8,24,22,1,6,1,0,0,7,0,0,0,2,0,6,0,0,0,0,0.273,0.273,0.318,0.591,86,0.045,0.375,25.0%,25.0%,0.0%,0.00,30,7,L,Seibu Lions,PL
,Motoyama Hiyu,38,75,69,1,10,6,0,0,16,5,0,0,5,0,12,1,0,0,1,0.145,0.157,0.232,0.389,21,0.087,0.175,17.3%,16.0%,1.3%,0.08,26,4,L,Seibu Lions,PL
,Murata Reon,3,12,12,0,2,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0.167,0.167,0.167,0.334,5,0.000,0.250,33.3%,33.3%,0.0%,0.00,23,,R,Seibu Lions,PL
,Nakamigawa Yuta,5,10,9,0,2,0,1,0,4,5,0,0,0,1,6,0,0,0,0,0.222,0.200,0.444,0.644,99,0.222,0.500,60.0%,60.0%,0.0%,0.00,22,DH,L,Seibu Lions,PL
,Nakamura Takeya,44,110,96,3,23,5,0,3,37,10,0,0,0,0,28,13,2,1,2,0.240,0.336,0.385,0.721,127,0.145,0.308,40.0%,25.5%,11.8%,0.46,41,DH,R,Seibu Lions,PL
,Nakata Keisuke,45,60,53,10,12,0,0,0,12,0,1,3,3,0,9,2,0,2,1,0.226,0.281,0.226,0.507,61,0.000,0.273,18.3%,15.0%,3.3%,0.22,25,4,S,Seibu Lions,PL
,Nevin Tyler,88,364,325,30,94,20,0,10,144,40,2,1,0,4,48,28,3,7,7,0.289,0.354,0.443,0.797,150,0.154,0.310,23.6%,13.2%,7.7%,0.58,28,3,R,Seibu Lions,PL
,Nishikawa Manaya,88,390,355,40,91,15,1,4,120,18,18,5,2,2,51,26,1,5,2,0.256,0.314,0.338,0.652,106,0.082,0.288,20.8%,13.1%,6.7%,0.51,26,8,L,Seibu Lions,PL
,Nomura Daiju,13,36,35,1,6,1,0,0,7,2,0,0,1,0,9,0,0,0,0,0.171,0.171,0.200,0.371,16,0.029,0.231,25.0%,25.0%,0.0%,0.00,24,4,R,Seibu Lions,PL
,Sumida Chihiro,15,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-101,0.000,0.000,0.0%,0.0%,0.0%,,25,1,L,Seibu Lions,PL
,Sumitani Ginjiro,29,64,57,4,17,3,0,0,20,3,0,1,3,0,13,3,0,1,2,0.298,0.344,0.351,0.695,120,0.053,0.386,25.0%,20.3%,4.7%,0.23,37,2,R,Seibu Lions,PL
,Takahashi Kona,14,5,4,0,1,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0.250,0.250,0.250,0.500,58,0.000,0.500,40.0%,40.0%,0.0%,0.00,28,1,R,Seibu Lions,PL
,Takamatsu Wataru,11,12,10,0,0,0,0,0,0,0,3,0,2,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-101,0.000,0.000,16.7%,16.7%,0.0%,0.00,25,7,L,Seibu Lions,PL
,Takeuchi Natsuki,9,5,2,0,0,0,0,0,0,1,0,0,1,1,2,1,0,0,0,0.000,0.250,0.000,0.250,-17,0.000,0.000,60.0%,40.0%,20.0%,0.50,23,1,L,Seibu Lions,PL
,Takizawa Natsuo,70,237,208,13,52,2,0,0,54,7,11,4,14,0,37,14,0,1,2,0.250,0.300,0.260,0.560,78,0.010,0.304,21.5%,15.6%,5.9%,0.38,21,4,L,Seibu Lions,PL
,Tonosaki Shuta,76,264,226,17,48,7,1,3,66,21,3,1,3,5,39,27,3,3,7,0.212,0.299,0.292,0.591,87,0.080,0.238,26.1%,14.8%,10.2%,0.69,32,5,R,Seibu Lions,PL
,Tsuge Sena,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-101,0.000,0.000,50.0%,50.0%,0.0%,0.00,28,,R,Seibu Lions,PL
,Watanabe Seiya,54,222,208,16,59,7,3,6,90,23,1,2,0,1,38,11,2,2,6,0.284,0.324,0.433,0.757,137,0.149,0.321,24.8%,17.1%,5.0%,0.29,22,7,R,Seibu Lions,PL
,Watanabe Yutaro,14,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-101,0.000,0.000,0.0%,0.0%,0.0%,,24,1,R,Seibu Lions,PL
,Yamamura Takayoshi,29,96,86,4,19,3,1,1,27,7,0,1,0,1,17,7,0,2,1,0.221,0.292,0.314,0.606,91,0.093,0.261,26.0%,17.7%,7.3%,0.41,22,5,L,Seibu Lions,PL
,Yamanobe Kakeru,5,3,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-101,0.000,0.000,33.3%,33.3%,0.0%,0.00,31,5,R,Seibu Lions,PL
,Yoza Kaito,8,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-101,0.000,,100.0%,100.0%,0.0%,0.00,29,1,R,Seibu Lions,PL
,Arizono Naoki,3,10,9,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0.000,0.100,0.000,0.100,-64,0.000,0.000,60.0%,50.0%,10.0%,0.20,22,5,R,Nipponham Fighters,PL
,Asama Daiki,32,84,72,3,13,1,0,1,17,3,2,0,0,0,14,12,0,0,1,0.181,0.298,0.236,0.534,66,0.055,0.211,32.1%,16.7%,14.3%,0.86,29,7,L,Nipponham Fighters,PL
,Fushimi Torai,50,139,124,7,32,3,0,2,41,9,0,0,4,0,23,9,0,2,4,0.258,0.319,0.331,0.650,100,0.073,0.303,24.5%,16.5%,6.5%,0.39,35,2,R,Nipponham Fighters,PL
,Gunji Yuya,62,222,189,23,52,9,0,5,76,20,0,0,1,1,36,27,0,4,6,0.275,0.376,0.402,0.778,139,0.127,0.315,30.6%,16.2%,12.2%,0.75,27,UTL,R,Nipponham Fighters,PL
,Hosokawa Ryohei,9,13,10,0,2,0,0,0,2,1,2,0,2,0,2,1,0,0,0,0.200,0.273,0.200,0.473,48,0.000,0.250,23.1%,15.4%,7.7%,0.50,23,3,L,Nipponham Fighters,PL
,Imagawa Yuma,11,30,28,3,4,0,0,0,4,0,0,0,0,0,6,2,0,0,0,0.143,0.200,0.143,0.343,9,0.000,0.182,26.7%,20.0%,6.7%,0.33,28,7,R,Nipponham Fighters,PL
,Ishii Kazunari,59,191,180,21,48,10,1,1,63,16,1,0,4,1,43,6,1,0,0,0.267,0.289,0.350,0.639,96,0.083,0.343,26.2%,22.5%,3.1%,0.14,31,4,L,Nipponham Fighters,PL
,Isobata Ryota,72,182,168,28,41,4,6,1,60,16,13,7,2,0,38,12,0,0,1,0.244,0.294,0.357,0.651,100,0.113,0.310,28.0%,20.9%,6.6%,0.32,26,8,L,Nipponham Fighters,PL
,Itoh Hiromi,16,6,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0.000,0.000,0.000,0.000,-96,0.000,0.000,66.7%,66.7%,0.0%,0.00,27,1,L,Nipponham Fighters,PL
,Kamikawabata Daigo,35,81,72,4,12,3,0,0,15,5,0,0,0,0,9,7,0,2,4,0.167,0.259,0.208,0.467,46,0.041,0.190,19.8%,11.1%,8.6%,0.78,28,4,L,Nipponham Fighters,PL
,Kanemura Shoma,11,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-96,0.000,0.000,66.7%,66.7%,0.0%,0.00,24,1,R,Nipponham Fighters,PL
,Katoh Takayuki,13,3,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-96,0.000,,66.7%,66.7%,0.0%,0.00,33,1,L,Nipponham Fighters,PL
,Kitayama Koki,13,4,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0.000,0.000,0.000,0.000,-96,0.000,,100.0%,100.0%,0.0%,0.00,26,1,R,Nipponham Fighters,PL
,Kiyomiya Kotaro,85,358,328,39,88,17,0,8,129,39,4,1,0,3,47,26,0,1,5,0.268,0.321,0.393,0.714,118,0.125,0.290,22.6%,13.1%,7.3%,0.55,26,5,L,Nipponham Fighters,PL
,Mannami Chusei,85,325,294,34,68,20,1,16,138,39,1,1,0,0,85,30,6,1,5,0.231,0.305,0.469,0.774,135,0.238,0.269,40.3%,26.2%,9.2%,0.35,25,9,R,Nipponham Fighters,PL
,Martinez Ariel,21,49,45,5,10,1,0,1,14,8,0,0,0,1,17,2,0,1,0,0.222,0.265,0.311,0.576,77,0.089,0.321,40.8%,34.7%,4.1%,0.12,29,3,R,Nipponham Fighters,PL
,Matsumoto Go,36,117,99,8,18,2,0,0,20,2,3,2,3,0,17,12,0,3,3,0.182,0.289,0.202,0.491,54,0.020,0.220,24.8%,14.5%,10.3%,0.71,31,8,R,Nipponham Fighters,PL
,Miyazaki Kazuki,5,6,6,0,1,1,0,0,2,1,0,0,0,0,4,0,0,0,0,0.167,0.167,0.333,0.500,52,0.166,0.500,66.7%,66.7%,0.0%,0.00,23,9,R,Nipponham Fighters,PL
,Mizuno Tatsuki,54,191,170,20,44,7,5,3,70,25,2,0,2,1,35,13,0,5,2,0.259,0.328,0.412,0.740,126,0.153,0.308,26.7%,18.3%,6.8%,0.37,24,6,L,Nipponham Fighters,PL
,Mizutani Shun,39,146,134,24,39,7,0,9,73,19,2,0,0,1,35,10,1,1,1,0.291,0.342,0.545,0.887,168,0.254,0.330,37.0%,24.0%,6.8%,0.29,24,7,R,Nipponham Fighters,PL
,Nakashima Takuya,17,13,6,3,3,0,0,0,3,1,1,0,1,0,2,6,0,0,0,0.500,0.750,0.500,1.250,286,0.000,0.750,61.5%,15.4%,46.2%,3.00,34,UTL,L,Nipponham Fighters,PL
,Narama Taiki,58,68,60,9,15,0,0,1,18,1,2,1,3,0,23,3,0,2,0,0.250,0.308,0.300,0.608,88,0.050,0.389,39.7%,33.8%,4.4%,0.13,25,4,R,Nipponham Fighters,PL
,Nomura Yuki,59,238,216,17,55,11,1,7,89,25,1,1,0,1,42,19,0,2,4,0.255,0.319,0.412,0.731,123,0.157,0.286,28.6%,17.6%,8.0%,0.45,25,3,R,Nipponham Fighters,PL
,Reyes Franmil,82,336,302,39,85,13,0,20,158,56,0,0,0,1,75,33,2,0,6,0.281,0.351,0.523,0.874,165,0.242,0.312,38.1%,22.3%,9.8%,0.44,29,DH,R,Nipponham Fighters,PL
,Shintoh Yuya,10,22,18,2,1,0,0,0,1,0,0,0,2,0,6,2,0,0,1,0.056,0.150,0.056,0.206,-32,0.000,0.083,36.4%,27.3%,9.1%,0.33,23,2,R,Nipponham Fighters,PL
,Tamiya Yua,39,137,123,14,30,3,0,4,45,10,1,4,3,2,22,8,0,1,1,0.244,0.291,0.366,0.657,101,0.122,0.263,24.8%,16.1%,5.8%,0.36,25,2,L,Nipponham Fighters,PL
,Tatsu Kota,8,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.000,0.000,0.000,0.000,-96,0.000,,100.0%,100.0%,0.0%,0.00,21,1,R,Nipponham Fighters,PL
,Wakabayashi Akihiro,5,7,7,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.143,0.143,0.143,0.286,-9,0.000,0.167,14.3%,14.3%,0.0%,0.00,31,4,S,Nipponham Fighters,PL
,Yamagata Shu,55,132,126,9,26,4,0,1,33,5,1,0,3,1,21,0,0,2,3,0.206,0.217,0.262,0.479,48,0.056,0.238,16.7%,15.9%,0.0%,0.00,23,6,R,Nipponham Fighters,PL
,Yamasaki Sachiya,13,7,7,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0.143,0.143,0.143,0.286,-9,0.000,0.167,14.3%,14.3%,0.0%,0.00,32,1,L,Nipponham Fighters,PL
,Yazawa Kota,50,120,110,11,29,4,1,1,38,11,6,1,1,0,29,7,0,2,0,0.264,0.319,0.345,0.664,104,0.081,0.350,30.8%,24.2%,5.8%,0.24,24,7,L,Nipponham Fighters,PL
,Yoshida Kengo,47,112,106,9,23,6,1,4,43,9,0,1,0,0,20,5,0,1,5,0.217,0.259,0.406,0.665,102,0.189,0.232,25.9%,17.9%,4.5%,0.25,24,7,R,Nipponham Fighters,PL
