Team,G,W,L,T,PCT,GB,RS,RA,Diff,XPCT,Home,Road,vs G,vs M,vs L,vs E,vs F,vs DB,vs A,vs S,Inter
Yomiuri Giants,101,64,35,2,0.646,--,466,286,180,0.710,28-15(2),36-20,--,7-7,9-5(1),6-6(1),12-5,8-4,10-4,10-3,2-1
Lotte Marines,98,57,39,2,0.594,5.5,429,333,96,0.614,27-20(1),30-19(1),7-7,--,6-5(1),11-6,6-4(1),10-8,9-3,7-5,1-1
Seibu Lions,97,55,40,2,0.579,7.0,401,323,78,0.598,28-15,27-25(2),5-9(1),5-6(1),--,5-4,7-6,10-7,10-5,13-3,--
Rakuten Eagles,103,52,50,1,0.510,13.5,405,415,-10,0.489,32-22,20-28(1),6-6(1),6-11,4-5,--,7-8,8-8,10-5,11-7,--
Nipponham Fighters,93,46,46,1,0.500,14.5,363,350,13,0.517,26-22(1),20-24,5-12,4-6(1),6-7,8-7,--,10-3,5-6,7-4,1-1
DeNA BayStars,108,48,59,1,0.449,20.0,429,453,-24,0.475,24-28(1),24-31,4-8,8-10,7-10,8-8,3-10,--,8-6,9-5(1),1-2
Oisix Albirex,98,38,60,0,0.388,25.5,330,506,-176,0.314,23-28,15-32,4-10,3-9,5-10,5-10,6-5,6-8,--,7-3,2-5
Yakult Swallows,98,32,65,1,0.330,31.0,274,414,-140,0.320,15-37,17-28(1),3-10,5-7,3-13,7-11,4-7,5-9(1),3-7,--,2-1
