Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,wSB,Age,Pos,B,Team,League
Onodera Dan,56,213,183,24,46,13,1,2,67,20,4,1,1,1,36,27,0,1,6,0.251,0.349,0.366,0.715,124,0.115,0.301,30.5%,16.9%,12.7%,0.75,0.3,27,9,R,Hanshin Tigers,WL
Sakaeda Yuki,14,50,45,7,14,5,1,0,21,8,2,0,1,0,6,4,0,0,1,0.311,0.367,0.467,0.834,162,0.156,0.359,20.0%,12.0%,8.0%,0.67,0.3,27,2,R,Hanshin Tigers,WL
Sano Taiyo,80,325,290,34,80,11,1,0,93,23,5,1,7,0,43,24,0,4,6,0.276,0.340,0.321,0.661,107,0.045,0.324,20.6%,13.2%,7.4%,0.56,0.4,23,UTL,R,Hanshin Tigers,WL
Shimada Kairi,42,140,121,16,41,3,2,0,48,9,7,3,3,0,16,15,0,1,3,0.339,0.416,0.397,0.813,156,0.058,0.390,22.1%,11.4%,10.7%,0.94,0.1,29,8,L,Hanshin Tigers,WL
Shimamura Rinshiro,52,142,128,14,34,5,0,1,42,19,0,2,1,2,17,11,0,0,4,0.266,0.319,0.328,0.647,102,0.062,0.295,20.4%,12.0%,7.7%,0.65,-0.7,21,2,L,Hanshin Tigers,WL
Takatera Nozomu,8,37,35,5,16,4,1,0,22,7,2,1,0,0,5,2,0,0,0,0.457,0.486,0.629,1.115,252,0.172,0.533,18.9%,13.5%,5.4%,0.40,-0.0,22,4,L,Hanshin Tigers,WL
Toi Reiji,75,187,157,21,27,3,0,2,36,15,2,1,4,5,34,21,1,0,6,0.172,0.262,0.229,0.491,52,0.057,0.198,30.5%,18.2%,11.2%,0.62,-0.1,20,UTL,R,Hanshin Tigers,WL
Tomida Ren,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-108,0.000,0.000,0.0%,0.0%,0.0%,,0.0,23,1,L,Hanshin Tigers,WL
Toyoda Hiroshi,27,95,81,10,25,1,1,0,28,6,1,3,4,0,7,10,0,0,4,0.309,0.385,0.346,0.731,130,0.037,0.338,17.9%,7.4%,10.5%,1.43,-0.9,28,7,R,Hanshin Tigers,WL
Watanabe Ryo,50,182,153,16,41,10,0,1,54,17,0,0,0,0,30,27,1,2,4,0.268,0.385,0.353,0.738,132,0.085,0.328,31.9%,16.5%,14.8%,0.90,-0.1,30,3,R,Hanshin Tigers,WL
Yamada Shuya,87,261,219,23,40,7,0,2,53,28,8,5,10,1,43,31,0,0,6,0.183,0.283,0.242,0.525,63,0.059,0.217,29.1%,16.5%,11.9%,0.72,-0.4,19,6,R,Hanshin Tigers,WL
Aduwa Makoto,14,4,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0.000,0.250,0.000,0.250,-23,0.000,0.000,75.0%,50.0%,25.0%,0.50,-0.0,26,1,R,Hiroshima Carp,WL
Akiyama Shogo,5,13,11,2,4,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0.364,0.462,0.364,0.826,154,0.000,0.364,15.4%,0.0%,15.4%,1.00,-0.0,37,8,L,Hiroshima Carp,WL
Dohbayashi Shota,23,61,54,7,16,7,0,1,26,5,0,0,1,1,10,5,0,0,1,0.296,0.350,0.481,0.831,153,0.185,0.341,26.2%,16.4%,8.2%,0.50,-0.0,33,7,R,Hiroshima Carp,WL
Dominguez Johan,13,4,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0.000,0.000,0.000,0.000,-103,0.000,0.000,25.0%,25.0%,0.0%,0.00,0.0,29,1,R,Hiroshima Carp,WL
Endoh Atsushi,22,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,,0.0%,0.0%,0.0%,,0.0,26,1,R,Hiroshima Carp,WL
Futamata Shoichi,28,92,81,9,20,1,0,3,30,9,0,0,0,3,19,7,0,1,6,0.247,0.304,0.370,0.674,105,0.123,0.274,31.5%,20.7%,7.6%,0.37,-0.0,22,6,R,Hiroshima Carp,WL
Hatsuki Ryutaro,9,23,17,7,5,1,0,0,6,0,3,0,1,0,2,5,0,0,0,0.294,0.455,0.353,0.808,148,0.059,0.333,30.4%,8.7%,21.7%,2.50,0.5,25,UTL,L,Hiroshima Carp,WL
Hayashi Kota,66,252,207,22,58,9,0,7,88,26,0,3,0,4,55,33,0,8,4,0.280,0.393,0.425,0.818,150,0.145,0.342,37.7%,21.8%,13.1%,0.60,-1.1,24,7,L,Hiroshima Carp,WL
Hidaka Atsumi,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,0.0%,0.0%,0.0%,,0.0,20,1,L,Hiroshima Carp,WL
Ishihara Tomoki,7,18,17,1,5,1,0,0,6,1,0,1,1,0,3,0,0,0,3,0.294,0.294,0.353,0.647,97,0.059,0.357,16.7%,16.7%,0.0%,0.00,-0.3,27,2,R,Hiroshima Carp,WL
Isomura Yoshitaka,24,74,63,5,16,1,0,0,17,7,1,0,1,2,7,6,0,2,4,0.254,0.329,0.270,0.599,83,0.016,0.276,17.6%,9.5%,8.1%,0.86,0.1,32,2,R,Hiroshima Carp,WL
Kubo Shu,76,205,179,23,40,7,0,1,50,12,5,4,5,1,31,16,0,4,4,0.223,0.300,0.279,0.579,77,0.056,0.264,23.4%,15.1%,7.8%,0.52,-0.5,24,8,R,Hiroshima Carp,WL
