Player,Age,Pos,Inn,TZR,TZR/143,RngR,ARM,DPR,ErrR,Pos Adj,Framing,Blocking,Team,League
Wakabayashi Akihiro,31,3,57.0,0.5,11.3,1.0,,-0.1,-0.4,-0.6,,,Nipponham Fighters,EL
Wakabayashi Akihiro,31,4,51.0,0.0,0.0,-1.1,,0.6,0.5,0.1,,,Nipponham Fighters,EL
Wakabayashi Akihiro,31,5,101.0,-0.5,-6.4,-1.4,,0.3,0.7,-0.4,,,Nipponham Fighters,EL
Wakabayashi Akihiro,31,DH,9.0,,,,,,,-0.1,,,Nipponham Fighters,EL
Itoh Ryui,22,4,55.0,0.3,7.0,-0.2,,-0.1,0.5,0.1,,,Yakult Swallows,EL
Itoh Ryui,22,5,2.0,0.3,193.0,0.0,,0.1,0.1,0.0,,,Yakult Swallows,EL
Itoh Ryui,22,6,79.1,-1.0,-16.2,-2.2,,0.3,0.9,0.6,,,Yakult Swallows,EL
Genda Sosuke,32,6,29.0,0.0,0.0,-0.3,,-0.1,0.4,0.2,,,Seibu Lions,EL
Kodama Ryosuke,26,4,44.1,1.1,32.0,0.4,,0.3,0.4,0.1,,,Seibu Lions,EL
Kodama Ryosuke,26,5,24.0,0.5,26.8,0.3,,0.0,0.2,-0.1,,,Seibu Lions,EL
Kodama Ryosuke,26,6,73.1,2.0,35.1,0.9,,0.6,0.5,0.6,,,Seibu Lions,EL
Yonamine Micah,24,3,124.0,0.0,0.0,0.0,,0.0,0.0,-1.4,,,Nipponham Fighters,EL
Yonamine Micah,24,DH,120.0,,,,,,,-1.4,,,Nipponham Fighters,EL
Hagio Masaya,24,7,103.0,1.7,21.2,2.3,-0.7,,0.1,-1.0,,,Yomiuri Giants,EL
Hagio Masaya,24,8,160.1,-0.4,-3.2,0.8,-1.2,,0.1,0.5,,,Yomiuri Giants,EL
Hagio Masaya,24,9,39.0,-0.5,-16.5,-0.2,0.5,,-0.8,-0.2,,,Yomiuri Giants,EL
Hagio Masaya,24,DH,63.0,,,,,,,-0.8,,,Yomiuri Giants,EL
Sasaki Shunsuke,25,7,101.1,2.7,34.3,1.5,1.1,,0.1,-1.0,,,Yomiuri Giants,EL
Sasaki Shunsuke,25,8,54.0,2.8,66.7,2.1,0.7,,0.0,0.2,,,Yomiuri Giants,EL
Sasaki Shunsuke,25,9,123.0,1.8,18.8,1.5,0.3,,0.1,-0.5,,,Yomiuri Giants,EL
Sasaki Shunsuke,25,DH,5.0,,,,,,,-0.1,,,Yomiuri Giants,EL
Nakata Keisuke,25,3,5.0,-0.3,-77.2,-0.3,,0.0,0.0,-0.1,,,Seibu Lions,EL
Nakata Keisuke,25,4,23.0,0.1,5.6,-0.3,,0.1,0.2,0.1,,,Seibu Lions,EL
Nakata Keisuke,25,5,6.0,-0.3,-64.4,-0.3,,0.0,0.0,0.0,,,Seibu Lions,EL
Nakata Keisuke,25,6,14.0,0.8,73.5,0.7,,-0.3,0.3,0.1,,,Seibu Lions,EL
Nakata Keisuke,25,7,13.0,-1.9,-188.1,-2.0,0.1,,0.0,-0.1,,,Seibu Lions,EL
Nakata Keisuke,25,9,3.0,0.0,0.0,0.1,-0.1,,0.0,0.0,,,Seibu Lions,EL
Sekine Taiki,30,7,176.1,-0.3,-2.2,0.6,-0.2,,-0.7,-1.7,,,DeNA BayStars,EL
Sekine Taiki,30,8,245.1,-8.3,-43.5,-9.6,1.3,,0.1,0.8,,,DeNA BayStars,EL
Sekine Taiki,30,9,189.0,-2.7,-18.4,1.8,-3.8,,-0.7,-0.8,,,DeNA BayStars,EL
Sugisawa Ryu,25,7,91.0,0.1,1.4,-0.2,0.1,,0.1,-0.9,,,ORIX Buffaloes,WL
Sugisawa Ryu,25,8,291.1,1.4,6.2,0.7,0.6,,0.1,1.0,,,ORIX Buffaloes,WL
