Team,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,wSB,League
Yomiuri Giants,81,70,7,15,1,0,3,25,8,1,1,3,0,16,8,3,0,2,0.214,0.295,0.357,0.652,106,0.143,0.235,33.3%,19.8%,9.9%,0.50,-0.1,CL
DeNA BayStars,191,170,15,38,4,0,5,57,16,1,1,6,1,47,10,1,4,3,0.224,0.281,0.335,0.616,90,0.112,0.277,32.5%,24.6%,5.2%,0.21,0.0,CL
SoftBank Hawks,108,97,3,21,4,0,2,31,5,0,0,3,0,30,7,2,1,1,0.216,0.276,0.320,0.596,85,0.103,0.292,36.1%,27.8%,6.5%,0.23,0.1,PL
Hanshin Tigers,107,89,11,22,6,0,2,34,11,2,1,6,1,26,9,1,2,0,0.247,0.327,0.382,0.709,126,0.135,0.323,34.6%,24.3%,8.4%,0.35,0.1,CL
Nipponham Fighters,187,166,13,44,4,2,4,64,14,2,2,5,1,43,12,0,3,3,0.265,0.324,0.386,0.710,115,0.120,0.333,31.6%,23.0%,6.4%,0.28,-0.1,PL
ORIX Buffaloes,69,64,4,10,1,0,2,17,4,0,0,0,0,17,4,0,1,1,0.156,0.217,0.266,0.483,51,0.109,0.178,33.3%,24.6%,5.8%,0.24,0.0,PL
League Average,124,109,9,25,3,0,3,38,10,1,1,4,0,30,8,1,2,2,0.229,0.293,0.348,0.641,100,0.119,0.286,33.6%,24.1%,6.7%,0.28,0.0,
