Pitcher,G,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,GB%,Chase%,Con%,SwStr%,CSW%,FB Velo,Age,T,Team,League
Ishikawa Tatsuya,40,5,4,0,3,0,0,238,57.0,52,2,44,18,2,1,1,15,13,2.05,2.88,3.71,1.23,143,90,104,-0.83,0.8%,18.5%,7.6%,10.9%,53.5%,13.4%,80.9%,8.4%,27.7%,89.4,27,L,Yomiuri Giants,CL
Izumi Keisuke,9,0,0,0,0,0,0,55,11.1,14,2,12,4,0,2,1,9,8,6.35,4.73,3.35,1.59,46,147,94,1.62,3.6%,21.8%,7.3%,14.5%,32.4%,11.7%,87.3%,6.3%,21.5%,91.2,28,R,Yomiuri Giants,CL
Keller Kyle,41,1,1,0,6,0,0,172,42.1,26,5,43,21,1,0,0,16,16,3.40,3.96,3.52,1.11,86,123,98,-0.56,2.9%,25.0%,12.2%,12.8%,39.3%,17.1%,77.2%,11.2%,25.3%,94.3,32,R,Yomiuri Giants,CL
Kikuchi Taiki,7,1,1,0,0,0,0,41,10.0,7,1,16,4,1,0,0,3,2,1.80,2.26,1.87,1.10,163,71,52,-0.46,2.4%,39.0%,9.8%,29.3%,47.4%,19.4%,69.1%,13.5%,36.1%,91.0,26,R,Yomiuri Giants,CL
Martinez Raidel,52,3,2,41,3,0,0,189,50.1,30,3,59,10,3,0,1,7,7,1.25,1.99,2.21,0.79,234,62,62,-0.74,1.6%,31.2%,5.3%,25.9%,46.7%,22.1%,67.4%,18.9%,32.1%,95.3,28,R,Yomiuri Giants,CL
Mataki Teppei,5,0,1,0,0,0,0,58,13.1,16,1,8,2,1,1,1,7,7,4.73,3.41,3.77,1.35,62,106,105,1.32,1.7%,13.8%,3.4%,10.3%,38.3%,13.0%,84.2%,7.2%,27.8%,89.1,26,L,Yomiuri Giants,CL
Miyahara Shunsuke,8,0,0,0,0,0,0,36,9.0,6,1,11,4,1,0,0,3,3,3.00,3.30,2.86,1.11,98,103,80,-0.30,2.8%,30.6%,11.1%,19.4%,40.0%,13.3%,70.9%,13.9%,28.9%,91.4,22,L,Yomiuri Giants,CL
Morita Shunya,8,3,3,0,0,0,0,145,34.2,29,3,24,12,2,1,0,15,11,2.86,3.83,3.97,1.18,102,119,111,-0.97,2.1%,16.6%,8.3%,8.3%,49.0%,13.5%,80.1%,8.3%,26.4%,90.5,28,L,Yomiuri Giants,CL
Nakagawa Kota,56,2,3,0,31,0,0,203,47.1,50,4,54,10,2,2,0,15,13,2.47,2.54,2.63,1.27,118,79,74,-0.07,2.0%,26.6%,4.9%,21.7%,47.7%,16.6%,74.4%,13.4%,29.5%,91.0,31,L,Yomiuri Giants,CL
Nishidate Yuhi,12,2,3,0,1,0,0,207,48.1,53,5,39,10,1,1,1,24,23,4.28,3.38,3.40,1.30,68,105,95,0.90,2.4%,18.8%,4.8%,14.0%,44.7%,13.5%,79.5%,9.8%,28.6%,92.4,23,R,Yomiuri Giants,CL
Ota Taisei,57,8,4,1,41,0,0,226,55.0,44,4,54,12,3,4,3,14,14,2.29,2.82,2.94,1.02,128,88,82,-0.53,1.8%,23.9%,5.3%,18.6%,53.8%,16.4%,73.9%,13.7%,28.9%,95.2,26,R,Yomiuri Giants,CL
Takanashi Yuhei,20,0,1,0,5,0,0,69,14.0,14,0,16,11,3,3,0,6,6,3.86,3.68,4.08,1.79,76,115,114,0.18,0.0%,23.2%,15.9%,7.2%,41.4%,11.1%,71.7%,11.8%,31.4%,88.3,32,L,Yomiuri Giants,CL
Tanaka Eito,58,1,3,0,34,0,0,196,47.0,45,3,35,18,8,2,0,13,12,2.30,3.58,3.93,1.34,127,112,110,-1.28,1.5%,17.9%,9.2%,8.7%,69.9%,14.6%,77.4%,10.9%,27.3%,93.0,25,R,Yomiuri Giants,CL
Tanaka Masahiro,7,2,2,0,0,0,0,137,27.2,39,1,18,13,1,1,1,21,16,5.20,3.65,4.44,1.88,56,114,124,1.55,0.7%,13.1%,9.5%,3.6%,51.0%,12.2%,80.5%,8.1%,28.5%,90.1,36,R,Yomiuri Giants,CL
Toda Natsuki,2,0,1,0,0,0,0,12,2.2,3,0,0,1,1,0,0,1,1,3.38,4.09,5.63,1.50,87,127,158,-0.71,0.0%,0.0%,8.3%,-8.3%,42.9%,12.1%,94.1%,3.0%,15.2%,90.4,24,R,Yomiuri Giants,CL
Togo Shosei,18,6,8,0,0,0,0,440,98.0,112,7,76,40,1,1,1,52,45,4.13,3.60,3.98,1.55,71,112,111,0.53,1.6%,17.3%,9.1%,8.2%,41.6%,15.4%,77.4%,10.6%,27.8%,91.3,25,R,Yomiuri Giants,CL
Yamada Ryusei,2,0,0,0,0,0,0,15,4.0,3,1,1,1,0,1,0,2,2,4.50,7.21,4.80,1.00,65,225,134,-2.71,6.7%,6.7%,6.7%,0.0%,45.5%,8.3%,91.7%,3.3%,20.0%,89.5,24,R,Yomiuri Giants,CL
Yamasaki Iori,22,10,4,0,0,1,0,569,144.2,109,8,122,31,6,5,4,32,28,1.74,2.74,3.20,0.97,168,85,90,-1.00,1.4%,21.4%,5.4%,16.0%,55.8%,16.2%,77.1%,10.9%,28.3%,91.9,26,R,Yomiuri Giants,CL
Yokogawa Kai,23,1,0,0,1,0,0,233,57.0,53,3,36,16,0,3,0,15,15,2.37,3.39,3.94,1.21,123,105,110,-1.02,1.3%,15.5%,6.9%,8.6%,60.2%,13.5%,82.3%,7.6%,28.9%,88.1,24,L,Yomiuri Giants,CL
Avila Pedro,14,6,8,0,0,0,0,318,76.1,65,4,55,28,1,4,5,40,36,4.24,3.46,3.95,1.22,76,97,110,0.78,1.3%,17.3%,8.8%,8.5%,46.5%,15.0%,77.2%,10.3%,28.4%,91.6,28,R,Yakult Swallows,CL
Baumann Mike,16,0,2,0,1,0,0,75,15.0,17,3,19,12,2,0,0,8,7,4.20,5.43,3.87,1.93,77,153,108,-1.23,4.0%,25.3%,16.0%,9.3%,56.8%,10.7%,76.7%,9.0%,27.3%,95.8,29,R,Yakult Swallows,CL
Hasegawa Hiroki,4,0,0,0,0,0,0,24,4.2,6,0,2,2,0,1,0,2,2,3.86,4.04,4.80,1.71,84,114,134,-0.18,0.0%,8.3%,8.3%,0.0%,47.4%,19.2%,76.5%,11.0%,30.1%,91.6,26,L,Yakult Swallows,CL
Hoshi Tomoya,40,1,2,13,17,0,0,161,39.0,33,2,36,13,3,1,1,7,7,1.62,2.86,3.37,1.18,200,80,94,-1.24,1.2%,22.4%,8.1%,14.3%,45.8%,16.9%,77.3%,11.0%,26.9%,93.6,31,R,Yakult Swallows,CL
Ishihara Yuki,2,0,0,0,0,0,0,23,4.0,8,0,3,3,0,0,0,6,5,11.25,3.71,4.80,2.75,29,104,134,7.54,0.0%,13.0%,13.0%,0.0%,47.1%,6.5%,86.4%,5.6%,24.3%,87.6,23,L,Yakult Swallows,CL
Ishikawa Masanori,7,2,4,0,0,0,0,133,27.1,42,3,9,9,1,2,0,28,25,8.23,4.94,4.80,1.87,39,139,134,3.29,2.3%,6.8%,6.8%,0.0%,49.1%,9.6%,90.6%,4.0%,25.1%,80.2,45,L,Yakult Swallows,CL
Ishiyama Taichi,35,3,2,14,7,0,0,123,33.0,18,2,32,6,1,1,0,7,6,1.64,2.45,2.69,0.73,198,69,75,-0.81,1.6%,26.0%,4.9%,21.1%,47.6%,14.5%,72.1%,14.0%,32.1%,91.6,36,R,Yakult Swallows,CL
Kanakubo Yuto,12,0,1,0,1,0,0,66,14.0,23,4,11,4,0,0,1,12,12,7.71,5.96,3.74,1.93,42,168,105,1.75,6.1%,16.7%,6.1%,10.6%,31.4%,8.3%,84.1%,7.1%,24.2%,92.5,25,R,Yakult Swallows,CL
Kitamura Takumi,1,0,0,0,0,0,0,6,1.0,2,0,1,1,0,0,0,1,1,9.00,3.96,4.80,3.00,36,112,134,5.04,0.0%,16.7%,16.7%,0.0%,50.0%,0.0%,75.0%,11.1%,33.3%,85.0,29,R,Yakult Swallows,CL
Kizawa Naofumi,39,2,1,0,9,0,0,166,36.0,38,2,22,19,3,3,3,15,15,3.75,4.30,4.62,1.58,86,121,129,-0.55,1.2%,13.3%,11.4%,1.8%,47.3%,12.9%,79.9%,9.0%,23.7%,93.4,27,R,Yakult Swallows,CL
Kozawa Reiji,25,0,5,0,3,0,0,124,26.1,27,5,30,18,2,1,0,17,16,5.47,5.32,3.83,1.71,59,150,107,0.15,4.0%,24.2%,14.5%,9.7%,45.1%,12.9%,74.5%,11.2%,29.3%,88.1,27,R,Yakult Swallows,CL
Lambert Peter,21,3,11,0,0,0,0,508,116.1,123,11,104,52,1,3,5,57,55,4.26,3.82,3.78,1.50,76,108,106,0.44,2.2%,20.5%,10.2%,10.2%,43.3%,13.1%,76.8%,10.6%,28.9%,93.6,28,R,Yakult Swallows,CL
Maruyama Shota,8,0,0,0,0,0,0,45,9.2,11,2,11,6,0,0,1,9,9,8.38,5.24,3.69,1.76,39,147,103,3.14,4.4%,24.4%,13.3%,11.1%,35.7%,16.3%,68.2%,14.2%,29.5%,92.2,26,R,Yakult Swallows,CL
Matsumoto Kengo,19,1,0,0,0,0,0,101,27.1,19,2,19,6,0,0,0,2,2,0.66,3.18,3.51,0.91,491,90,98,-2.52,2.0%,18.8%,5.9%,12.9%,56.6%,14.8%,76.6%,11.4%,27.9%,91.8,26,R,Yakult Swallows,CL
Nakamura Yuto,4,1,2,0,0,0,0,81,16.1,25,2,13,6,1,3,0,11,10,5.51,4.62,3.94,1.90,59,130,110,0.89,2.5%,16.0%,7.4%,8.6%,51.9%,13.7%,80.6%,9.8%,26.5%,92.3,22,R,Yakult Swallows,CL
Numata Shohei,1,0,0,0,0,0,0,8,1.0,5,2,0,0,0,0,0,4,4,36.00,28.96,4.80,5.00,9,815,134,7.04,25.0%,0.0%,0.0%,0.0%,12.5%,7.7%,86.4%,7.7%,12.8%,88.5,25,R,Yakult Swallows,CL
Ogawa Yasuhiro,11,4,4,0,0,1,1,285,67.1,73,6,43,12,1,1,1,31,27,3.61,3.42,3.71,1.26,90,96,104,0.19,2.1%,15.1%,4.2%,10.9%,40.2%,17.2%,82.8%,8.3%,26.9%,88.0,35,R,Yakult Swallows,CL
Ohnishi Hiroki,45,3,3,4,18,0,0,176,42.0,36,0,30,14,2,2,4,8,6,1.29,2.68,3.89,1.19,251,75,109,-1.39,0.0%,17.0%,8.0%,9.1%,52.4%,19.5%,73.3%,12.5%,28.6%,90.4,27,R,Yakult Swallows,CL
Okugawa Yasunobu,16,4,7,0,0,0,0,417,92.1,114,9,69,30,2,2,3,46,41,4.00,3.78,3.86,1.56,81,106,108,0.22,2.2%,16.5%,7.2%,9.4%,49.4%,14.3%,79.4%,9.8%,29.4%,91.4,24,R,Yakult Swallows,CL
Sakaguchi Kousuke,15,0,0,0,0,0,0,96,21.1,22,2,11,13,1,3,0,10,10,4.22,5.40,5.01,1.64,77,152,140,-1.18,2.1%,11.5%,13.5%,-2.1%,57.4%,10.9%,77.7%,8.9%,24.6%,93.8,25,R,Yakult Swallows,CL
Shimizu Noboru,31,0,2,1,5,0,0,157,35.0,44,1,32,10,2,1,1,20,18,4.63,2.45,3.40,1.54,70,69,95,2.18,0.6%,20.4%,6.4%,14.0%,51.8%,12.0%,78.3%,9.5%,28.3%,90.8,28,R,Yakult Swallows,CL
Shimokawa Shunsuke,6,1,0,0,0,0,0,58,15.0,13,1,7,2,0,0,0,6,6,3.60,3.30,3.94,1.00,90,93,110,0.30,1.7%,12.1%,3.4%,8.6%,34.7%,11.9%,80.2%,8.9%,25.5%,78.8,25,R,Yakult Swallows,CL
Shoji Kota,39,1,1,0,24,0,0,146,38.1,19,1,46,16,0,2,0,5,5,1.17,2.31,2.75,0.91,277,65,77,-1.14,0.7%,31.5%,11.0%,20.5%,37.8%,14.4%,70.3%,12.9%,32.9%,89.6,25,L,Yakult Swallows,CL
Taguchi Kazuto,28,1,1,0,8,0,0,90,20.1,18,0,19,8,1,2,1,11,9,3.98,2.57,3.58,1.28,81,72,100,1.41,0.0%,21.1%,8.9%,12.2%,55.4%,14.7%,80.5%,8.4%,26.7%,88.9,29,L,Yakult Swallows,CL
Takahashi Keiji,6,2,2,0,0,0,0,141,33.0,29,3,31,13,1,1,2,11,11,3.00,3.54,3.52,1.27,108,100,99,-0.54,2.1%,22.0%,9.2%,12.8%,49.5%,12.5%,79.3%,9.4%,27.2%,93.0,28,L,Yakult Swallows,CL
Takanashi Hirotoshi,16,2,6,0,0,0,0,378,89.2,89,7,71,25,1,4,4,39,32,3.21,3.37,3.58,1.27,101,95,100,-0.16,1.9%,18.8%,6.6%,12.2%,46.1%,13.5%,80.1%,9.1%,27.3%,90.9,34,R,Yakult Swallows,CL
Yamamoto Daiki,17,0,0,0,1,0,0,74,15.2,19,1,6,6,0,1,1,12,9,5.17,4.37,4.80,1.60,63,123,134,0.80,1.4%,8.1%,8.1%,0.0%,59.0%,11.4%,77.9%,9.9%,24.5%,88.4,29,L,Yakult Swallows,CL
Yamano Taichi,12,3,3,0,0,0,0,287,65.2,74,11,51,21,2,1,0,34,31,4.25,4.59,3.75,1.45,76,129,105,-0.34,3.8%,17.8%,7.3%,10.5%,48.5%,13.2%,79.3%,9.8%,29.0%,91.2,26,L,Yakult Swallows,CL
Yasaki Takuya,43,2,0,0,12,0,0,155,40.0,25,1,32,13,1,0,1,9,9,2.03,2.66,3.57,0.95,160,75,100,-0.63,0.6%,20.6%,8.4%,12.3%,42.5%,13.9%,71.5%,13.4%,29.5%,91.0,30,R,Yakult Swallows,CL
Yoshimura Kojiro,20,6,6,0,0,0,0,488,116.0,119,14,77,23,1,2,1,48,41,3.18,3.85,3.69,1.22,102,108,103,-0.67,2.9%,15.8%,4.7%,11.1%,45.9%,15.0%,83.2%,8.4%,26.7%,91.4,27,R,Yakult Swallows,CL
Fujishima Kento,57,1,4,1,22,0,0,213,51.1,45,2,33,15,3,0,1,17,15,2.63,3.06,3.95,1.17,106,100,111,-0.43,0.9%,15.5%,7.0%,8.5%,49.7%,13.9%,79.1%,9.6%,26.6%,88.8,27,R,Chunichi Dragons,CL
Fuku Hiroto,17,0,1,0,4,0,0,72,16.2,12,0,11,10,1,0,0,2,1,0.54,3.44,4.66,1.32,517,112,130,-2.90,0.0%,15.3%,13.9%,1.4%,42.0%,7.9%,85.3%,5.5%,25.7%,86.9,33,L,Chunichi Dragons,CL
Hashimoto Yuki,42,2,3,0,12,0,0,167,40.0,38,3,40,12,2,1,2,16,15,3.38,2.91,3.12,1.25,83,95,87,0.47,1.8%,24.0%,7.2%,16.8%,55.0%,16.9%,74.3%,12.6%,30.9%,92.0,27,L,Chunichi Dragons,CL
Itoh Mao,9,1,0,0,0,0,0,33,7.2,7,0,4,4,0,0,0,1,1,1.17,3.49,4.80,1.43,239,114,134,-2.32,0.0%,12.1%,12.1%,0.0%,56.0%,10.5%,77.0%,9.8%,27.3%,89.9,24,R,Chunichi Dragons,CL
Iwasaki Sho,4,1,0,0,0,0,0,22,4.1,9,1,3,0,0,0,0,1,1,2.08,4.58,3.44,2.08,134,149,96,-2.50,4.5%,13.6%,0.0%,13.6%,42.1%,15.1%,75.0%,14.0%,25.8%,94.5,35,R,Chunichi Dragons,CL
Kanemaru Yumeto,13,2,5,0,0,0,0,334,82.2,71,9,69,15,1,3,0,33,27,2.94,3.36,3.18,1.04,95,110,89,-0.42,2.7%,20.7%,4.5%,16.2%,44.1%,15.1%,79.9%,9.8%,28.1%,92.4,22,L,Chunichi Dragons,CL
Katsuno Akiyoshi,25,4,4,0,5,0,0,117,27.0,27,2,34,11,1,1,3,16,15,5.00,2.74,2.83,1.41,56,89,79,2.26,1.7%,29.1%,9.4%,19.7%,40.8%,18.0%,69.7%,15.4%,28.4%,95.5,28,R,Chunichi Dragons,CL
Kondo Ren,12,0,0,0,1,0,0,51,11.1,7,0,12,10,0,0,1,4,2,1.59,3.49,4.41,1.50,176,114,123,-1.90,0.0%,23.5%,19.6%,3.9%,75.0%,13.9%,71.2%,11.1%,28.4%,91.0,26,L,Chunichi Dragons,CL
Marte Yunior,31,1,4,2,13,0,0,117,28.2,18,2,22,10,0,4,2,10,7,2.20,3.80,3.77,0.98,127,124,106,-1.60,1.7%,18.8%,8.5%,10.3%,60.5%,14.1%,73.3%,12.7%,28.7%,95.7,30,R,Chunichi Dragons,CL
Matsuba Takahiro,22,7,10,0,0,1,0,577,141.2,131,8,59,36,1,7,1,41,40,2.54,3.78,4.40,1.18,110,123,123,-1.24,1.4%,10.2%,6.2%,4.0%,51.0%,12.2%,85.0%,6.7%,26.3%,84.3,34,L,Chunichi Dragons,CL
Matsukihira Yuta,1,0,0,0,0,0,0,10,3.0,2,0,3,0,0,0,0,0,0,0.00,0.96,1.80,0.67,999,31,50,-0.96,0.0%,30.0%,0.0%,30.0%,42.9%,12.1%,71.4%,12.1%,36.4%,89.2,22,R,Chunichi Dragons,CL
Matsuyama Shinya,48,0,1,41,5,0,0,187,47.2,35,2,63,11,0,1,1,9,9,1.70,1.62,2.02,0.97,164,53,56,0.08,1.1%,33.7%,5.9%,27.8%,53.6%,15.2%,72.3%,12.8%,30.1%,95.7,25,R,Chunichi Dragons,CL
Mejia Humberto,19,2,2,0,9,0,0,154,39.2,28,6,21,13,2,0,0,15,15,3.40,4.85,4.28,1.03,82,158,120,-1.45,3.9%,13.6%,8.4%,5.2%,39.3%,13.6%,76.6%,11.8%,28.4%,92.7,28,R,Chunichi Dragons,CL
Miura Mizuki,7,2,3,0,0,0,0,157,33.0,38,4,21,22,1,1,1,20,17,4.64,5.36,4.86,1.82,60,175,136,-0.72,2.5%,13.4%,14.0%,-0.6%,56.5%,9.6%,84.2%,6.4%,24.9%,88.9,25,L,Chunichi Dragons,CL
Muller Kyle,16,3,8,0,0,0,0,391,92.0,88,7,83,26,1,3,5,41,37,3.62,3.09,3.34,1.24,77,101,93,0.53,1.8%,21.2%,6.6%,14.6%,53.3%,15.4%,76.7%,11.0%,29.4%,92.3,27,L,Chunichi Dragons,CL
Nakachi Reia,1,0,0,0,0,0,0,15,2.2,3,0,1,4,0,1,1,1,1,3.38,7.84,6.80,2.63,83,256,190,-4.46,0.0%,6.7%,26.7%,-20.0%,44.4%,5.8%,87.5%,4.3%,18.8%,90.8,24,R,Chunichi Dragons,CL
Neo Akira,4,0,0,0,0,0,0,27,5.2,9,2,5,2,0,0,0,5,5,7.94,6.85,3.69,1.94,35,223,103,1.09,7.4%,18.5%,7.4%,11.1%,25.0%,6.9%,75.6%,10.8%,25.5%,92.6,25,R,Chunichi Dragons,CL
Ohno Yudai,19,10,4,0,0,1,0,451,114.0,87,6,67,26,0,3,0,32,26,2.05,3.24,3.89,0.99,136,106,109,-1.19,1.3%,14.9%,5.8%,9.1%,45.9%,12.7%,84.0%,7.2%,27.3%,88.8,36,L,Chunichi Dragons,CL
Okada Toshiya,3,0,1,0,0,0,0,33,7.1,10,1,8,1,0,0,0,7,7,8.59,2.96,2.68,1.50,33,97,75,5.63,3.0%,24.2%,3.0%,21.2%,45.8%,14.4%,81.4%,8.3%,30.3%,87.5,33,L,Chunichi Dragons,CL
Saitoh Kohki,36,3,0,0,16,0,0,119,28.1,18,1,23,15,2,4,0,6,6,1.91,3.81,4.13,1.16,146,124,115,-1.90,0.8%,19.3%,12.6%,6.7%,39.4%,15.8%,63.9%,15.8%,32.2%,86.8,28,L,Chunichi Dragons,CL
Shimizu Tatsuya,53,4,1,4,29,0,0,216,50.2,47,0,45,21,5,1,2,15,13,2.31,2.49,3.69,1.34,121,81,103,-0.18,0.0%,20.8%,9.7%,11.1%,57.2%,9.8%,78.8%,9.4%,27.4%,93.0,25,R,Chunichi Dragons,CL
Sobue Daisuke,18,0,0,0,1,0,0,80,17.2,28,1,4,6,0,1,0,9,9,4.58,4.44,5.05,1.92,61,145,141,0.14,1.2%,5.0%,7.5%,-2.5%,46.2%,11.9%,84.1%,7.4%,23.5%,90.6,37,R,Chunichi Dragons,CL
Takahashi Hiroto,24,6,10,0,0,3,2,636,158.1,136,11,122,44,2,5,9,55,52,2.96,3.25,3.57,1.14,94,106,100,-0.29,1.7%,19.2%,6.9%,12.3%,56.1%,15.7%,74.1%,12.6%,26.6%,94.4,22,R,Chunichi Dragons,CL
Umeno Yugo,21,2,1,0,2,0,0,96,22.1,17,2,20,13,1,1,1,11,11,4.43,4.22,4.07,1.34,63,138,114,0.21,2.1%,20.8%,13.5%,7.3%,46.7%,15.5%,76.2%,9.9%,28.8%,93.5,26,R,Chunichi Dragons,CL
Wakui Hideaki,11,4,5,0,0,0,0,245,58.2,57,3,39,18,1,5,2,27,25,3.84,3.48,3.94,1.28,73,113,110,0.36,1.2%,15.9%,7.3%,8.6%,47.0%,11.8%,82.7%,8.2%,25.4%,90.1,39,R,Chunichi Dragons,CL
Walters Nash,2,0,0,0,0,0,0,9,2.0,1,0,0,3,0,0,0,0,0,0.00,7.46,8.13,2.00,999,244,227,-7.46,0.0%,0.0%,33.3%,-33.3%,33.3%,2.4%,100.0%,0.0%,11.9%,95.3,28,R,Chunichi Dragons,CL
Yanagi Yuya,12,3,3,0,0,0,0,292,70.0,62,2,57,23,0,4,2,21,20,2.57,2.86,3.64,1.21,109,93,102,-0.29,0.7%,19.5%,7.9%,11.6%,50.0%,13.1%,79.7%,8.5%,28.8%,88.9,31,R,Chunichi Dragons,CL
Yoshida Seiya,5,0,1,0,0,0,0,40,9.0,10,1,3,5,0,0,0,6,5,5.00,5.41,5.30,1.67,56,177,148,-0.41,2.5%,7.5%,12.5%,-5.0%,37.5%,5.6%,87.3%,4.3%,25.3%,87.8,23,L,Chunichi Dragons,CL
Abe Shota,16,0,0,0,0,0,0,62,14.2,14,2,12,6,0,0,0,5,5,3.07,4.33,3.83,1.36,96,134,107,-1.26,3.2%,19.4%,9.7%,9.7%,34.1%,11.9%,78.3%,10.2%,25.0%,90.5,32,R,ORIX Buffaloes,PL
Azuma Kohei,6,1,2,0,0,0,0,113,26.0,21,0,13,14,0,2,1,10,9,3.12,3.81,4.89,1.35,94,118,137,-0.69,0.0%,11.5%,12.4%,-0.9%,48.8%,11.8%,80.6%,8.7%,25.9%,92.4,25,R,ORIX Buffaloes,PL
Espinoza Anderson,20,5,7,0,0,1,0,514,118.0,119,3,106,40,0,5,4,44,39,2.97,2.64,3.52,1.35,99,82,98,0.33,0.6%,20.6%,7.8%,12.8%,53.7%,12.5%,79.2%,9.4%,29.0%,92.2,27,R,ORIX Buffaloes,PL
Gonda Ryusei,7,0,0,0,0,0,0,44,8.2,16,0,5,2,0,1,0,7,7,7.27,2.85,4.12,2.08,40,88,115,4.42,0.0%,11.4%,4.5%,6.8%,41.7%,8.1%,85.1%,7.0%,28.1%,89.3,25,R,ORIX Buffaloes,PL
Hirano Yoshihisa,3,0,1,1,0,0,0,14,2.1,5,1,1,2,0,0,0,4,4,15.43,10.25,5.51,3.00,19,318,154,5.18,7.1%,7.1%,14.3%,-7.1%,36.4%,4.3%,94.7%,2.1%,21.3%,89.7,41,R,ORIX Buffaloes,PL
Honda Keisuke,9,0,0,0,0,0,0,56,12.2,18,1,9,2,0,0,0,9,9,6.39,3.04,3.55,1.58,46,94,99,3.35,1.8%,16.1%,3.6%,12.5%,44.4%,9.1%,82.1%,7.9%,26.4%,89.7,32,R,ORIX Buffaloes,PL
Iguchi Kazutomo,5,0,0,0,0,0,0,28,4.2,8,0,2,4,0,1,1,7,5,9.64,5.32,5.51,2.57,31,165,154,4.32,0.0%,7.1%,14.3%,-7.1%,42.9%,8.8%,90.0%,4.4%,19.5%,90.6,31,R,ORIX Buffaloes,PL
Iriyama Kaito,10,1,0,0,1,0,0,38,10.1,4,1,10,4,1,0,1,5,5,4.35,3.45,3.22,0.77,68,107,90,0.90,2.6%,26.3%,10.5%,15.8%,25.0%,20.7%,70.1%,15.9%,26.2%,93.3,25,R,ORIX Buffaloes,PL
Iwasaki Sho,32,4,0,0,14,0,0,116,30.0,20,0,32,7,0,1,1,6,6,1.80,1.63,2.64,0.90,163,51,74,0.17,0.0%,27.6%,6.0%,21.6%,46.1%,18.2%,72.2%,14.4%,28.8%,94.5,35,R,ORIX Buffaloes,PL
Katayama Raiku,19,1,0,0,0,0,0,120,28.0,30,2,16,5,1,1,1,8,7,2.25,3.39,3.88,1.25,131,105,109,-1.14,1.7%,13.3%,4.2%,9.2%,42.3%,14.8%,86.4%,6.5%,25.4%,88.6,22,R,ORIX Buffaloes,PL
Kawase Kento,22,1,1,0,3,0,0,129,29.2,28,1,18,13,3,2,2,12,12,3.64,3.71,4.41,1.38,81,115,123,-0.07,0.8%,14.0%,10.1%,3.9%,47.3%,11.2%,80.4%,8.1%,27.5%,90.6,23,R,ORIX Buffaloes,PL
Kotajima Seiryu,20,2,1,0,6,0,0,86,18.1,21,1,14,12,1,1,0,9,9,4.42,4.27,4.57,1.80,67,132,128,0.15,1.2%,16.3%,14.0%,2.3%,46.3%,12.4%,73.1%,13.4%,25.2%,90.8,26,R,ORIX Buffaloes,PL
Kuri Allen,23,10,8,0,0,1,0,623,150.1,146,6,104,43,0,5,1,46,41,2.45,3.06,3.82,1.26,120,95,107,-0.61,1.0%,16.7%,6.9%,9.8%,52.3%,15.3%,77.9%,9.6%,27.1%,88.3,33,R,ORIX Buffaloes,PL
Machado Andres,53,3,5,25,9,0,0,214,50.1,46,0,63,16,2,3,0,14,12,2.15,1.59,2.60,1.23,137,49,73,0.56,0.0%,29.4%,7.5%,22.0%,55.6%,19.1%,69.1%,17.4%,29.3%,97.1,32,R,ORIX Buffaloes,PL
Miyagi Hiroya,20,6,3,0,0,0,0,556,137.1,119,6,149,27,0,6,2,38,37,2.42,2.08,2.61,1.06,122,65,73,0.34,1.1%,26.8%,4.9%,21.9%,51.6%,15.9%,73.9%,12.6%,32.1%,90.8,23,L,ORIX Buffaloes,PL
Mukunoki Ren,6,0,2,0,0,0,0,95,18.1,35,2,10,7,0,1,0,22,19,9.33,4.60,4.48,2.29,32,143,125,4.73,2.1%,10.5%,7.4%,3.2%,33.8%,13.0%,86.5%,6.5%,24.4%,91.3,25,R,ORIX Buffaloes,PL
Perdomo Luis,46,2,4,0,32,0,0,187,45.1,46,1,24,13,4,0,0,16,15,2.98,3.05,4.21,1.30,99,95,118,-0.07,0.5%,12.8%,7.0%,5.9%,55.4%,14.4%,81.1%,9.0%,27.1%,91.8,32,R,ORIX Buffaloes,PL
Saiki Kaito,32,2,1,2,9,0,0,106,27.2,17,0,30,10,0,0,3,5,4,1.30,1.88,2.91,0.98,226,58,81,-0.58,0.0%,28.3%,9.4%,18.9%,57.6%,17.2%,71.2%,13.5%,30.9%,93.9,25,R,ORIX Buffaloes,PL
Satoh Kazuma,1,0,0,0,0,0,0,18,4.0,7,2,2,0,0,0,0,2,2,4.50,8.46,3.69,1.75,65,262,103,-3.96,11.1%,11.1%,0.0%,11.1%,56.2%,11.3%,87.9%,5.6%,28.2%,88.9,24,L,ORIX Buffaloes,PL
Sotani Ryuhei,19,8,6,0,0,1,0,445,106.1,108,7,97,23,1,6,2,45,42,3.55,2.81,3.14,1.23,83,87,88,0.74,1.6%,21.8%,5.2%,16.6%,46.4%,15.3%,75.8%,11.8%,29.3%,92.3,24,L,ORIX Buffaloes,PL
Suzuki Hiroshi,15,0,0,0,4,0,0,58,12.1,16,1,6,6,0,0,0,9,9,6.57,4.50,4.80,1.78,45,140,134,2.07,1.7%,10.3%,10.3%,0.0%,45.2%,12.1%,82.9%,8.4%,21.9%,93.0,28,R,ORIX Buffaloes,PL
