Pitcher,G,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,GB%,Chase%,Con%,SwStr%,CSW%,FB Velo,Age,T,Team,League
Okadome Hidetaka,10,1,0,0,3,0,0,38,9.1,7,1,2,3,1,0,0,2,2,1.93,4.89,5.06,1.07,149,155,142,-2.96,2.6%,5.3%,7.9%,-2.6%,56.7%,11.1%,90.5%,4.2%,23.6%,90.8,25,R,Hanshin Tigers,CL
Oyokawa Masaki,61,6,3,1,41,0,0,223,58.1,31,2,60,17,3,2,1,8,6,0.93,2.33,2.87,0.82,310,74,80,-1.40,0.9%,26.9%,7.6%,19.3%,60.0%,14.5%,72.1%,12.9%,31.6%,91.2,24,L,Hanshin Tigers,CL
Saiki Hiroto,23,12,6,0,0,3,2,614,151.2,118,6,117,44,3,1,1,27,27,1.60,2.83,3.61,1.07,180,89,101,-1.23,1.0%,19.1%,7.2%,11.9%,42.0%,12.6%,78.9%,10.0%,27.0%,93.3,26,R,Hanshin Tigers,CL
Shiiba Tsuyoshi,2,0,0,0,0,0,0,8,2.0,1,0,1,1,0,0,0,0,0,0.00,3.46,4.80,1.00,999,110,134,-3.46,0.0%,12.5%,12.5%,0.0%,33.3%,11.5%,83.3%,7.7%,19.2%,92.8,23,R,Hanshin Tigers,CL
Shimamoto Hiroya,13,2,1,0,1,0,0,44,11.0,9,1,5,3,1,1,0,3,3,2.45,4.33,4.35,1.09,118,137,122,-1.88,2.3%,11.4%,6.8%,4.5%,51.4%,7.2%,76.6%,9.8%,29.4%,88.1,32,L,Hanshin Tigers,CL
Takahashi Haruto,7,3,0,0,0,0,0,155,38.2,33,3,42,7,0,0,0,14,9,2.09,2.34,2.54,1.03,138,74,71,-0.25,1.9%,27.1%,4.5%,22.6%,63.2%,17.8%,74.1%,13.6%,32.3%,91.4,29,L,Hanshin Tigers,CL
Tomida Ren,9,1,0,0,0,0,0,95,23.1,26,0,10,3,0,0,2,8,8,3.09,2.49,4.06,1.24,93,79,114,0.60,0.0%,10.5%,3.2%,7.4%,41.5%,12.4%,83.6%,8.1%,24.3%,85.6,23,L,Hanshin Tigers,CL
Urushihara Taisei,11,0,0,0,2,0,0,43,11.2,5,0,9,5,1,0,1,0,0,0.00,2.71,3.87,0.86,999,86,108,-2.71,0.0%,20.9%,11.6%,9.3%,44.8%,9.2%,78.7%,8.2%,26.5%,89.0,28,R,Hanshin Tigers,CL
Yuasa Atsuki,38,4,4,0,21,0,0,137,34.0,25,1,26,13,2,2,1,10,10,2.65,3.14,3.85,1.12,109,99,108,-0.49,0.7%,19.0%,9.5%,9.5%,58.9%,12.2%,75.6%,10.7%,28.1%,91.6,25,R,Hanshin Tigers,CL
Aduwa Makoto,4,0,3,0,0,0,0,88,19.0,26,2,11,5,0,1,0,14,11,5.21,4.12,4.12,1.63,59,122,115,1.09,2.3%,12.5%,5.7%,6.8%,38.0%,10.4%,84.5%,7.0%,24.4%,89.9,26,R,Hiroshima Carp,CL
Dominguez Johan,6,1,1,0,0,0,0,114,26.2,18,2,20,17,0,1,1,11,11,3.71,4.46,4.54,1.31,83,132,127,-0.75,1.8%,17.5%,14.9%,2.6%,51.3%,10.5%,77.7%,9.9%,26.2%,92.5,29,R,Hiroshima Carp,CL
Endoh Atsushi,7,1,2,0,0,0,0,68,14.0,19,2,15,6,2,0,0,10,9,5.79,3.96,3.48,1.79,53,117,97,1.83,2.9%,22.1%,8.8%,13.2%,45.2%,15.2%,79.0%,9.9%,29.3%,89.7,26,R,Hiroshima Carp,CL
Hasebe Ginji,5,0,0,0,0,0,0,30,5.1,9,0,7,4,0,1,0,9,9,15.19,3.15,3.80,2.44,20,93,106,12.04,0.0%,23.3%,13.3%,10.0%,44.4%,9.3%,78.8%,9.3%,28.0%,89.0,26,L,Hiroshima Carp,CL
Hearn Taylor,48,1,2,8,19,0,0,193,45.2,45,2,50,13,3,3,2,16,15,2.96,2.39,2.88,1.27,104,71,81,0.57,1.0%,25.9%,6.7%,19.2%,51.6%,14.6%,75.3%,13.2%,28.1%,95.2,30,L,Hiroshima Carp,CL
Horie Atsuya,28,0,1,1,8,0,0,104,21.2,26,2,28,8,1,3,1,13,13,5.40,3.10,2.88,1.57,57,92,80,2.30,1.9%,26.9%,7.7%,19.2%,55.0%,10.2%,73.7%,12.4%,28.3%,94.0,28,L,Hiroshima Carp,CL
Kuribayashi Ryoji,53,1,1,10,23,0,0,201,50.1,32,3,53,18,2,1,0,14,13,2.32,2.77,3.06,0.99,133,82,86,-0.45,1.5%,26.4%,9.0%,17.4%,55.2%,15.2%,71.4%,13.5%,32.2%,92.0,28,R,Hiroshima Carp,CL
Masuda Takehisa,2,0,0,0,0,0,0,15,3.0,5,1,5,1,0,0,0,5,5,15.00,4.96,2.13,2.00,21,147,60,10.04,6.7%,33.3%,6.7%,26.7%,33.3%,22.6%,76.7%,11.3%,35.5%,92.1,26,R,Hiroshima Carp,CL
Matsumoto Ryuya,4,0,0,0,0,0,0,17,3.2,4,1,4,1,0,0,0,4,2,4.91,5.15,3.04,1.36,63,152,85,-0.24,5.9%,23.5%,5.9%,17.6%,36.4%,16.4%,87.2%,6.8%,21.9%,90.1,25,R,Hiroshima Carp,CL
Mori Shohei,21,7,6,0,0,1,1,511,122.0,121,11,92,28,1,3,2,48,46,3.39,3.39,3.55,1.22,91,100,99,-0.00,2.2%,18.0%,5.5%,12.5%,48.3%,10.6%,81.2%,8.3%,28.6%,89.0,27,L,Hiroshima Carp,CL
Morishita Masato,22,6,14,0,0,3,0,622,152.1,140,6,92,37,3,5,1,53,42,2.48,3.10,3.92,1.16,124,92,110,-0.62,1.0%,14.8%,5.9%,8.8%,52.0%,11.8%,82.2%,8.7%,25.7%,91.1,27,R,Hiroshima Carp,CL
Moriura Daisuke,59,2,3,12,25,0,0,221,54.1,44,3,58,15,5,4,5,10,10,1.66,2.60,2.85,1.09,185,77,80,-0.94,1.4%,26.2%,6.8%,19.5%,46.2%,14.9%,71.7%,13.5%,28.8%,92.2,27,L,Hiroshima Carp,CL
Nakazaki Shota,49,3,2,0,14,0,0,165,40.0,35,1,28,8,2,4,1,11,10,2.25,2.79,3.59,1.07,137,83,100,-0.54,0.6%,17.0%,4.8%,12.1%,46.6%,12.7%,81.3%,9.4%,25.2%,91.1,32,R,Hiroshima Carp,CL
Ohsera Daichi,22,7,8,0,0,0,0,543,128.2,121,9,83,37,5,2,4,52,47,3.29,3.49,3.95,1.23,93,103,111,-0.20,1.7%,15.3%,6.8%,8.5%,44.2%,12.5%,80.0%,9.6%,25.5%,89.0,34,R,Hiroshima Carp,CL
Okamoto Shun,41,1,1,0,1,0,0,169,40.2,44,1,37,6,1,1,1,13,13,2.88,1.98,2.97,1.23,107,59,83,0.90,0.6%,21.9%,3.6%,18.3%,43.1%,13.5%,79.8%,10.4%,25.0%,91.5,23,R,Hiroshima Carp,CL
Saitoh Yuta,1,0,0,0,0,0,0,4,1.0,1,0,2,0,0,0,1,0,0,0.00,-1.04,-0.20,1.00,999,-31,-6,1.04,0.0%,50.0%,0.0%,50.0%,50.0%,13.3%,66.7%,20.0%,26.7%,91.7,21,R,Hiroshima Carp,CL
Sato Ryunosuke,5,1,1,0,0,0,0,87,20.0,18,0,13,11,0,0,0,8,7,3.15,3.31,4.57,1.45,98,98,128,-0.16,0.0%,14.9%,12.6%,2.3%,28.6%,11.8%,83.9%,6.7%,25.7%,87.8,22,L,Hiroshima Carp,CL
Shimauchi Sotaro,57,4,2,1,29,0,0,213,54.2,29,1,55,21,1,0,2,11,9,1.48,2.34,3.20,0.91,208,69,90,-0.86,0.5%,25.8%,9.9%,16.0%,45.9%,16.6%,69.7%,15.1%,29.3%,94.2,28,R,Hiroshima Carp,CL
Suzuki Kenya,19,2,0,0,0,0,0,107,26.1,19,1,12,7,1,3,0,6,5,1.71,3.69,4.33,0.99,180,109,121,-1.98,0.9%,11.2%,6.5%,4.7%,44.7%,10.6%,88.6%,5.2%,25.6%,80.3,27,R,Hiroshima Carp,CL
Taka Taichi,6,3,1,0,0,1,0,143,37.2,25,2,26,8,0,0,0,9,9,2.15,2.91,3.54,0.88,143,86,99,-0.76,1.4%,18.2%,5.6%,12.6%,46.3%,13.9%,82.7%,8.6%,25.1%,89.5,23,L,Hiroshima Carp,CL
Takahashi Kouya,18,2,1,0,0,0,0,106,27.1,22,2,20,7,1,1,0,10,9,2.96,3.33,3.57,1.06,104,99,100,-0.37,1.9%,18.9%,6.6%,12.3%,52.8%,8.4%,82.1%,8.1%,26.4%,90.3,26,L,Hiroshima Carp,CL
Takita Kazuki,4,0,0,0,0,0,0,19,4.0,3,0,3,5,0,0,0,2,2,4.50,5.21,5.85,2.00,68,154,164,-0.71,0.0%,15.8%,26.3%,-10.5%,18.2%,9.3%,84.8%,5.8%,24.4%,91.0,23,L,Hiroshima Carp,CL
Tamamura Shogo,15,4,8,0,0,0,0,323,77.1,82,3,63,10,1,3,0,39,37,4.31,2.34,3.16,1.19,71,69,88,1.97,0.9%,19.5%,3.1%,16.4%,42.9%,12.0%,81.3%,9.5%,29.0%,89.1,24,L,Hiroshima Carp,CL
Tokoda Hiroki,24,9,10,0,0,6,3,659,162.2,141,13,94,37,3,1,4,53,51,2.82,3.55,3.94,1.09,109,105,110,-0.73,2.0%,14.3%,5.6%,8.6%,47.3%,12.4%,82.3%,8.3%,27.7%,88.9,30,L,Hiroshima Carp,CL
Tsuji Taiga,11,0,0,0,0,0,0,45,11.0,11,2,13,2,0,0,0,2,2,1.64,3.51,2.36,1.18,188,104,66,-1.87,4.4%,28.9%,4.4%,24.4%,36.7%,11.5%,73.9%,12.6%,28.6%,90.8,20,L,Hiroshima Carp,CL
Tsunehiro Hayato,4,2,2,0,0,0,0,88,20.1,20,1,16,4,0,2,1,11,8,3.54,2.91,3.44,1.18,87,86,96,0.63,1.1%,18.2%,4.5%,13.6%,54.7%,11.7%,81.1%,8.0%,30.2%,89.9,23,R,Hiroshima Carp,CL
Azuma Katsuki,22,13,8,0,0,2,0,593,147.1,130,14,111,22,0,5,0,46,35,2.14,3.24,3.30,1.03,142,97,92,-1.10,2.4%,18.7%,3.7%,15.0%,45.7%,14.3%,80.2%,9.7%,30.8%,88.7,29,L,DeNA BayStars,CL
Bauer Trevor,20,4,10,0,0,2,1,554,130.2,131,15,118,45,5,4,2,63,63,4.34,3.78,3.48,1.35,70,113,97,0.56,2.7%,21.3%,8.1%,13.2%,49.1%,12.3%,75.3%,10.4%,32.8%,93.4,34,R,DeNA BayStars,CL
Fujinami Shintaro,4,1,0,0,0,0,0,85,20.2,17,1,17,7,0,1,1,7,7,3.05,3.11,3.62,1.16,100,93,101,-0.06,1.2%,20.0%,8.2%,11.8%,61.7%,14.3%,79.0%,9.0%,29.0%,93.6,31,R,DeNA BayStars,CL
Hamachi Masumi,3,0,0,0,0,0,0,12,3.0,2,2,5,1,0,0,0,2,2,6.00,9.30,1.47,1.00,51,278,41,-3.30,16.7%,41.7%,8.3%,33.3%,16.7%,9.3%,70.4%,14.8%,35.2%,91.9,27,R,DeNA BayStars,CL
Hashimoto Tatsuya,1,0,0,0,0,0,0,7,1.0,3,0,0,1,1,0,0,2,2,18.00,5.96,6.23,4.00,17,178,174,12.04,0.0%,0.0%,14.3%,-14.3%,0.0%,5.0%,100.0%,0.0%,20.0%,91.1,24,R,DeNA BayStars,CL
Horioka Hayato,12,0,0,0,0,0,0,59,12.0,17,1,17,8,1,0,0,6,5,3.75,3.21,3.27,2.08,81,96,92,0.54,1.7%,28.8%,13.6%,15.3%,52.9%,14.2%,64.7%,14.7%,30.9%,93.2,26,R,DeNA BayStars,CL
Irie Taisei,45,3,3,22,4,0,0,170,41.0,30,6,39,16,1,1,0,17,15,3.29,4.21,3.45,1.12,93,126,96,-0.92,3.5%,22.9%,9.4%,13.5%,38.5%,14.9%,72.3%,15.2%,27.7%,95.6,26,R,DeNA BayStars,CL
Ise Hiromu,50,0,4,10,31,0,0,188,47.1,39,3,51,11,2,0,0,12,12,2.28,2.33,2.67,1.06,134,70,75,-0.05,1.6%,27.1%,5.9%,21.3%,38.9%,12.8%,75.9%,11.3%,31.9%,91.5,27,R,DeNA BayStars,CL
Ishida Yutaro,18,2,5,0,1,1,1,331,83.1,66,10,82,20,3,0,1,39,33,3.56,3.28,2.93,1.03,86,98,82,0.28,3.0%,24.8%,6.0%,18.7%,47.1%,11.8%,78.5%,8.9%,32.0%,90.3,23,R,DeNA BayStars,CL
Iwata Masaki,3,0,0,0,0,0,0,7,1.0,2,0,0,1,0,1,0,2,2,18.00,8.96,6.23,3.00,17,268,174,9.04,0.0%,0.0%,14.3%,-14.3%,66.7%,3.2%,76.9%,9.7%,19.4%,83.7,27,L,DeNA BayStars,CL
Jackson Andre,23,10,6,0,0,0,0,594,140.2,126,8,101,49,3,9,7,43,37,2.37,3.50,3.92,1.24,129,105,110,-1.13,1.3%,17.0%,8.2%,8.8%,52.9%,12.6%,79.2%,9.7%,27.2%,94.2,29,R,DeNA BayStars,CL
Kay Anthony,21,8,6,0,0,0,0,533,138.0,99,7,109,33,2,3,1,28,28,1.83,2.83,3.37,0.96,166,85,94,-1.00,1.3%,20.5%,6.2%,14.3%,57.1%,15.7%,76.0%,11.7%,28.6%,94.5,30,L,DeNA BayStars,CL
Kozono Kenta,1,1,0,0,0,0,0,21,5.0,3,1,4,4,0,0,0,3,3,5.40,6.36,4.80,1.40,56,190,134,-0.96,4.8%,19.0%,19.0%,0.0%,53.8%,9.2%,83.8%,6.9%,23.0%,89.1,22,R,DeNA BayStars,CL
Marcelino Hansel,2,0,0,0,0,0,0,9,1.1,1,0,3,3,0,1,0,2,2,13.50,7.46,4.80,3.00,23,223,134,6.04,0.0%,33.3%,33.3%,0.0%,50.0%,22.0%,65.2%,16.0%,26.0%,94.4,23,R,DeNA BayStars,CL
