Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,wSB,Team,League
Watarai Ryuki,3,4,4,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0.500,0.500,0.500,1.000,209,0.000,0.667,25.0%,25.0%,0.0%,0.00,0.0,DeNA BayStars,CL
Tobashira Yasutaka,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,0.000,0.0%,0.0%,0.0%,,0.0,DeNA BayStars,CL
Kinami Seiya,2,5,5,0,1,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0.200,0.200,0.400,0.600,87,0.200,0.333,40.0%,40.0%,0.0%,0.00,0.0,Hanshin Tigers,CL
Murakami Shoki,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-104,0.000,,100.0%,100.0%,0.0%,0.00,0.0,Hanshin Tigers,CL
Kita Ryoto,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-102,0.000,,100.0%,100.0%,0.0%,0.00,0.0,ORIX Buffaloes,PL
Azuma Katsuki,1,3,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,,33.3%,33.3%,0.0%,0.00,0.0,DeNA BayStars,CL
Hayashi Takuma,5,20,17,3,5,0,0,0,5,1,0,1,1,0,4,1,0,1,0,0.294,0.368,0.294,0.663,108,0.000,0.385,25.0%,20.0%,5.0%,0.25,-0.3,DeNA BayStars,CL
Yanagita Yuki,3,12,12,1,3,0,0,1,6,3,0,0,0,0,3,0,0,0,0,0.250,0.250,0.500,0.750,127,0.250,0.250,33.3%,25.0%,0.0%,0.00,0.0,SoftBank Hawks,PL
Yanagimachi Tatsuru,3,13,12,0,7,2,0,0,9,0,0,0,0,0,2,1,0,0,0,0.583,0.615,0.750,1.365,319,0.167,0.700,23.1%,15.4%,7.7%,0.50,0.0,SoftBank Hawks,PL
Kurihara Ryoya,3,13,12,0,3,1,0,0,4,0,0,0,0,0,4,1,0,0,0,0.250,0.308,0.333,0.641,99,0.083,0.375,38.5%,30.8%,7.7%,0.25,0.0,SoftBank Hawks,PL
Kajiwara Kouki,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,0.000,50.0%,50.0%,0.0%,0.00,0.0,DeNA BayStars,CL
Mori Tomoya,2,5,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-102,0.000,0.000,20.0%,20.0%,0.0%,0.00,0.0,ORIX Buffaloes,PL
Mizuno Tatsuki,4,15,15,1,2,0,1,0,4,0,0,0,0,0,5,0,0,0,0,0.133,0.133,0.267,0.400,21,0.133,0.200,33.3%,33.3%,0.0%,0.00,0.0,Nipponham Fighters,PL
Izuguchi Yuta,2,10,9,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,30.0%,30.0%,0.0%,0.00,0.0,Yomiuri Giants,CL
Urata Shunsuke,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,0.0%,0.0%,0.0%,,0.0,Yomiuri Giants,CL
Asama Daiki,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-95,0.000,0.000,0.0%,0.0%,0.0%,,0.0,Nipponham Fighters,PL
Kiyomiya Kotaro,5,20,19,0,5,0,1,0,7,2,2,0,0,0,5,1,0,0,1,0.263,0.300,0.368,0.668,103,0.105,0.357,30.0%,25.0%,5.0%,0.20,0.4,Nipponham Fighters,PL
Makihara Taisei,3,12,11,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1,0.000,0.083,0.000,0.083,-70,0.000,0.000,33.3%,25.0%,8.3%,0.33,0.0,SoftBank Hawks,PL
Tamiya Yua,4,15,10,1,1,0,0,0,1,0,0,0,3,0,3,2,0,0,0,0.100,0.250,0.100,0.350,13,0.000,0.143,33.3%,20.0%,13.3%,0.67,0.0,Nipponham Fighters,PL
Yazawa Kota,4,8,8,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.125,0.125,0.125,0.250,-20,0.000,0.143,12.5%,12.5%,0.0%,0.00,0.0,Nipponham Fighters,PL
Ishikami Taiki,5,18,17,2,3,0,0,1,6,3,1,0,0,0,7,1,0,0,0,0.176,0.222,0.353,0.575,75,0.176,0.222,50.0%,38.9%,5.6%,0.14,0.2,DeNA BayStars,CL
Ishii Kazunari,3,12,11,0,1,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0.091,0.167,0.091,0.258,-16,0.000,0.143,41.7%,33.3%,8.3%,0.25,0.0,Nipponham Fighters,PL
Kamizato Kazuki,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,0.000,0.0%,0.0%,0.0%,,0.0,DeNA BayStars,CL
Tsutsugoh Yoshitomo,5,22,19,3,6,1,0,2,13,3,0,0,0,0,4,3,0,0,1,0.316,0.409,0.684,1.093,231,0.368,0.308,40.9%,18.2%,13.6%,0.75,0.0,DeNA BayStars,CL
Nishino Masahiro,2,8,8,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0.125,0.125,0.125,0.250,-22,0.000,0.167,25.0%,25.0%,0.0%,0.00,0.0,ORIX Buffaloes,PL
Chikamoto Koji,3,13,11,2,3,0,0,0,3,0,1,0,0,0,3,2,0,0,0,0.273,0.385,0.273,0.657,114,0.000,0.375,38.5%,23.1%,15.4%,0.67,0.2,Hanshin Tigers,CL
Takatera Nozomu,2,4,4,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0.250,0.250,0.250,0.500,60,0.000,0.333,25.0%,25.0%,0.0%,0.00,0.2,Hanshin Tigers,CL
Takahashi Haruto,1,3,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-104,0.000,,33.3%,33.3%,0.0%,0.00,0.0,Hanshin Tigers,CL
Okoye Louis,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.500,0.000,0.500,72,0.000,0.000,50.0%,0.0%,50.0%,1.00,0.0,Yomiuri Giants,CL
Hernandez Ramon,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-104,0.000,,100.0%,100.0%,0.0%,0.00,0.0,Hanshin Tigers,CL
Martinez Ariel,2,5,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0.500,0.600,0.500,1.100,236,0.000,0.500,0.0%,0.0%,0.0%,,0.0,Nipponham Fighters,PL
Sunagawa Richard,2,7,6,0,1,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0.167,0.286,0.167,0.452,47,0.000,0.333,57.1%,42.9%,14.3%,0.33,0.0,Yomiuri Giants,CL
Reyes Franmil,5,21,17,4,9,0,0,2,15,4,0,0,0,0,3,4,0,0,0,0.529,0.619,0.882,1.501,346,0.353,0.583,42.9%,14.3%,19.0%,1.33,0.0,Nipponham Fighters,PL
Mannami Chusei,5,22,18,0,7,2,0,0,9,1,0,1,0,0,4,4,0,0,0,0.389,0.500,0.500,1.000,203,0.111,0.500,36.4%,18.2%,18.2%,1.00,-0.3,Nipponham Fighters,PL
Nakagawa Hayato,1,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,223,0.000,0.500,0.0%,0.0%,0.0%,,0.0,Hanshin Tigers,CL
Nakagawa Keita,2,7,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-102,0.000,0.000,28.6%,28.6%,0.0%,0.00,0.0,ORIX Buffaloes,PL
Imamiya Kenta,2,8,8,0,2,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0.250,0.250,0.375,0.625,91,0.125,0.333,25.0%,25.0%,0.0%,0.00,0.0,SoftBank Hawks,PL
Imagawa Yuma,1,3,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0.500,0.667,0.500,1.167,257,0.000,1.000,33.3%,33.3%,0.0%,0.00,0.0,Nipponham Fighters,PL
Fushimi Torai,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-95,0.000,0.000,0.0%,0.0%,0.0%,,0.0,Nipponham Fighters,PL
Sakamoto Hayato,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,,1.000,,,,,,100.0%,0.0%,100.0%,1.00,0.2,Yomiuri Giants,CL
Sakamoto Seishiro,3,11,7,0,1,0,0,0,1,0,0,0,1,0,4,3,0,0,0,0.143,0.400,0.143,0.543,81,0.000,0.333,63.6%,36.4%,27.3%,0.75,0.0,Hanshin Tigers,CL
Ohyama Yusuke,3,12,11,0,1,1,0,0,2,2,0,0,0,1,3,0,0,0,0,0.091,0.083,0.182,0.265,-20,0.091,0.111,25.0%,25.0%,0.0%,0.00,0.0,Hanshin Tigers,CL
Ohta Ryo,2,8,8,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0.125,0.125,0.125,0.250,-22,0.000,0.200,37.5%,37.5%,0.0%,0.00,0.0,ORIX Buffaloes,PL
Narama Taiki,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-95,0.000,,100.0%,100.0%,0.0%,0.00,0.0,Nipponham Fighters,PL
Kobayashi Seiji,1,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,838,1.000,1.000,0.0%,0.0%,0.0%,,0.0,Yomiuri Giants,CL
Onodera Dan,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,223,0.000,0.500,0.0%,0.0%,0.0%,,0.0,Hanshin Tigers,CL
Yamakawa Hotaka,3,12,11,0,3,0,0,0,3,1,0,0,0,0,3,1,1,0,0,0.273,0.333,0.273,0.606,90,0.000,0.375,33.3%,25.0%,8.3%,0.33,0.0,SoftBank Hawks,PL
Yamamoto Yuudai,5,18,16,1,2,0,0,0,2,1,0,0,1,1,3,0,0,0,1,0.125,0.118,0.125,0.243,-23,0.000,0.143,16.7%,16.7%,0.0%,0.00,0.0,DeNA BayStars,CL
Yamagata Shu,4,11,9,2,3,0,0,1,6,1,0,0,2,0,3,0,0,0,0,0.333,0.333,0.667,1.000,195,0.333,0.400,36.4%,27.3%,0.0%,0.00,0.0,Nipponham Fighters,PL
Okamoto Kazuma,2,9,7,1,2,0,0,0,2,0,0,0,0,0,1,2,1,0,0,0.286,0.444,0.286,0.730,137,0.000,0.333,33.3%,11.1%,22.2%,2.00,0.0,Yomiuri Giants,CL
Kishida Yukinori,2,9,7,2,1,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0.143,0.333,0.143,0.476,56,0.000,0.167,33.3%,11.1%,22.2%,2.00,0.0,Yomiuri Giants,CL
Minei Hiroki,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,0.000,0.0%,0.0%,0.0%,,0.0,SoftBank Hawks,PL
Hirooka Taishi,2,7,7,1,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0.286,0.286,0.286,0.571,81,0.000,0.333,14.3%,14.3%,0.0%,0.00,0.0,ORIX Buffaloes,PL
Togo Shosei,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,543,0.000,1.000,0.0%,0.0%,0.0%,,0.0,Yomiuri Giants,CL
Saiki Hiroto,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-104,0.000,,100.0%,100.0%,0.0%,0.00,0.0,Hanshin Tigers,CL
Sugimoto Yutaro,2,8,5,1,2,0,0,1,5,1,0,0,0,0,2,2,0,1,0,0.400,0.625,1.000,1.625,407,0.600,0.500,62.5%,25.0%,25.0%,1.00,0.0,ORIX Buffaloes,PL
Matsuo Shion,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,107,0.000,0.333,0.0%,0.0%,0.0%,,0.0,DeNA BayStars,CL
Matsumoto Go,4,6,6,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0.167,0.167,0.167,0.333,5,0.000,0.250,33.3%,33.3%,0.0%,0.00,0.0,Nipponham Fighters,PL
Kuwahara Masayuki,5,23,19,2,4,1,0,0,5,0,0,0,1,0,6,1,0,2,1,0.211,0.318,0.263,0.581,82,0.053,0.308,30.4%,26.1%,4.3%,0.17,0.0,DeNA BayStars,CL
Morishita Shota,3,13,9,3,6,2,0,1,11,3,0,0,0,0,0,3,0,1,0,0.667,0.769,1.222,1.991,536,0.556,0.625,30.8%,0.0%,23.1%,1.00,0.0,Hanshin Tigers,CL
Masaki Tomoya,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,0.000,0.0%,0.0%,0.0%,,0.0,SoftBank Hawks,PL
Mizutani Shun,3,13,13,1,4,0,0,0,4,1,0,1,0,0,4,0,0,0,0,0.308,0.308,0.308,0.615,89,0.000,0.444,30.8%,30.8%,0.0%,0.00,-0.3,Nipponham Fighters,PL
Umino Takashi,3,9,7,0,1,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0.143,0.250,0.143,0.393,26,0.000,0.200,33.3%,22.2%,11.1%,0.50,0.0,SoftBank Hawks,PL
Kumagai Takahiro,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-104,0.000,0.000,0.0%,0.0%,0.0%,,0.0,Hanshin Tigers,CL
Maki Shugo,5,20,16,1,3,0,0,1,6,2,0,0,0,0,2,3,0,1,0,0.188,0.350,0.375,0.725,124,0.188,0.154,30.0%,10.0%,15.0%,1.50,0.0,DeNA BayStars,CL
Ishida Yutaro,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,0.000,0.0%,0.0%,0.0%,,0.0,DeNA BayStars,CL
Takeda Yu,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,,100.0%,100.0%,0.0%,0.00,0.0,DeNA BayStars,CL
Kurebayashi Kotaro,2,8,8,1,2,0,0,1,5,3,0,0,0,0,3,0,0,0,1,0.250,0.250,0.625,0.875,168,0.375,0.250,50.0%,37.5%,0.0%,0.00,0.0,ORIX Buffaloes,PL
Wakatsuki Kenya,2,6,5,1,2,1,0,0,3,0,0,0,0,0,1,1,0,0,0,0.400,0.500,0.600,1.100,247,0.200,0.500,33.3%,16.7%,16.7%,1.00,0.0,ORIX Buffaloes,PL
Wakabayashi Gakuto,2,6,5,1,2,0,0,1,5,2,0,0,1,0,1,0,0,0,0,0.400,0.400,1.000,1.400,333,0.600,0.333,33.3%,16.7%,0.0%,0.00,0.0,Yomiuri Giants,CL
Ebina Tatsuo,5,24,24,2,6,1,0,0,7,3,0,0,0,0,8,0,0,0,0,0.250,0.250,0.292,0.542,68,0.042,0.375,33.3%,33.3%,0.0%,0.00,0.0,DeNA BayStars,CL
Shintoh Yuya,1,4,4,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.250,0.250,0.250,0.500,54,0.000,0.333,25.0%,25.0%,0.0%,0.00,0.0,Nipponham Fighters,PL
Gunji Yuya,5,20,18,3,5,2,0,1,10,5,0,0,0,1,5,0,0,1,1,0.278,0.300,0.556,0.856,154,0.278,0.308,30.0%,25.0%,0.0%,0.00,0.0,Nipponham Fighters,PL
Nomura Yuki,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-95,0.000,0.000,0.0%,0.0%,0.0%,,0.0,Nipponham Fighters,PL
Nomura Isami,3,9,9,1,1,0,0,1,4,1,0,0,0,0,5,0,0,0,0,0.111,0.111,0.444,0.556,64,0.333,0.000,66.7%,55.6%,0.0%,0.00,0.0,SoftBank Hawks,PL
Tongu Yuma,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-102,0.000,0.000,0.0%,0.0%,0.0%,,0.0,ORIX Buffaloes,PL
