#,Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,K%,BB%,BB/K,wSB,TTO%,Age,Pos,B,,Team,League
,<a href=https://npb.jp/bis/eng/players/21825155.html>Maegawa Ukyo</a>,40,166,139,18,43,10,1,2,61,19,0,1,0,1,29,21,0,5,2,0.309,0.416,0.439,0.855,170,0.130,0.376,17.5%,12.7%,0.72,-0.4,31.3%,22,7,L,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/53355157.html>Mombetsu Keito</a>,10,7,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.000,0.000,0.000,0.000,-108,0.000,0.000,42.9%,0.0%,0.00,0.0,42.9%,20,1,L,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/23325159.html>Momosaki Aoi</a>,79,265,238,28,70,15,1,1,90,21,3,3,3,1,54,19,0,4,5,0.294,0.355,0.378,0.733,131,0.084,0.375,20.4%,7.2%,0.35,-0.6,27.9%,19,4,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/91495134.html>Nagasaka Kenya</a>,41,120,88,9,18,2,0,0,20,12,1,0,7,2,29,22,1,1,2,0.205,0.363,0.227,0.590,86,0.022,0.295,24.2%,18.3%,0.76,0.1,42.5%,31,2,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/51455155.html>Nakagawa Hayato</a>,44,132,114,14,25,8,1,2,41,11,1,1,1,1,29,12,0,4,1,0.219,0.313,0.360,0.673,111,0.141,0.274,22.0%,9.1%,0.41,-0.2,32.6%,21,DH,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/73775150.html>Nelson Nick</a>,8,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-108,0.000,,100.0%,0.0%,0.00,0.0,100.0%,29,1,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/71275118.html>Nishi Yuki</a>,14,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-108,0.000,,50.0%,0.0%,0.00,0.0,50.0%,34,1,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/01405157.html>Noguchi Kyosuke</a>,85,274,244,23,56,15,0,1,74,25,4,1,4,1,31,24,0,1,7,0.230,0.300,0.303,0.603,88,0.073,0.258,11.3%,8.8%,0.77,0.3,20.4%,24,9,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/31535138.html>Obata Ryuhei</a>,9,34,31,3,8,1,0,0,9,2,3,0,0,0,7,2,0,1,0,0.258,0.324,0.290,0.614,92,0.032,0.333,20.6%,5.9%,0.29,0.5,26.5%,24,6,L,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/41345136.html>Ohtake Koutaro</a>,5,5,4,0,2,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0.500,0.500,0.500,1.000,218,0.000,1.000,40.0%,0.0%,0.00,-0.0,40.0%,30,1,L,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
