Rank,Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Age,T,,Team,League
,<a href=https://npb.jp/bis/eng/players/01005137.html>Higashihama Nao</a>,3,2,1,0,0,0,70,19.0,12,0,12,2,0,0,0,1,0,0.00,2.52,3.37,0.74,999,70,87,-2.52,0.0%,17.1%,2.9%,14.2%,35,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Hawks.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6220"" /> ",<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,WL
,<a href=https://npb.jp/bis/eng/players/13115159.html>Maeda Yugo</a>,4,1,2,0,0,0,89,22.0,24,1,11,1,0,0,0,8,7,2.86,3.20,3.68,1.14,107,89,95,-0.34,1.1%,12.4%,1.1%,11.3%,19,L,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Hawks.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6220"" /> ",<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,WL
,<a href=https://npb.jp/bis/eng/players/31735157.html>Koga Kosei</a>,3,1,0,0,0,0,65,15.0,16,0,5,6,0,1,0,4,3,1.80,4.20,4.95,1.47,167,118,128,-2.40,0.0%,7.7%,9.2%,-1.5%,20,L,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Eagles.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6218"" />",<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,EL
,<a href=https://npb.jp/bis/eng/players/21925157.html>Shoji Kosei</a>,4,1,1,0,0,0,82,18.1,21,1,17,7,0,1,1,11,10,4.91,3.63,3.58,1.53,61,102,92,1.28,1.2%,20.7%,8.5%,12.2%,24,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Eagles.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6218"" />",<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,EL
,<a href=https://npb.jp/bis/eng/players/31235151.html>Takinaka Ryota</a>,3,0,1,0,0,0,67,15.0,21,0,3,1,0,0,1,10,10,6.00,3.27,4.50,1.47,50,92,116,2.73,0.0%,4.5%,1.5%,3.0%,30,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Eagles.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6218"" />",<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,EL
,<a href=https://npb.jp/bis/eng/players/11315159.html>Itogawa Ryota</a>,4,1,0,0,0,0,91,23.1,18,1,16,4,0,1,1,5,5,1.93,3.30,3.48,0.94,165,88,90,-1.37,1.1%,17.6%,4.4%,13.2%,27,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Lions.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6219"" />",<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,EL
,<a href=https://npb.jp/bis/eng/players/61565159.html>Kawashimo Masahiro</a>,3,2,0,0,0,0,65,16.0,10,0,13,14,0,0,0,4,4,2.25,4.47,4.95,1.50,141,119,128,-2.22,0.0%,20.0%,21.5%,-1.5%,20,L,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Lions.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6219"" />",<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,EL
,<a href=https://npb.jp/bis/eng/players/21325151.html>Uema Towa</a>,3,2,0,0,0,0,72,19.0,12,0,6,3,0,0,0,2,1,0.47,3.31,4.38,0.79,676,88,113,-2.84,0.0%,8.3%,4.2%,4.1%,24,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Lions.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6219"" />",<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,EL
,<a href=https://npb.jp/bis/eng/players/81685155.html>Fukushima Ren</a>,3,0,1,0,0,0,62,14.2,14,0,16,5,0,0,1,9,6,3.68,2.31,3.03,1.30,87,61,78,1.37,0.0%,25.8%,8.1%,17.7%,22,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Fighters.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6217"" />",<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,EL
,<a href=https://npb.jp/bis/eng/players/61865159.html>Hosono Haruki</a>,3,0,1,0,0,0,66,15.0,18,0,13,4,0,0,0,4,3,1.80,2.54,3.44,1.47,177,67,89,-0.74,0.0%,19.7%,6.1%,13.6%,23,L,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Fighters.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6217"" />",<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,EL
,Kasahara Shotaro,4,0,2,0,0,0,98,23.0,24,3,13,6,0,1,2,8,7,2.74,4.95,4.09,1.30,100,152,105,-2.21,3.1%,13.3%,6.1%,7.2%,30,L,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Albirex.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6298"" />",<a href=https://www.niigata-albirex-bc.jp/>Oisix</a>,EL
,Makino Kenshin,4,2,0,0,0,0,112,26.0,27,1,17,8,0,1,0,5,4,1.38,3.70,4.00,1.35,200,114,103,-2.32,0.9%,15.2%,7.1%,8.1%,25,L,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Albirex.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6298"" />",<a href=https://www.niigata-albirex-bc.jp/>Oisix</a>,EL
,Noto Syuto,5,3,0,0,0,0,121,31.0,18,0,27,10,0,0,1,4,2,0.58,2.70,3.40,0.90,475,83,88,-2.12,0.0%,22.3%,8.3%,14.0%,23,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Albirex.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6298"" />",<a href=https://www.niigata-albirex-bc.jp/>Oisix</a>,EL
,Yabuta Kazuki,4,0,2,0,0,0,89,17.1,29,0,8,8,0,0,0,16,13,6.75,3.93,4.80,2.13,41,121,124,2.82,0.0%,9.0%,9.0%,0.0%,32,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Albirex.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6298"" />",<a href=https://www.niigata-albirex-bc.jp/>Oisix</a>,EL
,Kasashima Naoki,3,0,1,0,0,0,68,16.0,16,1,11,3,0,0,1,6,1,0.56,3.47,3.62,1.19,562,93,93,-2.91,1.5%,16.2%,4.4%,11.8%,22,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Ventures.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6297"" />",<a href=https://hayateventures.jp/>HAYATE</a>,WL
,Oishi Wataru,3,1,1,0,0,0,64,16.0,18,0,8,4,0,0,0,6,5,2.81,3.22,4.18,1.38,112,87,108,-0.41,0.0%,12.5%,6.2%,6.3%,23,L,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Ventures.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6297"" />",<a href=https://hayateventures.jp/>HAYATE</a>,WL
,Satoh Hiroki,4,0,2,0,0,0,81,19.2,16,0,10,11,0,0,4,5,5,2.29,4.13,4.92,1.37,138,111,127,-1.84,0.0%,12.3%,13.6%,-1.3%,26,L,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Ventures.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6297"" />",<a href=https://hayateventures.jp/>HAYATE</a>,WL
,<a href=https://npb.jp/bis/eng/players/53555155.html>Yamada Ryusei</a>,4,0,0,0,0,0,61,16.0,9,0,10,6,0,0,2,3,2,1.13,3.35,4.14,0.94,279,90,107,-2.22,0.0%,16.4%,9.8%,6.6%,24,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Ventures.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6297"" />",<a href=https://hayateventures.jp/>HAYATE</a>,WL
